"COMMENT_ID","CONTENT","TAG"
"KkPHYh_qS5b4JEe4I6DUA1D5OsA0hvNVGup1YL5KfUQ"," facebook. com /AilithPhotography please like :) ",1
"KkPHYh_qS5b-Ultuzu1Mfkcu2Djw98LJNZfU2gPAUDY","- * I BET YOU WON'T READ THIS!* - 15 Year Old Hip-Hop Artist Out Of Ohio. -  With Dreams Of Being A Successful Rapper - I Don't Rap About Weed, Sex, Or  Money, I Rap About Real Life Things! - So To Help Me With My Dream, View My  Music! - Subscribe, Comment, Likes, Any Feedback Will Help - Even If You  Give Me Negativity, Just Because You Listened To My Music Helps! - THUMBS  THIS COMMENT UP So More People Will See! - Thanks For Your Time! - Miko  Payton",1
"KkPHYh_qS5bOK9zfX7-NmiIRSnRQgQIKGOwgP_MFpUQ","&gt;&gt;&gt;PLEASE LOOK!&lt;&lt;&lt; please subscribe to me :) i do different videos every  thursday and sunday! i also sing:)) please help me reach my goal of 100  subs! :D",1
"KkPHYh_qS5a62aKGMM_1Y0HvY3XT5KoiX4E7S50saKM","#JusticeForBionic 11.11.13 Katy Fans, please stand together with Christina  Aguilera's Fighers on 11.11.13 Buy Christina Bionic album and stand up for  justice. Christina was sabotaged by Lady Gaga, Akon and Perez Hilton from  2008 to 2010 If you're confused please read this. justiceforbionicexplained  (dot) wordpress (dot) com",1
"KkPHYh_qS5Y2NefVYcbQu7tkEDKvdgTmX__qcidtyn8","▉▉▉▉▉▉▉▉▉▉▉▉▉▉▉▉▉▉▉▉▉▉▉▉▉▉▉▉▉▉▉▉▉▉▉▉▉▉ BRAZZERS PREMIUM ACCOUNT GENERATOR  OCTOBER2013!! brazzers-premiumaccount-generator2013.blogspot.com DOWNLOAD  FOR FREE AND HACK BRAZZERS IN ONLY A FEW SECONDS !  ▉▉▉▉▉▉▉▉▉▉▉▉▉▉▉▉▉▉▉▉▉▉▉▉▉▉▉▉▉▉▉▉▉▉▉▉▉▉",1
"KkPHYh_qS5bFVn7RcHIbUTLXYSGIwreU0kg-aEtXuso","◄♝►►/◄◄♝►I get paid over $87 per hour working from home with 2 kids at  home. I never thought I'd be able to do it but my best friend earns over  10k a month doing this and she convinced me to try. The potential with this  is endless. Heres what I've been doing,☛,▬▬♫♫▬☛☛☛ FOX94.COM ☤♉☤♉☤♉☤♉☤who,  ironically, would later become an FBI informant. “What do you think?”",1
"KkPHYh_qS5YV6ND8YIyMmeB6QJjzYxh4tG0PM_POQNM","♦♦♦♦♦ My college drop out sister Kelly(now mom of a b'ful kid) is making  $86 just working for 4-5 hours daily on their computer at home. He was  fired from his job before 8 months but last month his income was $21869  just working on the internet . I JOINED HIM TOO..know what to do  ••••••••••••••►►JUMP26.COM◄◄••••••••••• ♎♎♎♎You don't have to disrespect  and insult othiss simply to hold your own ground. If you do, that shows how  shaky your own position is. ",1
"KkPHYh_qS5aZFxlO2seT5KtUffKkfQiMsmu7mSz9ocg","❤ ☆ ☂ ❤ ☆ ☂ My college drop out brother is making $86 just working for 2  hrs in both shifts daily on their computer at home. He was fired from his  job before 8 months but last month his income was $21869 through the  internet . He CONVINCED me to TRY ATLEAST. Believe me its trusted Extra  Earning Source. Know what to do ••••••►►►►►►► BAM80.COM◄◄••• ♎☀ ♎☀ ♎☀ ♎You  ever have the feeling you were in the wrong place? That if you could just  get over the next hill, cross the next river.",1
"KkPHYh_qS5Zfx22j05em__G7NCH-S2DKIiBpUNGgaEY","➜ HELLO YOUTUBER, sorry for bothering you I'm 16 and I’m a  Dancer\Singer\Gymnast from London, I upload videos every 4 days of songs  people comment they want me to dance too. I have uploaded 20 videos so far,  Please take a minute of your time to look at my channel, Hopefully you will  enjoy watching my videos, Please like this comment so other please may see  it! Thank you everyone who reads or watches my videos and a Big thanks to  all the people who subscribe David D'Amico✍ ",1
"KkPHYh_qS5bCoXlYkaotq9Zk9lZAdHoSAbG_2P4H7R8","➽➽➨➨➽➽ my best friend's sister makes $64 an hour on the laptop. She has  been out of work for 9 months but last month her pay check was $12544 just  working on the internet for a few hours. here are the findings, ➨➨➨➨➨➨➨➨  JUMP85.COM 𝌌➠✔❪➠✓➠❪❥➠𝌌Playpens and swings, sling to tuck the baby into.  Lots of things can entertain a baby, and build learning skills and  dexterity and motor skills.",1
