"COMMENT_ID","CONTENT","TAG"
"Bc3IfTK0phv78PixpdC0NN4JY2O3EyCZgoRBc17gGVY","3518 xbox faggots disliked this video megatrixe.blogspot.co.uk/",1
"Bc3IfTK0phvJzwoEewHS4QXn3C5hIGHkvN3MO0IcDTw","Awesome, you can get Free PSN codes at this site ---&gt;  FreePsnPointsCodes.ｃom &lt;--- Try it guys! I just got Free $50 and €50 PSN  codes from there",1
"Bc3IfTK0phvIUbxIOiMCrU9GIP0yHviwKK2JWWoiA80","Everyone Checkout xboxdone.com ",1
"Bc3IfTK0phtZGtmdA4x41He1iYIVkkAUdsvYcKz6sZw","gamefaqs.com/poll/5246",1
"Bc3IfTK0phu8mnlOUXOU4uDeSZvnq2J0dwxaXKyi40E","get NEW and USED consoles, computers, games here (computerelectrics.co.uk)",1
"Bc3IfTK0phvdOLoyQgcisY20euKQ7NGjatdbpAut5NI","Get PSN Codes for free online here ▆▅▃▂ ｗｗｗ.FreeCodesPSN.ｃom ▂▃▅▆ Test it,  no regret - I got points from there!! ",1
"Bc3IfTK0phsjedVCT5JJu4jy3CPLUWVQvpHWO6U2RL8","Give Sony a ""Thank You"" by signing this collection saythankyou.co",1
"Bc3IfTK0phtY1yfk7SpiE11WXwixUsKHO7-g0thpzpw","GUYS SUBSCRIBE ME AND ILL SUB BACK:)",1
"Bc3IfTK0phu55MkggbrugXWPPbtQI6MTEtdZuBz8vXM","guys, check out this generator, worked for me:  free-psn-code-generator-2013.blogspot.com",1
"Bc3IfTK0phty-uVf_EOEufXx8Zvem6CoT4zLhl-L22s","hey guys, i'd appreciate it you could take a look at my gaming blog!  thegamechngr.blogspot.com/",1
"Bc3IfTK0phubLjBkZMTK9-ZGCKs5pV_vrLQx3IttBag","I have to thank my sister for two things. First, she was the one who gave  the link to this video clip! LOL. Second, she introduced me to this dating  web site. I am happy she did because I have met the man of my dreams! Want  to know the best dating web site out there? Here is the url.  MyLocalDateFinder.co­­m",1
"Bc3IfTK0phu1uC8Pgfv07ycdkX3QzCny58R9gnR5csM","Microsoft ambushing Nintendo's Best Buy events  gonintendo(dot)com/?mode=viewstory&amp;id=205110 ",1
