"COMMENT_ID","CONTENT","TAG"
1,"Spam 1",1
2,"Spam 2",1
3,"Spam 3",1
4,"Spam 4",1
5,"Spam 5",1
6,"Spam 6",1
7,"Spam 7",1
8,"Spam 8",1
9,"Spam 9",1
10,"Spam 10",1
11,"Spam 11",1
12,"Spam 12",1
13,"Spam 13",1
14,"Spam 14",1
15,"Spam 15",1
16,"Spam 16",1
17,"Spam 17",1
18,"Spam 18",1
19,"Spam 19",1
20,"Spam 20",1
21,"Spam 21",1
22,"Spam 22",1
23,"Spam 23",1
24,"Spam 24",1
25,"Spam 25",1
26,"Spam 26",1
27,"Spam 27",1
28,"Spam 28",1
29,"Spam 29",1
30,"Spam 30",1
31,"Spam 31",1
32,"Spam 32",1
33,"Spam 33",1
34,"Spam 34",1
35,"Spam 35",1
36,"Spam 36",1
37,"Spam 37",1
38,"Spam 38",1
39,"Spam 39",1
40,"Spam 40",1
41,"Spam 41",1
42,"Spam 42",1
43,"Spam 43",1
44,"Spam 44",1
45,"Spam 45",1
46,"Spam 46",1
47,"Spam 47",1
48,"Spam 48",1
49,"Spam 49",1
50,"Spam 50",1
51,"Spam 51",1
52,"Spam 52",1
53,"Spam 53",1
54,"Spam 54",1
55,"Spam 55",1
56,"Spam 56",1
57,"Spam 57",1
58,"Spam 58",1
59,"Spam 59",1
60,"Spam 60",1
61,"Spam 61",1
62,"Spam 62",1
63,"Spam 63",1
64,"Spam 64",1
65,"Spam 65",1
66,"Spam 66",1
67,"Spam 67",1
68,"Spam 68",1
69,"Spam 69",1
70,"Spam 70",1
71,"Spam 71",1
72,"Spam 72",1
73,"Spam 73",1
74,"Spam 74",1
75,"Spam 75",1
76,"Spam 76",1
77,"Spam 77",1
78,"Spam 78",1
79,"Spam 79",1
80,"Spam 80",1
81,"Spam 81",1
82,"Spam 82",1
83,"Spam 83",1
84,"Spam 84",1
85,"Spam 85",1
86,"Spam 86",1
87,"Spam 87",1
88,"Spam 88",1
89,"Spam 89",1
90,"Spam 90",1
91,"Spam 91",1
92,"Spam 92",1
93,"Spam 93",1
94,"Spam 94",1
95,"Spam 95",1
96,"Spam 96",1
97,"Spam 97",1
98,"Spam 98",1
99,"Spam 99",1
100,"Spam 100",1
101,"Ham 1",0
102,"Ham 2",0
103,"Ham 3",0
104,"Ham 4",0
105,"Ham 5",0
106,"Ham 6",0
107,"Ham 7",0
108,"Ham 8",0
109,"Ham 9",0
110,"Ham 10",0
111,"Ham 11",0
112,"Ham 12",0
113,"Ham 13",0
114,"Ham 14",0
115,"Ham 15",0
116,"Ham 16",0
117,"Ham 17",0
118,"Ham 18",0
119,"Ham 19",0
120,"Ham 20",0
121,"Ham 21",0
122,"Ham 22",0
123,"Ham 23",0
124,"Ham 24",0
125,"Ham 25",0
126,"Ham 26",0
127,"Ham 27",0
128,"Ham 28",0
129,"Ham 29",0
130,"Ham 30",0
131,"Ham 31",0
132,"Ham 32",0
133,"Ham 33",0
134,"Ham 34",0
135,"Ham 35",0
136,"Ham 36",0
137,"Ham 37",0
138,"Ham 38",0
139,"Ham 39",0
140,"Ham 40",0
141,"Ham 41",0
142,"Ham 42",0
143,"Ham 43",0
144,"Ham 44",0
145,"Ham 45",0
146,"Ham 46",0
147,"Ham 47",0
148,"Ham 48",0
149,"Ham 49",0
150,"Ham 50",0
151,"Ham 51",0
152,"Ham 52",0
153,"Ham 53",0
154,"Ham 54",0
155,"Ham 55",0
156,"Ham 56",0
157,"Ham 57",0
158,"Ham 58",0
159,"Ham 59",0
160,"Ham 60",0
161,"Ham 61",0
162,"Ham 62",0
163,"Ham 63",0
164,"Ham 64",0
165,"Ham 65",0
166,"Ham 66",0
167,"Ham 67",0
168,"Ham 68",0
169,"Ham 69",0
170,"Ham 70",0
171,"Ham 71",0
172,"Ham 72",0
173,"Ham 73",0
174,"Ham 74",0
175,"Ham 75",0
176,"Ham 76",0
177,"Ham 77",0
178,"Ham 78",0
179,"Ham 79",0
180,"Ham 80",0
181,"Ham 81",0
182,"Ham 82",0
183,"Ham 83",0
184,"Ham 84",0
185,"Ham 85",0
186,"Ham 86",0
187,"Ham 87",0
188,"Ham 88",0
189,"Ham 89",0
190,"Ham 90",0
191,"Ham 91",0
192,"Ham 92",0
193,"Ham 93",0
194,"Ham 94",0
195,"Ham 95",0
196,"Ham 96",0
197,"Ham 97",0
198,"Ham 98",0
199,"Ham 99",0
200,"Ham 100",0
