Classifier,Accuracy,Spam Caught (%),Blocked Ham (%),F-measure,MCC,Kappa,P,N,TP,TN,FP,FN
SVM RBF,0.96226415094339623,0.9433962264150944,0.018867924528301886,0.96153846153846156,0.92518726726046718,0.92452830188679247,53,53,50,52,1,3
SVM Linear,0.95283018867924529,0.9056603773584906,0.0,0.95049504950495045,0.90971765229468415,0.90566037735849059,53,53,48,53,0,5
Logistic,0.95283018867924529,0.9245283018867925,0.018867924528301886,0.95145631067961156,0.90711473522214547,0.90566037735849059,53,53,49,52,1,4
DecisionTree,0.94339622641509435,0.9056603773584906,0.018867924528301886,0.94117647058823528,0.88932886831510083,0.8867924528301887,53,53,48,52,1,5
BernoulliNB,0.93396226415094341,0.8867924528301887,0.018867924528301886,0.93069306930693074,0.87181275011573911,0.86792452830188682,53,53,47,52,1,6
MultinomialNB,0.93396226415094341,0.9056603773584906,0.03773584905660377,0.93203883495145634,0.86931828792122279,0.86792452830188682,53,53,48,51,2,5
RandomForest,0.91509433962264153,0.8490566037735849,0.018867924528301886,0.90909090909090917,0.83752568638956915,0.83018867924528306,53,53,45,52,1,8
k-NN,0.91509433962264153,0.9056603773584906,0.07547169811320754,0.91428571428571426,0.83033649170603696,0.83018867924528306,53,53,48,49,4,5
SVM Poly,0.90566037735849059,0.8301886792452831,0.018867924528301886,0.8979591836734695,0.820724279183211,0.81132075471698117,53,53,44,52,1,9
GaussianNB,0.8867924528301887,0.8301886792452831,0.05660377358490566,0.88,0.77859018012685877,0.77358490566037741,53,53,44,50,3,9
