Classifier,Accuracy,Spam Caught (%),Blocked Ham (%),F-measure,MCC,Kappa,P,N,TP,TN,FP,FN
RandomForest,0.92452830188679247,0.8490566037735849,0.0,0.91836734693877553,0.85889750147080235,0.84905660377358494,53,53,45,53,0,8
Logistic,0.92452830188679247,0.8679245283018868,0.018867924528301886,0.91999999999999993,0.8545501977002109,0.84905660377358494,53,53,46,52,1,7
BernoulliNB,0.91509433962264153,0.8301886792452831,0.0,0.90721649484536082,0.84242353917423207,0.83018867924528306,53,53,44,53,0,9
SVM Linear,0.91509433962264153,0.8490566037735849,0.018867924528301886,0.90909090909090917,0.83752568638956915,0.83018867924528306,53,53,45,52,1,8
SVM RBF,0.91509433962264153,0.8490566037735849,0.018867924528301886,0.90909090909090917,0.83752568638956915,0.83018867924528306,53,53,45,52,1,8
MultinomialNB,0.91509433962264153,0.9245283018867925,0.09433962264150944,0.91588785046728982,0.83033649170603696,0.83018867924528306,53,53,49,48,5,4
GaussianNB,0.85849056603773588,0.8679245283018868,0.1509433962264151,0.85981308411214963,0.71710878829157731,0.71698113207547176,53,53,46,45,8,7
k-NN,0.839622641509434,0.6981132075471698,0.018867924528301886,0.81318681318681318,0.70820052782817045,0.67924528301886777,53,53,37,52,1,16
DecisionTree,0.84905660377358494,0.7924528301886793,0.09433962264150944,0.84000000000000008,0.70263016255350674,0.69811320754716988,53,53,42,48,5,11
SVM Poly,0.78301886792452835,0.5849056603773585,0.018867924528301886,0.72941176470588232,0.61649620239508995,0.56603773584905648,53,53,31,52,1,22
