Classifier,Accuracy,Spam Caught (%),Blocked Ham (%),F-measure,MCC,Kappa,P,N,TP,TN,FP,FN
BernoulliNB,0.97727272727272729,0.9577464788732394,0.0,0.97841726618705027,0.95543294514898147,0.95444086516336868,71,61,68,61,0,3
SVM Linear,0.97727272727272729,0.9577464788732394,0.0,0.97841726618705027,0.95543294514898147,0.95444086516336868,71,61,68,61,0,3
DecisionTree,0.97727272727272729,0.971830985915493,0.01639344262295082,0.97872340425531923,0.95444636812057593,0.95433579335793361,71,61,69,60,1,2
SVM RBF,0.96969696969696972,0.9577464788732394,0.01639344262295082,0.97142857142857142,0.93961902043537593,0.93918451969592265,71,61,68,60,1,3
Logistic,0.96212121212121215,0.9436619718309859,0.01639344262295082,0.96402877697841716,0.92502861806130887,0.92406810860561439,71,61,67,60,1,4
GaussianNB,0.93939393939393945,0.8873239436619719,0.0,0.94029850746268651,0.88568945193356641,0.87920384351407022,71,61,63,61,0,8
RandomForest,0.9242424242424242,0.8873239436619719,0.03278688524590164,0.92647058823529416,0.8521791682698171,0.84865856454941535,71,61,63,59,2,8
MultinomialNB,0.90909090909090906,0.9577464788732394,0.14754098360655737,0.91891891891891897,0.81933700310039514,0.81585677749360608,71,61,68,52,9,3
SVM Poly,0.87121212121212122,0.7887323943661971,0.03278688524590164,0.86821705426356588,0.75937225706780453,0.74476797088262059,71,61,56,59,2,15
k-NN,0.87121212121212122,0.8309859154929577,0.08196721311475409,0.874074074074074,0.74720937176067881,0.74301420064131929,71,61,59,56,5,12
