Classifier,Accuracy,Spam Caught (%),Blocked Ham (%),F-measure,MCC,Kappa,P,N,TP,TN,FP,FN
SVM RBF,0.97037037037037033,0.9594594594594594,0.01639344262295082,0.9726027397260274,0.94077626040952811,0.94035785288270368,74,61,71,60,1,3
Logistic,0.97037037037037033,0.9594594594594594,0.01639344262295082,0.9726027397260274,0.94077626040952811,0.94035785288270368,74,61,71,60,1,3
SVM Linear,0.96296296296296291,0.9459459459459459,0.01639344262295082,0.96551724137931028,0.926478916698114,0.92555420756589823,74,61,70,60,1,4
RandomForest,0.96296296296296291,0.9594594594594594,0.03278688524590164,0.96598639455782309,0.92544329322904184,0.92534011724366783,74,61,71,59,2,3
DecisionTree,0.9555555555555556,0.9459459459459459,0.03278688524590164,0.95890410958904115,0.9109419181132431,0.91053677932405552,74,61,70,59,2,4
SVM Poly,0.94814814814814818,0.9054054054054054,0.0,0.95035460992907805,0.90122245188973349,0.89637021603245981,74,61,67,61,0,7
BernoulliNB,0.94814814814814818,0.972972972972973,0.08196721311475409,0.95364238410596025,0.89578117106661348,0.89487150962287243,74,61,72,56,5,2
GaussianNB,0.91111111111111109,1.0,0.19672131147540983,0.92499999999999993,0.83138035226111151,0.81740306582506783,74,61,74,49,12,0
MultinomialNB,0.88888888888888884,0.972972972972973,0.21311475409836064,0.90566037735849059,0.78310298184472449,0.77208778840742809,74,61,72,48,13,2
k-NN,0.87407407407407411,0.8648648648648649,0.11475409836065574,0.88275862068965516,0.74763050808861142,0.74688430572405429,74,61,64,54,7,10
