Classifier,Accuracy,Spam Caught (%),Blocked Ham (%),F-measure,MCC,Kappa,P,N,TP,TN,FP,FN
MultinomialNB,0.9642857142857143,1.0,0.06779661016949153,0.96363636363636362,0.93101321585035302,0.92863969417011771,53,59,53,55,4,0
DecisionTree,0.9642857142857143,0.9622641509433962,0.03389830508474576,0.96226415094339623,0.92836584585865034,0.92836584585865023,53,59,51,57,2,2
BernoulliNB,0.9553571428571429,1.0,0.0847457627118644,0.95495495495495508,0.91452337856159283,0.91088478676002538,53,59,53,54,5,0
RandomForest,0.9553571428571429,0.9056603773584906,0.0,0.95049504950495045,0.91373172232190691,0.91002570694087392,53,59,48,59,0,5
GaussianNB,0.9375,1.0,0.11864406779661017,0.93805309734513276,0.88234407882998112,0.87547649301143582,53,59,53,52,7,0
SVM Linear,0.9375,0.9056603773584906,0.03389830508474576,0.93203883495145634,0.87555022497712465,0.87427838357921739,53,59,48,57,2,5
SVM RBF,0.9375,0.9056603773584906,0.03389830508474576,0.93203883495145634,0.87555022497712465,0.87427838357921739,53,59,48,57,2,5
Logistic,0.9375,0.9056603773584906,0.03389830508474576,0.93203883495145634,0.87555022497712465,0.87427838357921739,53,59,48,57,2,5
k-NN,0.9017857142857143,0.7924528301886793,0.0,0.88421052631578956,0.81726649772389814,0.80090497737556565,53,59,42,59,0,11
SVM Poly,0.8660714285714286,0.7169811320754716,0.0,0.8351648351648352,0.75607348770931637,0.72744970798183006,53,59,38,59,0,15
