COMMENT_ID,AUTHOR,DATE,CONTENT,TAG
z12pgdhovmrktzm3i23es5d5junftft3f,"lekanaVEVO1","2014-07-22T15:27:50","i love this so much. AND also I Generate Free Leads on Auto Pilot &amp; You Can  Too! http://www.MyLeaderGate.com/moretraffic﻿",1
z13yx345uxepetggz04ci5rjcxeohzlrtf4,"Pyunghee","2014-07-27T01:57:16","http://www.billboard.com/articles/columns/pop-shop/6174122/fan-army-face-off-round-3 Vote for SONES please....we're against vips....please help us.. &gt;.&lt;﻿",1
z12lsjvi3wa5x1vwh04cibeaqnzrevxajw00k,"Erica Ross","2014-07-27T02:51:43","Hey guys! Please join me in my fight to help abused/mistreated animals! All  fund will go to helping pay for vet bills/and or helping them find homes! I  will place an extra emphasis on helping disabled animals, ones otherwise  would just be put to sleep by other animal organizations. Donate please. http://www.gofundme.com/Angels-n-Wingz﻿",1
z13jcjuovxbwfr0ge04cev2ipsjdfdurwck,"Aviel Haimov","2014-08-01T12:27:48","http://psnboss.com/?ref=2tGgp3pV6L this is the song﻿",1
z13qybua2yfydzxzj04cgfpqdt2syfx53ms0k,"John Bello","2014-08-01T21:04:03","Hey everyone. Watch this trailer!!!!!!!!  http://believemefilm.com?hlr=h2hQBUVB﻿",1
z12rw1o4zvidhdthz04cixxjssq5wzsrlpk0k,"Nere Overstylish","2014-08-02T23:12:49","check out my rapping hope you guys like it  https://soundcloud.com/nereboy/call-of-the-lostproduce-by-atlastatlas-rapper-jkork  and follow and message me :)﻿",1
z13xizvwrki2hf2ev22txvrp2ovcyf3zq04,"Jayki L","2014-08-03T21:20:41","Subscribe pleaaaase to my instagram account , i'll subscribe back ♥  http://instagram.com/cyrine_ghorbel﻿",1
z12ogvgbmre3eloah04ccjbpsmusxdxbwc0,"djh3mi","2014-08-06T21:14:15","hey guys!! visit my channel pleaase (i'm searching a dream)﻿",1
z125efjyoyaxwhzhz04cgh4oaontcvvdc,"Manuel Ortiz","2014-08-07T17:46:23","Nice! http://www.barnesandnoble.com/s/BDP?csrfToken=I9tIxe8cNkCosOqkEMGjLU5uwv6nSXSO&amp;sort=DD&amp;size=90&amp;csrftoken=89Iyec7nrWP5NYtnO5U7amhVmfLUtgGL&amp;dref=5094&amp;keyword=BDP&amp;store=EBOOK ﻿",1
z12is34ysrzoy3uwl04cctlxmrekjfuhvig,"Mike Bennett","2014-08-07T19:40:18","http://www.twitch.tv/daconnormc﻿",1
z13ijjrgqqyqzfo2t23zfztbtlu4ghg5o04,"Lil Misme","2014-08-09T03:01:25","Hey Guys this is Glamour Beauty! I just started my youtube channel please  go check it out! I'm going to post singing videos and also random videos  that I fell like! Please go to subscribe! More to come soon!. Remember to  subscribe!﻿",1
z122xxgxipvdzpovt22xjlyi5o3pebufp,"Emilie","2014-08-09T20:12:26","Hey guys! My mom said if i got 100 subs before christmas I'll get a kitten  and I always have wanted an kitten so please watch my videos and if you  like it subscribe or like :) Please no mean comments﻿",1
z122hzpj5v3kgf5zu04chv4xaqalhdr4flw0k,"Eduarda Ketrony","2014-08-11T01:43:41","https://www.facebook.com/photo.php?fbid=543627485763966&amp;l=0d878a889c﻿",1
z12gu1fouyfqx3a5304chpdqbwm3dja4v2c,"Jennika Chua","2014-08-11T13:38:22","https://www.facebook.com/photo.php?v=4483179854075&amp;set=vb.1727483389&amp;type=2&amp;theater ﻿",1
z13jtfwiuwrvy1tng23gid4hesqwxl4cm,"Artady","2014-08-11T16:27:55","https://soundcloud.com/artady please check my stuff; and make some feedback﻿",1
z12bxv4olmv3j1i2w232y5awruz3i1rva,"J STROMMER","2014-08-11T17:32:00","Take a break from Katie and help me reach 100 subscribers this month!  New  music and free downloads! ﻿",1
z13vendrur3zxdgkd22azzlzftn1vj3pp04,"Evin Alshamas","2014-08-12T05:20:24","Subscribe me please﻿",1
z130s5kb0v3yjj3fp23zexx5iyuvv1js5,"maddog1431","2014-08-12T18:38:42","Check out my covers I have a video coming out  please subscribe﻿",1
z123std54m2ozht10232efr5svb4vh0au04,"MB LOVE","2014-08-13T03:04:34","Subscribe to My CHANNEL﻿",1
z123gzjyszflihgih04cdzeblxuifpxzbes,"IbbyUchiha","2014-08-15T15:52:40","Hey guys. I am a very small YouTuber I upload videos nearly every single  day. I once hope to be like shikas so can you please give 2 mins of your  life to view this channel. and my new video is on how to watch all the  anime for free. and I am pretty sure you wont regret visiting this channel. Thank you!﻿",1
z13ect4j2km1gnhhu04cdfmwnmbkvn45x20,"Cléda Dimitri","2014-08-16T07:24:50","http://www.rtbf.be/tv/emission/detail_the-voice-belgique/toutes-les-auditions/auditionDetail_?emissionId=3873&amp;id=342  Please join me to the voice Liked and shared it please to win more audition  score. Thanks so much﻿",1
