COMMENT_ID,AUTHOR,DATE,CONTENT,TAG
xkorX4GUVGrMCFBCdleRluvDT8ixasHZCStlvk_AbfE,"Syntharion","2013-09-28T19:53:59","Hey nice content! If you could come and check out my channel and drop a  like, comment and even subscribe for more I would really appreciate it! I  am trying to show the world youths are not stupid but intelligent as  putting time into videos to get high quality matters to me, I also try to  get my subscribers to speak for me in the comments to suggest things to  make my channel better become one of them today! If you find this message  in anyway offessive please delete it. &lt;3 ",1
xkorX4GUVGqORJl5EqfdIaDOGOt8fkfTRsMV9jhn8Do,"JoesGuy","2013-10-06T17:31:04","Oh god, no thanks. I'm fine. No subscribing from me. O_o",0
xkorX4GUVGoqgtULCR9QiieM-1XQTIwE79QSZwbRiqg,"Shinya Kogami","2013-10-06T18:57:22","14,000,000 subscribers thats just insane but super cool at the same time.",0
xkorX4GUVGpxlBIUYKCRrKP0PIjAwp3fa4zyoPJ8JZI,"JAZZYKILLZ99 ™","2013-10-07T02:11:22","*********** HEY GUYS SORRY FOR THE SPAM BUT I AM A GREAT EDITOR/COMMENTATOR  MAKE GREAT MONTAGES/COMS/LETSPLAYS/FMS SOME PEOPLE ACTUALLY SAY IM BETTER  THEN FAZE, ALL IM SAYING IS TO GO AND SEE MY VIDEOS FOR YOUR SELFS TO JUST  UNDERSTAND HOW GREAT THEY ARE, AND IF YOU LIKE THEM YOU CAN SUBSCRIBE  BECAUSE I POST VIDEOS EVERY DAY, THNX FOR READING AND HAVE A GREAT DAY PS.  I HAVE 9K+ SUBSCRIBERS AND THE VIDEO I LIKE THE BEST IS TheMrknifez ep1  MINITAGE KICKS SO SO SO SORRY FOR THE SPAM &lt;3 ******** ",1
xkorX4GUVGoaLOdULZYzLEDzheGN2f1l0GusfNInnBU,"Desmond H. Fancher","2013-10-08T07:26:48","How I get ANY iTunes Song for FREE.. Step 1: Go to this site:  smarturl.it\ituneshack Step 2: Download the iTunes Hack (100% Safe) Step 3:  Enjoy!! Vote This Up If This Works For U...!! Share the LOVE! :D",1
xkorX4GUVGqkiDcOWaiu70Oukhso49AZksJjxM5som4,"Clash Of Clans &amp; Boom Beach | MasterOv","2013-10-08T09:26:48","Visit My Channel For Great HD Gameplay &amp; GIVEAWAYS!",1
xkorX4GUVGpSWabgM6Vu2OI0hKVuM-jcbldq3OzEBnU,"RsGuide4Ever","2013-10-08T20:47:58","Subscribe to my channel ! THUMBS UP SO EVERY1 CAN SEE :)",1
xkorX4GUVGqtx3Klgr8_yhUHfvP1UH-mNOVSZOlLukc,"Robloxonliner","2013-10-10T19:42:59","You sir get +1 subscriber ",0
xkorX4GUVGoVpmhtnartgYmT5rmKhBW0Owa1aPDQ6jY,"TheGamerGather","2013-10-10T19:54:09","Are you an underrated gamer youtuber that wants to get out there? Do you  want a chance to show the world your true potential? This is exactly why I  made TheGamersGather. I wanted a way to show people that some underrated  gamers can be good. So if you want to be exposed into the world email me at  thegamersgather@gmail.com with your video TODAY. If your video is  entertaining and amusing than i will upload it. Please sub to the channel  so you get a bigger audience. THANK YOU FELLOW GAMERS.",1
xkorX4GUVGq5nMMxZHxvr0z2kqRJrQRy0vA0qUhffqo,"Matthew Pretzal","2013-10-10T21:56:34","i havent subscribed yet should i?",0
