ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
ENL93HZMJN7v0jym6yemhF_4uJFDWSqLi0fRX-95coI,2013-10-19T09:59:31,2013-10-19T09:59:31,Estaba dudando ...,Estaba dudando entre las dos  pero con﻿ este análisis me has dejado claro que mi inclinación hacia el Mini era acertada. Ahora toca esperar al 22-O para la presentación del iPad Mini 2. Un saludo Jose.,201,0,Antonio Armario,5STSuZtQMPGYL0IEEEv_vw,UC5STSuZtQMPGYL0IEEEv_vw
ENL93HZMJN6cHrfTybkduP3LS5qIfDrAYwSFtlLbO6s,2013-10-18T14:23:06,2013-10-18T14:23:06,iPadmini﻿ ...,iPadmini﻿ seasonalSell  started upad3.com,41,1,Shomesh Stallion,stallion2326,UCeypFqFxyVL-Mld_d_5UDdA
ENL93HZMJN5ZACEVQd7BJFMepH3oL6aM3_ANJNrUAI0,2013-10-16T22:09:36,2013-10-16T22:09:36,jose cuanto sale﻿ ...,jose cuanto sale﻿ una ipad mini,31,0,alecraft AAS,lPTudiJMsxjoLY4x1dW_Ng,UClPTudiJMsxjoLY4x1dW_Ng
ENL93HZMJN6KcsFFz6CDXZpQH4vJUdk1c26C-KJdN_c,2013-10-16T10:19:31,2013-10-16T10:19:31,iPad mini sin duda  ...,iPad mini sin duda  mucho más﻿ manejable...,43,0,SnakesNebrija89,SnakesNebrija89,UCyHc3Igg-cb9P9S29sAJtWQ
ENL93HZMJN6GIgJOOkVZDZXTpFonPDcZ2lbt61HYjx8,2013-10-15T10:21:28,2013-10-15T10:21:28,Hola José.. muchas ...,Hola José.. muchas gracias por tus buenas aclaraciones y lo calras que son  gracias por tomarte el tiempo para ayudar a los demás....tengo una pregunta para ti.. soy ilustrador y necesito pasar del típico portfolio a un portfolio﻿ digital.. puedo usar un ipad 4 para esto.. y en que software? me puedes dar alguna recomendación.... DA.,335,0,dafe69,dafe69,UCXnQqGyg0rCBFVecTobOdtQ
ENL93HZMJN6KsMwYI4vO-g2holWCvoc_V3gu7E6zUfE,2013-10-15T05:21:50,2013-10-15T05:21:50,Yo estoy igual y ...,Yo estoy igual y creo que me voy por﻿ el mini  saludos.,55,0,andrés díaz,aediazg16,UCW6gEQfIH1eGOAF7OvzeEwg
ENL93HZMJN75wp1f7WQXME0mIQfALu0Dg90dYWBMZ3I,2013-10-13T13:54:05,2013-10-13T13:54:05,Te faltó comentar ...,Te faltó comentar que el IPad mini tiene parlantes estéreo y el IPad 4﻿ no. Saludos.,84,0,Hugo Ora,hora1974,UCHGscxBLgOhsXNrR-lwamzQ
ENL93HZMJN5ppYVlB8QYrBRlqsY2aiS6RlGnQEyu4pk,2013-10-12T23:56:53,2013-10-12T23:56:53,en MacStore el ipad ...,en MacStore el ipad mini esta en 459 USD(16gb solo wifi) y el Ipad 4 esta en  689 USD(16gb solo wifi eso creo)  puedes visitar el Facebook "MacStore﻿ El Salvador",162,0,Caesar Jimmy,DWwmbqQRqeBjD96zvcCZ-g,UCDWwmbqQRqeBjD96zvcCZ-g
ENL93HZMJN4De1cejxxVOjWB1hPaDnuQDjnUfilPZuM,2013-10-12T20:23:24,2013-10-12T20:23:24,cuales son los ...,cuales son los precios de﻿ ambas en El Salvador??????,53,0,carlos mendoza,0ROf9Js-49cQZ7HmNCRHOA,UC0ROf9Js-49cQZ7HmNCRHOA
ENL93HZMJN73ml0N1sEQFSLsI_E29etrwNaSDNRisqQ,2013-10-12T18:47:52,2013-10-12T18:47:52,Neto.﻿,Neto.﻿,6,0,Joel Gucho Duarte,JoelGuchoMusic,UCFPuZt1Cxb_W4ECeaIybm9A
