ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
HgjkCzKy95AcDP9MaOPV4trzTa3WiXI2Hf121lFZVyg,2013-10-20T15:20:05,2013-10-20T15:20:05,meu pau bem duro﻿ ...,meu pau bem duro﻿ no seu cu....,31,0,janeis barbosa,Wa6XK8CWjtNxDJYssM6lzw,UCWa6XK8CWjtNxDJYssM6lzw
HgjkCzKy95BDQM-C5qGi277j1GdScSnpSJ3xYB2oH0c,2013-10-20T14:56:20,2013-10-20T14:56:20,meu﻿ irmão não para ...,meu﻿ irmão não para de assirti,30,0,Juninho Laertruasferreira,MaVv6dAYKuEPCcZPd38nww,UCMaVv6dAYKuEPCcZPd38nww
HgjkCzKy95BC_5l4wVULt9719jbpqw8fw5hzn5wMKXQ,2013-10-20T09:11:47,2013-10-20T09:11:47,unu-l﻿,unu-l﻿,6,0,Ferdy Moccia,XB6niHVTnTZw2b6v3HJmNQ,UCXB6niHVTnTZw2b6v3HJmNQ
HgjkCzKy95C1wiwfIzeHdv2RA70SMN-7cv-HIfEdhtk,2013-10-20T09:11:46,2013-10-20T09:11:46,t/tl yuy yn:-)﻿ k:- ...,t/tl yuy yn:-)﻿ k:-) okku,25,0,Ferdy Moccia,XB6niHVTnTZw2b6v3HJmNQ,UCXB6niHVTnTZw2b6v3HJmNQ
HgjkCzKy95ApVY_vXH3b3bINR1mBprAaVi6KE12mb84,2013-10-20T03:42:53,2013-10-20T03:42:53,Prezados pais   ...,Prezados pais  Somos estudantes do curso de Publicidade e Propaganda e estamos estudando o fenômeno da﻿﻿ Galinha Pintadinha para o nosso trabalho de conclusão de curso. Por gentileza  quem puder  responder a nossa pesquisa mande um e-mail para lopes.ingridy@gmail com Agradecemos demais a todos que puderem ajudar!,314,0,Ingridy Lopes,5nH5T7qb_ZmMdVoF9UVWBw,UC5nH5T7qb_ZmMdVoF9UVWBw
HgjkCzKy95CZzPLrcugXWg0MEyuB-27PEkdPpxnQuZE,2013-10-20T00:24:18,2013-10-20T00:24:18,Kkk﻿,Kkk﻿,4,0,Patricia tiça,PKgycg68D9P4WzUt1_Dvfw,UCPKgycg68D9P4WzUt1_Dvfw
HgjkCzKy95CYkzfIy41lqWtMXrgOOiFroiuVFfL4tdQ,2013-10-20T00:16:49,2013-10-20T00:16:49,elemora﻿,elemora﻿,8,0,Afin Nanda,gDOOPC7FObNwIOCLejuXLw,UCgDOOPC7FObNwIOCLejuXLw
HgjkCzKy95DOXba357F1Gm-afLX5bIgTsHwUmgOE77Q,2013-10-19T22:01:40,2013-10-19T22:01:40,Jn﻿,Jn﻿,3,0,jardeson valente,yxh_N2lDBqlEjgaaPi8xAQ,UCyxh_N2lDBqlEjgaaPi8xAQ
HgjkCzKy95Ccwy0jt9ZoHwDc6m_CeVYLLKsADr6p-TU,2013-10-19T20:27:21,2013-10-19T20:27:21,Pk.sxonxin﻿,Pk.sxonxin﻿,11,0,gedson oliveira,nnK2IagFwg6FveUTXhH2Iw,UCnnK2IagFwg6FveUTXhH2Iw
HgjkCzKy95BNcyF-XGO6G_1Mz8N7jJgy-_Z_tlU4Cyo,2013-10-19T15:53:52,2013-10-19T15:53:52,paa vc﻿ muitas ...,paa vc﻿ muitas crianças gostam,30,0,Yasmin Ines,yasmim213055,UCMyIEd1FtYPJF0kv9rZgDQQ
HgjkCzKy95AbtDEIGrv3Jah80j2EVARuZE0cyh5kAnw,2013-10-18T23:05:19,2013-10-18T23:05:19,o supu﻿ nao lava  ...,o supu﻿ nao lava  cu   kkkkkkkkkkkkkkkk,39,0,KLEVISON SILVA,XLbvnhljOibnI8PPAyjNPg,UCXLbvnhljOibnI8PPAyjNPg
HgjkCzKy95B70O6YvlOSDZtQxjLE45OgiBmcm80kjKA,2013-10-18T22:44:20,2013-10-18T22:44:20,kkkk oi td bem com ...,kkkk oi td bem com vcs ? gente﻿ eu tor muito feliz hoje,55,0,marlon ornellas,w9WYrR7X3aynC8A9fQMrrQ,UCw9WYrR7X3aynC8A9fQMrrQ
HgjkCzKy95CVSPuhmtnJ6ReJAhIOUXxi1tNmW838Zek,2013-10-18T22:29:06,2013-10-18T22:29:06,Aaron   yvg  Ghana ...,Aaron   yvg  Ghana.﻿  G QWERTY M,32,0,Sora H,Redizcool1,UC7J7f1p-Jx8p6HiTijhXUJw
