ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
t10vs8tazNAWG8GXp40wh44cS1s4Vsgzh2Muy_k4ot4,2013-10-20T17:43:52,2013-10-20T17:43:52,Hi﻿,Hi﻿,3,0,Jeff B,FGBclips,UCx7cNj8x0I8qWcdC7rF8BFg
t10vs8tazNDQtW9_P2iyQVMhPRu8pr1c3ZxnyexXAJ0,2013-10-20T17:43:49,2013-10-20T17:43:49,i'm still thinking ...,i'm still thinking bout if ur a girl in gta 5 can u call a hooker?﻿,67,0,rango jim,YOL_tqGJq-sTWJZ-mkbZ0A,UCYOL_tqGJq-sTWJZ-mkbZ0A
t10vs8tazNBroZDHonFdPH2MUBHuRJs-vyBaNMWGPIs,2013-10-20T17:34:09,2013-10-20T17:34:09,Hey guys  how are﻿ ...,Hey guys  how are﻿ you?!  ----->CRAZY  few minutes ago a NEW Rihanna SEXTAPE (18+) which shows Rihanna getting naked at a private party was released on the internet. Watch now FREE on this website  -->> CelebritySexTape.info ! This is INSANE  Hurry up and watch the FULL VIDEO EXCLUSIVELY NOW before they take it down! The only site where you can find it -> CelebritySexTape.info,379,0,Riri Rihanna,VhMlzcnLY5wXKWekZw2nEQ,UCVhMlzcnLY5wXKWekZw2nEQ
t10vs8tazNBKXodv6zJKMNfNxPMyBZdd7mo1Avbg3GA,2013-10-20T17:33:09,2013-10-20T17:33:09,When you had﻿ 1 ...,When you had﻿ 1 million subs I really liked you,47,0,uzi revenger,3pxajuLuRc23IqJ9t-r5uQ,UC3pxajuLuRc23IqJ9t-r5uQ
t10vs8tazNBAtNN5z8NIzL-FV133BbeqqhELPXfcOBI,2013-10-20T17:31:41,2013-10-20T17:31:41,I﻿ fuck you mother,I﻿ fuck you mother,18,0,calum paton,as5datjd4VFZNPLQNE8P6g,UCas5datjd4VFZNPLQNE8P6g
t10vs8tazNCScdeyr0wzzn8eeWCA9cQOn1Ovck8MQt0,2013-10-20T17:25:14,2013-10-20T17:25:14,Bitch!﻿,Bitch!﻿,7,0,ReJectMerks,k-Vg8WnhVU52lhYgaIgXkA,UCk-Vg8WnhVU52lhYgaIgXkA
t10vs8tazNB49aQwL5BoV2GkSRI5nv1BsEbpcjgMXWw,2013-10-20T17:24:40,2013-10-20T17:24:40,Hey Guys and Gals! ...,Hey Guys and Gals! I'm a new youtuber  jhit 100 subs in﻿ 2.5 weeks! CHeck me out(: Click dat name!!,99,0,Small Whales,MrSmallWhales,UClp28s3At41qZZvtGzrTpSw
t10vs8tazNB7urjnAnuZDrw8PnOUtdDVSoLJAlRbcRs,2013-10-20T17:18:21,2013-10-20T17:18:21,Hello friends  ...,Hello friends  latest News!  CRAZY  few days ago BRAND NEW SEXTAPE of singer Rihanna (+18) which shows Rihanna getting naked for a russian billionaire at a private party was released on the internet! Watch it FREE here  -> CelebritySexTape.info !!! This is INSANE  Hurry up and watch the FULL VIDEO EXCLUSIVELY before it's deleted! The only website where﻿ you can find the SEXTAPE ->> CelebritySexTape.info,406,0,Rihanna Riri,FAlK3xjrAbOqczUyWf2Azg,UCFAlK3xjrAbOqczUyWf2Azg
t10vs8tazNAWR6Ip9snG8GPOe3Fp8pPzEXFAl1zD8dc,2013-10-20T17:17:51,2013-10-20T17:17:51,plz subsribe to ...,plz subsribe to skilled﻿ trolled and skilled clan,49,0,malik bartiw,WouA31DX8jIPUUxUUjRDPQ,UCWouA31DX8jIPUUxUUjRDPQ
t10vs8tazND81BHZOAe7QWIU_jP0FIULrI5P0WDl5ss,2013-10-20T17:16:54,2013-10-20T17:16:54,UH﻿ OH!Retard Alert ...,UH﻿ OH!Retard Alert!!!!:O,25,0,SyncPultra,SyncPultra,UC-8O3azxb_jEf911xtfwLAQ
