ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
CZvxOzloaN6_h3D_-M8z_jLJXaZe0xA4myzD_309Bbo,2013-10-20T15:27:53,2013-10-20T15:27:53,knock knock  who's ...,knock knock  who's there? me  i kill you﻿ haahahahaaha,54,0,ciao bello,T8P6A1WzaVv4gD6mfI-P3w,UCT8P6A1WzaVv4gD6mfI-P3w
CZvxOzloaN6p8lpM6xtWaXluko6B54jWZUL716uPDK0,2013-10-20T14:55:48,2013-10-20T14:55:48,Hahahaha Rihanna﻿ ...,Hahahaha Rihanna﻿ just made a big mistake She didn't remember to turn off her webcam and guess what  You can view her have fun with her pussy  Watch the video totally free right here :  rihanna-new-sextape.eu.pn,211,0,Giovanna Shilling,d6OWrkniA0rhdGoXaG6Lgw,UCd6OWrkniA0rhdGoXaG6Lgw
CZvxOzloaN4i9crZBWZ8t-av3G3ow1Acv2_fMKSLWwM,2013-10-20T14:30:34,2013-10-20T14:30:34,#CANALNOSTALGIA﻿,#CANALNOSTALGIA﻿,16,0,Jason. Jr,fgYVOS29jmbohOeH4CYYOA,UCfgYVOS29jmbohOeH4CYYOA
CZvxOzloaN5cp0HZgpim4eOByIWYd5sR-DxxDXWZCuw,2013-10-20T13:04:25,2013-10-20T13:04:25,Its﻿ Ahmed not ...,Its﻿ Ahmed not Achmed.... And it wasn't that funny.,51,0,Azra Besic,ykhw3oP4UnGk4Il1ZhS0OA,UCykhw3oP4UnGk4Il1ZhS0OA
CZvxOzloaN4WhHWVyCfmoZTvX6QO_b7NKXxmR20mloo,2013-10-20T13:01:04,2013-10-20T13:01:04,Yes  another ...,Yes  another evening and I am glued here taking a look at YouTube videos! ROFL My buddy was telling me they were lucky to find someone from this dating site  and so I am trying it out. In one week or two  you will not see me here commenting on dumb videos! If you want﻿ to look it over  this is the site I joined in order to meet somebody. MyLocalDateFinder.co­­m,363,1,leighujeannaq,leighujeannaq,UCFbqnFlrDYHYu-rtXhufMfg
CZvxOzloaN4EZ8SfII9HK2j1A5LKaUCWNf72pWMAlSQ,2013-10-20T12:40:55,2013-10-20T12:40:55,"Knock knock..."  A ...,"Knock knock..."  A wild Heinseberg appears﻿ : "I am the one who knocks !",74,0,Ot11101,Ot11101,UCIwpQsGC3J7nffwR4z7KmeQ
CZvxOzloaN7JkIHgoQHhXllchPQ6yBrMTHC1JYoczyQ,2013-10-20T12:27:29,2013-10-20T12:27:29,170M views? dafuq  ...,170M views? dafuq  for this shit. george carlin deserves views like this not this joke﻿,87,0,lolmrga10,lolmrga10,UC2fgyH2TwcdOTPdzm5Bf62A
CZvxOzloaN7lQOxSljWZ89iB36J0KRbDv15aseBjqtg,2013-10-20T12:08:29,2013-10-20T12:08:29,Love this﻿ so much,Love this﻿ so much,18,0,CleanCutSports,CleanCutSports,UCAntk3AFGc7OBbRUcEU-m_Q
CZvxOzloaN6GdeFx-liCa3tYphRfIgPFhET9UrqT9Ms,2013-10-20T09:55:26,2013-10-20T09:55:26,I agree with Jared ...,I agree with Jared Saffold......this is lame  what is﻿ funny about this?,72,0,vishuscirquel,vishuscirquel,UCj99GM-EGBhHYh9tBhnLPeA
CZvxOzloaN7aCYm2t4Rj00HNW_KtQHcpqN2qr_GjSys,2013-10-20T09:40:27,2013-10-20T09:40:27,it is not HD﻿,it is not HD﻿,13,0,محمد فهد,FwNg4AbXx-Il_IJ9h_gdCQ,UCFwNg4AbXx-Il_IJ9h_gdCQ
CZvxOzloaN5bir5Vj_cIpz5wnO_9UJ7Wh6A3XJEcua4,2013-10-20T05:16:21,2013-10-20T05:16:21,At﻿ this time a ...,At﻿ this time a whole new RIHANNA SEX TAPE  was leeched  I knew this gal is really a genuine whore   Check her movie right here : crazy-celeb-news.eu.pn Its insane,163,0,April Dunlap,nuc09A0qn8kpBReN1EcQYA,UCnuc09A0qn8kpBReN1EcQYA
CZvxOzloaN4NdSbHAc-o_EeFBxmH6BmuUAWeELiR_cI,2013-10-20T04:12:05,2013-10-20T04:12:05,Lol﻿,Lol﻿,4,0,Judy Bruske,SFDH656orr3D2woi18Q3TQ,UCSFDH656orr3D2woi18Q3TQ
CZvxOzloaN7OU8DYq6Dv4vGlXL2CBNf1Lccf-59NIBM,2013-10-20T03:10:55,2013-10-20T03:10:55,B R A S I L﻿,B R A S I L﻿,12,0,Canal DE Games Gabriel,yoXYdA3pMLPWsKcHMkEdCQ,UCyoXYdA3pMLPWsKcHMkEdCQ
CZvxOzloaN5wSbGlLxCox2dri4mriCrODR2UpySzuHU,2013-10-20T02:18:59,2013-10-20T02:18:59,This really isn't﻿ ...,This really isn't﻿ that funny :/,32,0,Jared Saffold,NogiRXlGBw3lQdHFGT0zzQ,UCNogiRXlGBw3lQdHFGT0zzQ
CZvxOzloaN4Lh_lLXK4coKl1Ig9rYXQb8mxlAD8kA5A,2013-10-20T01:39:54,2013-10-20T01:39:54,That﻿ is so funny,That﻿ is so funny,17,0,Sarah Litman,jiY_R4CDY2jCU5HCnWHUfg,UCjiY_R4CDY2jCU5HCnWHUfg
CZvxOzloaN4DMT5don3BupGf0MaGikUEiVu-0J0vDfI,2013-10-19T23:47:22,2013-10-19T23:47:22,Follow me IG @ ...,Follow me IG @tdvicruz﻿,23,0,theswaggedup54,theswaggedup54,UCVQr03J9fiB3OSFWkl9toUQ
CZvxOzloaN712PVcv81jponxQQNZ5JsPXlQqRjbLf2M,2013-10-19T21:03:55,2013-10-19T21:03:55,Fuck you ass hole﻿ ...,Fuck you ass hole﻿  you bicth,29,0,ZACHARIA ALHANOOTI,9i7T1zg3tEF3lPiwm30G7w,UC9i7T1zg3tEF3lPiwm30G7w
