ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
VDfjvURenddu9ZWGf5EKs5tcM3irQyYD9au4lEN1Wrw,2013-10-20T03:43:28,2013-10-20T03:43:28,Prezados pais   ...,Prezados pais  Somos﻿ estudantes do curso de Publicidade e Propaganda e estamos estudando o fenômeno da﻿ Galinha Pintadinha para o nosso trabalho de conclusão de curso. Por gentileza  quem puder  responder a nossa pesquisa mande um e-mail para lopes.ingridy@gmail com Agradecemos demais a todos que puderem ajudar!,314,0,Ingridy Lopes,5nH5T7qb_ZmMdVoF9UVWBw,UC5nH5T7qb_ZmMdVoF9UVWBw
VDfjvURenddxPE8zsEQCER2BYn1jCUud7BnRRgtxNnI,2013-10-19T23:59:10,2013-10-19T23:59:10,hhh mfkmm﻿,hhh mfkmm﻿,10,0,Anderson M,JJkaN67nvxFPFyGwogbPqQ,UCJJkaN67nvxFPFyGwogbPqQ
VDfjvURenddJMdf55tkWzPngbb-3EDj7hO9MCa3N-Kw,2013-10-19T04:22:06,2013-10-19T04:22:06,One of the best ...,One of the best aspects of this video happens right after it begins. I've seen so many YouTube videos today  but I'm getting ready for my second date with this guy I found at a dating web-site. I've finally discovered a dating site that really works! If you'd﻿ like to meet somebody that will treat you right  you must go to the site below and join. MyLocalDateFinder.co­­m,373,1,amieeumonksy,amieeumonksy,UCLdlB4nMyTE_8qU2Rq1DDHw
VDfjvURendeDz2TuHLv82m7yEFNGAQ84QSr29xL7dIw,2013-10-19T00:45:26,2013-10-19T00:45:26,Gostei﻿,Gostei﻿,7,0,eytyane borges,4P988cmYaNGuKn0mFHgIAg,UC4P988cmYaNGuKn0mFHgIAg
VDfjvURendcaYwyWrUb2BfURguAF_BD_H5Rqs1o861c,2013-10-18T23:29:27,2013-10-18T23:29:27,00000k5  K8﻿,00000k5  K8﻿,12,0,Edmar Campos,5CJupEJK-6PWQ4FC1h68jQ,UC5CJupEJK-6PWQ4FC1h68jQ
VDfjvURendeJ9vQso914wxGQNnToYtl6_KNJ79O8k54,2013-10-18T19:22:52,2013-10-18T19:22:52,joinha ﻿,joinha ﻿,8,0,evellyn monike,VU591aJXiaIGrpMuNObjlw,UCVU591aJXiaIGrpMuNObjlw
VDfjvURendeG0gy1QMRWUIEXlotIF0N2gylaeFgy5GY,2013-10-18T11:30:59,2013-10-18T11:30:59,adoroooo﻿,adoroooo﻿,9,0,Isabella Cristina,5nayara,UC2_ZZjBF2lnVKmxadD9SVoA
VDfjvURenddBLEcL6rm44aM4mIp-y0PZweLzjGHm5Vw,2013-10-17T23:02:25,2013-10-17T23:02:25,Nbb﻿,Nbb﻿,4,0,Georges Ribeiro,oS4RYop8rEZG4hyMhNAvYQ,UCoS4RYop8rEZG4hyMhNAvYQ
VDfjvURendfQz91Ui8XthJ6qD0ALpqNk2rAmwBUrVk8,2013-10-17T22:41:02,2013-10-17T22:41:02,8! OI﻿,8! OI﻿,6,0,Thiago Pivoto,thiagopivoto,UCXbPZQLkSYmL6AT_mTjqXFw
VDfjvURendcXgK0IYiJGU8rxoQtllSeNxTcQxN4igvQ,2013-10-17T22:25:25,2013-10-17T22:25:25,Minhaa irmamziinhaa ...,Minhaa irmamziinhaa adoraa a galinha﻿ pintadinha e sua turma,60,0,Willyanne Silva,cI0sMT37uKNQnBTtzWGjhg,UCcI0sMT37uKNQnBTtzWGjhg
VDfjvURenddE2mUKf6IOH0yreTEZ7iiJxppnSoNOnZ0,2013-10-17T15:25:10,2013-10-17T15:25:10,Minha irmã ama a﻿ ...,Minha irmã ama a﻿ Galinha Pintadinha!!!,39,0,Mariana Nascimento,KBgOa70YkVwRlM3Q6oZI-w,UCKBgOa70YkVwRlM3Q6oZI-w
VDfjvURendePYrhNCPuMqr5EFWr6n-mDesLBK16wUIg,2013-10-17T14:18:11,2013-10-17T14:18:11,v nimm.NnNnjnJ- ...,v nimm.NnNnjnJ-iiijU﻿,21,0,alessandraeffgen,alessandraeffgen,UCR5V2VjvWJ9I3fL4R594JGw
VDfjvURendcs_zRQ83QY_NXlcQD7GfAlP9LFKDMV9yE,2013-10-16T21:49:28,2013-10-16T21:49:28,Nnnn.nmm﻿ bv,Nnnn.nmm﻿ bv,12,0,Carla Santos,9wND_-WDy3SIEVSLm3xolw,UC9wND_-WDy3SIEVSLm3xolw
VDfjvURendePlcRI4kv6T7QmppKRtlRZUIyeFgQfSLc,2013-10-16T18:00:52,2013-10-16T18:00:52,Zé﻿ y,Zé﻿ y,5,0,TheMonadelleprimo,TheMonadelleprimo,UCPEcKIaJJUXiZ0gqgmuEQOQ
VDfjvURendfgVMVYWa0k2SHZff2eLnDmZsGZdEBvM3I,2013-10-16T17:23:38,2013-10-16T17:23:38,I love YouTube! ...,I love YouTube! There you go  I said it. I know a lot of you could be thinking the same. I never felt the need to comment on YouTube very﻿ often - especially a comment pertaining to love - but from the time I started dating more  I'm seeing the world in a new light. If you wish to meet someone who could change your life in a positive way  check out this dating site. MyLocalDateFinder.co­­m,392,1,queenrjanesr,queenrjanesr,UCE8Fsyv5S_eqnfruRkWkCEw
VDfjvURenddu-rGYemjbokG6TNBwY2DYXP9Ky4h9uTo,2013-10-16T16:27:12,2013-10-16T16:27:12,quem ta aqui com bb ...,quem ta aqui com bb   mas ta﻿ doido pra entra no face rss ?,59,0,Talitha Simôes,QuqqoWrRpTsr-tzjWocZQQ,UCQuqqoWrRpTsr-tzjWocZQQ
