ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
ywRUamWsvczsZ-GDBIomopJ92eC-pdxIExgV9Eq72vY,2013-10-20T01:15:34,2013-10-20T01:15:34,Quero﻿ 1,Quero﻿ 1,8,0,VITORIA TIFFANY THOMAZINE DE ARRUDA,vsyghC0vzsJ_sO0jMDUf3g,UCvsyghC0vzsJ_sO0jMDUf3g
ywRUamWsvcwQy64QQfso7WviAs-r7teMgvWRCYiRKZs,2013-09-16T14:12:11,2013-09-16T14:12:11,Mas qual é o ios ...,Mas qual é o ios que tem no﻿ ipad,33,0,Jean Ricardo,65cY1xwbdCQDYpretHQhSw,UC65cY1xwbdCQDYpretHQhSw
ywRUamWsvcxLN16AzcbThax_iPcnj9fNdf6R1ThyuA4,2013-09-11T10:39:55,2013-09-11T10:39:55,Muito﻿ bom  muito ...,Muito﻿ bom  muito didático.,27,0,ISC Instituto de Sensibilização Consciencial www.consciencial.org,DaltonRoque,UCFDobTZlUwzU5VJX8dgaZ2A
ywRUamWsvcxQ679TOZPQbLcnUgzZljGSYv8mf7dYwnU,2013-09-11T00:20:28,2013-09-11T00:20:28,muito bom !!!!!!!!! ...,muito bom !!!!!!!!!!!!   ﻿,26,0,Jvv Zicaca,NymM_WPP1ACKuyakiBk4LQ,UCNymM_WPP1ACKuyakiBk4LQ
ywRUamWsvcxsnFSfeoD3IdFXRK1vvd1JiOFMjhEqZpY,2013-09-01T17:34:10,2013-09-01T17:34:10,tem Jogos grátis﻿ ?,tem Jogos grátis﻿ ?,19,0,Lívia Kiffer,z67kz5E57ztxbfGk1dGX7g,UCz67kz5E57ztxbfGk1dGX7g
ywRUamWsvcztHmzEpdqq_KHIZMY3x5en024hrAg2UPE,2013-07-25T03:30:12,2013-07-25T03:30:12,que bom﻿ :),que bom﻿ :),11,0,Hi pessoa Feliz,ANA20118721,UCuEq_JeTPC6R_HZTlX-gTKw
ywRUamWsvcw-747XQAPdKekg8hFp_-NTFmP1z6cGSDw,2013-07-23T02:03:31,2013-07-23T02:03:31,Quem curtir e ...,Quem curtir e compartilhar a fan page da Gearte﻿ Machines no facebook  concorrerá a 2 Ipad 4 64Gb!!!!,101,0,Gearte Bombas,ooN5ZtmoTSRsOnbPLbUp4Q,UCooN5ZtmoTSRsOnbPLbUp4Q
ywRUamWsvczOw9XOh6ZEccf_d5dKZMvfEuTBPfs95v4,2013-07-18T20:07:17,2013-07-18T20:07:17,cara eu tenho  dois ...,cara eu tenho  dois ipad4 um﻿ preto e outro branco  um é do meu irmao e´uito massa o ipad 4,91,0,Matheus Herique,BmTRxjBDi8sFEpGlrw8fNA,UCBmTRxjBDi8sFEpGlrw8fNA
ywRUamWsvczoFew9_MKZZuMazP4tFa1fTdFJkegjklk,2013-07-17T22:23:01,2013-07-17T22:23:01,o microfone fica ...,o microfone fica ali﻿ junto o jumenta eu tmb tenho ipad ;),58,0,Davi MB,davimarczalbarbosa,UCR69bK0GfOd-qmnN_v6syRQ
ywRUamWsvczyxWIJyJAHTmyay7DHus_Lyfnao9KCp7Q,2013-07-14T14:26:56,2013-07-14T14:26:56,lindoo ﻿,lindoo ﻿,8,0,crislayne denize,crislaynedenize,UCWuj2SFyllYSkTtiGo3ieXw
ywRUamWsvcyiJ6zG-sSM6gEDum1KXXNF27jDlLi4jJs,2013-07-13T22:20:22,2013-07-13T22:20:22,Mas é onde﻿ o ...,Mas é onde﻿ o microfone fica ;),31,0,Matthew Apple,TheMatthewapple,UCKORBRIX5luQKWcKhISzz_w
ywRUamWsvcxKR3-_Qg4ZlUhQXaV5dTr6FDW-BqmU0V4,2013-07-10T22:16:10,2013-07-10T22:16:10,Minha escola usa ...,Minha escola usa ipad e﻿ é da UNO! Vlw UNO,42,0,TheFoxAwon,TheFoxAwon,UC0VqDeFIW5v339lF87AMeoQ
ywRUamWsvcwA6gki3eBopoLxT0i6hetx6Gh29dAV6Po,2013-07-06T11:14:12,2013-07-06T11:14:12,E td﻿ a msm coisa ...,E td﻿ a msm coisa so que e mais fina,36,0,Cecilia lima,cecilialimaps,UCtMFIqs1-Hk6iQm1OzQxjNA
ywRUamWsvcxf27FxJCO0Zd_l_0mbJ17kXB8DnHyI2Fg,2013-07-06T11:13:31,2013-07-06T11:13:31,O ipad 4 e a mesma ...,O ipad 4 e a mesma coisa dos outras mais o﻿ encache para carrega e menor,72,0,Cecilia lima,cecilialimaps,UCtMFIqs1-Hk6iQm1OzQxjNA
ywRUamWsvcwps_aQR5d36Ef3jCiS-1KHOiBO_fPi0sI,2013-06-26T01:01:57,2013-06-26T01:01:57,"Todos começaram a ...,"Todos começaram a dançar" sem﻿,31,0,DLLGbr,DLLGbr,UCLprmUhLGoG9l2_sBv0BNog
ywRUamWsvcx32abPNocd_mMgrjflexm567BZZASNgX8,2013-06-21T20:10:23,2013-06-21T20:10:23,gostei muito do ...,gostei muito do ipad 4 se eu tivesse dinheiro eu trocava o meu ipad 2 pelo 4 mais﻿ nem sempre querer é poder que pena :(,120,0,marina oliveira,oZdZCR0OkqVCwpvr9I6BAw,UCoZdZCR0OkqVCwpvr9I6BAw
ywRUamWsvcwFdzEZFIh191yl3ZwChAoO-z0OD6xjzmY,2013-06-19T14:22:08,2013-06-19T14:22:08,/channel/ ...,/channel/UCpX1bvWT_EZLyCIANMkpYOQ﻿,34,1,MyBrunoD2,MyBrunoD2,UCrLGUMQLxwTklCEgXIY5ltQ
ywRUamWsvcxuBtZx54mBeRdUEw1Z-gUfuRCqJ1dQPo0,2013-06-11T03:49:25,2013-06-11T03:49:25,Muito bom  vou ...,Muito bom  vou comprar um  bah esse tablet é o MELHOR do mercado  pelas suas funções e etc  ganha﻿ de qualquer um!!! Apple é Apple não adianta!!!,145,0,Matheus Lima De Vasconcellos,R6a-1USak76FFHqotcUu9g,UCR6a-1USak76FFHqotcUu9g
ywRUamWsvcwbZjCfIaKbjAh02ielDPl37tllRwet9wc,2013-05-31T19:03:11,2013-05-31T19:03:11,fera demais eu vou ...,fera demais eu vou comprar um mal posso esperar !!﻿,51,0,Wellington Cena,chucknorris95673,UCApbJ4fmdPyFdz3vOIq5B9w
