ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
KJF481LCgiv3rr1TKRT2bKauTawtTXO4VxB6lh7u2RY,2013-10-20T16:48:33,2013-10-20T16:48:33,Linda﻿ musica!!!,Linda﻿ musica!!!,16,0,Giovanna Cesar Araujo,SsmletbrZSs_YKScg3vExg,UCSsmletbrZSs_YKScg3vExg
KJF481LCgisYsYBGYIVUD4cA_Ev2WULYKulQISNueHQ,2013-10-20T14:59:15,2013-10-20T14:59:15,este louvor me ...,este louvor me coloca mais﻿ perto de  Deus,42,0,ROSALVO MARQUES,jSReen6k3T2SqTUTcFTIQw,UCjSReen6k3T2SqTUTcFTIQw
KJF481LCgivHDbJ0JRNMBtSZvQYH1XjpgyH9tVy9YBU,2013-10-20T14:30:37,2013-10-20T14:30:37,louvo   que  fais  ...,louvo   que  fais   estremecer  o﻿   ceu,40,0,junior cesar,0VfnbIk6ok1xUhEPMejWPQ,UC0VfnbIk6ok1xUhEPMejWPQ
KJF481LCgitWtg9fQGQeV-jtpl3dXI3hC8KklubFsd0,2013-10-20T14:29:28,2013-10-20T14:29:28,Essa música me﻿ ...,Essa música me﻿ conforta quando estou triste!,45,0,Eduardo Nascimento,vROuxaa-Hkp_IULMQwm-Sw,UCvROuxaa-Hkp_IULMQwm-Sw
KJF481LCgis1z33k8aVW4e_Cl-i9ae78YiK2c9utSxE,2013-10-20T14:23:33,2013-10-20T14:23:33,adorooo essa ...,adorooo essa musicaaaaaa﻿,25,0,Renato Fonseca,AAlxXBZ3S8L9Y7vPxt9IWw,UCAAlxXBZ3S8L9Y7vPxt9IWw
KJF481LCgit5wYaqBKw7Bzp3f4e5UbBLTFkyDO3Gk1U,2013-10-20T13:44:54,2013-10-20T13:44:54,Deus é fiel﻿ eu sei ...,Deus é fiel﻿ eu sei que tu és fiel senhor eu creu em ti,55,0,rafael28576,rafael28576,UCko6dC3PqfUpEQg5kIt7PtA
KJF481LCgivHBFFkFFHJFpH6_PRzq8aUMEYnjt6Ebrw,2013-10-20T13:39:50,2013-10-20T13:39:50,[iminent= ...,[iminent=SIOBt7d79l2]﻿,22,0,ANHANGUERA TABOÃO DA SERRA/SP,v46wVcFtz3FJLKeNg9rbQQ,UCv46wVcFtz3FJLKeNg9rbQQ
KJF481LCgitEnfEOCJsYe8j7vi6ih95N9ikZYPpvnI8,2013-10-20T13:05:10,2013-10-20T13:05:10,linda parabens﻿ que ...,linda parabens﻿ que deus te abensoe,35,0,Renato Fonseca,AAlxXBZ3S8L9Y7vPxt9IWw,UCAAlxXBZ3S8L9Y7vPxt9IWw
KJF481LCgiu_5xm3q8c6f1V6aZT2DI39UHfK9CWuK54,2013-10-20T11:41:42,2013-10-20T11:41:42,linda﻿ mesmo,linda﻿ mesmo,12,0,XDJhonXD Santos,Phoenix55005,UCEvqlWspsOURMnpAHKeTejQ
KJF481LCgivaqxCjeC_S06Av9niTRdIiqdclJSEP9AM,2013-10-20T10:53:10,2013-10-20T10:53:10,linda eu﻿ amo essa ...,linda eu﻿ amo essa msc,22,0,Leonardo Xarope,XBlDEahZQfSzn0-otzhbRw,UCXBlDEahZQfSzn0-otzhbRw
KJF481LCgis8D53iBWA2MEzNkQLN22HhDEhTXGiwuGM,2013-10-20T10:38:36,2013-10-20T10:38:36,bruna karla﻿ q jeus ...,bruna karla﻿ q jeus ti abençoa.....lindo louvores.,50,0,Jonas Farias,jonas01470258,UCCbvkF8UuwjD2kmUpNcjKRw
KJF481LCgiu1e17Ma91_sjAELrQxYslsp2SEmm7AmIk,2013-10-20T10:31:44,2013-10-20T10:31:44,Me Tira Do﻿ Chão .,Me Tira Do﻿ Chão .,18,0,Jeeysiinha Soouza,jesiel3241,UCXXLgs__LSiDHOSINcd981Q
KJF481LCgisndnRPTNJqTBE56A9T3BDQLzM_YC-FlbE,2013-10-20T06:07:14,2013-10-20T06:07:14,Eu gostei muito é ...,Eu gostei muito é lindo﻿,24,0,LEOSIINHOQZL1,LEOSIINHOQZL1,UCAcVsMgpOGVnmIFpejR1U7g
KJF481LCgisbMf-ULiGyjq-tJe7gKFr5zOXXWV94j8U,2013-10-20T01:02:18,2013-10-20T01:02:18,Essa música marcou ...,Essa música marcou minha﻿ vida!!! LINDA S2,42,0,Andressa Lopes,zgijJXVyQrVJ190dP8qLsQ,UCzgijJXVyQrVJ190dP8qLsQ
KJF481LCgivag59vrdnIO2FrWuFmqRZ9lr3GWOQrC3g,2013-10-20T00:24:30,2013-10-20T00:24:30,É maravilhoso ter ...,É maravilhoso ter senhor pra nós﻿ conforta!!!!,46,0,Michelle de pinho,jdRH8weFvH9UOBNUr9BTMA,UCjdRH8weFvH9UOBNUr9BTMA
KJF481LCgisBUA469WeIEshETDpDllKbvKH3JelD4Js,2013-10-19T21:33:18,2013-10-19T21:33:18,Sou humano e não ...,Sou humano e não consigo ser perfeito  vem senhor e me leva﻿ além.Senhor só em ti confio.,89,0,Debora Teodoro,cZf6RoCadZUAvCPfDapW4g,UCcZf6RoCadZUAvCPfDapW4g
KJF481LCgiudhReB86nHg7ZnOHO958XDX_rjDgQrdeI,2013-10-19T21:26:18,2013-10-19T21:26:18,Deus o criador do ...,Deus o criador do mundo. Seus﻿ milagres nao sao para ser desvendados e sim glorificados. Amem! *.*,98,0,Daniel Goncalves Gouveia,4TO41jmbFWYqZLOJqOBsIg,UC4TO41jmbFWYqZLOJqOBsIg
KJF481LCgisNhvWgY24yuuHLcBBHqjlT1nlTaJ4_grQ,2013-10-19T19:35:01,2013-10-19T19:35:01,Deus é maravilhoso ...,Deus é maravilhoso em sua plenitude.﻿ Amo a ti Senhor!,54,0,Daniel Cordovil,CastroCordovil,UCCtjThPCPNDKzv9SKbVlxBw
KJF481LCgivcFYUsXNPn04qgoIBl8zqxttq33Iok_24,2013-10-19T19:27:17,2013-10-19T19:27:17,quando eu adoro o﻿ ...,quando eu adoro o﻿ Senhor Jesus comeste louvor eu agradeço a ele por tantas coisa que fez e tem feito por mim tantos livramentos Senhor a cada dia me dinua mais paraque o Senhor possa crescer em mim.michele,206,0,kaylane alvim,X_2Gt3WkcU3csvNWKb0Y0g,UCX_2Gt3WkcU3csvNWKb0Y0g
KJF481LCgisfIO_meQMiVJDZ4xYVZuNY8_7P3SHcl7c,2013-10-19T12:58:50,2013-10-19T12:58:50,io ﻿,io ﻿,4,0,Sarah Gomes,qMkyflJyKzfcXhuU7KxqMw,UCqMkyflJyKzfcXhuU7KxqMw
KJF481LCgivLHihMnWXkBG6LwhkHfgIn1MAdB219RmE,2013-10-19T12:16:10,2013-10-19T12:16:10,deus te ouvi﻿ e ...,deus te ouvi﻿ e saiba q ele tambem ama vc pq ele e fiellll!!!!amemmm,68,0,marcello rodrigues,4ZEzBy8J1yz1070qEncV_w,UC4ZEzBy8J1yz1070qEncV_w
KJF481LCgit-jROvdEvaXb3UgQg1wHtYFTI7dVEBrO8,2013-10-19T04:23:21,2013-10-19T04:23:21,A vitória vem  ...,A vitória vem  mesmo que pareça que﻿ é o fim' deus é maravilhoso*,65,0,william vargas,NRUX7iqH3Gio8ux61uQx4g,UCNRUX7iqH3Gio8ux61uQx4g
KJF481LCgitmo-rycF-0RaoSIQsuv-hgiijGyK8C0MI,2013-10-19T01:45:24,2013-10-19T01:45:24,Deus e maravilhoso. ...,Deus e maravilhoso....ele sabe de﻿ todas as coisas...,53,0,Nadison Araujo De Oliveira,Flz-SF_ufbfVrP1YUtKHjg,UCFlz-SF_ufbfVrP1YUtKHjg
KJF481LCgivpzZWqE8nVHFXlCAtviszgNAUqHxbJAec,2013-10-19T01:04:28,2013-10-19T01:04:28,lindo serio﻿ ...,lindo serio﻿ araarararararrararr,32,0,regina pacis ferreira Ferreia,bHacviJ7LDoJoTU_5stOTA,UCbHacviJ7LDoJoTU_5stOTA
