ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
YESiWySYCZUXKT3G91T4fU4jW0THXDBCl4TtCluZUwM,2013-10-20T17:34:27,2013-10-20T17:34:27,سمعت انه نزل في﻿ ...,سمعت انه نزل في﻿ اكسترا,23,0,تركي  فيصل,54_8q79Rv1RNmCjtOgJyOQ,UC54_8q79Rv1RNmCjtOgJyOQ
YESiWySYCZUCnby06DqdaABUzlwnlEiNTY8g9w3ZZeo,2013-10-20T17:21:48,2013-10-20T17:21:48,Finally a﻿ guy who ...,Finally a﻿ guy who we don't understand what he's saying knows what an unboxing of the ps4 is.,93,0,Diego Garza,cc1PPuYxUZq9odgKf8Cciw,UCcc1PPuYxUZq9odgKf8Cciw
YESiWySYCZWWmJDzL-1v5AyZEtior7vob0GFvzUFbqQ,2013-10-20T16:39:48,2013-10-20T16:39:48,è bella..ma non﻿ la ...,è bella..ma non﻿ la comprerò :) pc,34,0,ematto90,ematto90,UCqqmgWlDc1_A7w2P5GxQAfQ
YESiWySYCZWwfZlDOxmkNEtVYmGgI4zfzgEk3j7bhpc,2013-10-20T16:34:12,2013-10-20T16:34:12,As an American  I'd ...,As an American  I'd like to apologize for the behavior﻿ of my countrymen. I'm sorry that they are behaving so poorly.,117,0,Gavin Boutdy,zisker1997,UC7ZL1T4K_xaNZk-_SeqSMqw
YESiWySYCZVuuCSkW4XjApV1ISyPvw7J1fO1Nv3QKg8,2013-10-20T16:23:28,2013-10-20T16:23:28,я﻿ уже написал деду ...,я﻿ уже написал деду морозу письмо.я очень хорошо вел себя в этом году.. :-),75,0,Дмитрий Колаванов,OLFE4s-atyt-xDKfEAHOVw,UCOLFE4s-atyt-xDKfEAHOVw
YESiWySYCZU16zcvIQInYgbnDzzx-bcqqDC-2WnwRmQ,2013-10-20T15:17:50,2013-10-20T15:17:50,now I know how to ...,now I know how to say "4" in German﻿,36,0,凱拉特,Kylatw,UCXmfS5whB0JOyDCqtDgcytA
YESiWySYCZUG16Bl716TPiLjwoM8y6qIwLLcZmj6F5A,2013-10-20T14:53:30,2013-10-20T14:53:30,The mono headset ...,The mono headset don't look as cheap and crappy as I thought they would.﻿,73,0,OwtDaftUK,OwtDaftUK,UCqVA-tCjRoE6IYsMX7JBlqw
YESiWySYCZX3QfhlCA_tMB6oOC-TeB16k2pHOFO0GYU,2013-10-20T14:30:22,2013-10-20T14:30:22,u﻿ are dumb,u﻿ are dumb,11,0,MrCSSTheBest,MrCSSTheBest,UCYFLCrgVpNyHECJDhDUakhw
YESiWySYCZXcrdqx405z9sRcHnDXFVnXLAaU_KFFKFw,2013-10-20T14:30:15,2013-10-20T14:30:15,shut﻿ the fuck up ...,shut﻿ the fuck up gay americans,31,0,MrCSSTheBest,MrCSSTheBest,UCYFLCrgVpNyHECJDhDUakhw
YESiWySYCZXlHPlBbVGLTyLRNRr_Ji3Ivptebzn-qN8,2013-10-20T13:47:22,2013-10-20T13:47:22,You could have ...,You could have atleast included subtitles.﻿,43,0,Kemal Kürklü,bananebananebanane,UCewV6Mzm9LfIATmfN6pig3g
