ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
gM5XYWcrD5y0WnJPl-mXtdbi7vAp9S3pW6xPRVFlc_0,2013-10-20T17:12:56,2013-10-20T17:12:56,Hi everyone I'm ...,Hi everyone I'm Precious Ability I'm a 15yr rapper from the UK with MASSIVE dreams <3 I have gained over 28'000 video views BUT I need alot more to be seen I've recently uploaded a NEW remix of Ariana Grande The Way   Psy Gangnam Style  Miley Cyrus wrecking ball  And a Justin Bieber One Time remix not too long ago I﻿ promise you won't regret IT <3  Please thumps up my comment so other people can see :) Thankyou for reading And also if you could SUBSCRIBE that will make my WORLD ;),485,0,PreciousAbilityMusic,PreciousAbilityMusic,UCjFskqHj-NsUEIOZAuoMYpw
gM5XYWcrD5wZnItIF8UefJpkO9Cjx9CB8mDXpv4wEJE,2013-10-20T17:11:15,2013-10-20T17:11:15,i miss this crazy ...,i miss this crazy wigs and outfist﻿ i want that nicki back,58,0,jessy müller,WzjLMqWDJGrkO5rId_CvFg,UCWzjLMqWDJGrkO5rId_CvFg
gM5XYWcrD5zS-dhK-6T6p89KcBDl0976LaQ7RizbTFo,2013-10-20T16:55:53,2013-10-20T16:55:53,Hey everyone I ...,Hey everyone I would really appreciate it if you could please take a minute to read this  it could be life changing for me. I'm Raye  a 16 year old female from England. I am desperately doing everything I can to get noticed to start a career in the music industry as a pop performer/entertainer. I sing  play the piano and guitar. PLEASE just view my videos ﻿ like  comment and subscribe! I am truly grateful to every one of you that reads this to help me pursue my dreams! xx,476,0,Raye Salter,cOBkla13SbcQWw-4IOqkFA,UCcOBkla13SbcQWw-4IOqkFA
gM5XYWcrD5yky5h4w-8yTGiqSzlu9B6R5BDKGwK_sXE,2013-10-20T16:52:09,2013-10-20T16:52:09,Love this﻿ song,Love this﻿ song,15,0,sameer khot,FMiUpEEXZz2l9UWlfTXdoQ,UCFMiUpEEXZz2l9UWlfTXdoQ
gM5XYWcrD5y1hABa7vnacgbFUSQSIp6ePtVl9mXndc8,2013-10-20T16:49:35,2013-10-20T16:49:35,Good﻿,Good﻿,5,0,Thejhonathanpg,Thejhonathanpg,UCj6-f-aQrUAFVGvOlaFQMFQ
gM5XYWcrD5wsKWS1a_5WxXxr6N6hV_XvsH-e-3cTUTw,2013-10-20T16:23:16,2013-10-20T16:23:16,thats because they﻿ ...,thats because they﻿ asked her if she had ps on her face not butt nor boobs thats why she answered 'I have never had a surgery on my face" and before she was famous she was a waitress so how could a waitress aford to have boob and butt job thats just bullshit,258,0,1diaries,1diaries,UCsE_KqzlgjnHlavcWZGCDSw
gM5XYWcrD5yONN00ZV37H2TZtbQasAdrmqKZmbrK9yI,2013-10-20T16:20:16,2013-10-20T16:20:16,i agree with you ...,i agree with you people shouldnt hate i hate when﻿ people hate does that make me a hater?,89,0,Kimoya Cameron,darknessgirl009,UCTeYGWsUXmmHumuvFQDChcg
gM5XYWcrD5yGXgrpCVSSi3phNdB7u5h1jxf74R24AtE,2013-10-20T16:13:15,2013-10-20T16:13:15,yhuu can't jus also ...,yhuu can't jus also an wig on girls and assume yall﻿ going to jus b twins  :-P,78,0,Tomya Shortridge,rZrCo-GzLHm3OO3Y02HyCw,UCrZrCo-GzLHm3OO3Y02HyCw
gM5XYWcrD5yKFWUfIc2Cgz3vCOF-ETUB9MqGf9ILizk,2013-10-20T16:09:57,2013-10-20T16:09:57,i am 7 and i can ...,i am 7 and i can sing this :P true﻿ story.,42,0,Hannah Turner,0gKSeqwV8e8Twc4Sk-OWrA,UC0gKSeqwV8e8Twc4Sk-OWrA
gM5XYWcrD5w27HUMzYdnlvpN73VcbQNmpa2VVv90LvQ,2013-10-20T15:38:04,2013-10-20T15:38:04,I can't believe it ...,I can't believe it   Rihanna did it again A fresh sex tape with her have been leeched currently If you﻿ need to view her fucking go to : daily-celebrity-gossip.me.pn It's totally free 100%,188,0,Tin RIngles,AwL-dju9I3lB70wmy1QTgA,UCAwL-dju9I3lB70wmy1QTgA
gM5XYWcrD5y3N6UYv-QeHl_kNtnYyjaAgav6y_jNpJQ,2013-10-20T14:36:54,2013-10-20T14:36:54,Recommend:  Apple ...,Recommend:  Apple iPhone 5 (Latest Model) - 32GB - Black Unlocked NEW Price:$385  Samsung Galaxy S4 S IV 4﻿ with 16GB New White Price:$360  Apple iPad 4th Gen 32GB Unlocked Wi-Fi+4G 9.7in White Price:$390  LED 3D HDTV: Panasonic 65-inch Price: $460  Apple MacBook Pro 13-inch: 2.5GHz Intel Core i5 4GB/500GB Price:$430  All-in-One PCs: Apple MacBook Air Price:$320  Canon EOS 60D Digital SLR Camera 50mm 18-55mm Price:$360  ******************    Purchase online Website is:  Gaeee.com,484,1,liu Andy,rwVWJXmH2_1bJCdA-cGfzA,UCrwVWJXmH2_1bJCdA-cGfzA
gM5XYWcrD5wrGYsWUEG1D9QppgV6hhh0-xa07zf1O58,2013-10-20T14:27:08,2013-10-20T14:27:08,At this time a ...,At this time a hacker leeched a whole new fuck video﻿ with the bitch Rihanna Enjoy the entire thing here : crazy-celeb-news.me.pn hahahha this particular girl is really dumb,173,0,Mcmillion Chiaramonte,dURAq-hi71IZQAawCvrN5g,UCdURAq-hi71IZQAawCvrN5g
gM5XYWcrD5xw03aib6A-I6401nZ5bGgRfZCVcpWzcKg,2013-10-20T14:24:14,2013-10-20T14:24:14,I can't believe ...,I can't believe this I just now viewed a new sex video clip with﻿ rihanna The girl was fucking a black NBA player  View her video here if you want:   crazy-celeb-news.me.pn,172,0,Juarez Ounfee,EkHEzIswHQYcr7Qw70lGDg,UCEkHEzIswHQYcr7Qw70lGDg
gM5XYWcrD5zRAaWWA62u-2afU1IG56RCeREMfyE_-LM,2013-10-20T14:21:00,2013-10-20T14:21:00,very﻿ nice videos G ...,very﻿ nice videos G O O D♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥  D E N♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥ C♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥ E♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥ S U P﻿ E R  S O N G LOVE ♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥,206,0,Ilia Trubek,4i9uigD9kea4-5f_yHa5mg,UC4i9uigD9kea4-5f_yHa5mg
gM5XYWcrD5yHmZSYQQFXaV4T2x4iMarYCuK6jfYJAuo,2013-10-20T14:19:25,2013-10-20T14:19:25,most men dont just ...,most men dont just like a girl because of that... like me i dont even like it when they are that big just give﻿ me a nice looking  kind and faboulous girl,154,0,Julian Velding,TheUltimateTrollerHD,UCVj7Az1cu7gJhqq5wCDGfWw
gM5XYWcrD5x3Jgc63DscsaL26S7_woRjbYOWZNykilM,2013-10-20T14:16:58,2013-10-20T14:16:58,That is﻿ bullshit  ...,That is﻿ bullshit  she herself said more or less when she was asked if she has has an authentic ass or if she has had a nose job  "I have never had a surgery on my face"  nothing more. And there is a shit ton of proof that she has butt implants.,245,0,Kalapallo,koulukakara,UC6yRzHCgR_6dtX7ZETC3wFw
gM5XYWcrD5xxYgb5htIj70buO0c0fs1qhmxzN0tdz3E,2013-10-20T14:10:55,2013-10-20T14:10:55,People love to STOP ...,People love to STOP people making it but CONGRATULATE when they get there. If you not one of those﻿ support this upcoming Artist  Jordan Henderson and his song 'MIDAS TOUCH'        watch?v=NAVoNLecofw,200,1,webethebestforever56,webethebestforever56,UCNlKbcB1YMjAaPxrHLc9Hkw
