ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
Sl667r0CeDT3HVoc5Sp44Zp6An14fUgbXsKUvKZ2qG4,2013-09-29T16:37:00,2013-09-29T16:37:00,WHO﻿ IS THE ...,WHO﻿ IS THE HAPPIESS MAN IN THE WORLD? HIS NAME IS MATTHIEU RICARD,66,0,John Okeefe,bW-NeBuh1Z1E37uJOSD_NA,UCbW-NeBuh1Z1E37uJOSD_NA
Sl667r0CeDTT-JfPxPeuioS4A_C5SATQhuJT2xouRlI,2013-09-25T07:04:24,2013-09-25T07:04:24,/watch?v= ...,/watch?v=dbumY50jd2Y﻿,21,1,azrielstar1,azrielstar1,UCfhrFEDU1Rc-VW2I2kBE6jw
Sl667r0CeDRh9vmxEKMBTgIY8KB6olmmp4wwqKw9U_M,2013-09-24T15:33:33,2013-09-24T15:33:33,CHECK partyman318 ...,CHECK partyman318 FOR GOOD TUNEZ TO!! ENJOY!! I IN﻿ BLACK﻿ SHADES!!,67,0,Tim Marrotte,9PVi0gMVO6Ay5mtcH0cnHA,UC9PVi0gMVO6Ay5mtcH0cnHA
Sl667r0CeDSBAf9_J0VLlqHVT_SvVZvrqA0leafF2Tk,2013-09-24T15:33:13,2013-09-24T15:33:13,CHECK partyman318 ...,CHECK partyman318 FOR GOOD﻿ TUNEZ TO!! ENJOY!! I IN﻿ BLACK SHADES!!,67,0,Tim Marrotte,9PVi0gMVO6Ay5mtcH0cnHA,UC9PVi0gMVO6Ay5mtcH0cnHA
Sl667r0CeDRtoOb51govn0LYvCBiu6l07YCZt5v1pgg,2013-09-22T14:21:35,2013-09-22T14:21:35,HI! WHERE IS ...,HI! WHERE IS MATTHIEU RICARD﻿ THE HAPPIEST PERSON ALL OVER THE WORLD?,69,0,Ginette Dubois,QDJwFbZfrLE_ENLz1Ku7Fw,UCQDJwFbZfrLE_ENLz1Ku7Fw
Sl667r0CeDQyJfH12RHF3lcuLkBBPYtQPxy-ZULvKow,2013-08-26T14:16:57,2013-08-26T14:16:57,Website: ...,Website: daibio.com.vn Le Khanh Family with Prof. Aca. Sci. Dr. Dai Duy Ban and MSc. Le Khanh Linh are the founders of DAIBIO Traditional Medicine Great Family Clinic Company to effectively treat as (HIV  Cancer  Lung  Heart  Men/Women Health  Dunchene  Dermatogis  ENT  Nervous  Respiratory  Urinary  Circulatory  Infectious  Digestive Systems) to develop DAIBIO for over 300 years. Add:  38  Ngo Thai Thinh 1  Hanoi  Vietnam Tel: 84 04 62754799 Fax: 84 04 62754729 Health Contact: 84 0982207805 ﻿,498,1,Ngoc Bich Tran Thi,xOn7Wagyapkw33M1bel7YQ,UCxOn7Wagyapkw33M1bel7YQ
Sl667r0CeDRI1krY2_GefUHaJ7d-rPtwDq_HzO2BZlE,2013-08-26T14:15:11,2013-08-26T14:15:11,Website: ...,Website: daibio.com.vn Le Khanh Family with Prof. Aca. Sci. Dr. Dai Duy Ban and MSc. Le Khanh Linh are the founders of DAIBIO Traditional Medicine Great Family Clinic Company to effectively treat as (HIV  Cancer  Lung  Heart  Men/Women Health  Dunchene  Dermatogis  ENT  Nervous  Respiratory  Urinary  Circulatory  Infectious  Digestive Systems) to develop DAIBIO for over 300 years. Add:  38  Ngo Thai Thinh 1  Hanoi ﻿ Vietnam Tel: 84 04 62754799 Fax: 84 04 62754729 Health Contact: 84 0982207805,497,1,Ngoc Bich Tran Thi,xOn7Wagyapkw33M1bel7YQ,UCxOn7Wagyapkw33M1bel7YQ
Sl667r0CeDSGvDyWmFkm5tfJLJB69x_437cE7EaS6WI,2013-05-30T18:05:54,2013-05-30T18:05:54,...﻿,...﻿,4,0,Waffleischeezey,WaffleIsCheezey,UClK4OWgQaMZyYMu7QgtlRTQ
Sl667r0CeDSqURXjamOG4UxfhihpjP64bL0T3wLx0w4,2013-05-15T13:00:58,2013-05-15T13:00:58,It is located﻿ 2 ...,It is located﻿ 2 kilometers from the riv. MADELEIN,50,0,laroccoysalinai,laroccoysalinai,UC70fTqxj3rxgwofeWU6klRg
Sl667r0CeDTA0k4wMp3NDnJfv5eJ2jIiz8XiHGJGZ7o,2013-05-15T07:57:05,2013-05-15T07:57:05,The man arrived﻿ a ...,The man arrived﻿ a cheap coating. CAMILLE,41,0,hartzellycharlinek,hartzellycharlinek,UC01ew_1aca9OVzI5UJk8Vyg
