ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
X4ZYZ9rUfCirE4fVnnGqHW_IE-cDIitdLuSIkBeWfJU,2013-10-19T00:11:34,2013-10-19T00:11:34,Voce faz força pra ...,Voce faz força pra peidar?﻿,27,0,JuniorBird13,JuniorBird13,UCXCYH_EZjP1TXkSMIobHNFA
X4ZYZ9rUfCie1V8mAH-ZpR0JLKQ8JUgGGIqwht_BfXM,2013-10-18T17:49:35,2013-10-18T17:49:35,Stella vc﻿ n vai﻿ ...,Stella vc﻿ n vai﻿ fazer o comparativo entre o Moto X e o Nexus 4?,65,0,Arthur Rodriguez,ArthurRodriguezVevo,UCKZ5fk3zJtBdk7aaSjnDGkw
X4ZYZ9rUfChMFntyx3-VFQqYK1jFU6NlWa7cDemX5yw,2013-10-18T01:44:24,2013-10-18T01:44:24,Amo seus vídeos a ...,Amo seus vídeos a equipe aí﻿ ta d parabéns !......,50,0,Luiz Fernando,h7hgWtzAOhx_Bu9N9sFOuA,UCh7hgWtzAOhx_Bu9N9sFOuA
X4ZYZ9rUfChN7Vhz1UV-5LDIMhFdcEkdl4TA4NIqEaI,2013-10-17T15:29:34,2013-10-17T15:29:34,Note﻿ 3 que é bom ...,Note﻿ 3 que é bom nada.......,29,0,Gabriel Figueiredo,gabrielcosta748,UCi9PvEc_28GuMKIsaPbeWuw
X4ZYZ9rUfCg0OBJT8H4SsDSh5-6JMGU8HJI2cLxxLSI,2013-10-16T19:15:48,2013-10-16T19:15:48,Adoro seus videos ...,Adoro seus videos stella espero que vc continue sempre﻿ assim trazendo sempre coisas novas para gente :-),105,0,gustavo silva,tVT-41jRVuAcnR6gHbouMg,UCtVT-41jRVuAcnR6gHbouMg
X4ZYZ9rUfCiBa6RxkOoneoi6vTAjL6eRbm68x89KgSM,2013-10-16T18:48:31,2013-10-16T18:48:31,A grande diferença ...,A grande diferença dessa quarta geração﻿ do iPad tá aqui no coração! Tum Tum Entendeu?,86,0,Cássio Rabelo,opv7bh1fiPU63mWIdzVFQw,UCopv7bh1fiPU63mWIdzVFQw
X4ZYZ9rUfCiyiVPbXCAoi6ZdkeNQ2TWNtEfa7TWfCEg,2013-10-16T17:35:05,2013-10-16T17:35:05,tablet n se precisa ...,tablet n se precisa  se quer... é﻿ uma coisa supérflua...,57,0,Álvaro Riva,Gary9200,UC7WN8EbACnrs6SADUyshJ9A
X4ZYZ9rUfCj-Z-Tk_M8ObUC6jyrU-kGxLAMS8djDeOc,2013-10-16T11:43:04,2013-10-16T11:43:04,Desde quando a ...,Desde quando a retina display é coisa nova no iPad?! A terceira geração já tinha isso... não é um recurso da quarta geração. -_-﻿,129,0,lucasoblivion,lucasoblivion,UCTk1IMYCnUU-JzvjgkrYfUQ
X4ZYZ9rUfCjRJDQm2ht7bh9pAGqc3wRsY-DrtiaAIGY,2013-10-16T04:36:44,2013-10-16T04:36:44,Google.﻿,Google.﻿,8,0,Guilherme Mesquita,Guiimesquita5,UCTLIMgO8UYJuw-F8IaVJ5cw
X4ZYZ9rUfCi70ZcSCesMUJzK2SBCjinEmml6df90WE8,2013-10-15T17:47:01,2013-10-15T17:47:01,O nexus 10 nao e﻿ ...,O nexus 10 nao e﻿ da Asus  e da Samsung,39,0,Andre Luiz,andreluiz2k,UC8j3oLMZIi3l0hcDKK9wd6A
X4ZYZ9rUfChP65SE7TRnqqKtEm0KLERBIOYAtCDSU1U,2013-10-15T12:33:43,2013-10-15T12:33:43,Aff  se você não ...,Aff  se você não precisa de um tablete  tem gente﻿ que precisa; o tablete (o corretor ortográfico não me deixa escrever certo) serve para muitas coisas como ler  jogar  estudar  mexer na internet sem ser em casa  etc.,217,0,Addison Fischer Borges,-tLOdoCHi-XlwJTWsCBfJg,UC-tLOdoCHi-XlwJTWsCBfJg
X4ZYZ9rUfChAn_ho4N3xjOPLrlH5T3GZNQ2cHfHhdJ4,2013-10-14T22:33:42,2013-10-14T22:33:42,leon e feromonas no ...,leon e feromonas no top do﻿ youtube 16:10,41,0,lincoln silva,vj4x5tlDHH7PF_NArNicMA,UCvj4x5tlDHH7PF_NArNicMA
X4ZYZ9rUfCgcyYR0inXMs31vHUob-atjg-axpKnZxCc,2013-10-14T11:39:21,2013-10-14T11:39:21,Uma coisa simples ...,Uma coisa simples que é o áudio stereo não tem Caraca melhor o﻿ nexus 7 2° geração,82,0,Rawyn perceu de melo lima,perceurawyn,UC7H81KtwcAwyYaoiJDdDzCg
X4ZYZ9rUfCjKcOoo5Jz48L-HOfU6xj8WgwmE-OaQ4UQ,2013-10-14T01:44:16,2013-10-14T01:44:16,Por Favor façam uma ...,Por Favor façam uma resenha do Lg Optimus L5﻿,45,0,Gabriel Oliveira,-xU6weXjdcK0-vyvbMb3rQ,UC-xU6weXjdcK0-vyvbMb3rQ
X4ZYZ9rUfCin5zR0A4WR-QEhNvbVe82Devak3r5vFrc,2013-10-13T20:12:11,2013-10-13T20:12:11,Faz resenha xperia﻿ ...,Faz resenha xperia﻿ z ultra,27,0,gabriel do carmo Lopes,2WLY8WEUC5JZ1VtRVlZXXQ,UC2WLY8WEUC5JZ1VtRVlZXXQ
X4ZYZ9rUfCjpXHlqQPMLn4HCLc8IU_3cq8CYE76RrLQ,2013-10-13T16:28:48,2013-10-13T16:28:48,Vocês podem fazer a ...,Vocês podem fazer a resenha do﻿ samsung galaxy mega ?,53,0,Pedro Lucas,m9yq3vhq73wKQwXSy3BI6g,UCm9yq3vhq73wKQwXSy3BI6g
X4ZYZ9rUfCjsine-0ewaqI87zffIgW8rlpKHz7fz3DM,2013-10-13T04:35:00,2013-10-13T04:35:00,iPad com certeza ...,iPad com certeza pra quem estuda iPad e﻿ o melhor ainda mais o mais bonito,74,0,Frederico Castanha,z8x7PrV41sx1LE0B_d8GpA,UCz8x7PrV41sx1LE0B_d8GpA
X4ZYZ9rUfCioBtsFIgxRoL7JJs3fdpkzNTLfWznj2n8,2013-10-13T04:33:47,2013-10-13T04:33:47,Junior Laurentino ...,Junior Laurentino com certeza o iPad tenho o quatro e e incrível não trava não engasga perfeito﻿  ipad vai na minha muito melhor iPad iPad iPad sem dúvidas ainda mais com a App Store,182,0,Frederico Castanha,z8x7PrV41sx1LE0B_d8GpA,UCz8x7PrV41sx1LE0B_d8GpA
X4ZYZ9rUfCiIyxARG1b1zfET6hiAR8WZhDXrsERMSwk,2013-10-13T02:36:41,2013-10-13T02:36:41,Qual utilidade real ...,Qual utilidade real de um iPad ﻿ Galaxy Tab? Status?,52,0,Maicol Vieira,8krnTq3wvYEOczfZYqhc8g,UC8krnTq3wvYEOczfZYqhc8g
X4ZYZ9rUfChDWcXrDeuID7DGamBKcynKCKbzt13bKO8,2013-10-12T20:38:50,2013-10-12T20:38:50,Esse iPad é de ...,Esse iPad é de 2012﻿ '-',24,0,André Lucas,almeida0000,UCa_BhKjguiHInFEWYvLn26g
X4ZYZ9rUfCiRGokx0Obz0k6coTN6-IFu_slKqwCGxfI,2013-10-12T18:38:42,2013-10-12T18:38:42,entre ele e note ...,entre ele e note 10.1  qual é o melhor pra vc estudar  ler e fazer trabalos por ele? e com relaçao ao hardware  a tela e as opçoes de aplicativos﻿ desponives. qual vc me indicaria eu estudo ennharia e qual seria mas ultilpra mim?,229,0,Júnior Laurentino,Jlsjun,UCuWtnMHlAWZExFa26wmp63w
X4ZYZ9rUfChnrhnVJlsz0ukNLLI_vXHyt9KRFRY_0jU,2013-10-12T16:12:11,2013-10-12T16:12:11,Olá Galera do ...,Olá Galera do Youtube  tudo bem? Nós somos o canal ZERANDO A VIDA! Nosso canal produz conteúdo completamente fora da caixinha  e pedimos por GENTILEZA  que vocês deem uma olhadinha aqui  clicando no meu nome  e avaliando o nosso canal! TECNOLOGIA  GAMEPLAYS  VLOGS E AVENTURAS URBANAS! Espero que gostem  e nos desculpem pela publicidade  o Youtube não nos ajuda﻿ a divulgar  e espero que entendam  e GOSTEM! Inscrevam-se lá no nosso canal e deixem um GOSTEI nos vídeos! MUITO OBRIGADO! :D,489,0,CanalZerandoaVida,CanalZerandoaVida,UCsu8k5CJ8AjFsc9h8fQtHRA
X4ZYZ9rUfCh1siNuUk0Irdjqei61O18OKlu-n4vVP8c,2013-10-11T22:17:38,2013-10-11T22:17:38,Note﻿ ... :D,Note﻿ ... :D,12,0,Victor Lima,745victor,UC6PRXab0BY8k1XmvUs-NOAw
X4ZYZ9rUfCh3rTlWz5cXj9YmqmNQH_nVIOnihKntPhU,2013-10-11T19:29:40,2013-10-11T19:29:40,testei e﻿ aprovei !,testei e﻿ aprovei !,19,0,LuisGusttavo A.,AfaNmLMdzNYk37IvFE_LMQ,UCAfaNmLMdzNYk37IvFE_LMQ
X4ZYZ9rUfChBK5UN1RuFNK9dpeO2mAVp91eGhfVLj_4,2013-10-11T16:38:33,2013-10-11T16:38:33,O Ipad 4 não vem ...,O Ipad 4 não vem com Fones. Nenhum.﻿,36,0,Diego Patrick,diegofonseca1985,UCVDxW0fbfFYf9D2tWd89TrQ
X4ZYZ9rUfCjatNunxPmdVs2DvXXkPyFkLjHv5SOrq3U,2013-10-10T22:15:16,2013-10-10T22:15:16,Faz﻿ um review do 5S,Faz﻿ um review do 5S,20,0,Arthur Martins,6TvSpnHp2koTOC2pw9nmaA,UC6TvSpnHp2koTOC2pw9nmaA
X4ZYZ9rUfCi_Q1BJ3UcoT_Rp7Dd45Mxxr_UKKBJI-Eg,2013-10-10T00:19:56,2013-10-10T00:19:56,e o iphone 5 s e 5c ...,e o iphone 5 s e 5c quando﻿ virao..,35,0,vinicius oliveira,wZTrDIz3oKUDFUUJ5oP7Sg,UCwZTrDIz3oKUDFUUJ5oP7Sg
X4ZYZ9rUfChgNQ9h5KT2SYzMr-3n289xwRznK-6oUeg,2013-10-09T01:26:48,2013-10-09T01:26:48,galaxy note 10.1 vs ...,galaxy note 10.1 vs iPad4 que é﻿ melhor ???,43,0,Heric Matos,HericML,UC5Vy18pJwPf5ApWwLa6zqhA
X4ZYZ9rUfChflp4i9A-2sCOwhfL2SwRiS3-87maa2jU,2013-10-09T00:54:26,2013-10-09T00:54:26,iPad﻿ nem vem com ...,iPad﻿ nem vem com Earpods. Só carregador e cabo.,48,0,Lucas Marques,kOWKUC4_QVIBHH_puL5chw,UCkOWKUC4_QVIBHH_puL5chw
X4ZYZ9rUfCh7XiP7aQgmGQc70dVxiYfX2gTs8GGPcoQ,2013-10-09T00:54:04,2013-10-09T00:54:04,Stella é iPad 2012! ...,Stella é iPad 2012! O 2013﻿ nem foi lançado!,44,0,Lucas Marques,kOWKUC4_QVIBHH_puL5chw,UCkOWKUC4_QVIBHH_puL5chw
X4ZYZ9rUfCjwEa519OSQb3eRlJ12xq7VpbzaF_uDZGc,2013-10-08T17:45:56,2013-10-08T17:45:56,Os fones do ipad 4 ...,Os fones do ipad 4 são﻿ os earpods,34,0,Gustavo Henrique,rITG1fIu8jxI-nNeFfESKg,UCrITG1fIu8jxI-nNeFfESKg
X4ZYZ9rUfChbAbGNQqu4YX9HzC_3lhmTa4LuJE3Enm0,2013-10-08T12:26:37,2013-10-08T12:26:37,Adoro seu Trabalho! ...,Adoro seu Trabalho! ﻿,21,0,Giovana Souza Brito,gabriela56866zika,UC23fr_7JYoKOdiiORkCor7w
X4ZYZ9rUfCj8LZyyXw7C4W4yUR6aNRYM0kjtRtBrN2s,2013-10-08T12:26:07,2013-10-08T12:26:07,ate o Natal﻿ Por ...,ate o Natal﻿ Por favoor ! *-*,29,0,Giovana Souza Brito,gabriela56866zika,UC23fr_7JYoKOdiiORkCor7w
X4ZYZ9rUfCgjMsYAtmPVSvx26CaA2DQxtgGudtK5qRg,2013-10-08T09:44:58,2013-10-08T09:44:58,parabens sempre ...,parabens sempre assisto o seu cana   consegue fazer uma dos Modelos da nova BLU .﻿ marca que esta sendo muito divulgada... obrigado .,133,0,Marco Heckert,rTeR41IXTJqs4sorpIM1gg,UCrTeR41IXTJqs4sorpIM1gg
X4ZYZ9rUfCi78umqXkfjd1SCM4GEjmcGmdiKqMq0AOk,2013-10-08T05:45:21,2013-10-08T05:45:21,Muito legal as﻿ ...,Muito legal as﻿ informações. Você esta mascando goma no vídeo?,62,0,rodrigo veiga,paraisoveiga,UCu9FQ89YHD3h-Luz2xXBv5Q
X4ZYZ9rUfCjUUiXzNm_NkcifEY80xQAm4q51dGcwVgs,2013-10-08T02:27:00,2013-10-08T02:27:00,Ela deveria ...,Ela deveria atualizar pro IOS7﻿ e fazer um novo review,54,0,Augusto Ferreira,gstfrr2,UC13-lVyRdl3yo1x5OsmL7Kw
