ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
fv3p7g022b4ixIyaPbRlfe79XmcB5nGdju6LvdVfIpQ,2013-10-20T16:55:23,2013-10-20T16:55:23,Busta Rhymes - ...,Busta Rhymes - Look﻿ At Me Now ft. Chris Brown  Lil Wayne,57,0,Flying Spaghetti Monster,LX8lHnH33MED8d9I6T_URA,UCLX8lHnH33MED8d9I6T_URA
fv3p7g022b73fn81J48lm_jVnv1TtlNESxQ7xli4M2c,2013-10-20T16:48:23,2013-10-20T16:48:23,i﻿ think i know ...,i﻿ think i know what busta is trying to say he is saying: cxdedtvfcr45tfvcew3tdfvb cfdtrwegjbcfrdtyudrythbgsrtfyvgfhtrdtykfhtydrsdjyrfdkyuhftydeyksxdtfryugfydwxfyduxgsxgysftysetrdftdr56tyftyftyreu5t5d4uuvtfuyvtf5ygltcfvfrtvuytdftstrd/. ;;p[',241,0,Whitedudeful,Whitedudeful,UCnOrcrrdsrwCYBUmySHFVKA
fv3p7g022b6KiWWVqdvii8DN5L_3OnaYM0oX1tZNuqQ,2013-10-20T16:40:47,2013-10-20T16:40:47,2pac. Rap﻿ Is Pac.,2pac. Rap﻿ Is Pac.,18,0,Pauly Chase,Dodyx995,UCcC23opd-_MyKpsGMobhjvA
fv3p7g022b5ENXOecI6J20yXWJn-bMk4Iv0ZlUj3pR4,2013-10-20T16:40:05,2013-10-20T16:40:05,Rap Verses are ...,Rap Verses are powerful by Content  lyricism  attitude  flow. godaym. y'all never heard of Twista?....no? that's right. but Twista done broke guiness record though. Rapping fast doesn't make you a rap god. (Busta ain't known for rapping fast  he drops severe bars  Just like Pac wasn't a lyricist but drop﻿ bombs & metaphors w/ passion; content of character),358,0,DimeFx,Dimo8220,UChLIW_-eCp26skKL2sgmB1g
fv3p7g022b7Jsy8sCyy04fYmw1ShxUrIuuxQMisRPG4,2013-10-20T16:38:09,2013-10-20T16:38:09,now your move﻿ ...,now your move﻿ Busta Rhymes.,28,0,Geovani Laskar,geovanilaskar,UC-PDnjUh_Sbj1knH2pFXNdw
fv3p7g022b4jDCCpg9Vdd6byQIYNueKPx0tktXknYvY,2013-10-20T16:24:31,2013-10-20T16:24:31,Maybe no one will ...,Maybe no one will read this. But   PLEASE TYPE IN "Taj Mack" i'm a rapper with a dream. I know there's like 200k of those﻿ in this world but please check out my music and subscribe if you want thanks I would love nothing more than to have a decent following on youtube from people if anyone reading this could give it a "THUMBS UP" other people will see it just a simple button press.. could make my dream come true..Thanx  ..God..Bless..You..,443,0,tmack796,tmack796,UCYnkh6ZPaWAYPDhoetp8Qgg
fv3p7g022b6eHr5-pS0zhRLShs8Vb4bNKHI1VsHRdbA,2013-10-20T16:07:07,2013-10-20T16:07:07,1:57 his eyes ...,1:57 his eyes hahahahaha﻿,25,0,Mo Aq,S4vqIK95T_KRfaBZ9Kwx4Q,UCS4vqIK95T_KRfaBZ9Kwx4Q
fv3p7g022b6sE8XuBDTsxgQiMTkLbdzNcRoerfzUOzo,2013-10-20T16:04:41,2013-10-20T16:04:41,Fuck pac this is﻿ ...,Fuck pac this is﻿ better,24,0,daniel sanchez,danielloco9458,UCp-GrecfH2rTiK7I8BqJwZg
fv3p7g022b5lXV1jd1RlqBOZjw7r7Hr4yVEwZIAgVXs,2013-10-20T15:58:20,2013-10-20T15:58:20,Currently a New ...,Currently a New RIHANNA SEX TAPE  had been leeched  I was confident﻿ this particular young lady is a true bitch   Check her video clip here : celebrity-news-daily.eu.pn It's mad,177,0,Geiger Saulsberry,mqsmcVEz5P0RBa3eo59QWQ,UCmqsmcVEz5P0RBa3eo59QWQ
fv3p7g022b6vueaKC8KiCnLplpbGAN-54-3B4srxHKE,2013-10-20T15:39:14,2013-10-20T15:39:14,Songs﻿ Amazing,Songs﻿ Amazing,14,0,AmericanGoldPlays MC,-Zex0IatnydYkJgwiOlSWg,UC-Zex0IatnydYkJgwiOlSWg
fv3p7g022b7Jo21bqkI_F3j5h_KdJDNVu45TS7og40E,2013-10-20T15:29:43,2013-10-20T15:29:43,1:39 ...,1:39 fvgjdfshiaspgfudshgufhgudfhgvudifbvibvifrdsvibfiubgviufbdviubdfbgerifvsiubgfdigudgwdfddfsfduasfueufcgbsyufgvyugtfyugfiushgisdugibsgbiasogdsiudrsvnhgadsodhfghosipoertsfasgavschsfhcvahjavfkjvcwhjrkcgfvgfycegfcgsfudsfagdsfijbdsgibfhhhhascbibgfuavbuofbvsubgvfashgvcyufasgvyuvabfuwegfdksg ﻿,290,0,Levon Movsisyan,hamo010672,UCmUpqZv0lzXzLbIqJ1o69fw
