ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
Oby7NvVBYewVh3Cdo1TPVxwi3-kYHtEkrOARfub201o,2013-10-20T17:27:31,2013-10-20T17:27:31,dont﻿ you know? the ...,dont﻿ you know? the goverment helps them,40,0,S4LHD,S4LHD,UCn_IqJGQJZALNDRjXdAoJ2Q
Oby7NvVBYeyCWynTD3i8B4td0A1W_TBtdaiMothMbUY,2013-10-20T16:42:03,2013-10-20T16:42:03,Hello friends  how ...,Hello friends  how are you?!  ----->OMG  few hours ago a NEW SEXTAPE of Rihanna (+18) that shows her getting naked for a billionaire was leaked on the internet!!! Watch it now FREE at this address  -->> CelebritySexTape.info !!! This is GREAT  Hurry up and watch Rihanna's pussy before they take it down! The only site where you can﻿ find the SEXTAPE -->> CelebritySexTape.info,377,0,Riri Rihanna,sCaFIhjKuJ3e4QlFeTnK9g,UCsCaFIhjKuJ3e4QlFeTnK9g
Oby7NvVBYexmSFD38WBhJGr5HpH6qGyjwxhhtjPzFdo,2013-10-20T16:28:58,2013-10-20T16:28:58,Ami no﻿ me parese ...,Ami no﻿ me parese nada,22,0,juan carlos garcias guzman,pelondejo,UCzOwJfKv1p-wT_UYlBtrKGA
Oby7NvVBYeyYV6inV21rulSOw_4uubiOa8bTWKXkzBA,2013-10-20T16:25:33,2013-10-20T16:25:33,They should make a ...,They should make a mission where travor gets abducted﻿ by aliens :D,67,0,hackerisslv,hackerisslv,UC7OkDoDvTo-SeJPMMLFkpNQ
Oby7NvVBYey1ssj4l56bghkkcGJ4Ufb1sFgi5syHCKI,2013-10-20T16:10:07,2013-10-20T16:10:07,Maybe﻿ its a hint ...,Maybe﻿ its a hint for a dlc this Halloween where theirs aliens in it,68,0,WGPCGRlife,WGPCGRlife,UCmRHEgOugWwzBTYp3I1t91A
Oby7NvVBYexAnaHP1AeByVO76oFLcmY4y-QK43gez1s,2013-10-20T16:09:17,2013-10-20T16:09:17,The title does that ...,The title does that for you buddy :P﻿,37,0,Miguel Mendiola,9AHB9LUXGC32A8fTzntm4A,UC9AHB9LUXGC32A8fTzntm4A
Oby7NvVBYewKIAxWJJn7s3UNZGPYA8ZXi4Pn8h-7CF4,2013-10-20T15:56:27,2013-10-20T15:56:27,If you're going to ...,If you're going to click on the video anyways why﻿ does it fucking matter what the preview image is?,100,0,Mist3rSpanky,Mist3rSpanky,UCVrb9JkB0Vmrl-vOCfhZXXg
Oby7NvVBYezSEaWanrI3SIozepqEZ-3vTfYAjqhTsCY,2013-10-20T15:44:47,2013-10-20T15:44:47,Hello friends  Big ...,Hello friends  Big News! CRAZY  a few hours ago a NEW Rihanna SEXTAPE (18+) which shows Rihanna stripping at a private party has gone online on the internet! Watch now FREE at the following website  ---> CelebritySexTape.info ! It's UNIMAGINABLE  Hurry up and watch Rihanna's﻿ pussy before it's deleted! The only site where you can find it >>> CelebritySexTape.info,365,0,Riri Rihanna,sCaFIhjKuJ3e4QlFeTnK9g,UCsCaFIhjKuJ3e4QlFeTnK9g
Oby7NvVBYeznH978J9s7jLpCLzeCniHODULEVDH4Fhk,2013-10-20T15:28:16,2013-10-20T15:28:16,HEY YO ALIEN DROP ...,HEY YO ALIEN DROP THE﻿ BEeeeaaaaattt!,37,0,someguy504,someguy504,UC1JKfQdNCBF7vl5Owud9gMA
Oby7NvVBYew7nulhthQ454N8ZkZj9DrqzjBQaxe0ToE,2013-10-20T15:26:57,2013-10-20T15:26:57,hmm i thnk﻿ you are ...,hmm i thnk﻿ you are onto something there,40,0,admir imamovic,LDpf1WaF9lJ2rULqqp_S1w,UCLDpf1WaF9lJ2rULqqp_S1w
Oby7NvVBYewflRUayjxvkMnFS7UQurjtpuu3kH6QPTo,2013-10-20T15:25:42,2013-10-20T15:25:42,1:30 lol dubstep   ...,1:30 lol dubstep  would be awesome﻿ if﻿ it shot you with a laser after you attack it,84,0,Soldier9k,Soldier9k,UCaYD3QmgQRDywS2nHk1HlRQ
Oby7NvVBYew-2CgbrShLRFhU5nuWJmTmivgVQgK4nUg,2013-10-20T15:18:57,2013-10-20T15:18:57,they didn't go in.. ...,they didn't go in...﻿ they just impacted on they surface,56,0,Steve Chester,bluepatch11,UCjuf4nNSFPTCxnhX24We8Pg
Oby7NvVBYexmwjBR0ElvAtHPmFawY4sefFYfDYQv3zw,2013-10-20T15:07:34,2013-10-20T15:07:34,Rockstar's hinting ...,Rockstar's hinting at a﻿ futuristic game.,41,0,melea1737,melea1737,UCEfAIICRnAOKkH5lpA63U7g
Oby7NvVBYeywmJQ3uaVovApvhZvJygh1iXeWLNwXszA,2013-10-20T15:01:51,2013-10-20T15:01:51,betriebssystem﻿,betriebssystem﻿,15,0,Dein Konto,tfVqEjDH_D8A7cc2J4xZ3A,UCtfVqEjDH_D8A7cc2J4xZ3A
Oby7NvVBYezl5UBMTucfjwH_MHyxovWli7xxrqn8L58,2013-10-20T14:51:39,2013-10-20T14:51:39,Seriously  change ...,Seriously  change the fucking preview﻿ image. STOP SPOILING SHIT FOR EVERYBODY.,79,0,Angad Mishra,TheMadWrath,UCmdbX173MLtZBOfnGr7T6yg
Oby7NvVBYeyhiYgUA5Mjl2omRrlJyhjIi_iwqXXG-Dc,2013-10-20T14:49:46,2013-10-20T14:49:46,I smell GTA﻿ V DLC.,I smell GTA﻿ V DLC.,19,0,Angularity's Funbox,iplaygunz1,UCNZmoGTOrYSUrrAvMkjvbNg
Oby7NvVBYeynq7vVjZ9-nIN9UwexPPrYZFxHjh45wCE,2013-10-20T14:35:27,2013-10-20T14:35:27,Click show comment ...,Click show comment to see the longest chain of arguments﻿ :D,60,0,Henry Ha,M5GD6SkBdK7Y0D7pgUT_Dw,UCM5GD6SkBdK7Y0D7pgUT_Dw
Oby7NvVBYewuvYZxX2kW9ZUwjZOMhKNP04sjXyKM-9U,2013-10-20T14:31:51,2013-10-20T14:31:51,Oh wow  did you ...,Oh wow  did you even read my comment or did your blatant asperger hinder you? You're not proving anything  you're just claiming to be 27. You could've just changed the profile to a picture of your old man or someone you know.  No  if you were actually 27 ﻿ you would've killed yourself by now. All of your writing  especially the ones that feature the emoticon "XD" conflicts with your claims.  "Not as a trolling kid with no life at all" Odd  because you just told me that is what you are doing.,496,0,JudgeBeardd,JudgeBeardd,UCo5EU1YuWqoQ_M-COwGXoug
Oby7NvVBYewA3eMmNwYOJY7ln6qi4h7bsOF3cixi0H0,2013-10-20T14:31:32,2013-10-20T14:31:32,Try look through ...,Try look through the﻿ window >.<,32,0,Henry Ha,M5GD6SkBdK7Y0D7pgUT_Dw,UCM5GD6SkBdK7Y0D7pgUT_Dw
Oby7NvVBYeyVC_1QMNDv6RKi8y_OpVu-iprTpIhfWXI,2013-10-20T14:31:21,2013-10-20T14:31:21,"FIB" can't live ...,"FIB" can't live with em  can't kill﻿ em!,41,0,Christopher DiPietro,nfOY87r6DDcVP3jxk154-w,UCnfOY87r6DDcVP3jxk154-w
Oby7NvVBYezLNjeawbFvjT63mKyAtplNfmt5xT2FI6c,2013-10-20T14:26:00,2013-10-20T14:26:00,that's a nice ...,that's a nice insult﻿ chain you've got there,44,0,swinubguy17,swinubguy17,UCMn5GVFxhG1E-l1yHYM4kyw
Oby7NvVBYezZfPEJZlYkC1slcW_v597gQ3iPdLWuKu8,2013-10-20T14:20:49,2013-10-20T14:20:49,Yes  it﻿ was.,Yes  it﻿ was.,13,0,Revixy,Revixy,UCsDytwixmDOOdBOOmZeQjHA
Oby7NvVBYeyii7QcEDhCj7wQcp5y26Vz6oNLU4kfcZo,2013-10-20T14:18:58,2013-10-20T14:18:58, ...,grgdfgfyshgafuyyyyyyyyyyyyyyyyyyyyyaaaaaaaaaaaaaaaaaahhhhhhhhhhhhhhffffffffffffffffffflllllllllllllllllllllllllllllllllllllllllllllllllleeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeehhhhhhhhhhhhhbbbbbbbbbbbbxxxxxxxxghghasfffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffhyes﻿,279,0,Purshoam Tak,YC-l9VGO-gXkVvTU60O_Xg,UCYC-l9VGO-gXkVvTU60O_Xg
Oby7NvVBYewbshWaw-RQuRYrq4H44HtYWJJ3ltQV-d0,2013-10-20T14:16:05,2013-10-20T14:16:05,Unlimited Money ...,Unlimited Money Cheat PS﻿ 3 Only!!!!  /watch?v=fof6rmCidLg,58,1,kondor123279,kondor123279,UCVkVqgzQO22mwrO_iPEmrEw
Oby7NvVBYewesPLr7Pn-YOHrVMm64xhutgjxBFmPrXw,2013-10-20T14:15:15,2013-10-20T14:15:15,It looks﻿ more like ...,It looks﻿ more like a prototype aircraft.,41,0,m4c43ver,m4c43ver,UC8_1jNMWSD8A6xSGRKpDYYg
Oby7NvVBYexEnD7AsZJdtBXnJLQIe2g-E6MkTzZZAhM,2013-10-20T14:14:33,2013-10-20T14:14:33,Death﻿ Note was ...,Death﻿ Note was great.,22,0,Mason121127,Mason121127,UCO5EBp_Xo17Aa1_9bsMw7tw
