ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
xguvoGPRvD8NuIUoPrjFla_8ipgdSRPfdbbKnyt5-sA,2013-10-20T17:46:54,2013-10-20T17:46:54,Add﻿ me on psn ...,Add﻿ me on psn DM159beast,25,0,Nerd087,Nerd087,UCj3C65sIxcL_ewbkj07AzTw
xguvoGPRvD9vLq348xrHOQ6_OiRjqmWFZ4iJSUpbaR4,2013-10-20T17:41:53,2013-10-20T17:41:53,add me on psn﻿ ...,add me on psn﻿ luisitobro,25,0,tony garcia,bologana27,UCP9o7zFAp26zJ66PqIj-4iQ
xguvoGPRvD-Od0diweluvg7vXBHzhhDNcXjMgsW34RM,2013-10-20T17:21:07,2013-10-20T17:21:07,when﻿ your next ...,when﻿ your next live stream,27,0,brennen ware,kj-9KW1kWXjT643iyyyG9w,UCkj-9KW1kWXjT643iyyyG9w
xguvoGPRvD9sOEd35eaqbARgWicQo_9No91YRcmYkAQ,2013-10-20T17:20:06,2013-10-20T17:20:06,Is﻿ leuk,Is﻿ leuk,8,0,fredboateng,TfSsClONM6S11_o5ptrhrw,UCTfSsClONM6S11_o5ptrhrw
xguvoGPRvD_V0zXa7mvqzZyvfXV5r97GN0oixjbd3mk,2013-10-20T17:15:05,2013-10-20T17:15:05,cakekiller900 ﻿,cakekiller900 ﻿,15,0,HDOddGameZ wright,tKHJ46xbH1O_QdYV2ad6sg,UCtKHJ46xbH1O_QdYV2ad6sg
xguvoGPRvD_moOFXmXWpKGJdZ2lJ1sVtzddEqXRX66k,2013-10-20T17:10:41,2013-10-20T17:10:41,40:00 your voice ...,40:00 your voice cracks when﻿ you say "lets listen to the radio",64,0,TheAirJayz,TheAirJayz,UChqfJG7EKVAVwuth6haT14w
xguvoGPRvD_Fy7qfYxsEBoVDGF1Cw9yTa9YHoQyopsc,2013-10-20T17:09:26,2013-10-20T17:09:26,its hike82﻿,its hike82﻿,11,0,leanne coleman,GXrhpHebOX81LlEZUvHxEA,UCGXrhpHebOX81LlEZUvHxEA
xguvoGPRvD-YAMUEC43JSG_CJ4BT3XnWBXMRpynSWHc,2013-10-20T17:03:02,2013-10-20T17:03:02,it﻿ works#,it﻿ works#,10,0,HDOddGameZ wright,tKHJ46xbH1O_QdYV2ad6sg,UCtKHJ46xbH1O_QdYV2ad6sg
xguvoGPRvD8rCssqoWu6Z49S4XRr4eRLgq1nd8kg9MA,2013-10-20T16:53:39,2013-10-20T16:53:39,Whats﻿ your ...,Whats﻿ your gamertag? :O,24,0,XXCodexxGTAIVXx,XXCodexxGTAIVXx,UC1tTDbx0RSgch8BneWH07mQ
xguvoGPRvD-gMwFO4W3iMK07cJRcFlK7k81I936ZTho,2013-10-20T16:50:36,2013-10-20T16:50:36,Hello﻿,Hello﻿,6,0,mikolajslaby,mikolajslaby,UC7p0BtkGKVYlPn-ckrV2kZQ
xguvoGPRvD87-laHKWLqR4Fha-5K-CRwuDLAvJKO-P4,2013-10-20T16:49:35,2013-10-20T16:49:35,yes﻿,yes﻿,4,0,leanne coleman,GXrhpHebOX81LlEZUvHxEA,UCGXrhpHebOX81LlEZUvHxEA
