ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
xLIPWjPg8RV4rH3ZwNHMQkwmkhPFoD6SmAeckrffPCM,2013-10-09T11:17:21,2013-10-09T11:17:21,Yeah man this ...,Yeah man this website here is just sending out 100% free Pink Apple new iPad's for today only.   You have to be fill out your address but it is all real  I claimed mine a few minutes ago. Better hurry up! UPAD3.COM  Gideon: We've established some talking points: we have an intense sexual attraction and neither of us wants to date﻿,332,0,Nakkavenkatasubbarao n.v.subbarao,ukjytkmKElB_syxpg8ghaQ,UCukjytkmKElB_syxpg8ghaQ
xLIPWjPg8RXYk5YpP98iVZEsCCl93F90oxh9GFbKquw,2013-10-08T19:25:27,2013-10-08T19:25:27,Retina﻿ экран есть ...,Retina﻿ экран есть на 3 и на﻿ 4 iPad,36,0,Max Myrashko,6yW5_Oll2MOl5xxXdBIkZA,UC6yW5_Oll2MOl5xxXdBIkZA
xLIPWjPg8RUbn-DfUK-y8PtxV5Xx8IEPYkBPhr4_gyM,2013-08-27T15:12:56,2013-08-27T15:12:56,06:49 minecraft ...,06:49 minecraft кто﻿ заметил ставте лайк,40,0,Егор Шкаберин,bTv-ki0Nn08T22tqmjsubw,UCbTv-ki0Nn08T22tqmjsubw
xLIPWjPg8RXElQ7QN8lokRFTgmHdM5Hzdtw7kZjPCc8,2013-08-25T18:52:51,2013-08-25T18:52:51,Как с качеством ...,Как с качеством звука в наушниках у ipad4 по сравнению с Ipad 3 ??? Чипы у них немного отличаются﻿ в цифрах,107,0,NautilusSt,NautilusSt,UCZeXS81-ZGgYCQCmDwzlODw
xLIPWjPg8RUdUmcE1ATCGVQ-AfcOz0Hzv8T34brMMf0,2013-08-13T14:37:05,2013-08-13T14:37:05,Офигенные новинки  ...,Офигенные новинки  "Война миров Z" "Семейка Крудс"﻿ "Тайна перевала Дятлова" и другое - vkinobaze.ru,100,0,Анфиса Баранова,SiSrcmx80D64d_ZNk9wY0A,UCSiSrcmx80D64d_ZNk9wY0A
xLIPWjPg8RW44iMa8Vi6pDX5_6-PHsGJb3TTiWO7oLg,2013-08-12T16:53:24,2013-08-12T16:53:24,Пиииааарр﻿ :),Пиииааарр﻿ :),13,0,Rezexy,Rezexy,UCqa3rLliWiH2D-sCbv-tYuQ
xLIPWjPg8RX2lXwseVC1QbYRCuvPC1RC_hbvwllAnGc,2013-08-10T23:30:49,2013-08-10T23:30:49,Улётные новинки  " ...,Улётные новинки  "Судная﻿ ночь" "Великий Гэтсби" "Побег с планеты Земля" и другое - vkinobaze.ru,96,0,Вера Букирь,841yj3x0_bO6-it4-A-9ZQ,UC841yj3x0_bO6-it4-A-9ZQ
xLIPWjPg8RWCl4CWkP0ww--r5gmd4bDh3P-sP3SuLQk,2013-08-10T10:04:42,2013-08-10T10:04:42,вобще-то Retina это ...,вобще-то Retina это экран который есть и на 3 и﻿ на 4 iPad,58,0,KirillDeluxe,KirillDeluxe,UC79mbnz8SdSnZnfufGwOs0g
xLIPWjPg8RWW64qeyZHU9gZEVjPMxYxqpubOF1iKN-A,2013-08-05T23:35:12,2013-08-05T23:35:12,MaxApple добрый ...,MaxApple добрый день. Хочу вам сообщить что ваше видео используется на данном сайте: mosmobi.ru/apple-ipad-4-64gb-wi-fi-cellular. Прошу вас не упомянать моё имя.﻿,162,0,Alexander Vasiliev,3Vasilyev,UCwHZ3AthiSIcThG7PErXdWw
xLIPWjPg8RXNuzktHzn4aM062ftKMeKtz-5sA2PzK-U,2013-07-31T13:34:18,2013-07-31T13:34:18,Ок﻿,Ок﻿,3,0,Степан Александрович,a6lz_gXGkv0oPTePrhwo8A,UCa6lz_gXGkv0oPTePrhwo8A
