ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
oLcVjeWJKwojZN9RDp8pbUoq01Lh0JB1d_QpnvN8ptc,2013-10-20T02:52:36,2013-10-20T02:52:36,Want a chance to ...,Want a chance to win an Iphone 5 or a Samsung Galaxy S4? Fill out this 2 minute﻿ questionnaire for﻿ a 1 in 100 chance to win! lnkgo . com/164x,142,0,Rich Lazarsky,Richeyjr2001,UCGnacBdK3jUbzNudIwl7h8g
oLcVjeWJKwpQ7yh8A1zHAU2FI-vObwV385hSnxuUpmI,2013-10-19T14:24:28,2013-10-19T14:24:28,That might explain ...,That might explain the lack﻿ of your auto-correct.,50,0,Kyra Hughes,jD78uJWfB1h1DU19UMuxpw,UCjD78uJWfB1h1DU19UMuxpw
oLcVjeWJKwqe35_p-ZdSgYUuSVk9mmXcopq6tS2Ihqo,2013-10-19T00:53:46,2013-10-19T00:53:46,Nothing is more ...,Nothing is more important than the truth. You have to know the true situation to deal with it. If you want to awaken to the TRUTH about life and death   go to truthcontest''com and open "The Present." .... ﻿,207,0,Aaron Wes,srx3H8aILfe-wUd5djQo2A,UCsrx3H8aILfe-wUd5djQo2A
oLcVjeWJKwrPBD7nsefIito26B-u2pfaHZD3BtNAae0,2013-10-17T04:31:55,2013-10-17T04:31:55,Yeah  but Apple ...,Yeah  but Apple designs﻿ it and designed the manufacturing process for Samsung  so it's not Samsung's product.,110,0,Ace Ahmed,pyromancer14,UCZceXIOmFXv1vmBZ8Suxfwg
oLcVjeWJKwrjY-33uuavMqdf9034XJQTWd5OA2NJzf8,2013-10-17T04:29:51,2013-10-17T04:29:51,Yeah ﻿ explain. How?,Yeah ﻿ explain. How?,20,0,Ace Ahmed,pyromancer14,UCZceXIOmFXv1vmBZ8Suxfwg
oLcVjeWJKwrMhRf17h8U_-BsAzLzCO7efkfcdArqaLQ,2013-10-16T20:17:35,2013-10-16T20:17:35,iphone sucks!!!  to ...,iphone sucks!!!  to much money for a toy!!!﻿,44,0,Sjaak,ljvanderm,UCXmurkwJS5ATEMED9nwnhdw
oLcVjeWJKwqzXDYGYqicYfMVL27liJiPaKwe71sm5EQ,2013-10-16T06:21:45,2013-10-16T06:21:45,Yea i wanted﻿ a ...,Yea i wanted﻿ a iphone but now totally a samsungg...,52,0,nezo156,nezo156,UCdCn8SdFaZNH7Mw6X2DGvIw
oLcVjeWJKwr6cJHkxHie6XPqG-t1id-eK01bVZnzu1w,2013-10-15T14:04:04,2013-10-15T14:04:04,Hi all  I found ...,Hi all  I found great place where you can root android 4.0 - 4.3. and unlock any androids.There﻿ is﻿ only﻿ direct downloads. The place is downloadroot.weebly.com ·,163,1,Alex Brown,AEUlop1y2BxIXi4s3GwgjQ,UCAEUlop1y2BxIXi4s3GwgjQ
oLcVjeWJKwpiXXFWbyXQ-jlB0VfAEOcLWRHedD5DKvE,2013-10-14T09:44:29,2013-10-14T09:44:29,S4 I have iPhone﻿ ...,S4 I have iPhone﻿ 4S hate it (help me),38,0,Zach Townsend,hSDACV309jD29LnuU7Mpqw,UChSDACV309jD29LnuU7Mpqw
oLcVjeWJKwrBijwzK7fE4Qg-DKlPmHHZtsWoUCwQxFs,2013-10-14T04:35:23,2013-10-14T04:35:23,same here proud s4 ...,same here proud s4 owner ﻿,26,0,Jace Beleren,Mindsculptor8283,UCgiwA-uYH7i2tUftVLsbf6Q
