ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
o5vLvSu2GH0-QNVxQCvn8_O1RCImvbJAXJiwvRE-Lq4,2013-10-20T17:18:12,2013-10-20T17:18:12,very good﻿ review,very good﻿ review,17,0,Sumedh Kumar,14589sumedh,UC_daMHPWMv0hpid6ckKS_SQ
o5vLvSu2GH0jMCvgI63TtTmBZRuDYKzP1WnL1j8DUss,2013-10-20T09:42:12,2013-10-20T09:42:12,Love this review  ...,Love this review  absolutely amazing﻿ and I agree with you. My Surface RT is my ONLY device  and I can manage to write 3 000 word essays with ease.,147,0,Alexander Brown,Xv6KjkhtVLpTAKjyQE3vrw,UCXv6KjkhtVLpTAKjyQE3vrw
o5vLvSu2GH3Ol2NX1AEYWkW6gTqaqsZ9Uiy2Rov7OKA,2013-10-20T08:51:23,2013-10-20T08:51:23,Am glad you did ...,Am glad you did this video.  I have the right as well and is﻿ not as bad as they say it.,88,0,Samuel Better,djsamtt12,UCm23mjS-Hn_zmHpCfl6wSdg
o5vLvSu2GH2Y_hgPzJmMZjCxbmxxU-Cb_umY8_ejE9w,2013-10-20T07:49:18,2013-10-20T07:49:18,If it﻿ is so good  ...,If it﻿ is so good  then why isn't it selling?,45,0,dragon9376,dragon9376,UClrId5PIMFOiwLuDPhvRkcw
o5vLvSu2GH181ICeC0JXJCImjrYK61Q4GLcWjwVC3FY,2013-10-19T07:41:21,2013-10-19T07:41:21,Is the super ...,Is the super Nintendo App﻿ free?,32,0,winfr34k,winfr34k,UCbcfimx33HQC9f2AAzBY0pA
o5vLvSu2GH3FlLhBpfg-lJXD2SMUTFKY5-yvmqyYQNU,2013-10-19T00:01:53,2013-10-19T00:01:53,I just wanna﻿ ask. ...,I just wanna﻿ ask. Is it possible to stream games online through the surface caz im thinkin of getting a laptop because of this. But if it does it it will save me so much space in my bag loool,192,0,Mohammed Alsadeh,qlPvnjH7TXo_RuNdmlP0PQ,UCqlPvnjH7TXo_RuNdmlP0PQ
o5vLvSu2GH2bUshLTBPc8pcjU0CGYHd3eRK4oVpx210,2013-10-18T23:59:54,2013-10-18T23:59:54,Very﻿ nice review,Very﻿ nice review,17,0,Mohammed Alsadeh,qlPvnjH7TXo_RuNdmlP0PQ,UCqlPvnjH7TXo_RuNdmlP0PQ
o5vLvSu2GH24IoJ_poif2AqQHFMqXIenhjfTTEjtIKs,2013-10-18T22:49:25,2013-10-18T22:49:25,Hi Sean are there ...,Hi Sean are there other games you can play on surface like more recent ones?﻿ please let me know :),99,0,kitty Maxplanck,85T-ND_BSUSbpx9Opo-FtA,UC85T-ND_BSUSbpx9Opo-FtA
o5vLvSu2GH09dDdxhtHuCrCab-XbQ5Tjn-ljZHMWaog,2013-10-18T20:32:18,2013-10-18T20:32:18,Excellent﻿ review.,Excellent﻿ review.,18,0,Scott Heron,TokenEngineer,UCr5AX3ou_4wn8EADIMKa_rA
o5vLvSu2GH24so8SHkOpDjnmEmX2BCRriNgzOM3kgYg,2013-10-18T13:32:32,2013-10-18T13:32:32,iPadmini summerSell ...,iPadmini summerSell  initiated﻿ upad3.com,41,1,Utkarsh Singh,A2Onuf4L8J5rhudydWvuBw,UCA2Onuf4L8J5rhudydWvuBw
