ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
Tg9RERPrd2uFXeotayFKfQXerrQiQA-DzA2wF2z6Dr8,2013-10-20T17:48:04,2013-10-20T17:48:04,Ii did subscribe﻿,Ii did subscribe﻿,17,0,Oliver Jimenez,tPVU7rHFNLoSfoUv2_B4Lw,UCtPVU7rHFNLoSfoUv2_B4Lw
Tg9RERPrd2vpaVRTGWDyKKj_XLOwvfb15xiWMTSK7o0,2013-10-20T17:43:15,2013-10-20T17:43:15,AWSOME SONG!﻿,AWSOME SONG!﻿,13,0,Smiley Games,7x2yQr8E1haceS-nVpFX4w,UC7x2yQr8E1haceS-nVpFX4w
Tg9RERPrd2uJBe8yMlL_u_xpZOT1pKxLK6dhChko_kM,2013-10-20T17:31:55,2013-10-20T17:31:55,Do you have﻿ a ps3,Do you have﻿ a ps3,18,0,superantony501,superantony501,UCuJRckYPEfH8rlocsmnoHWQ
Tg9RERPrd2sJc4sts2LfXqNt9CSyZwqOrwhGjcFAdi4,2013-10-20T17:27:01,2013-10-20T17:27:01,Meze*﻿,Meze*﻿,6,0,Melik Woodard,CMYCD-0yFfj_6MEBAxFm5A,UCCMYCD-0yFfj_6MEBAxFm5A
Tg9RERPrd2tLfxGcWj4MTaxwBg-EjDTOZL3kJ_NVhVo,2013-10-20T17:26:50,2013-10-20T17:26:50,Play﻿ with that ...,Play﻿ with that dude mere,25,0,Melik Woodard,CMYCD-0yFfj_6MEBAxFm5A,UCCMYCD-0yFfj_6MEBAxFm5A
Tg9RERPrd2sctIXllcf72ftRc4sHXuFjJ6UbJKx9Otk,2013-10-20T17:03:30,2013-10-20T17:03:30,Yo lemme join ur ...,Yo lemme join ur crew u﻿ on xbox right? Please lemme join wats the name,71,0,Duane Chase Jr,QFHIHQjoTNKsiaf3FtLU-g,UCQFHIHQjoTNKsiaf3FtLU-g
Tg9RERPrd2tS6VVDb0oAoPc-EC3Z0gkcpOeCZSgO4UU,2013-10-20T16:49:22,2013-10-20T16:49:22,I mean﻿ army,I mean﻿ army,12,0,Jeremy Ninham,w1IwzXVdfdoaQgS-jxXqFw,UCw1IwzXVdfdoaQgS-jxXqFw
Tg9RERPrd2tO9SvpeCeRyKBcHdOopSLkVCBW2cLYbuw,2013-10-20T16:49:06,2013-10-20T16:49:06,Nice im with sekc ...,Nice im with sekc arny﻿,23,0,Jeremy Ninham,w1IwzXVdfdoaQgS-jxXqFw,UCw1IwzXVdfdoaQgS-jxXqFw
Tg9RERPrd2s1miF4nLD2Al7lHUwIKdQtCGs5mI4fZUk,2013-10-20T16:42:40,2013-10-20T16:42:40,Lololololololololol﻿,Lololololololololol﻿,20,0,Spapilaja,Spapilaja,UC3lNb4Pm_5G4pftrGjQ1Tkg
Tg9RERPrd2v5ExkQGqGui0o2cw1CFgTTfmbmp0hPJmA,2013-10-20T16:42:26,2013-10-20T16:42:26,Lo﻿,Lo﻿,3,0,Spapilaja,Spapilaja,UC3lNb4Pm_5G4pftrGjQ1Tkg
Tg9RERPrd2szUij7NZOlpXGwHWl9Mo1d9H1uVRG2FAk,2013-10-20T16:38:48,2013-10-20T16:38:48,@Mastermalcomm ...,@Mastermalcomm acually he did but at that part he went really fast﻿ so you could barely hear it,95,0,alex rogers,a0kPyp4fff4Ug5GNlHEv7g,UCa0kPyp4fff4Ug5GNlHEv7g
Tg9RERPrd2vJMy-slPmOXLExKojIl7SzwY0hBH0T8lc,2013-10-20T16:31:17,2013-10-20T16:31:17,more songs﻿ your ...,more songs﻿ your pretty good,28,0,XxExotic_GamingxX,dbPThmoak6HaB0f-k7tdpA,UCdbPThmoak6HaB0f-k7tdpA
Tg9RERPrd2sRFtgniWTAUs52YUudFEic3XqMUmLpnIs,2013-10-20T16:21:34,2013-10-20T16:21:34,MAKE MORE OF THOSE! ...,MAKE MORE OF THOSE!!!! ﻿,24,0,Mastermalcom24,masterking2783,UCfjW7Kfl7dAjM_3OuLpfAJg
Tg9RERPrd2v40I2MhBnwL8X3rRufQfHhq6tRgEtl26g,2013-10-20T16:21:06,2013-10-20T16:21:06,HE DIDN'T﻿ CUSS,HE DIDN'T﻿ CUSS,15,0,Mastermalcom24,masterking2783,UCfjW7Kfl7dAjM_3OuLpfAJg
Tg9RERPrd2uHtgiyGU_K395q3jZx7l_vKz5J1BRJcS0,2013-10-20T16:18:17,2013-10-20T16:18:17,Can I please join ...,Can I please join your crew  my name in rockstar is KillTheBrazilian and for﻿ xbox Immortal DubzZ,97,0,That's Nice,0zRHNRuI4CJ2S3t4QVuxNg,UC0zRHNRuI4CJ2S3t4QVuxNg
Tg9RERPrd2vDobGDE23eClABHf-LZ7RDOXiwY2wgbPY,2013-10-20T16:11:01,2013-10-20T16:11:01,Im﻿ in britain: am ...,Im﻿ in britain: am so sad i cant be in america so  also i can never miss a vidio i made a crew isekc rules cus they do and thanks for the vids :-):-):-),152,0,Marcel Goodhead,jJG0yVv_wI4rJZhh6fWPgA,UCjJG0yVv_wI4rJZhh6fWPgA
Tg9RERPrd2u3BedolMKjoQ6hdH830h-r6I8h-5b9UNk,2013-10-20T16:09:55,2013-10-20T16:09:55,And﻿ Cheif Keith ...,And﻿ Cheif Keith gettin money for being a idiot  dude  u deserve money instead of him,85,0,TazzTaylor Scott,TTJ186,UCAlgQmJNbudIj-gSuPosH_w
Tg9RERPrd2tpGpuoXebRZ8AlvXKhnCO42VpAm2qS_Q8,2013-10-20T16:09:01,2013-10-20T16:09:01,Beast﻿,Beast﻿,6,0,TazzTaylor Scott,TTJ186,UCAlgQmJNbudIj-gSuPosH_w
Tg9RERPrd2sDl8rFL7kN3GKA1oQ3XnoqJJP8d_bvcww,2013-10-20T15:29:52,2013-10-20T15:29:52,Deserves more likes ...,Deserves more likes keep it up﻿ Kevin,37,0,Tim Washburn,Tdubdareal2000,UCh3u1iBuR39uz9ixbWOwLyQ
Tg9RERPrd2ueXTgxh97J-4DUfiSvx-RDHL1YzSujPcs,2013-10-20T15:12:16,2013-10-20T15:12:16,Your﻿ better than ...,Your﻿ better than most rappers I know,37,0,h4ppygamer34,h4ppygamer34,UCLCn353WsVODjguwYEeu2Aw
Tg9RERPrd2shvy6I3JnqdrQ4DJj9LuSxXga--HLcq9M,2013-10-20T14:39:55,2013-10-20T14:39:55,then﻿ it wouldnt ...,then﻿ it wouldnt really be a rap song -_-,41,0,MrJinfinite,MrJinfinite,UCYK3s59lT6L90PVUZgIYcvg
Tg9RERPrd2tWCOFd43-DhzTRlfGveQFK2ucf75qu-bE,2013-10-20T13:41:52,2013-10-20T13:41:52,Less﻿ cussing please,Less﻿ cussing please,20,0,Tony Jamall,iUYZXxkF32JQJO85P35Zdw,UCiUYZXxkF32JQJO85P35Zdw
Tg9RERPrd2s6HPQZbWDHUxsdjT0ypDuPYKRTDXfeXys,2013-10-20T13:39:49,2013-10-20T13:39:49,Aweosme song ﻿ what ...,Aweosme song ﻿ what instrumental is that?,41,0,Nyamema210,Nyamema210,UCLJRJMQKw_KJwHUF0kBzsVA
Tg9RERPrd2trhTXt85LU9RE8S_WIXcVnrXhlChuHrdA,2013-10-20T13:37:57,2013-10-20T13:37:57,You in﻿ the SekC ...,You in﻿ the SekC Army When you Subscribe,40,0,ATFKxAkuma,ATFKxAkuma,UCBNeVeVjw-XPMamzbswnFyg
Tg9RERPrd2vDKMeyhxRYRRscXmGgQdwVDVkULyHDBS4,2013-10-20T13:36:27,2013-10-20T13:36:27,More call of duty﻿ ...,More call of duty﻿ black ops zombies please,43,0,Tony Jamall,iUYZXxkF32JQJO85P35Zdw,UCiUYZXxkF32JQJO85P35Zdw
Tg9RERPrd2skvpPvzxVLCUBRsh0VsEoGQA-htC7lj4k,2013-10-20T13:32:07,2013-10-20T13:32:07,can you make a﻿ ...,can you make a﻿ lyric version to this song?,43,0,MrFoodieNom,MrFoodieNom,UC1S63146weZYt5YFy6tgPug
Tg9RERPrd2tR1m-SxnKQj0cLqICRLy6Ifx2502igqwQ,2013-10-20T13:17:52,2013-10-20T13:17:52,I subscribed so now ...,I subscribed so now add﻿ me AbzorT remix,40,0,iBehard27,iBehard27,UCLcMDbnJmF3WKbs5Y-aoqpg
