ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
MMRK_2i9JIgdE4xeTg2RYUulH6cpkhWIkDoY5eMErZM,2013-10-18T23:29:09,2013-10-18T23:29:09,You're goddamn ...,You're goddamn right﻿,21,0,Clovis Perreault,BCPcuRlfnMIS8g3PY5wDNg,UCBCPcuRlfnMIS8g3PY5wDNg
MMRK_2i9JIgEr7hpgD5hnEgV-7ZC45f_BfN39uNsO_c,2013-10-16T20:43:02,2013-10-16T20:43:02,smfh...﻿ face palm ...,smfh...﻿ face palm is over 9000.,32,0,Jim Miller,millerjr177414,UCQe9Shvyc0udOlobVobz-nA
MMRK_2i9JIiqftxIeOBeYla87lF5RtOGTo6uk8DN31E,2013-10-15T17:00:31,2013-10-15T17:00:31,why did you buy ...,why did you buy this horrible surface-thing? why not a google nexus﻿ or a new ipad?,83,0,გიორგი ქართველი,XFnVeo_wPRQC9zOQRCUgkQ,UCXFnVeo_wPRQC9zOQRCUgkQ
MMRK_2i9JIh-x1kAVk42yFeqfvuuO-DUeNa3xQkz7ig,2013-10-13T22:52:38,2013-10-13T22:52:38,itsssssss  ...,itsssssss  sssssssoooo   ﻿,26,0,Aaron Ventura,Ejgk6k6pxygymzumpi__KQ,UCEjgk6k6pxygymzumpi__KQ
MMRK_2i9JIgmBpbiQbIDzbSFr_X6QZHwhqygeHsUOGU,2013-10-11T21:33:23,2013-10-11T21:33:23,in a wealthy  under ...,in a wealthy  under-developed﻿ retard sorta way,47,0,Snick422,Snick422,UCgb9mgoTW_IE6Cj5HFwcO1g
MMRK_2i9JIhEJz4FoyYhPzJ9ACKwWBwT4CZeqFwC_Qw,2013-10-11T21:05:31,2013-10-11T21:05:31,Both mean the same ...,Both mean the same thing. Get your facts﻿ right. A computer bug  is a glitch. Same difference.,94,0,hitcoder,hitkid61,UCaYvViffCxg53IJVto309Rg
MMRK_2i9JIjBKEcofqPqDIE8ldhooy6Z5f87s6ibesk,2013-10-11T21:04:19,2013-10-11T21:04:19,I WANT THAT! xD It ...,I WANT THAT! xD It looks awesome. Lol  I love﻿ how smooth paint is. :),70,0,hitcoder,hitkid61,UCaYvViffCxg53IJVto309Rg
MMRK_2i9JIhMUBhrvwX6KNzAqjEYwNnxxSyGlbZEpIA,2013-10-09T20:49:19,2013-10-09T20:49:19,Gradients are so ...,Gradients are so oldschool! I love the new﻿ minimalist design! :D,65,0,David Lukšić,deluksic,UCC7c6bdDl8AZ4-vYSuCNM5Q
MMRK_2i9JIiN09wV1RSQGTZoy_2fTIoj9q9jJBV0P6k,2013-10-09T14:28:57,2013-10-09T14:28:57,how to replace the﻿ ...,how to replace the﻿ battery?,28,0,Lionel Jerinho,CrossDeviceDeveloper,UCjN08lu84Gyluyrng52wIKg
MMRK_2i9JIh2hvSL2EM45JSkryXg-SCp0yREU03WuRE,2013-10-09T13:16:13,2013-10-09T13:16:13,Yeah bro this ...,Yeah bro this website is just sending out free White Apple new iPad's for today only.   But you have to be fill out your email id but it is all real  I﻿ claimed my one a few minutes ago. Get in quick! UPAD3.COM  I'd never own a Hooters  because while I may be the face of the franchise  people only ever look at the tits.,321,0,Anie Varghese,anievarghese,UCB32IvbDVLr2T3b-dC_VyNw
