ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
PlKgHOmNrTvlti9W6MOAmAkBz-qkv6reDqtMEqwAIFY,2013-10-20T17:12:30,2013-10-20T17:12:30,@jordanbulldog I ...,@jordanbulldog I believe you can  both have the USB port on the side. However I know you can on the pro  but check the app store on the﻿ 2 for a hp printer app. If this is not the case but you still want a cheap tablet  the vivotab smart running full blown windows would work. Best of luck.,290,0,baxterbroadcasting,baxterbroadcasting,UCrVOwyYDNNQt-XK_N-R0s_Q
PlKgHOmNrTuJiKU7a7CsIQlz3LPHk9WInWoJdkfZDx8,2013-10-20T14:31:09,2013-10-20T14:31:09,Wow...just﻿ put a ...,Wow...just﻿ put a skin on it.,29,0,Eddie Jackson,mrnettek,UCAwn_blSirhGsgc9COtZqjg
PlKgHOmNrTsEW0EGOSMBe6Ryap2-5myyT2M4QBriWjc,2013-10-20T09:25:16,2013-10-20T09:25:16,I understand that ...,I understand that its actually﻿ more like a laptop or desktop than a tablet.  But 899 for 64 gigs  come on.  And the more gigs you jump up the price skyrockets. Come on  come on.  Come on and get in the car so we could drive to the beach and watch the sharks.,259,0,dacrow1976,dacrow1976,UC4yuzQszfvP6Sed3PlpX0-A
PlKgHOmNrTvwz4MCT0WZENg747fqgOef6U1uqNp1DJk,2013-10-20T03:46:58,2013-10-20T03:46:58,Yup﻿,Yup﻿,4,0,Ingiomar Martina,Ingi0m4r,UCyMc8ceWo3s1bQBXdZ8VlmA
PlKgHOmNrTsclKIkNN_rcXe9D1CXcBxfQVh1gJNmYcs,2013-10-20T02:15:21,2013-10-20T02:15:21,good. microsoft and ...,good. microsoft and apple both realize the renewed importance of bringing pc power to mobile devices. i hope these two companies﻿ kill each other for the next decade while we reap the benefits.,193,0,jakeisawesome91,jakeisawesome91,UC3n9kSd6CPMJOSHZUVszgHw
PlKgHOmNrTuN0GWKjtuXjsR1ejVenwTUUK3hPTrRtgo,2013-10-19T23:46:00,2013-10-19T23:46:00,on the 2 could i ...,on the 2 could i plug in my﻿ HP printer to print word documents?,64,0,jordanbulldog,jordanbulldog,UCj4ag4rojaFXYHhiFFyVYLg
PlKgHOmNrTsItbhGvIjQAtweOVyN3rkCaTOOw1J8ppM,2013-10-19T16:32:59,2013-10-19T16:32:59,yes there is an ...,yes there is an internal keyboard. ;-) And of course there are apps like youtube facebook twitter etc.  but they are﻿ not the same as on the ipad because its a different os.,173,0,David Gerszi,C00kie14Monster,UCsvp6z5XBvJJbCMsbkF_N0A
PlKgHOmNrTvOgEIZPwA3jvIIRo5EIMnaKtQ3w7PouX8,2013-10-19T15:44:06,2013-10-19T15:44:06,Try to find a ...,Try to find a haswell i5  1080p screened laptop at﻿ 13mm thin. This is not a ARM device  but a fullblown Intel PC tablet.,121,0,tissot233,tissot233,UCl4__J0orm1v_RczHIacrNg
PlKgHOmNrTuqsZTSu0Wr4GHqSoUh6Dia7vU6uS6hrrs,2013-10-19T15:08:17,2013-10-19T15:08:17,today i got my ...,today i got my surface pro 2 :) see the unboxing video in my channel﻿ ;),72,0,flyingMacFly,flyingMacFly,UCfmcvIka0cIPfQvvwf4oshg
PlKgHOmNrTvHUOqs5B3ubds3Vi5n6gPkpyJvPBqdiwY,2013-10-19T13:37:53,2013-10-19T13:37:53,My main concern is ...,My main concern is does it work the Ipad?  Although it is touch screen  is there an internal keyboard?  How﻿ does the apps work  is it the same as an Ipad apps?,160,0,500topdollar,500topdollar,UCrdhjzEDStOoz1W_Dny1nDg
PlKgHOmNrTtCzwmFhAoVj_-BqUPSaPp6OAheM48hHBQ,2013-10-19T01:28:56,2013-10-19T01:28:56,Are you by any ...,Are you by any chance using a touchscreen keyboard?﻿  Cuz that's how I would type if I was using a touchscreen keyboard.,120,0,pburto,pburto,UCstS52AKgsJGV9Lnvt3ZFuA
PlKgHOmNrTtVltNlkWpVY8nv4Pjw8KUKKxMw7Y7Gnkk,2013-10-18T22:58:13,2013-10-18T22:58:13,out a dam case on ...,out a dam case on it. ywhen yoyr﻿ using it without a case you dont even see the back.,85,0,Tim Thacker,darthpiggy1,UCX8mulHZ6VwDEfO9LAzLt5g
PlKgHOmNrTu0zD4p4ESI33r251-zB22rbkOov453BcE,2013-10-18T21:06:42,2013-10-18T21:06:42,You can always﻿ ...,You can always﻿ paint it.,25,0,AirForcedude5,AirForcedude5,UCXc-CFxsN7iXSL6X4-dDfYQ
PlKgHOmNrTvCxp_l51WvqrFTNm3qqD3A3Igr38S4bAI,2013-10-18T13:59:39,2013-10-18T13:59:39,iPadmini freeSell  ...,iPadmini freeSell  started﻿ upad3.com,37,1,tanstarmay,tanstarmay,UCqg6KwBxwt_O8p3wZ5KNtCw
PlKgHOmNrTsbhu_cKTNWL0PFHb4POb8zfwTvGoO1QUU,2013-10-18T10:59:14,2013-10-18T10:59:14,i think surface﻿ is ...,i think surface﻿ is the best tab,32,0,Fomukom Flevius,lSgz_8nz1ct_auET1W-cfw,UClSgz_8nz1ct_auET1W-cfw
PlKgHOmNrTvQpDPEtc-JsT0wHPuCyiYk7hl2Q3dX5Y4,2013-10-18T05:21:24,2013-10-18T05:21:24,surface pro is a ...,surface pro is a real computer that can run photoshop and other real applications  not dumb down toy apps by iToy.﻿,115,0,entyceit,entyceit,UCLvD_F4gcJUsSf37hja6aww
PlKgHOmNrTu4hyJPT5IbMkQU4wPeiB6TzBJAXXfn4tg,2013-10-18T01:29:04,2013-10-18T01:29:04,Stopped the video ...,Stopped the video soon as I seen that grinning Asian guy I﻿ can't stand him...,78,0,darklotus278,darklotus278,UCXPFFhRx6BkMhOrqjabDKiQ
PlKgHOmNrTv6hmnKFvl_4nRhvO4UOg3XwwKB860A4ik,2013-10-17T22:09:49,2013-10-17T22:09:49,Microsoft Vs apple?﻿,Microsoft Vs apple?﻿,20,0,vladimir bueno,bueno721,UCtGiiG088kMIXtGZLIXTelg
PlKgHOmNrTuaPR3QqjWcjIHml72MHTGUi-pxdLqEgJo,2013-10-17T21:32:25,2013-10-17T21:32:25,So it will be this﻿ ...,So it will be this﻿ or Lenovo Yoga for me.,42,0,ShoresOfHelll,ShoresOfHelll,UCALPbWdpGqZZWyy0lVFL88A
PlKgHOmNrTuqqipUwAS7TOJATVPR2e5iN44JXZI0pUI,2013-10-17T21:03:32,2013-10-17T21:03:32,Manga Studio 5.﻿,Manga Studio 5.﻿,16,0,HaloGhost,HaloGhost,UCk0n-Ifu8YBUeTEgeGHmOYw
PlKgHOmNrTsasqXonWLoxWhYenqn280Pkr7r6fX4_34,2013-10-17T20:10:31,2013-10-17T20:10:31,According to ...,According to official microsoft site  it has an SDXC port...  so yea  we may﻿ need 2 TB of external memory :3,109,0,Don D,TheDonaz5,UCY6J73avN28Fv_FV1l5XUgQ
PlKgHOmNrTumxwlWyNBx_rt9P67S-Fht9cTkptlRtPI,2013-10-17T20:00:11,2013-10-17T20:00:11,The 512 Gb version ...,The 512 Gb version is prolly 2 times more powerful than your desktop pc.  It's not like an android tablet or an iPad  it's﻿ a complete pc able to run anything you run on any other computer (maybe you won't be able to go for crisis 2 at max resolution  but surely you will be able to play it at low graphics).,308,0,Don D,TheDonaz5,UCY6J73avN28Fv_FV1l5XUgQ
PlKgHOmNrTuFcY_zfIQ7Zdz-QiU2rZaQYJjcACaksiQ,2013-10-17T19:49:58,2013-10-17T19:49:58,Yes the PRO can so ...,Yes the PRO can so I don't see why the PRO2 can't maybe even better than the PRO﻿,81,0,Masina Pepper,masinapepper,UCWgfytWQBz3uLoQUJr4fRkA
PlKgHOmNrTuk-lw7VjqmVzZBnFXwMGSv8Q1YwSkRSFM,2013-10-17T19:48:20,2013-10-17T19:48:20,Not that I know of ...,Not that I know of.﻿ Sorry.,27,0,Masina Pepper,masinapepper,UCWgfytWQBz3uLoQUJr4fRkA
PlKgHOmNrTvlo_utDhTFEQtZoZ9iGirVBs58U9SC5SY,2013-10-17T18:37:33,2013-10-17T18:37:33,That is﻿ what the ...,That is﻿ what the RT is made for.....,37,0,Mahonri Ray,mahonriray,UCne2qEHTYMd58skSnq4OXSA
PlKgHOmNrTugUHwe-FBQwtde_jLRElkN0okksZ0z6WU,2013-10-17T09:21:53,2013-10-17T09:21:53,you can just ...,you can just pirate﻿ microsoft office.,38,0,Peit Kiet,4PHVCK7tRVpmOKUxpNK9MQ,UC4PHVCK7tRVpmOKUxpNK9MQ
