ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
DFYhZFq24-ItiPvaswmn6mYmgx5-JvJnSOTPJm5ijQQ,2013-10-20T17:26:28,2013-10-20T17:26:28,I'm earning a ...,I'm earning a living at home and getting 5000 bucks every month just by following a simple system.  You could discover much more right﻿ here /watch?v=jaqE8LSaK6Y,161,1,Armand Foreman,g2TpRtUcPOKImprIwFVfQg,UCg2TpRtUcPOKImprIwFVfQg
DFYhZFq24-LrM09DbvkGlECebzhibzsattUga2VCLUg,2013-10-20T17:23:58,2013-10-20T17:23:58,I love﻿ justinn,I love﻿ justinn,15,0,Marilena Di Napoli,dWA5GJZjnt5vvNhjnrV7aQ,UCdWA5GJZjnt5vvNhjnrV7aQ
DFYhZFq24-JEUM97tO66H5B7LwTBqNnWqvShD1W0tzo,2013-10-20T17:05:15,2013-10-20T17:05:15,XBOX SUCK﻿ !!!!!!!! ...,XBOX SUCK﻿ !!!!!!!!!!!!!!,25,0,Gamingoff gry,szymcioo85363ja,UCQkKf4_qAJ_--D73WCFAI4A
DFYhZFq24-KgLZMjbf0h_1IeGoXMKEVcdBVEDAlN5XM,2013-10-20T16:59:18,2013-10-20T16:59:18,Accept the lord ...,Accept the lord Jesus Christ into your heart. And stop letting sin take over your life. It only leads to death and it kills what god wants for you and his purpose in you!! In the old testament they would sacrifice animals for their sins and the blood of the animals would atone for our sins. But  when Jesus﻿ died for us  his blood took away our sins too but  also cleared our conscious! He overcame satan after rising from the cross. And so can we!! Take the word of God serious and pray to God!!,497,0,chelsea miller,3SfGQ7JULJcEzBIIDlxYnw,UC3SfGQ7JULJcEzBIIDlxYnw
DFYhZFq24-KSXOwl5ju7ClOJZ8Tv6j4nk5uC1QlChRw,2013-10-20T16:53:20,2013-10-20T16:53:20,Hi everyone I'm ...,Hi everyone I'm Precious Ability I'm a 15yr rapper from the UK with MASSIVE dreams <3 I have gained over 28'000 video views BUT I need alot more to be seen I've﻿ recently uploaded a NEW remix of Ariana Grande The Way   Psy Gangnam Style  Miley Cyrus wrecking ball  And a Justin Bieber One Time remix not too long ago I promise you won't regret IT <3  Please thumps up my comment so other people can see :) Thankyou for reading And also if you could SUBSCRIBE that will make my WORLD ;),485,0,PreciousAbilityMusic,PreciousAbilityMusic,UCjFskqHj-NsUEIOZAuoMYpw
DFYhZFq24-JA0bd6tPKhs2h-Elb57u12EJyfiHYriM4,2013-10-20T16:47:09,2013-10-20T16:47:09,saudades dessa ...,saudades dessa epoca  ﻿,23,0,maria cecilia,IxozddKw1aIfZ4_Rg3EcQw,UCIxozddKw1aIfZ4_Rg3EcQw
DFYhZFq24-KBAV2HPzlSkie2zvlvj-h7tmIn8gAEHeU,2013-10-20T16:43:18,2013-10-20T16:43:18,guau﻿,guau﻿,5,0,sergio MULLEN,toolspc,UCkQKq_ufRh1pb1cT8dPMjcg
DFYhZFq24-JoOIwpTt6P4FIH59WcoWrZneQb9OkqROg,2013-10-20T16:40:48,2013-10-20T16:40:48,It never gets﻿ old! ...,It never gets﻿ old! The other this was playing on MTV! I LOVE HIM SOOO MUCH!,76,0,A.N.N.A Brewer,Annameivlogs,UCxsX07FxWftlbu00qO-Z5eA
DFYhZFq24-LKnuK0JECFg_icuaVtYmJyYR-zIEl8J08,2013-10-20T16:35:00,2013-10-20T16:35:00,20/10/2013﻿,20/10/2013﻿,11,0,pamela zuñiga,l1dViI38WsLq1B9UZ3a9AQ,UCl1dViI38WsLq1B9UZ3a9AQ
DFYhZFq24-JHhSxvKtmalUL_4qgR79LWlnZFDSxu4eI,2013-10-20T16:32:56,2013-10-20T16:32:56,Bieber is great but ...,Bieber is great but I think﻿ 'Baby' probably would have been a little more successful if it﻿ was about scrabble... I did a parody and if you would like to watch it and share/subscribe it if you like it that would be great :) /watch?v=a7UXsnxA9cI   When I'm a huge star you can say you were there from the beginning... ;),320,1,TheInternetJulia,3KHMP5KDOyJPVcS1hh-dHA,UC3KHMP5KDOyJPVcS1hh-dHA
DFYhZFq24-IdDi1qvk4TDhXaZI0BZZu8oY09bCqdjeg,2013-10-20T16:07:43,2013-10-20T16:07:43,I can't believe it ...,I can't believe it   Rihanna did it once again A brand new sex tape with her has been leeched today If you want to view her screwing head over to : crazy-celeb-news.me.pn It's totally free 100% ﻿,195,0,Rose Givens,Xqf6tTvjehEOgEs53lekXQ,UCXqf6tTvjehEOgEs53lekXQ
DFYhZFq24-KcA4eQYNXZ-huv7KgCtu3Nb9UGQJgXfSM,2013-10-20T15:58:28,2013-10-20T15:58:28,love siempre justin﻿,love siempre justin﻿,20,0,willian gomes,CpjlXbAVUzVhW6bvGJt6mg,UCCpjlXbAVUzVhW6bvGJt6mg
DFYhZFq24-K_wsXJy7uUU2W30N_2b7RGVMcudlB6LQE,2013-10-20T15:53:27,2013-10-20T15:53:27,IM﻿ GONNA DRINK ...,IM﻿ GONNA DRINK CEMENT IM GONNA DIE THIS IS SO CUTE BYE,55,0,Breanna Hill,xxBreannaxx1000,UC40A-kjl-A_Ic1clUHULLzg
DFYhZFq24-Ks9vAm0zSWjGPHPDpGIr3qwxFg1VwhwEw,2013-10-20T15:47:46,2013-10-20T15:47:46,Hi Youtubers! We're ...,Hi Youtubers! We're sorry for bothering you but please take the﻿ time to read this comment. We're two cousins (Destiny&Hope) and we have a BIG dream : Becoming Singers. Singing has always been our passion. We live singing 24/7.. We also know that﻿ it's REALLY difficult to get into the music industry but we'll do EVERYTHING to get there. So.. Can you help us by checking out our covers and telling us what you think? It would mean the World to us.. THANK YOU SO MUCH! God Bless You.,483,0,DestinyHopeOfficial,LAswaggyGirls,UCGNyErhbTC9E9sa8Cvxbe0g
DFYhZFq24-JVrjZaw8-lDL7XYwiWYMZzKlwGw_50_4E,2013-10-20T15:44:50,2013-10-20T15:44:50,amou brasileira eu ﻿,amou brasileira eu ﻿,20,0,kimberly tabata,Lsj0B4yTP0AtPsD0Oo_KLQ,UCLsj0B4yTP0AtPsD0Oo_KLQ
DFYhZFq24-Idgh2SZxdpcIBhfgrodMLkEBEgQPBUCOo,2013-10-20T15:41:39,2013-10-20T15:41:39,when was it﻿ ever " ...,when was it﻿ ever "cool"?,25,0,llanelliscarlets2,llanelliscarlets2,UCRPu3ue8euvdOdMK0htg2hg
DFYhZFq24-L7135hsx1iF0tOQhq0xgaU1o0guj4NYrE,2013-10-20T15:31:46,2013-10-20T15:31:46,Cuanto a crecido ...,Cuanto a crecido orgullo de mi Kidrauhl﻿ lo amo y aun estoy aqui 20/ptc/2013,76,0,denys ruiz bojorquez,0lzEVFdCdxdEaAVY0v9CbA,UC0lzEVFdCdxdEaAVY0v9CbA
DFYhZFq24-IImCir6JfOBvkVmd6esTURH2ast8wwfVc,2013-10-20T15:30:48,2013-10-20T15:30:48,At this time a New ...,At this time a New RIHANNA SEX Video tape  had been leeched  I was confident this particular girl is really a true bitch   Take a look at her﻿ video here : daily-celebrity-gossip.eu.pn Its wild,193,0,Stone Crocker,XSNh1ebixo397ewdoJ85wA,UCXSNh1ebixo397ewdoJ85wA
