ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
_YIMRhWpZZmYIBDz7kvkG4LN5CGvJvJ7pJQLXcybBws,2013-10-20T14:03:37,2013-10-20T14:03:37,Love﻿ this song,Love﻿ this song,15,0,Debbie North,gremlim160,UCU_gw2-dss2FbDdHnMs-jwg
_YIMRhWpZZmCNaGifk5o5fyk-1pz1S_utJMftCvvz3I,2013-10-20T07:58:49,2013-10-20T07:58:49,I used to be so ...,I used to be so jealous  because﻿ she's with Zac. Oh childhood :),65,0,MammuWasHere,MammuWasHere,UCEhUdhKjFV1phLWxca44xsQ
_YIMRhWpZZlhXMS-15ZhYd9kVV9Dz9Bmp1FSe72ZX88,2013-10-20T06:05:52,2013-10-20T06:05:52,V  A﻿  N E  S S A <3,V  A﻿  N E  S S A <3,20,0,rosmelya perez,rohsm123,UCQdtYa3zid4vkcIckAxd63w
_YIMRhWpZZmSwBdmDysd8aDUchqniIU8O-9rsIcb-O0,2013-10-20T06:05:31,2013-10-20T06:05:31,Vanessa Hudgens <3﻿,Vanessa Hudgens <3﻿,19,0,rosmelya perez,rohsm123,UCQdtYa3zid4vkcIckAxd63w
_YIMRhWpZZn_ZqCl9hSZetNsx3MxVOwyIOslO0Gjl6w,2013-10-20T06:00:18,2013-10-20T06:00:18,Right now a whole ...,Right now a whole new RIHANNA SEX TAPE  had been leeched  I knew this particular gal is a true whore﻿   Take a look at her video clip right here : rihanna-new-sextape.eu.pn It's insane,184,0,Garza Cottathe,4Y3YcUnGPIzB-AeMAP8OWA,UC4Y3YcUnGPIzB-AeMAP8OWA
_YIMRhWpZZmCiG7qPy3sJyNJb7jAms1YokzosDucOKo,2013-10-20T04:39:02,2013-10-20T04:39:02,ID DRINK A GALLON ...,ID DRINK A GALLON OF VANESSA HUDGEN'S PERIOD BLOOD﻿,51,0,DoIphZiggler,DoIphZiggler,UCc2Q_-Uv0II34jcKhPAKLYw
_YIMRhWpZZkGr4x50gC2-_TDsRih1yIhbxPtx9mjTr0,2013-10-19T22:16:39,2013-10-19T22:16:39,No matter how old ...,No matter how old this is you﻿ can still listen to it when ur down :(,69,0,MegaBoobear24,MegaBoobear24,UChQSl_ykmBbuGCVstiJ4glQ
_YIMRhWpZZnk9KDmyc7KtXa_BNKK_lGFTB_B6WfFmRw,2013-10-19T22:12:10,2013-10-19T22:12:10,I could think of ...,I could think of ten things I would do instead than seeing this video! Haha. Should you agree  I want to tell you of this web site I found last week. I joined and have met so many nice people who I wanted to share with all my YouTube buddies.﻿ Here's the link to find the best dating website in my opinion. MyLocalDateFinder.co­­m,330,1,paulabteetsi,paulabteetsi,UCtkyoQaopNbrs77hlYhUDZw
_YIMRhWpZZkOUInCwgekI65k54MONAvhpp9f16hyoxE,2013-10-19T21:49:42,2013-10-19T21:49:42,This is on Just﻿ ...,This is on Just﻿ Dance,22,0,John Germing,johngerming8,UCXkL5MkU32C2EtM_9uZA0Fg
_YIMRhWpZZmb4Gbl7XyOv40_j5YT-gQ2ukrY2hrfcvs,2013-10-19T20:07:40,2013-10-19T20:07:40,OMG lol﻿ this song ...,OMG lol﻿ this song is SOOOO old... lol High School Musical :),61,0,boxerlvr1922,boxerlvr1922,UCqgPJqT-SjIdA41yp6_-bIg
