ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
i7HwjcLWkfX6byMWCN-3ybFHCB5CcpTf-rJshQolY0Y,2013-10-20T15:56:35,2013-10-20T15:56:35,If you want to see ...,If you want to see art I make look up icemistthewolf deviant﻿ Art.com,69,1,icemistthewolf hehescriblz,QsTFtJo_qI9AkpOEwXjyig,UCQsTFtJo_qI9AkpOEwXjyig
i7HwjcLWkfVprAKTLhjvsWv40m6VgdnjOQ-f4dDQt5w,2013-10-20T15:50:38,2013-10-20T15:50:38,Hi guys! If you are ...,Hi guys! If you are reading this  please don't stop! I'm a young YouTube who does gaming  rants  parodies etc. (I even play Slender! It's funny  you should check it out! It's called Kids Play: Slenderman! Find it on my channel!) I don't have alot of videos right now  but with﻿ the support I can get from you guys watching my videos  I WILL make more. Thank you for reading this! I'm AKkGames,392,0,AKkGames,_8WAjPzOsE0OjXMyeRZHiw,UC_8WAjPzOsE0OjXMyeRZHiw
i7HwjcLWkfXvj6wNbZVOrGpZUROtN9CPrO6I4Xv8o28,2013-10-20T15:40:45,2013-10-20T15:40:45,who would have ...,who would have known this panda grows up﻿ and became the dragon warrior to save China. Twice,92,0,omeletezzz,omeletezzz,UCVyQEeVueNzKYk2Afb_A4MQ
i7HwjcLWkfUj_z8IXdTMkGinlznC3C2zYC1aSUuU0_c,2013-10-20T15:25:12,2013-10-20T15:25:12,I'm pleased I have ...,I'm pleased I have a special someone to discuss this video with. Before a month ago I used to be by myself. I Then﻿ signed up for a dating website  and met somebody I actually like! If you want to know what web-site I signed up with  I'm just posting the url so you can give it a shot on your own. MyLocalDateFinder.co­­m,321,1,ruddyappendix3160,ruddyappendix3160,UCQF-T2mba4UbOhbGAicLKjg
i7HwjcLWkfWJy69Pq4M6ZYwOjOAueRyLYnqq2_BQ6xs,2013-10-20T14:42:00,2013-10-20T14:42:00,Currently a New ...,Currently a New RIHANNA SEX Video tape  had been leeched  I was confident this gal is a genuine whore   Take a look at her video clip right﻿ here : daily-celebrity-gossips.me.pn It's crazy,188,0,Yetter Spigner,28myLDeDzxE_g88JKQ5ruQ,UC28myLDeDzxE_g88JKQ5ruQ
i7HwjcLWkfXO1V5yNFC8xsXfvn5b3dJ_WK6XOx_yEag,2013-10-20T13:22:51,2013-10-20T13:22:51,J'ai tendence a ...,J'ai tendence a bloquer HIN ! Moi﻿ je suis la a cause des casseurs flowters :3,78,0,Spikergraffiti,Spikergraffiti,UCFsRNSk6kEUoceYc6ndTo-Q
i7HwjcLWkfXfIjRqX4SEs0t_Myp39uiUCF_BjBF2SQo,2013-10-20T10:46:25,2013-10-20T10:46:25,Hahahaha Rihanna ...,Hahahaha Rihanna just made a huge mistake She did not remember to switch off her web camera and you know what  You can﻿ view her have fun with her snatch  Watch the video for free right here :  daily-celebrity-gossip.eu.pn,222,0,Easterday Kerlin,JemVAD8CTHm5qk3-clU9aQ,UCJemVAD8CTHm5qk3-clU9aQ
i7HwjcLWkfWJOyH9-861IR3hq8b2zg33YcS0KepmPQI,2013-10-20T04:57:13,2013-10-20T04:57:13,Hahahaha Rihanna ...,Hahahaha Rihanna just made a massive error She did not﻿ remember to shut off her cam and guess what happens  You can view her have fun with her cunt  Discover the shocking video for free here :  daily-celebrity-gossips.me.pn,224,0,Thelma Martinez,3zOsE1CTpnIF8JoBPW2hfA,UC3zOsE1CTpnIF8JoBPW2hfA
i7HwjcLWkfWp486zwjvxM3jXFfs1wL9diur-I_B1auM,2013-10-20T03:54:37,2013-10-20T03:54:37,Wow   i just﻿ ...,Wow   i just﻿ watched a brand new adult video with rihanna She was fucking a black Basketball player  Watch her video right here if you wish:   crazy-celeb-news.me.pn,166,0,Stacy Smither,_sGjPYYpxlOf2ZbLxkn6AA,UC_sGjPYYpxlOf2ZbLxkn6AA
i7HwjcLWkfWjSPMZ4f2S31NFMumA0XeGD1-AGHOiNiY,2013-10-20T01:56:18,2013-10-20T01:56:18,Bless you.﻿ Mom ...,Bless you.﻿ Mom like"what just happened " LOL,45,0,QUE PASA,4UBdzQ5QdeJ8W1rNa2PWzg,UC4UBdzQ5QdeJ8W1rNa2PWzg
