ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
wIwjeXBr-sJJnFlVpoYZlGIiKWH5pt0ZYzQJF82_uIY,2013-10-20T00:25:56,2013-10-20T00:25:56,Your iPad must have ...,Your iPad must have issues then because﻿ my iPad 3 is great and it is running iOS 7.0.2!,88,0,ReyXtractor,ReyXtractor,UCT5iKvPbfVLwsfAQ_rN9jMg
wIwjeXBr-sI-5WGPku5Xbkom95Pgj0BS6bPthwbBRcM,2013-10-13T16:06:35,2013-10-13T16:06:35,I have a ipad 3 and ...,I have a ipad 3 and was thinking of selling and getting a ipad 4﻿ but I'll just wait for ipad 5,95,0,tomdude75,tomdude75,UCfLTm7f7UNi_zw1e2A2Jx2A
wIwjeXBr-sISSRPSXexMgz9295VsrYdidGVp5U4Gs8I,2013-10-12T16:10:46,2013-10-12T16:10:46,be﻿,be﻿,3,0,sylvixen15,sylvixen15,UCkTGPj2XtulLeW64TrLQvMw
wIwjeXBr-sLOsRzWV16y5rERElH6rLgRLY4N3UxifHA,2013-10-12T12:37:51,2013-10-12T12:37:51,I have iPad 4﻿,I have iPad 4﻿,14,0,The HQ,CrazyCouncilours,UC6G4T0kCOrD9JsfMEMvrpAw
wIwjeXBr-sIC2NgL7g3wNFIKiy9g0ozSirRjoU5XV-Y,2013-10-12T10:02:59,2013-10-12T10:02:59,I own iPad 3 and my ...,I own iPad 3 and my sis has﻿ iPad 4,35,0,Nicholas Thompson,iXjhHF-ih9VnIPDr7RYnng,UCiXjhHF-ih9VnIPDr7RYnng
wIwjeXBr-sKVmhEFG2euhRXU44UF47o_Eoqe6WqiPHg,2013-10-11T23:49:07,2013-10-11T23:49:07,That the iPad and ...,That the iPad and iPad 2 suckers﻿ such q liar,45,0,Emanuelramos82,Emanuelramos82,UCvD0U8XoN2NGmsaaPUlWW2g
wIwjeXBr-sIWnhMowteRI1fbGwq6Z_oKGynpxzAYtm4,2013-10-11T23:34:32,2013-10-11T23:34:32,Why is there so ...,Why is there so much iOS  7﻿ dislikes :{,40,0,The HQ,CrazyCouncilours,UC6G4T0kCOrD9JsfMEMvrpAw
wIwjeXBr-sJvOFlx53pTfO5rp79cG21bZyUkvRJ8HfQ,2013-10-10T17:22:17,2013-10-10T17:22:17,Lol they are the ...,Lol they are the same﻿ device. You are basically paying a lot more for the same iPad. Stupid apple.,99,0,xhotnatured,xhotnatured,UCgGl_682bJCLI4iqggDg6hA
wIwjeXBr-sK5h7hq4FRBhxd_9bLnGkDmUTFL0BUhRCs,2013-10-10T08:36:21,2013-10-10T08:36:21,The iPad 4 is ...,The iPad 4 is better﻿ then all the iPads put together and all of you know it!,77,0,Glarsen2521,Glarsen2521,UCBbsQX-JI_EOywLV5-k-RuA
wIwjeXBr-sL1s1N1IH_Pn4cs3qyNfEoHuBO9foPNrio,2013-10-09T16:06:51,2013-10-09T16:06:51,iOS 7 is﻿ shit on ...,iOS 7 is﻿ shit on the ipad3 slow as f"ck.,41,0,Drozee,Drozee,UCSxfvuthkd24XRyo6XvH-tQ
wIwjeXBr-sIWVd1-TBoacYqqK1UYTIFvDRuQX9A8JpI,2013-10-09T10:03:42,2013-10-09T10:03:42,Yeah man this site ...,Yeah man this site is just sending out free Black Apple new iPad's for today only.   You do have to be fill out your email id but it is legit  I claimed my one a few minutes ago. Better hurry up! UPAD3.COM  He tugged her over the threshold﻿ with his good arm  barely cognizant of her startled squeak before his mouth swooped down to cover hers,343,0,bharathy chockalingam,cbharathy,UC0RulQvmbNQI06byqQQVrOg
wIwjeXBr-sLNN827go4CeVsMPVSdfH7onJUe51yakIA,2013-10-07T23:58:38,2013-10-07T23:58:38,When first updated ...,When first updated ios 7 my sister did﻿ it to and she got locked out!,69,0,Andrew Yetter,c34gmen,UCzkgnxAKLzglp63W8cua1Cg
wIwjeXBr-sKH2vBka2fwqPMvzef-Odud44-U7O0jpwY,2013-10-07T06:27:43,2013-10-07T06:27:43,I have iPad 4 have ...,I have iPad 4 have iOS﻿ 7,25,0,sommer mort,ICYHN28WhW4ItGEyb6k1iA,UCICYHN28WhW4ItGEyb6k1iA
wIwjeXBr-sIX2a3GOx-l57QnGuAI0k9ZCQIWW0g3yr8,2013-10-02T12:17:41,2013-10-02T12:17:41,I got ipad 4 i ...,I got ipad 4 i would of﻿ gotten 3 but they didnt have it so i got ipad 4,72,0,LetsHaveRandomFun,LetsHaveRandomFun,UC111pVnmpygc6Qz4OYuRlBQ
wIwjeXBr-sLzOhXUFzGl3lASCFcyN6Mkm5IVQw_ez40,2013-10-02T01:02:14,2013-10-02T01:02:14,haha i tried to ...,haha i tried to play to temple﻿ run games if i had to ipads,59,0,neto6230,neto6230,UCLgCYL3goLfp5ggECzJ7MUg
wIwjeXBr-sI361CJlYMrdm8K88af5JxDX7Qa1TfmR-w,2013-10-01T14:21:14,2013-10-01T14:21:14,I notice the ...,I notice the difference when you play intensive games like modern combat 4 and Nova 3.  Playing on iPad 3 is really good  but you will still feel that ipad 4 performs smoother.﻿ But I agree upgrading from ipad 3 is not wise.,224,0,Pipiw12345,Pipiw12345,UC95aVqJok_fFSdRZi-3YNxw
wIwjeXBr-sKghBquX3bI5ZKinwXNSg_F1di4Njw75FE,2013-09-30T16:35:50,2013-09-30T16:35:50,ipad 4 only £ ...,ipad 4 only £9999999 but its faster then the iPad 1 and its got a new dock connecter so i hope you like﻿ buying new accessories,127,0,cryotic wolf,CryVShorror,UCF_u5YDc5fNbwpiFNr_JPug
wIwjeXBr-sKed8X_3-weh15J2gFg8j41dRifPHfTcQE,2013-09-29T23:51:06,2013-09-29T23:51:06,The ipad 3 is ...,The ipad 3 is better it's the same u just save a couple of bux because if u can't Waite a half a second u have﻿ problems and besides I have the ipad 3,150,0,kerron maittia,tRlQ5KvzuphGMnp4P3CXAw,UCtRlQ5KvzuphGMnp4P3CXAw
wIwjeXBr-sJHPJ9WpwHU9RqWLbSBbTH31EXA2dZactw,2013-09-29T17:46:00,2013-09-29T17:46:00,Lol getting an iPad ...,Lol getting an iPad 4 from the 3 is for those who honestly want to have the latest product to feel good about themselves. Getting it from the 2 is more﻿ reasonable.,164,0,MJ99,EUHS42ThBJz-s9EzOdYOAA,UCEUHS42ThBJz-s9EzOdYOAA
wIwjeXBr-sJcjLjn6mFVnQIc1Pk1S5rjxhBM6nUb6-4,2013-09-29T02:04:49,2013-09-29T02:04:49,The iPad 3 win like ...,The iPad 3 win like 3 times that you said that the﻿ 4 won,57,0,Bryan Wallis,bwallis100,UCceVHexmY_f4evmx6fTyiVQ
wIwjeXBr-sJkBOFY3IliAj1F9eMNQTkuJXd60ZLagRA,2013-09-24T18:57:48,2013-09-24T18:57:48,If you cant﻿ wait 2 ...,If you cant﻿ wait 2 seconds to open an app  you have problems...,64,0,Andres Romero,AndresRomeroBlog,UCpi4EIKZvT7s2T4uVmBv1GA
wIwjeXBr-sJ-2kfir3DLjkJkUx1jhef3zJPa8RcFDHU,2013-09-24T16:22:59,2013-09-24T16:22:59,What the fuck﻿ ...,What the fuck﻿ theres an ipad 3?!??!!?!?,40,0,josephthefirst1,josephthefirst1,UCQrxmTwlnxcMShkUEnZ7jsA
wIwjeXBr-sI2mDoX3TGzvlHzAuCzsBHMS425BWCBx2I,2013-09-23T16:17:05,2013-09-23T16:17:05,White﻿,White﻿,6,0,nurideen kalmey,ElTkEI0NLn0thIs6Zkm2qA,UCElTkEI0NLn0thIs6Zkm2qA
wIwjeXBr-sJ6tV-tj6GtPhDbF70WEN9s5sJoNWorStA,2013-09-23T16:14:59,2013-09-23T16:14:59,Oh sure make the ...,Oh sure make the slower one black and the﻿ faster one wight,59,0,nurideen kalmey,ElTkEI0NLn0thIs6Zkm2qA,UCElTkEI0NLn0thIs6Zkm2qA
wIwjeXBr-sKTD1x1CeuywDgtOaqvPUhUmQTofDrlXdw,2013-09-20T18:23:29,2013-09-20T18:23:29, ...,uouououououououououououououououououououo ﻿,42,0,angel bozhidarov,QiUpO0BRmP9flvI0L2PrJg,UCQiUpO0BRmP9flvI0L2PrJg
wIwjeXBr-sK7Tv7Vh_HYz4wTtSUq_DWWMZFjj_O-oAM,2013-09-19T20:35:23,2013-09-19T20:35:23,I own an iPad 4 ...,I own an iPad 4 and﻿ it's amazing!,34,0,jpetrillo13,jpetrillo13,UCHTQMBatG0zoK-7SwpRxmlw
wIwjeXBr-sJvM47_6mK0U5jDbqUoHneEl8RZJstPZ30,2013-09-18T12:48:13,2013-09-18T12:48:13,If someone is ...,If someone is interested in knowing more about﻿ iPad:  ｗｗｗ.ｉｐａｄｌｅｓｓｏｎｓｇｕｉｄｅ.ｃｏｍ,79,0,Mike1990omg,Mike1990omg,UCcqKNzTJYLeMPTcGuKYorzg
wIwjeXBr-sLL4y3twIgfPum4HUV7XEZ-6ulWGzHmANc,2013-09-15T17:11:11,2013-09-15T17:11:11,''Hey guys it's﻿ ...,''Hey guys it's﻿ Branaminimn'' Haha.,36,0,iStachMovies,iStachMovies,UCUVq-AKVFnzTk_KY95-1qjw
wIwjeXBr-sIFqP3PiYD4dwVxC3k5xRzBWxRXF9KTw74,2013-09-15T17:01:02,2013-09-15T17:01:02,IPAD﻿ 1 xD,IPAD﻿ 1 xD,10,0,vTunezArt,vTunezArt,UC-mGW7PPiPyUg5wkwGnyZ6Q
wIwjeXBr-sJQqFvxmSjTCWfL7J7nI8u5V5oe5g2Z01Y,2013-09-14T17:07:27,2013-09-14T17:07:27,Enjoy using apps on ...,Enjoy using apps on your smartphone??? Why not get paid for it... Its as simple as downloading and opening a new app for only 30 seconds. Just go to bit. ly/appdollar (no spaces) on your mobile web browser to get started. I've earned almost $100﻿ in amazon/ itunes giftcards already and there's much more to choose from!...still not convinced? check out my videos to see just how easy it is to get your first giftcard.,418,0,oobertuberdude,oobertuberdude,UCnrQEMcCLRj4vKc71xIEolw
wIwjeXBr-sJmnIlnm7eloajw7mP7N4XmKjGuNz90d9Y,2013-09-11T00:07:03,2013-09-11T00:07:03,isnt it freaking ...,isnt it freaking obvious? lol its mainly to show people who already have an ipad3 whether it not its a good idea to buy the ipad4 or for ipad4 owners﻿ to find out how much money they wasted on something thats exactly the same as the ipad3,238,0,megaspeed2v2,megaspeed2v2,UC3EDG6lvNaWdcpXtH4pbHow
wIwjeXBr-sK8SdBZjdjYXSJ78NQsZYgPRGyzPZIkbNw,2013-09-10T17:53:53,2013-09-10T17:53:53,thank you for the ...,thank you for the video. I am a college student   I have a macbook but it takes up a lot of space in my school bag. Need something smaller    I have been looking into ipad's  and researching to figure out which one is best for college. I need to record lectures via videos  check blackboard  and do papers. etc. typically college student. Thank you for the video helped me﻿ narrow down my search to ipad 4 64gb,410,0,Lori Sanders,stripesdrummin,UCJDoCpy_xr2u2qRTueSA4qQ
wIwjeXBr-sIzqMhRsX5xCnLh-f37bvL0jpNRM1C7zHc,2013-09-09T07:04:32,2013-09-09T07:04:32,ipad mini = ipad 2 ...,ipad mini = ipad 2 with smaller screen  but same internals  so I doubt﻿ your statement.,87,0,Bavly Hanna,bav13,UClzYDFs2UbCJ9B80JObuOxw
wIwjeXBr-sL8WbFp0-R8kCNyx0fPj7EqMauprhu9S6A,2013-09-09T07:03:18,2013-09-09T07:03:18,You can't run﻿ ...,You can't run﻿ speed tests on 2 devices on the same network at the same time. You'll get bad results because speed tests max out your bandwidth and you'll have 2 devices competing for it. Terrible test methods,209,0,Bavly Hanna,bav13,UClzYDFs2UbCJ9B80JObuOxw
wIwjeXBr-sJAkAMGe8bRG9CxE-Wan8rzIuuKqJ8L52g,2013-09-08T19:27:41,2013-09-08T19:27:41,Why would﻿ you try ...,Why would﻿ you try this to begin with  we all know the ipad 4 is gonna be faster,80,0,Deejay JeanP,SouthSideProRider,UCJBg13sE0NrhVyrL8Pkb1Pw
wIwjeXBr-sI9XkH5UQrMUX30VwmLCIouHHgoX4QaLko,2013-09-08T05:53:41,2013-09-08T05:53:41,You can get free ...,You can get free apps for iOS and android. 1:Go to featurepoints .c o﻿ m and﻿ use code QINJ53﻿ for bonus points when﻿ you sign up  and earn more by watching videos and downloading apps. 4:When you﻿ have enough points you'll be able to get free apps  gift﻿ cards and﻿ other stuff for free.,288,0,TheTuri24,TheTuri24,UCnnMivMUkZ9k6Ui-8ai66ww
wIwjeXBr-sJ5noi9qRzRxOHeKbnm90k0J_eG3dSFJNQ,2013-09-08T04:50:06,2013-09-08T04:50:06,i never knew there ...,i never knew there was﻿ an ipad 4 lol,37,0,wtfproductions342589,wtfproductions342589,UCJ3kvFuzgW-_DnMuJVkjGzw
wIwjeXBr-sKg8O3xAH6VNmVqxa0YaFfHjPg3qek4y78,2013-09-03T12:21:25,2013-09-03T12:21:25,This dudes idea of ...,This dudes idea of two﻿ seconds is grossly inaccurate.,54,0,ThePoorLord,ThePoorLord,UCFM8fgO4CT_yvKpsN0LGLzA
wIwjeXBr-sIEcMJbjBO4XBR99KUr1eFSaAXmf7wphGw,2013-09-02T00:15:07,2013-09-02T00:15:07,My iPad﻿ mini is ...,My iPad﻿ mini is faster than my iPad 3 for everything sep for wifi speed for some reason,88,0,Jordan Cato,mjcato1,UCNysC1-HVAWg7j9NagfsMuA
wIwjeXBr-sJ9qsEeKrD8P2M9UvOoV23bxUEcfbR8uak,2013-09-02T00:10:51,2013-09-02T00:10:51,only found out ...,only found out today the the ipad 4g wasn't the mini and kinda annoyed as I got my ipad 3 2012 August and ipad mini from cex 2013 june and﻿ thought i had the lastest ones  only if I knew about them a year a half ago and even the ipad mini 2 is coming out soon,259,0,Jordan Cato,mjcato1,UCNysC1-HVAWg7j9NagfsMuA
wIwjeXBr-sKWq525dokQdeTPHFunVrpommJTm9dYR2I,2013-09-01T08:09:40,2013-09-01T08:09:40,2 seconds is a lot  ...,2 seconds is a lot  just like in a car were half a second faster car can﻿ make a huge difference,96,0,Aaron Serrano,AaronEmerald,UCQkfBJ_sBBHDXUI9yfcF66g
