ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
APnMJgW_Qw2aGBN6xfJr9vaffi0MulfNI06Bc8WzzVM,2013-10-20T16:54:59,2013-10-20T16:54:59,I miss this Miley.. ...,I miss this Miley..Ole country singin﻿ Miley,44,0,Just That .Hippy,ShakuwraLovesJacob,UCSkqU92Ctm5lOs2rJbPGRoA
APnMJgW_Qw0PGoKNBaZ-m9KtEdF3GnSaCRQStBI5ROo,2013-10-20T16:24:36,2013-10-20T16:24:36,I like this miley ...,I like this miley when﻿ are we gonna get this miley,51,0,Ismagnola Jean,RRAYxshC-gbCH15-lG7HKg,UCRRAYxshC-gbCH15-lG7HKg
APnMJgW_Qw1pTGQn0H6lnVmmgvvFXI_uvz_G4WAQX_w,2013-10-20T16:06:14,2013-10-20T16:06:14,her﻿ eyes,her﻿ eyes,9,0,Agata Z,GWKgTTfFVv3_XqQGJcLa2w,UCGWKgTTfFVv3_XqQGJcLa2w
APnMJgW_Qw1DQnZWEEVA0N0fYv9cYz-t5-3E0TlSR4Y,2013-10-20T15:55:12,2013-10-20T15:55:12,miss this miley xx ...,miss this miley xx :(﻿,22,0,naomi♫♥,azDs_Oe1qx5CGylTvLSW0w,UCazDs_Oe1qx5CGylTvLSW0w
APnMJgW_Qw0bhWzYuPl30meSt3acwNunYml8OnjNrHg,2013-10-20T15:36:00,2013-10-20T15:36:00,People change and ...,People change and you can't stop it. You can't help it but to say I miss you  old Miley.  You﻿ were once a role model. Maybe still are. Or maybe not.,149,0,Estelle Chen,oWxZOrBp-nMcSBgseMaygg,UCoWxZOrBp-nMcSBgseMaygg
APnMJgW_Qw3ca178bn1hI0P28LFs_PvYh4l5wZnEYtk,2013-10-20T15:34:11,2013-10-20T15:34:11,i couldn't agree﻿ ...,i couldn't agree﻿ more. smiler for life!,40,0,keeshacakes,keeshacakes,UCwUeuAXjNnV77qMm3QijfCg
APnMJgW_Qw3zwDGLjczVnJHXlclFciRc9OTZ78xdJS0,2013-10-20T15:12:39,2013-10-20T15:12:39,מיילי﻿ סיירוס שולטת,מיילי﻿ סיירוס שולטת,19,0,פז שר,iqsCkk0Z0zTqEHqTJzk07g,UCiqsCkk0Z0zTqEHqTJzk07g
APnMJgW_Qw2MfDOKVOIUi5xfXzThmy4cbPa8Z_HiL-Y,2013-10-20T14:46:24,2013-10-20T14:46:24,اعجاب﻿,اعجاب﻿,6,0,يوسف بازوكا,eBhUSiPBTwp40JM8LxvoAA,UCeBhUSiPBTwp40JM8LxvoAA
APnMJgW_Qw2xdH62iL6dcy83y6t7II5YDUVzyo_eQL4,2013-10-20T14:24:19,2013-10-20T14:24:19,That like my﻿ life ...,That like my﻿ life n it my favorite song ❤,42,0,Lilyshoe70,Lilyshoe70,UCv7FTjLZb2TvoPUf2Grb9qA
APnMJgW_Qw2q_kJGd8GqQBxIofu66NlcLjLYNwnsqvE,2013-10-20T14:23:54,2013-10-20T14:23:54,The Cyberspace has ...,The Cyberspace has a lot of funny video clips! I will  bring﻿ this one up with my date over the weekend. I used to have difficulty meeting people  however since I signed up with particular dating web-site  I have been meeting all types of great people. If you are lonely and looking  visit this web-site to meet interesting individuals. MyLocalDateFinder.co­­m,360,1,faviolagjaquab,faviolagjaquab,UClKYEiWPpduwcZ8iJ2_QADA
