ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
TfQBMJwYmqVj7UqMBtEVM-M7sfm7OeVaXgUZ6CUTZbw,2013-10-18T15:57:42,2013-10-18T15:57:42,xxx﻿ com,xxx﻿ com,8,0,mobilplus35,mobilplus35,UCA3rsGqtO8XL_uabqP2kyZw
TfQBMJwYmqWMpq856sBbzAKYOkNkUVq3yHfR7JYvsu4,2013-10-16T09:18:41,2013-10-16T09:18:41,Kamle﻿,Kamle﻿,6,0,Pradeep panpagar,CZSqK0_jHCFoeotKFVEDTg,UCCZSqK0_jHCFoeotKFVEDTg
TfQBMJwYmqX3J__22TA8Ta5AOk_jSYvGeuuuYXi5mGU,2013-10-11T03:36:22,2013-10-11T03:36:22,alba cool﻿,alba cool﻿,10,0,SensitiveTitis,SensitiveTitis,UClfQFMoa82XXEPq27fopShg
TfQBMJwYmqUTh0Y1Pv2VC86Up_LO_zlFNrAIh6pHIfs,2013-10-09T16:50:39,2013-10-09T16:50:39,You will understand ...,You will understand that disturbing occasion when your brother (who's been a loser forever  it should be said) gets an amazing woman to fall for him in a couple of weeks? Yep  that﻿ just occured. I know I should think well done  nevertheless I want it to be me. He stated he applied the the Cupid Love System (Google it). I want to hide out inside a cave instantly...,367,0,Svetoslav Ivanov,hackysvetlio,UCdCEN2xaGCydrjbkOtgh2eA
TfQBMJwYmqU2JuFOWiz6vxJe3lLV-NSJl35m85RFzIw,2013-10-08T16:47:18,2013-10-08T16:47:18,Yf﻿,Yf﻿,3,0,Anu Ahuja,z6be3r3yVM-tbnL2xMqNfg,UCz6be3r3yVM-tbnL2xMqNfg
TfQBMJwYmqUAFIECQY5gkqqg9DYsatqHhrpjCN3pQLs,2013-10-01T06:47:21,2013-10-01T06:47:21,I'd like to ...,I'd like to discover ways to have more sex.﻿ My good friend has begun seeing a ten simply because 8 weeks ago he registered to a site called Master Attraction (Google it if you wish to learn how.) I'm jealous because I wish to fall in love too. I'm going to take a look at this Jake Ayres man's emails to check out if it might help someone like me. Odd point is  my friend used to have Zero good fortune with girls. How does one improve so fast? His lady's a banging model!,473,0,Vivian ney,viviann3y,UC6WGZmJ_1qicVmaXHvXLZrw
TfQBMJwYmqXIaCIC7SRl9VGdeU-bZXjkRG-cdnkK16k,2013-09-28T14:09:51,2013-09-28T14:09:51,Trust in the Lord ...,Trust in the Lord JESUS CHRIST with all your heart and lean not on your own understanding. Trust JESUS CHRIST  make Him﻿ the Lord of your life !,144,0,VIPrtn,VIPrtn,UC93byhI70zTYFDY6zsSuLdQ
TfQBMJwYmqWoz2BfdLwkHNj89-h5Wft30IF810-96eM,2013-09-23T17:57:28,2013-09-23T17:57:28,Www﻿,Www﻿,4,0,himanshuonfun25,himanshuonfun25,UCT7qmhmtRQdVcDJpzBUNJwQ
TfQBMJwYmqW7lXvxNi9XvYA4QYYDpAcQvDn1QELaqHY,2013-09-21T12:33:50,2013-09-21T12:33:50,Hot﻿,Hot﻿,4,0,Pravin Pandey,tqnJ74m0HF5GtV0yOU4K2Q,UCtqnJ74m0HF5GtV0yOU4K2Q
TfQBMJwYmqUn39RP0PazhzjpoXLwOtLjt423GO0ktsc,2013-09-05T03:24:28,2013-09-05T03:24:28,Bkuuk   k kk﻿,Bkuuk   k kk﻿,13,0,Vaideeswaran Ganesan,vaideesg,UCu4xPOVDbqZD5YaPOGr90BQ
TfQBMJwYmqWz7tNrdljhzdIQe1EmBq4aWl7YClDIS0Y,2013-09-04T01:29:35,2013-09-04T01:29:35,Ok﻿ like this.,Ok﻿ like this.,14,0,Purusottam Bista,lLBrDJZjdLARE3ETR5G3yQ,UClLBrDJZjdLARE3ETR5G3yQ
TfQBMJwYmqViXXQ8zYUrnPZXk66Bz9FiI_-CLhMEhEY,2013-09-01T22:18:09,2013-09-01T22:18:09,HOOLY FDUUUUU﻿ 125 ...,HOOLY FDUUUUU﻿ 125 MILLL ALSDASKDğsd,36,0,Dombaili,Dombaili,UCKc7PRUqv12V17w0dv9Q4Zw
TfQBMJwYmqVPriTTTVY2f-ZbQ5CVbjJ0zMBtB86iMEQ,2013-08-26T11:32:10,2013-08-26T11:32:10,Xnxx﻿,Xnxx﻿,5,0,حسين  كامل,2cuZrq0JWikg-g-mePO-2w,UC2cuZrq0JWikg-g-mePO-2w
TfQBMJwYmqUCCyaL6eB3panZuzPLLJvJrIXZ4NVyp08,2013-08-25T13:58:14,2013-08-25T13:58:14,I love her﻿,I love her﻿,11,0,Celebs Nu-de,CelebsSexyVids,UCM4KTn40g0yycfExpZPXcrQ
TfQBMJwYmqV4crsjvySSyo9_TiODysMFVKiBXpsDefY,2013-08-23T01:06:49,2013-08-23T01:06:49,Yaya﻿,Yaya﻿,5,0,zaza mamati,SKa8IrAimDka3dDJxmArFQ,UCSKa8IrAimDka3dDJxmArFQ
TfQBMJwYmqUsmy8GuCNZ24PVfd0BjYjvdFFjI4Nx19U,2013-08-22T20:52:04,2013-08-22T20:52:04,Xxxx﻿,Xxxx﻿,5,0,abdul motin,qP93fZNYE3_iJR5zZzqJsg,UCqP93fZNYE3_iJR5zZzqJsg
TfQBMJwYmqXvzxI6XOmtmP-kiws34QYaO1kDNLZgG_A,2013-08-19T05:44:37,2013-08-19T05:44:37,ليش الناس صايرة ...,ليش الناس صايرة ماتستحي شنو هالتعليقات﻿ الزبالة,47,0,gff391,gff391,UCsfBzrnnEdMDwX2JmJvpXUg
TfQBMJwYmqXC0qmVSKAYquye0ZSCcnQN_YgGlPhJDxQ,2013-08-17T18:37:28,2013-08-17T18:37:28,ايها الممسوخين ...,ايها الممسوخين يااهل﻿ الخليج عذبكم الله,39,0,ali zachi,jtJJ59TW9kkuXCErVhq7rw,UCjtJJ59TW9kkuXCErVhq7rw
TfQBMJwYmqWbWGQlcqL76fvVOWsfSuYg3BGVzLnKOU8,2013-08-12T21:59:13,2013-08-12T21:59:13,كسي ولع﻿ نار ابي زب ...,كسي ولع﻿ نار ابي زب طويل,24,0,asdzxzx55664,asdzxzx55664,UC6-ZHTLfTg_HZr3YScGN63g
TfQBMJwYmqV5rHoaCIXYJkHPisRsS0xvb62Lto8hzfQ,2013-08-01T23:33:47,2013-08-01T23:33:47,Mbuh﻿ ya,Mbuh﻿ ya,8,0,marshazza1,marshazza1,UCFj2hFmK7ZmiUWddYmzfYNQ
TfQBMJwYmqV6rtolkhI-fEpWXk5fgpB37iV-S6VDR3A,2013-07-29T11:11:03,2013-07-29T11:11:03,125 million views?? ...,125 million views??? HOW IN THE FUCKING NAME OF WHAT THE﻿ FUCK,62,0,ChloeGfan,ChloeGfan,UCGP8MWuyzTqXtaoOe3HpBqg
TfQBMJwYmqWxx71fm3nOQwlQN42KFxJUBZ0-zSdnU_E,2013-07-20T21:30:43,2013-07-20T21:30:43,Alright. I'm pissed ...,Alright. I'm pissed. My cousin lives in the opposite room and he just grew superb at obtaining females. The guy discovered the Master Attraction website by Jake Ayres (Google it). Now I hear him bringing ladies back. He's﻿ continuously having females back and I can't help but hear it  which is yucky. I wish he never found that site.,334,0,vlad vlad,muzicadrog,UCuSzJ7jhQQc_AMVsExz1YcA
TfQBMJwYmqXA3Urjh2lxOXgziD5_eEXuU1Qcr9nZmzo,2013-07-19T22:45:13,2013-07-19T22:45:13,SEX!﻿,SEX!﻿,5,0,Xforeverlove21,Xforeverlove21,UCSqW13nhTIN7bm5BfH3mq-A
TfQBMJwYmqUUCLoq9tLfWKNEGt5f9yWbadAImdNT4J8,2013-07-18T14:02:33,2013-07-18T14:02:33,يالبيه موزة يالتني ...,يالبيه موزة يالتني بدال الرجال﻿ نيك,35,0,عبدالرحمن القحطاني,lj3qDNW9Nm7QWIGWEBxoLw,UClj3qDNW9Nm7QWIGWEBxoLw
TfQBMJwYmqVHoXKmLCrC2QhmXh0Rp84JMtp4l9YITHA,2013-07-17T15:34:37,2013-07-17T15:34:37,Jessica Alba's﻿ ...,Jessica Alba's﻿ boobs brought me here,37,0,75veto,75veto,UCbbyCRAfHuFsj-GGaWGcYdw
