ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
Dl0fqkQMI3N3fgQcZvp1EMqJdtmUkRdaJs2SpmlJECA,2013-10-20T17:16:02,2013-10-20T17:16:02,Recommend:  Apple ...,Recommend:  Apple iPhone 5 (Latest Model) - 32GB - Black Unlocked NEW Price:$385  Samsung Galaxy S4 S IV 4 with 16GB New White Price:$360  Apple iPad 4th Gen 32GB Unlocked Wi-Fi+4G 9.7in﻿ White Price:$390  LED 3D HDTV: Panasonic 65-inch Price: $460  Apple MacBook Pro 13-inch: 2.5GHz Intel Core i5 4GB/500GB Price:$430  All-in-One PCs: Apple MacBook Air Price:$320  Canon EOS 60D Digital SLR Camera 50mm 18-55mm Price:$360  ******************    Purchase online Website is:  Gaeee.com,484,1,king jim,XRDgi4t6OHIPhUSIlzKJng,UCXRDgi4t6OHIPhUSIlzKJng
Dl0fqkQMI3OvgfhBNMJ6YQQlOl590lyP0ydlkpWT81M,2013-10-20T17:12:45,2013-10-20T17:12:45,like a﻿ coment and ...,like a﻿ coment and then type 1337,33,0,FarikoJumpy,FarikoJumpy,UC6OU_u2yVOTBRPLELeSHpLA
Dl0fqkQMI3NO6sXIu2AD9EafbZCs6ndN2h_ByeAFBsY,2013-10-20T17:11:09,2013-10-20T17:11:09,Pls visit ...,Pls visit redmsquare(.)com  Thank﻿ you :),41,0,ranvids,ranvids,UCoJMqsXKjKQ0JqDFe22JwIw
Dl0fqkQMI3NC6esUALhPRKEF5UF1vlS1itg35OgUN_E,2013-10-20T17:02:08,2013-10-20T17:02:08,I love﻿ this song,I love﻿ this song,17,0,Marissa Martinez,ThKpQyjpEcPV3u-peOQvYw,UCThKpQyjpEcPV3u-peOQvYw
Dl0fqkQMI3MqiMBvtHKXMFn4ar4JVn5-kxgBSztkZyQ,2013-10-20T17:02:02,2013-10-20T17:02:02,In DA STOP the ...,In DA STOP the music verse (Everydayshufflen)  Suggest  saying ( WHAT﻿ IS YOUR WISH SEXY BABE)  NICE THAKS,106,0,Christian Gudaca,VzXI-nq7oXIt1ykrPDPiEQ,UCVzXI-nq7oXIt1ykrPDPiEQ
Dl0fqkQMI3MUTsO4yDU87pNku55jqe7x04Wxu_dY3Fw,2013-10-20T17:00:40,2013-10-20T17:00:40,Hey want to be rich ...,Hey want to be rich like me? Just invest﻿ your money in stocks and bonds! Thats right buy all the chicken stock and DVDs of James Bond you can get and maybe someday you too will have mad bitches on your dick like me.,216,0,Walternumnuts,Walternumnuts,UC-q7BLKaXU59-6SuAn59R8Q
Dl0fqkQMI3M6fqyI9dX0KoBkdLXbT2Gw0lHUOud6lhE,2013-10-20T16:55:06,2013-10-20T16:55:06,background people ...,background people were really﻿ cool,35,0,MyJojo2013,MyJojo2013,UCMYx3A30kinpKH4YRLfml9A
Dl0fqkQMI3P31zs3bffWrE7_muxPtiB0lMNGoAkwZks,2013-10-20T16:53:12,2013-10-20T16:53:12,hi my name is ...,hi my name is giovanni leone i like your song i love it so can you﻿ sing it again thank you,91,0,bearclaz,bearclaz,UCLoU6PYG7LbnxJDt6pHkBxg
Dl0fqkQMI3M1Sc6uQsWFAefIwVhPzZwXn_Hx7ZcLdUY,2013-10-20T16:50:05,2013-10-20T16:50:05,N A R N I A . ﻿ .  ...,N A R N I A . ﻿ .  . <3,23,0,Moises Emanuel Ramos Gonzales,t1WhhWFiDzWfYp0xlMQxjQ,UCt1WhhWFiDzWfYp0xlMQxjQ
Dl0fqkQMI3P2ELqU-gMpKa5AEZynnfIq67tTsKOzMk4,2013-10-20T16:42:35,2013-10-20T16:42:35,3﻿ D dabredilebi :D,3﻿ D dabredilebi :D,19,0,gocha tavadze,Xz3yriQc-lyoAErEf9-iGw,UCXz3yriQc-lyoAErEf9-iGw
Dl0fqkQMI3O_dbM26w8kGhrLNKMIyOw87G0muRG6r10,2013-10-20T16:39:44,2013-10-20T16:39:44,Cool﻿,Cool﻿,5,0,titobx69,titobx69,UC9thYA6ljxlOGQOH5SGv2Aw
Dl0fqkQMI3Mt5goNsphXiiGehFJ_oNM6KY-K-g8Nsv8,2013-10-20T16:39:16,2013-10-20T16:39:16,Cook﻿,Cook﻿,5,0,titobx69,titobx69,UC9thYA6ljxlOGQOH5SGv2Aw
Dl0fqkQMI3NVWUlCxVKUcQ8GsGbdaOea5LJ7ahy62cs,2013-10-20T16:39:03,2013-10-20T16:39:03,klip very bad﻿,klip very bad﻿,14,0,ELGUN ORUCLU,KingBaku90,UC4qJ-NDe3pLmBCcXi8diR3w
