ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
0Ipo_sSPLE0YBlkqklXbqT65kHzG_IdPT6UqAnowG2U,2013-10-20T16:34:08,2013-10-20T16:34:08,que lindo﻿  dá uma ...,que lindo﻿  dá uma peninha﻿ do bebê...,38,0,Amanda Lima,amandadesigner,UCgPEs7TA7dnfStX54OkE1Aw
0Ipo_sSPLE0hdZR6cVMiEmY9ZBsirOQ4a4v8h5qRzcg,2013-10-19T15:05:46,2013-10-19T15:05:46,pessoas metidas que ...,pessoas metidas que ficam fazendo comentários 'sentimentalistas' nos  videos﻿ .meu deus.,88,0,Alexandre Bello,F1fbq1aGu3aZu1dvneHjuQ,UCF1fbq1aGu3aZu1dvneHjuQ
0Ipo_sSPLE1g7K-LrK71SUUAFkGNhy56JJ0OExurUrQ,2013-10-19T04:37:11,2013-10-19T04:37:11,Que lindo﻿,Que lindo﻿,10,0,diogomaksimczuk,diogomaksimczuk,UCMpPIkRuD0M6uS9E_Rzhzfg
0Ipo_sSPLE0RL9TJ12DCf55Y4-3yyeiBGwgswi1tP1Q,2013-10-18T22:09:40,2013-10-18T22:09:40,monster high eu sou ...,monster high eu sou sua fa eu﻿ mati a forminginha,49,0,Cauany Cacau,elbX7h9tscZStZY6D9XcOQ,UCelbX7h9tscZStZY6D9XcOQ
0Ipo_sSPLE3wdJnbfGxJhOMLcVP463FT6QYG5It5JgM,2013-10-18T20:13:04,2013-10-18T20:13:04,eu﻿ mati kkkkk,eu﻿ mati kkkkk,14,0,Monster high Monster high Mh,NlpzzTJU6kHyoNcjthFj_Q,UCNlpzzTJU6kHyoNcjthFj_Q
0Ipo_sSPLE3sttJzVEtnnu0wDWOVmXeCBxPVOaND3as,2013-10-18T17:08:38,2013-10-18T17:08:38,owntt﻿ q ...,owntt﻿ q lindooouuuuuuuu,24,0,natalia peixoto,FB_P1fhFq1A2M1fVQN5kew,UCFB_P1fhFq1A2M1fVQN5kew
0Ipo_sSPLE0ygG0lqDmf2Yw9OnlE45X_Iyn2XZLhD_w,2013-10-18T13:44:52,2013-10-18T13:44:52,emociona...e são﻿ ...,emociona...e são﻿ gêmeos com personalidade e sensibilidade diferentes!,70,0,Deise Sousa,deisececi,UCiZnoinn4TDOTzM7C1r43KA
0Ipo_sSPLE1EGAei2CmbIAUXkjQ-w4L0q3aWFiniEMs,2013-10-17T23:26:23,2013-10-17T23:26:23,Now I'm here ...,Now I'm here watching video clips and had to say something about this one. I hope my date will hurry up to get here! Since I signed up on this dating site  I have had so many fantastic dates! So I am thrilled with my date﻿ for tonight. If you need to meet someone  I suggest visiting this website. MyLocalDateFinder.co­­m,321,1,earsplittingqua3204,earsplittingqua3204,UC5KUm3ajSqy7pdWo9q58jTQ
0Ipo_sSPLE3iZELYmDbZCu222nPx2OGDUAgFtZr4LqA,2013-10-17T19:32:46,2013-10-17T19:32:46,Que ele continue ...,Que ele continue para SEMPRE com esse sentimento para com os animais...QUE LINDO!!!﻿,84,0,Michelle Vieira,9V-XgaJiT2WYXDsLIwE71g,UC9V-XgaJiT2WYXDsLIwE71g
0Ipo_sSPLE3x_iD92WOhioXFDDPe-5IPXIdFnkBZ6Sw,2013-10-17T16:25:35,2013-10-17T16:25:35,ke dó﻿,ke dó﻿,6,0,furquim4,furquim4,UChRGiXXueb1nOAL5vogBBEg
0Ipo_sSPLE0d3Kz1n169iHrEYAcFW68Lc2wVSlYnGrA,2013-10-17T14:15:12,2013-10-17T14:15:12,fabio babaca..não ...,fabio babaca..não tem o que falar fica calado ou então vai no banheiro abre a boca na privada já que é﻿ pra sair﻿ merda.,120,0,Tassia Leal,N3EevrjrF66CLGY60u6Aew,UCN3EevrjrF66CLGY60u6Aew
0Ipo_sSPLE1Hz49Ql3Ic9DXhTcUCs5TwmB04jNHhIm0,2013-10-17T14:14:07,2013-10-17T14:14:07,que Deus abençoe ...,que Deus abençoe esse sentimento﻿ puro...lindos,47,0,Tassia Leal,N3EevrjrF66CLGY60u6Aew,UCN3EevrjrF66CLGY60u6Aew
0Ipo_sSPLE2Rd_mCyYb8PuLci-JnrNdrcnTFX3p0z0w,2013-10-17T13:03:15,2013-10-17T13:03:15,que fofos﻿,que fofos﻿,10,0,LULUZINHA LULIZ,2SulmZ2lZPMBlNV3g-9ftQ,UC2SulmZ2lZPMBlNV3g-9ftQ
0Ipo_sSPLE02KIcl12tVrXwrL3Q_Ykd1niOhTsrb-Z0,2013-10-17T00:30:15,2013-10-17T00:30:15,Que dó Que Dó Que ...,Que dó Que Dó Que Dóóó﻿,23,0,Maisnadaa,dingo8438,UCU8DXGFrVRihMVlWmQcgQ3g
0Ipo_sSPLE0T7F_nsMP_wzDNU7Xp8QkeOjVyHOXucaQ,2013-10-16T19:24:33,2013-10-16T19:24:33,kkkkkkkk... qui do ...,kkkkkkkk... qui do qui do qui do a fumiginha morreu qui do﻿ qui do qui fofo qui do qui doooooo......qui do,106,0,gabriel Vieira,Yo6jKkCHiUlLhsmr94yijg,UCYo6jKkCHiUlLhsmr94yijg
0Ipo_sSPLE2pe9FYk5Bv1lHzQbTloZ0GxiVi2Ge_9gk,2013-10-16T18:21:40,2013-10-16T18:21:40,KKKKKKKKKKKKKK ﻿,KKKKKKKKKKKKKK ﻿,16,0,dxcyclone14,dxcyclone14,UClF0KudypVzIwchZZD2RcKQ
0Ipo_sSPLE2q-_c0XMcsHm259hF5S6tyPcIlhtvuYVU,2013-10-16T16:19:21,2013-10-16T16:19:21, ...,kkkkkkkkkkkkkkkkkkkkkkkk ﻿,26,0,thalles ryan,kJilmrl0jgIDz7BYCx6Grg,UCkJilmrl0jgIDz7BYCx6Grg
0Ipo_sSPLE26QoIwD_31iYSEynyjPJSFfyzEvyplJ2o,2013-10-16T04:32:56,2013-10-16T04:32:56,Trabalhe em sua ...,Trabalhe em sua casa! E tenha uma renda extra? podendo chegar a mais de R$ 8.818 25 mensais? tudo isso sem ter que comprar﻿ e nem vender nada  apenas divulgar!. O cadastro é grátis. Nós trabalhamos com Sistema Renda Extra  Planos de Saúde  Empréstimos Consignado  Previdência Privada  Seguros de﻿ Vida  Hospedagem de Sites  Lojas Virtuais e Revenda de Lojas Virtuais. Informações acesse: w w w . f r p r o m o t o r a . c o m /44977728 (tudo junto) vralmeidavidios.blogspot.com.b­r,481,1,Vanderlei Reis,qASt8GUim_vHgxHaQtj78Q,UCqASt8GUim_vHgxHaQtj78Q
0Ipo_sSPLE2TEuEIWWPv9RjDhOU4ah64rwL9eskQDxs,2013-10-15T22:35:23,2013-10-15T22:35:23,Vc deve ser﻿ feio.,Vc deve ser﻿ feio.,18,0,Sayonara Rocha,sN4QxAQpociozT9JTLBavg,UCsN4QxAQpociozT9JTLBavg
0Ipo_sSPLE3yXgMmz1Ms2EXISW1aPIQ1l-myDTwaxlg,2013-10-15T22:34:01,2013-10-15T22:34:01,Cala a boca fabio﻿ ...,Cala a boca fabio﻿ ferreira,27,0,Gabriel Nascim,gabrielnascim12,UCCai2iH-XlMxFerqDfxzsNw
0Ipo_sSPLE23F-ZpowvazYdPyGMtgZWdUMK6nMmeHD0,2013-10-15T18:06:07,2013-10-15T18:06:07,essa formiga fdp ﻿ ...,essa formiga fdp ﻿ esses gemeos mais feios que ja vi na minha vida !!!!!,72,0,Fabio Ferreira,I5uyvNbBxLYYWF6OiN_J4g,UCI5uyvNbBxLYYWF6OiN_J4g
0Ipo_sSPLE2AY4ukRCgNT9EVmUecnWfSCzv7daePPLA,2013-10-15T07:18:06,2013-10-15T07:18:06,YouTube has many ...,YouTube has many crazy videos! I'll  bring this up with my date tonight. I previously had﻿ difficulty interacting with people  but ever since I joined this particular dating site  I have been meeting all types of wonderful people. If you are lonely and searching  check out this web-site to meet cool people. MyLocalDateFinder.co­­m,332,1,whitleystreadwayu,whitleystreadwayu,UCnE1DI7Oimke0EVor3NoGsQ
