ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
bEytspbWmv9MItvQxssFXwa-VBPjQ5kmPePRCIdEIjA,2013-10-20T16:30:05,2013-10-20T16:30:05,Join in the iBotta ...,Join in the iBotta App Revolution CASH INSTEAD OF COUPONS. Cash and bonuses earned instantly and dailly bank fransfers! Free to download and can be﻿ used on any device  Apple or Android! JUST TRY AND SEE FOR YOURSELF. Visit w﻿ w w .savemedaily. c o m,250,0,costas x,23heHwFDvJ7LLWW82GNEKw,UC23heHwFDvJ7LLWW82GNEKw
bEytspbWmv9Ms8uEULPoG6XrVC7Rs_xqM9BcX8pa5O8,2013-10-20T14:44:34,2013-10-20T14:44:34,And its faster﻿ ...,And its faster﻿ than 5,22,0,AlnaimiHD,AlnaimiHD,UCmcf4FQfXDYOK82k3YZAVXA
bEytspbWmv8hj1WgVfqdhM5LF1QMDkjikTr46riL3rE,2013-10-20T14:43:47,2013-10-20T14:43:47,i would recomend ...,i would recomend you to buy 5s because Its VERY AWESOME    ﻿ And you have Super slow mo in camera No lag PROOF,110,0,AlnaimiHD,AlnaimiHD,UCmcf4FQfXDYOK82k3YZAVXA
bEytspbWmv_tnN-vT--Ay4MRA-ZK17LL_pScKAghGjY,2013-10-20T14:41:44,2013-10-20T14:41:44,you use the same wi ...,you use the same wi-fi....so you cant compare em rightly! user the same carrier with drifrent sims and﻿ use the 4g network that will give a kinda fair result@,158,0,Γιάννης Λαμπρόπουλος,FallingToTheDark0,UC_0oFvPeenTM0HhxjklYwug
bEytspbWmv_3WelFOvaCwz0qqekgXZU3codnW-epHpw,2013-10-20T14:31:45,2013-10-20T14:31:45,Keep the﻿ Galaxy S4,Keep the﻿ Galaxy S4,19,0,Emtildeath6666,Emtildeath6666,UC3iIE-FbDd2OEX95P3lM_qg
bEytspbWmv-P2dUPVDtnuoAVk8nqHfN8CgbRjtVfC_Q,2013-10-20T14:31:10,2013-10-20T14:31:10,Depends who you get ...,Depends who you get it from. I have seen them go from £550 up to﻿ £720,70,0,Emtildeath6666,Emtildeath6666,UC3iIE-FbDd2OEX95P3lM_qg
bEytspbWmv_Bzcr2hnu-RzjoCBB3Lp0CbJovRRC86p4,2013-10-20T14:14:30,2013-10-20T14:14:30,£550*﻿,£550*﻿,6,0,Priyamm H,aerovias1234,UCl6Vj5ABhAQSmlJzG4Blq-Q
bEytspbWmv9jTiTY0IzR8QM8IKDHWBgAvmK30LbA3kk,2013-10-20T14:13:00,2013-10-20T14:13:00,S4 has a bigger ...,S4 has a bigger screen and better to watch videos on. If you know what I﻿ mean.,79,0,Priyamm H,aerovias1234,UCl6Vj5ABhAQSmlJzG4Blq-Q
bEytspbWmv-Llr9FpppxvYlbIPLWUGzguy68VTQK3f0,2013-10-20T13:53:08,2013-10-20T13:53:08,keep﻿ the gs4,keep﻿ the gs4,13,0,TigerxBigcat,TigerxBigcat,UCllcujPWPy12O56cXcYf11A
bEytspbWmv_LEgB5woGiLAOtahQSi98zHy4EJ8c-EWE,2013-10-20T12:26:39,2013-10-20T12:26:39,Just bought one of ...,Just bought one of these from Storenvy(dot)com after seeing this video love it i would recomend it as a average consumer. i bought it cheap to save﻿﻿ money because that finger print thing isnt worth $1000 for the upgrade i think. heres the link i bought it from if your in the market for this kinda thing. electronicdealer.storenvy.com/,336,1,TRGNation,TH3R3ALGAM3RS,UCxcrnoBaFiX_6tbeqOyIXmw
bEytspbWmv826nsOUNIzy10Npw69PHALP9fkuYDhS4o,2013-10-20T12:06:09,2013-10-20T12:06:09,You should get ...,You should get iphone 5 (black) as I did. I think it looks better and it's more cheap now. or just get 5s if you want the upgrade and it costs so much lol.﻿,156,0,iWoWaHoLiK,iWoWaHoLiK,UC4UdZcViCfLAQi8NnZIfmSA
bEytspbWmv_1z2y9oX8zxMldJepBK6mNxsrAcx3-WFk,2013-10-20T03:48:44,2013-10-20T03:48:44,For the idiots that ...,For the idiots that say Apple is better than Samsung you are dumb. First of all....apple buys samsung parts so without samsung your little iPhones wouldn't be so great. So yall better thank the great Samsung for making your phones  said﻿ by a Iphone user.,255,0,CertifiedHeel,CertifiedHeel,UCIxGCAtspO8HnieOqKiXPFQ
bEytspbWmv-UOtpMJxrVtuHnvp-zAsZ3JaqVqaGuvrA,2013-10-20T03:09:48,2013-10-20T03:09:48,I have the galaxy ...,I have the galaxy s4  just ordered a 5s yesterday and its coming on the 6th of november.  The﻿ Galaxy S4 lags a lot despite 2 gigs of ram and a 1.9ghz processor.  Android still needs to be worked so it can be almost as smooth as iOS.  Keep the S4 if that doesnt bother you,272,0,Brandon Friesen,voc4-tl75spaP5jKmgK7VA,UCvoc4-tl75spaP5jKmgK7VA
bEytspbWmv8f1eSAgOE8RhhO9gabQ5iHkHxtkWIeEfs,2013-10-20T03:01:28,2013-10-20T03:01:28,keep﻿ the S4,keep﻿ the S4,12,0,Dickson Pau,PeggyLLover,UCNNwvi7_mq1VXUinkVMt3Rg
bEytspbWmv8_ldNHAD3EQe4-pTo0OI6aAtlH5FnVoCU,2013-10-20T02:40:11,2013-10-20T02:40:11,So should i﻿ get ...,So should i﻿ get the iphone 5 or 5s? Any opinions? I have the Galaxy S4 right now,81,0,Carlos Ramirez,DangerousCR,UC1Y6FdETajWBLaWAr3J5BZA
bEytspbWmv_l5nK6ToyENPOcS9yZnCUHmH2xpQVH-1g,2013-10-20T01:51:00,2013-10-20T01:51:00,good﻿ job !!  ...,good﻿ job !!  exelente video ..,31,0,thechacho33,thechacho33,UCymFUFIF3b3hyWFXCaUCUnA
bEytspbWmv_KMTyhtJNdOO41Jr18zhO7ESXYtwrMr9I,2013-10-19T22:52:03,2013-10-19T22:52:03,nice! i prefer the ...,nice! i prefer the iPhone 5s a lot more tho﻿,44,0,thomas,supraarichkid123,UCyCgxjGph_u__5Lk9BAQlYQ
bEytspbWmv_nFe77LBij-KRzt_L4PKm09a5H2EE22zU,2013-10-19T22:19:32,2013-10-19T22:19:32,The all black front ...,The all black front looks much better  nicer to multimedia usage  bigger and classy﻿ than white one..,101,0,Giovanni Rattin,P41-JFn4RvwSfnOSxNgsdQ,UCP41-JFn4RvwSfnOSxNgsdQ
bEytspbWmv9Zf5rxR7KVMD76bXKT2VPnApQB5jli1bQ,2013-10-19T21:35:42,2013-10-19T21:35:42,Like 0.1﻿ seconds ...,Like 0.1﻿ seconds faster yeah. -.-,34,0,smurfeNn,smurfeeNn,UC1Zec4NZVLfu_cNa7h6BP5Q
bEytspbWmv-H1Lk-DbFmIvLpyGjC-xK0VYBlPytQsk8,2013-10-19T19:07:50,2013-10-19T19:07:50,When he pressed ...,When he pressed safari and asphault 8  he pressed the iphone﻿ 5s faster than the iphone 5 :3,92,0,RONUniversalstudios,RONUniversalstudios,UCFUIUsI3bit0Np6eCysr6mw
bEytspbWmv-qCU7INnzbWaCxn2MXy_A1IZuZYfBsw7A,2013-10-19T18:46:04,2013-10-19T18:46:04,Amazed at what some ...,Amazed at what some people will﻿ pay  thankfully mine was free :-),66,0,Emtildeath6666,Emtildeath6666,UC3iIE-FbDd2OEX95P3lM_qg
bEytspbWmv9eUFbtbqK19yeQhqjyhzFn1zllYJoZ73g,2013-10-19T18:21:07,2013-10-19T18:21:07,dont﻿ forget that ...,dont﻿ forget that he could be left handed,41,0,Sour Dsul,SkatevidsRus69,UCzurknsWt0SxPgsqy6ml3YA
bEytspbWmv-V2541C6n66nSSgqHc1LR-vpQFSuJTEMc,2013-10-19T17:37:24,2013-10-19T17:37:24,stupid :)﻿,stupid :)﻿,10,0,Roman Fabian,Faby3oct,UCCqCGGteXILCRjAf6BGbu5g
bEytspbWmv9s2mzovQoVZaC3g7XzxfzTyIAYJUpPGTw,2013-10-19T17:30:45,2013-10-19T17:30:45,What if he's﻿ left ...,What if he's﻿ left handed,25,0,Messele Asfaw,NzS4WOf3Fq_8gQ_1DpWdAg,UCNzS4WOf3Fq_8gQ_1DpWdAg
bEytspbWmv8cweun3DDOw1GWGIprcDcyXzh4nNkBpew,2013-10-19T17:19:50,2013-10-19T17:19:50,Welcome to the ...,Welcome to the world of﻿ free enterprise where 'a thing' is worth what what someone will pay for it. Regardless of what it costs the seller to acquire it.,154,0,EZTwitterFollowers,EZTwitterFollowers,UC3aqn5bxxDKKshDXusEamDA
