ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
Q2f9qX2qs11XeBi7ekEZcAP-GY3hA3Uo2JXiKvxfUUw,2013-10-19T18:23:13,2013-10-19T18:23:13,Já que vc ta aqui ...,Já que vc ta aqui no youtube vendo﻿ videos...rsrs dá uma passadinha no meu canal se inscreve  \o/  \o/  assiste e da jóinha no meu video =D bju!,144,0,Deixei a Dica...,HfZf8UqkZW4ggg0Ndtsv0g,UCHfZf8UqkZW4ggg0Ndtsv0g
Q2f9qX2qs13L-LupDRnWxHJC76Kph9uIZcopnRRlbyc,2013-10-18T19:14:01,2013-10-18T19:14:01,A  m  m  a   r﻿,A  m  m  a   r﻿,15,0,Ammar Dx,WSxr_PWZ03zhnaBBp5TXlA,UCWSxr_PWZ03zhnaBBp5TXlA
Q2f9qX2qs12_HgBnXaqNcNTlo55-bpDg_tqqj0zCoMw,2013-10-18T12:04:52,2013-10-18T12:04:52,Já imaginou você ...,Já imaginou você investir 54 90 reais e pode ganhar até 1.000.000 00 de reais ou mais...  Acesse o site e veja como:    w w w. skimboo. com/top1000   Venha fazer parte da SkimboO﻿ e mude sua vida!!!,198,0,samuel oliveira,tVRl5EXMGHF_qugOubfdAA,UCtVRl5EXMGHF_qugOubfdAA
Q2f9qX2qs11VqDwqaeUOQcUyPBLu8BmYZ0-v5ZytIUY,2013-10-16T15:36:49,2013-10-16T15:36:49,B A R R I O  L A S  ...,B A R R I O  L A S  M I N A S  C I T Y﻿,39,0,Edgar Alfonzo,Edganrix,UClNbB6QZ2ZIgtLJdqq3eYYA
Q2f9qX2qs11Pqbyi43bBpHKpwhSFo47AiotjKNyxf-I,2013-10-16T15:34:22,2013-10-16T15:34:22,M E R W E B O﻿,M E R W E B O﻿,14,0,Edgar Alfonzo,Edganrix,UClNbB6QZ2ZIgtLJdqq3eYYA
Q2f9qX2qs13OzVRkJoAeD5GahrL31XGMXPQzwa_Nj2w,2013-10-16T01:54:00,2013-10-16T01:54:00,5555+﻿ เกรียนทั่ว ...,5555+﻿ เกรียนทั่วโลกด้วยกันครับ ฮ่าๆ,36,0,Sittichai Chauthai,bushbank,UCj4Z-l9I1hy6vKGW3sukw5w
Q2f9qX2qs13x47uOfeFjeAtu-pXygpliGtj5T-_g__Y,2013-10-16T00:51:45,2013-10-16T00:51:45,A  R G E N T I N A﻿,A  R G E N T I N A﻿,19,0,mauro soto,30ZoF2PEke9rlP8iGOf7rw,UC30ZoF2PEke9rlP8iGOf7rw
Q2f9qX2qs10CrtPf0EG_Pdf97LkKrAPWWYgtDsWMQms,2013-10-15T17:28:05,2013-10-15T17:28:05,I S R A E L﻿,I S R A E L﻿,12,0,mulu440,mulu440,UCsQUukesZuUhoZT87CZvmfA
Q2f9qX2qs13iMT0Ael0cxHLIhWPvMV8pIqmGrtqJYns,2013-10-15T17:26:37,2013-10-15T17:26:37,O show do dia 11 ...,O show do dia 11 tava mto bom. Marau rs... quem﻿ foi da joinha...,65,0,Josiane Silva,dPK0NKU2wP3gJPfJ8qkZhg,UCdPK0NKU2wP3gJPfJ8qkZhg
Q2f9qX2qs11y91PRqLnwW9JDpMWzsHJXmZHayhD6ZGw,2013-10-15T15:25:46,2013-10-15T15:25:46,S I N G A P O R E﻿,S I N G A P O R E﻿,18,0,Amanina Kamarulzaman,amanina1111,UCXOIr_AEOaQ80UouzMULBZA
