ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
iigwtx9Pnr2OJsP0Xfrwyow7cvNtG5eNR9GAUKSzVO8,2013-10-20T17:25:56,2013-10-20T17:25:56,very﻿ nice﻿ videos ...,very﻿ nice﻿ videos G O O D♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥­­♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥ D E﻿ N♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥ C♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥ E♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥ S U P E﻿ R S O N G LOVE ♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥,208,0,Ilia Trubek,4i9uigD9kea4-5f_yHa5mg,UC4i9uigD9kea4-5f_yHa5mg
iigwtx9Pnr0v5KKLZrY5xP2Ya_odVaUHmi3t9Jg5mjM,2013-10-20T16:57:15,2013-10-20T16:57:15,es una de﻿ las ...,es una de﻿ las mejores musica que esuchado la letra es muy buena,64,0,Jorge Luis Piscoya Lacuaña,TgnY3q7FjS2hw1MF3fFBJQ,UCTgnY3q7FjS2hw1MF3fFBJQ
iigwtx9Pnr3vND6htR1SBIy2jiogZ8TirQn9-o0lboU,2013-10-20T16:55:17,2013-10-20T16:55:17,Love﻿ ti,Love﻿ ti,8,0,rosemberg041,rosemberg041,UChpgIiDo1JydxrVV-N8ZCgA
iigwtx9Pnr0VEwidMxoQEknr9Cs8UiDzwUATEXF7e8M,2013-10-20T16:55:14,2013-10-20T16:55:14,ฉันเกินไป﻿ Katy ...,ฉันเกินไป﻿ Katy Perry เป็นนักร้องที่ดี,38,0,You Say Never Say Never~I Say Never Forever,electrostorm35,UCWupV6iiOWbiCmf3Jlh3nKw
iigwtx9Pnr2Dh_mREfbiCT7JiQTv-leH5bJkvwBlRzc,2013-10-20T16:54:18,2013-10-20T16:54:18,how dare﻿ people ...,how dare﻿ people dislike this song,34,0,Doug Ellis,PRoUew8EGXnIPGvGjNArqw,UCPRoUew8EGXnIPGvGjNArqw
iigwtx9Pnr3EOCVVUmHS9XhzI3kT18Bq2-ZQth3ARLY,2013-10-20T16:42:40,2013-10-20T16:42:40,1 000 000 LiIKES!﻿,1 000 000 LiIKES!﻿,18,0,Bryan Heartz Lopez,BBBrrriiiiaannLpz,UCuATXVVGvNhn0PUiryS3pTg
iigwtx9Pnr1t7wqkz-rxScd9t0NynUdpdlQ1BSeZzLs,2013-10-20T16:41:32,2013-10-20T16:41:32,Recommend:  Apple ...,Recommend:  Apple iPhone 5 (Latest Model) - 32GB - Black Unlocked NEW Price:$385  Samsung Galaxy S4 S IV 4 with 16GB New White Price:$360  Apple iPad 4th Gen 32GB Unlocked﻿ Wi-Fi+4G 9.7in White Price:$390  LED 3D HDTV: Panasonic 65-inch Price: $460  Apple MacBook Pro 13-inch: 2.5GHz Intel Core i5 4GB/500GB Price:$430  All-in-One PCs: Apple MacBook Air Price:$320  Canon EOS 60D Digital SLR Camera 50mm 18-55mm Price:$360  ******************    Purchase online Website is:  Gaeee.com,484,1,king jim,XRDgi4t6OHIPhUSIlzKJng,UCXRDgi4t6OHIPhUSIlzKJng
iigwtx9Pnr1I-jfNKg6k-B9ssNMuqJ6vRI8KXQlybjQ,2013-10-20T16:29:07,2013-10-20T16:29:07,ชอบเพลงนี้มากเลยค่ะ﻿,ชอบเพลงนี้มากเลยค่ะ﻿,20,0,Witchuda Anantapak,10054154101,UC2duHP2MhOYtaBcdywjZUZA
iigwtx9Pnr3ZTqoQri0M2atW2trggtiieQC5mIaqq0s,2013-10-20T16:19:57,2013-10-20T16:19:57,For an aware ...,For an aware Humanity  Knowledge for a better world : - We are same species (Human)  same family (Humanity). Languages  religions  nations are human inventions. - Harming the environment (overexploitation  pollution....) is also harming ourselves (diseases and early death). For a living body-planet  better consumption (organic  less meat...)  less births (human overpopulation) and reforestation of the earth (save biodiversity...). ﻿,436,0,betterworld365,betterworld365,UC7WL2sZCfMFW_Sr4KxHX1BQ
iigwtx9Pnr0psNBdjsGH0WTO70bZMsUZm4mPu4cSGqM,2013-10-20T16:17:25,2013-10-20T16:17:25,katy perry ... The ...,katy perry ... The best!﻿ I well remember the first concert I went yours!,73,0,grecia mazariegos martinez,McczKt2zJWf5vcmmc7fy7Q,UCMcczKt2zJWf5vcmmc7fy7Q
iigwtx9Pnr3VeUjY8GymGXh6dsWytVNGPpR11AWkzVs,2013-10-20T16:08:57,2013-10-20T16:08:57,Katy Perry﻿ please ...,Katy Perry﻿ please can I listen to awake  brighter than the MoonLy Katy Perry I said I'm awake,94,0,Kristin Beckman,jNGSKq6vVvRsWii4ssaqDA,UCjNGSKq6vVvRsWii4ssaqDA
iigwtx9Pnr3HgdsstJLi24TbUM4C83q8VT7ndNAXk04,2013-10-20T16:03:59,2013-10-20T16:03:59,muhteşemm...﻿,muhteşemm...﻿,13,0,betül üstün,hcWoKRDB8z8NEbfK1gH8Bg,UChcWoKRDB8z8NEbfK1gH8Bg
iigwtx9Pnr3W9Rj9s6U9dIUINtkAM7GIgN0UUbcrj8A,2013-10-20T15:59:40,2013-10-20T15:59:40, ...,cooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooool﻿,65,0,amine3657,amine3657,UCjCwXbcZHJxvxKRzky_senw
iigwtx9Pnr26zTD0uTVzzDQmn4TEa1hJIory5ILQPrM,2013-10-20T15:47:27,2013-10-20T15:47:27,Que lindo seria que ...,Que lindo seria que ella cantara en﻿ vivo y escribiera sus propias canciones!,77,0,Miguelito Valdez,Miguelittovaldez,UCVtyWFSbLEU-pgYHKwTpEVw
