ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
EtGTctFb8usilGEt_cNUXOXqEkHnhJEQPwbNdhS_WK4,2013-10-20T17:42:58,2013-10-20T17:42:58,I﻿ chose trevor,I﻿ chose trevor,15,0,Arun Seehra,BADMANofMW3,UCCQlKXjQZf_qM9l92FHyhNQ
EtGTctFb8uvEEIl6QFGpjPr9kIrlhb4U-zh7EERGONo,2013-10-20T17:34:49,2013-10-20T17:34:49,I﻿ bought a ztype ...,I﻿ bought a ztype and blew it up within a minute for 20 mill,60,0,Arun Seehra,BADMANofMW3,UCCQlKXjQZf_qM9l92FHyhNQ
EtGTctFb8uvoh80X85TrLuROXXfUUVDUUCCmPBWF0L4,2013-10-20T17:29:40,2013-10-20T17:29:40,Sorry but this ...,Sorry but this isn't the bugatti I mean he got the exhaust of a lexus lfa and looks like a fake﻿ pagani,103,0,Leo Hennen,leohennenlh,UC-mEi1H-3GhWhr2faxTPgxA
EtGTctFb8utylOaIKS6wOBap9-xa4smE-QwREJxtmt0,2013-10-20T17:23:39,2013-10-20T17:23:39,Its a pagani ...,Its a pagani lookalike﻿ XD,26,0,Bart Pisters,MULTIKILLBART,UCrD39ZWKWusdt7pn7aUQLvw
EtGTctFb8uvrT1UBnDpWxg-j1osqUrVy41OhWB5nHQY,2013-10-20T17:20:11,2013-10-20T17:20:11,Wait did he hit ...,Wait did he hit save and Michael head butted him?﻿,50,0,Dante Camilli,CrackerzWitAttitudes,UCwtnYw_bcHDk0zJCL9-AC4g
EtGTctFb8us2VXiGTSl_clypzFq26YmlZ7shOpMzQf0,2013-10-20T17:09:51,2013-10-20T17:09:51,Lol﻿ it's a Ferrari,Lol﻿ it's a Ferrari,19,0,Oscar Areizaga,DrEsPB3lgENX01pnvjcxAw,UCDrEsPB3lgENX01pnvjcxAw
EtGTctFb8uteEv2PB7N2aCwN5hsRr7eMciunLV1GU4I,2013-10-20T16:45:33,2013-10-20T16:45:33,Lol batman ...,Lol batman originals instead of origins.... LOLOLOLOL﻿,54,0,OllieHusseyTV,OllieHusseyTV,UCbpg6n9QEQGzILh-qWavU7w
EtGTctFb8uubRmU7GcVdHJXxM0lYwa4c8WhFuhWbMkI,2013-10-20T16:31:11,2013-10-20T16:31:11,He know that's not ...,He know that's not a Bugatti dumb fucks he being funny stop﻿ taking everything serious,86,0,GrimDangerous313,GrimDangerous313,UCaXuf2jT7xIkvNjYE5NTjqw
EtGTctFb8uu-PVnAnilqQvXg30gsdH3cqTUV_2bRNL4,2013-10-20T16:20:48,2013-10-20T16:20:48,*dumb fuck*﻿,*dumb fuck*﻿,12,0,Ulyses Razo,B2AxxSy4u2azN2ba7PzSWA,UCB2AxxSy4u2azN2ba7PzSWA
EtGTctFb8us67Vhrxl-aYnWksxX_6d3TXU5jP1cPYuY,2013-10-20T16:20:16,2013-10-20T16:20:16,The Bugatti is the ...,The Bugatti is the addler you dum﻿ bfuck,40,0,Ulyses Razo,B2AxxSy4u2azN2ba7PzSWA,UCB2AxxSy4u2azN2ba7PzSWA
