ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
gpPrTt1nlkQG2hvj73hZcaGHE1MqY7l2fjvRoRP0Gjg,2013-10-20T17:30:37,2013-10-20T17:30:37,Recommend:  Apple ...,Recommend:  Apple iPhone 5 (Latest Model) - 16GB - Black﻿ Unlocked NEW Price:$385  Apple iPad 4th Gen 32GB Unlocked Wi-Fi+4G 9.7in White Price:$390  Nikon D90 SLR Camera / 18-55mm / 55-200mm 32GB  Price:$390  Ultrabooks: SONY VAIO Pro 13 Intel Core i5 4GB 128GB Price:$515  Samsung Galaxy S4 S IV 4 with 16GB New White Price:$360  All-in-One PCs: Apple MacBook Pro: Apple MacBook Air Price:$350  LED 3D HDTV: Panasonic 65-inch 3D Price:$460  >>>>>>>>>>>  Purchase online Website is:    Taaee.com,495,1,yimen nuriver,am72lPpVB0OdVWy5HzONEA,UCam72lPpVB0OdVWy5HzONEA
gpPrTt1nlkR32Dr0ZS6o9fJDFqitbDItfbGgcXOMjwY,2013-10-20T17:11:08,2013-10-20T17:11:08,Ewww what the fuck ...,Ewww what the fuck is﻿ this hideous creature? Makes me sick even looking at it.,79,1,TheIncredibleCoolFrenzy,FYMboC3g94OuJW4mhVfLew,UCFYMboC3g94OuJW4mhVfLew
gpPrTt1nlkTR3Fc-AUcXqxMQ5PNODbF1pTJdqaHawl0,2013-10-20T16:49:17,2013-10-20T16:49:17,I LOVE YOU SUSAN ♥﻿,I LOVE YOU SUSAN ♥﻿,19,0,Dominik Magda,fox8482x,UCELScyG5rRuRIZIS3478xTg
gpPrTt1nlkQg78n570vaAs0L6DUAjUa2RgGybaKw1gc,2013-10-20T16:38:00,2013-10-20T16:38:00,waw she has a good﻿ ...,waw she has a good﻿ voice,25,0,amly otaku,bHlltGjHqLu16cW1eeGveA,UCbHlltGjHqLu16cW1eeGveA
gpPrTt1nlkSiofFMtqfulCQLG2w9bDruziqo2zhxq_c,2013-10-20T16:26:14,2013-10-20T16:26:14,Is she﻿ an angel?,Is she﻿ an angel?,17,0,Werill Johanen,aUCENy4-OAx5J9bm5ma8SQ,UCaUCENy4-OAx5J9bm5ma8SQ
gpPrTt1nlkQko7BJsYQqhnRhQ0arJ0F-MAVeBswEnWQ,2013-10-20T16:00:44,2013-10-20T16:00:44,How do I﻿ always ...,How do I﻿ always end up on this side of youtube  watching these videos back..,77,0,MrAidanPreston,MrAidanPreston,UC5NMf-WOK-ovaUQWO9B9SVw
gpPrTt1nlkRIF34Ne_SnOtarNlm-8-bnyhkEv9M6bQg,2013-10-20T15:50:05,2013-10-20T15:50:05,You bet  another ...,You bet  another evening and I am glued here taking a look at﻿ YouTube videos! LOL My friend was telling me they were lucky to find somebody on this dating site  and so I'm giving it a try. In another week or two  you will not find me here posting comments on dumb video clips! If you wish to check it out  here's the website I joined in order to meet somebody. MyLocalDateFinder.co­­m,385,1,michellewjudgev,michellewjudgev,UCt9G2Nf1Dsvyfz0ldXPufSw
gpPrTt1nlkR_qgoS5Qwk7t_Hk8-yZ4zEVrYUA7qFT5Y,2013-10-20T15:45:31,2013-10-20T15:45:31,nearly 5 years and ...,nearly 5 years and still﻿ bring a tear to the eye .pure class,61,0,stephen finnegan,steviefin,UCBk7Vqvjfgf8P52QDqHi6OA
gpPrTt1nlkSrleojbzam66dJ7xLwagmfg7u0ng3UXyA,2013-10-20T15:35:13,2013-10-20T15:35:13,Dejlig﻿,Dejlig﻿,7,0,MrtDeedi0,MrtDeedi0,UCGEf9x-LznybZiHIHh4VtkA
gpPrTt1nlkR6Q7yFqnWTkLJ8HVBkJRq2W1JHP5Drczs,2013-10-20T15:02:02,2013-10-20T15:02:02,this woman have﻿ ...,this woman have﻿ really mega big voice wow,42,0,MrGio42,MrGio42,UC0-XhsJ-P7G4j4_3hJG2yrw
gpPrTt1nlkSidrmDKSCjVYfEvC0wUxHSK0RQhbX76do,2013-10-20T12:59:37,2013-10-20T12:59:37,deji brought me ...,deji brought me here﻿,21,0,jordan boak,coolvidz64,UCfJvYiBBaBeHGlJIngeb0fQ
