ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
EyodX3_BNNMslfA8k_imipEeZmp2I06m5igPd8hVLko,2013-10-20T11:23:46,2013-10-20T11:23:46,linda esta﻿ musica,linda esta﻿ musica,18,0,valerio candeias,valcandeias,UChf-XXuN_u_rKMwN-ClpWNw
EyodX3_BNNNRTNcrERISey6ILust3WIi8tT3xIqJ8dQ,2013-10-19T22:26:04,2013-10-19T22:26:04,Zr﻿,Zr﻿,3,0,Karolina santos,kaka10870,UCS54W74gftdmhc3wU5ISq5Q
EyodX3_BNNPw_Ttscu3ZJi7UdBYWNOVME2EWmYbDGSw,2013-10-19T19:34:46,2013-10-19T19:34:46,Da musica ...,Da musica inspiramos as﻿ nossas vidas.,38,0,Manuel Mindiate,Lhkas8Qb4b-CHRtEOMu7lA,UCLhkas8Qb4b-CHRtEOMu7lA
EyodX3_BNNMWYKfBY6YfPiqPff4miDRtY0krOE-zIIA,2013-10-19T18:05:56,2013-10-19T18:05:56,Já que vc ta aqui ...,Já que vc ta aqui no youtube vendo videos...rsrs dá uma passadinha no meu canal se inscreve  \o/  \o/  assiste e da﻿ jóinha no meu video =D bju!,144,0,Deixei a Dica...,HfZf8UqkZW4ggg0Ndtsv0g,UCHfZf8UqkZW4ggg0Ndtsv0g
EyodX3_BNNN3Ybo2qW5j2VvpN_JzHqVFK5vHbXp8Xpw,2013-10-19T14:28:38,2013-10-19T14:28:38,Musica é vida!! Só ...,Musica é vida!! Só a﻿ música para tirar a maldade dos corações! !! Obrigado,75,0,Elisio Sousa,7oTinKhnvQYlxA_LYVKCjg,UC7oTinKhnvQYlxA_LYVKCjg
EyodX3_BNNOEBY17WoajoiDGPcAWY0RU4OG_rSOcvXI,2013-10-19T13:46:40,2013-10-19T13:46:40,Linda a﻿ musica!!,Linda a﻿ musica!!,17,0,ana luiza,kNytzs8PN8todbNKggARvA,UCkNytzs8PN8todbNKggARvA
EyodX3_BNNNKB91_19Ws77YIouub7IQA9SYFW3530Ps,2013-10-19T04:07:07,2013-10-19T04:07:07,Aí﻿   aí... ela ...,Aí﻿   aí... ela lembra uma professora minha de História   chamada Eliza   Ahhhhh a professora mais linda que já vi :'-),119,0,Matheus Torinóvisk,n43QNtj6V6cL1FxNT-fRjw,UCn43QNtj6V6cL1FxNT-fRjw
EyodX3_BNNOKZSOuahcxOipz2hlDISPYAshY3kazKlk,2013-10-18T21:13:32,2013-10-18T21:13:32,linda a﻿ paula,linda a﻿ paula,14,0,luis conceiçao conceiçao,qWk9zGw0mxxB9FZ_UChsjA,UCqWk9zGw0mxxB9FZ_UChsjA
EyodX3_BNNMY4HDPPQaCO1oJ0Ed_WYCXhNdUpqzVgcY,2013-10-18T20:47:30,2013-10-18T20:47:30,Linda de mais!!!!!! ...,Linda de mais!!!!!!!!!? ﻿ Bjs,29,0,pereira ribeiro artur jorge,bYulVXoJrYw4rj19KWR_bw,UCbYulVXoJrYw4rj19KWR_bw
EyodX3_BNNNt06QvGh2Tbx5ruEABsCRXn3CLEiPZs0s,2013-10-18T01:38:35,2013-10-18T01:38:35,paula fernandes tem ...,paula fernandes tem uma linda voz e é linda agora com esses dois gatos ficou mais linda ainda.quero﻿ os dois cantando no meu ouvido,131,0,teka macedo Alves,tekinha9005,UCsSaV8PY30pBjfYUvzzIBoA
EyodX3_BNNP787zMuRWI2I1DG6gxnqi4Hl5zBWqz02A,2013-10-18T00:29:18,2013-10-18T00:29:18,Vim do Futuro  Para ...,Vim do Futuro  Para informar que o Planeta Terra enfrenta uma grande crise ecológica ﻿ como consequência da poluição e da superpopulação. Entretanto  A Nasa vem fazendo missões interplanetárias em busca de﻿ um novo lar  Então ainda nos resta alguma esperança  minima  mais ainda há. Obrigado pela atenção.  Adeus.,313,0,luis amaral,luizaogostosao,UCgCtAvvj8it79AN3x_0eiAg
EyodX3_BNNO4c2s4LXkWPC10xzxdUozsn8mfI2X09SM,2013-10-17T23:54:53,2013-10-17T23:54:53,eu gostei﻿ muito,eu gostei﻿ muito,16,0,Dudu Hirodu,Hirodu1,UCaP0B2Vta_jrhVpWEt2-Q2Q
EyodX3_BNNPwypI_b9kh0LromDZ6943i5ysmtHdK9JA,2013-10-17T21:22:09,2013-10-17T21:22:09,Paula Fernandes ...,Paula Fernandes perfect﻿ his voice is beautiful!,48,0,Jair Garses,jairjossanelara,UCHEoW7wu2DnOQH6OBfSGq9w
