ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
Pr3wtH2wIIbIVh4P7WdWxofxMRoppe4P9DbM3bnHdiA,2013-10-20T17:32:21,2013-10-20T17:32:21,kara motei um pc i7 ...,kara motei um pc i7 3820 gtx 660 dc2 16 gb ram asus rampage iv gene hd 2tb﻿ saiu por 4200 mil reais,99,0,jailson adriano nascimento,brraziel,UCbZ9OQUevKTW-ItSFUtmf5A
Pr3wtH2wIIZ75DypeP66zJAY2-u3EpSh5L3nEsELSeo,2013-10-20T14:45:45,2013-10-20T14:45:45,ouvi dizer e o ...,ouvi dizer e o brasil esta fazendo de tudo pra nao baixar os impostos pra sony como fez pra microsoft.. dai a sony puta jogo o preço la em cima pra forçar todo mundo comprar fora e trazer pro brasil .. pos sai mais barato ate msmo se for taxado pela alfandega..﻿,262,0,Allan Laio,allanlaio,UCwpbNF2cvTGYstFdRKlhcPA
Pr3wtH2wIIaM8-Z6YqSIsyCV5hsDO1n-l0clSAdDAi8,2013-10-20T14:14:27,2013-10-20T14:14:27,"... mais de﻿ 8 mil ...,"... mais de﻿ 8 mil!" - Vegeta sobre o preço do PS4.,52,0,eyeleonardo,eyeleonardo,UCXUu7SEYL7z3oUQGtYgN1cw
Pr3wtH2wIIYs1cM-1hg5hwba4fJReF4r1SRmUuq7KUQ,2013-10-20T12:11:33,2013-10-20T12:11:33,a sony﻿ ta com ...,a sony﻿ ta com depreçao,23,0,vinicius dias,v8dRXdM9wv-g5rqVHMnsfw,UCv8dRXdM9wv-g5rqVHMnsfw
Pr3wtH2wIIYZh-zFJXjGLPwrJxLqSANBxvW2d16C8gI,2013-10-20T05:34:33,2013-10-20T05:34:33,mas nao﻿ vou cair ...,mas nao﻿ vou cair MESMOOO meu xbox ja ta encomendado da pré venda  MICROSOFT 4EVER!!,84,0,Tomxd13,Tomxd13,UCD2XuqM7qHIZngkXwQ7p1MA
Pr3wtH2wIIYOw3K5F8foTNw1D49UkD9gp52WatoOGjc,2013-10-20T05:33:06,2013-10-20T05:33:06,no preço do ps4 vc ...,no preço do ps4 vc compra o xbox - two﻿ eashaeushaesue :P,57,0,Tomxd13,Tomxd13,UCD2XuqM7qHIZngkXwQ7p1MA
Pr3wtH2wIIZRGtYAqRB2jZw6_R_1d1rNKe64ikoApDk,2013-10-20T05:32:11,2013-10-20T05:32:11,a unica coisa q ...,a unica coisa q explica esse preço de 4mil reais pelo ps4 eh q brasileiro é babaca e vai pagar﻿ ^^,98,0,Tomxd13,Tomxd13,UCD2XuqM7qHIZngkXwQ7p1MA
Pr3wtH2wIIb7VAVq89daZZYeRfagcwI4hBxCI02hlg0,2013-10-20T04:43:23,2013-10-20T04:43:23,Esses R$ 1813 é ...,Esses R$ 1813 é cobrado NOVAMENTE o IOF (O anterior é referente a﻿ compra e este agora é referente a operacao combial VIVA O bRASIL) Entao R$ 1.930 é o custo relativo dele. Ai os lojistas precisam fazer o recolhimento do imposto adiantado  pagam ainda 18% de ICMS + 2 5% para compras no cartao de debito ou 3 5% para cartao de credito. Pronto. Valor do custo dele é de aproximadamente R$ 2.344. Agora só falta o lucro do lojista que é quem geralmente apontam como vilao da historia e nao é bem assim.,500,0,Jegue Bauer,Jeguebauer1,UC9dWoSLDFiIJJGRRh5Nb-dg
Pr3wtH2wIIbsE2LGXm04HAXzSrDAvfIjIJyfai1iGVY,2013-10-20T04:36:44,2013-10-20T04:36:44,A culpa eh do ...,A culpa eh do governo sim e da alta taxaçao. Pq a além do imposto de importaçao  que no caso é de 60% E o imposto é calculado da seguinte maneira. 399 preço + envio (cerca de 50 dolares = valor para cada tipo de mercadoria até 10kg) + seguro (nao pode ser enviado nenhum tipo de mercadoria﻿ para o Brasil sem pagar o seguro  é obrigatorio. Caso contrario é rejeitado o recebimento na alfandega) 449 + taxa alfandegaria + IOF de 6.4%. Valor final fica em 725 dolares. Convertendo fica 1813. Continua..,500,0,Jegue Bauer,Jeguebauer1,UC9dWoSLDFiIJJGRRh5Nb-dg
Pr3wtH2wIIZR51TGStLEWLenZ_7o2vnr6RsEJyO3u0o,2013-10-20T04:27:22,2013-10-20T04:27:22,Boa noite Lord.  ...,Boa noite Lord. Mais um otimo video. Mas o play 4 nao vai ser o mais caro. O play 3 quando saiu na pre-venda da americanas e submarino era de 7.999 e no dia do lançamento 6.999. Foi caindo o preço até chegar na casa dos 4.999 (quase 2 meses depois do lançamento). Mas o meu raciocinio eh como o seu. Ou eh uma jogada de marketing ou realmente a Sony quer que os brasileiros importem para tirar o dinheiro daqui e levar para﻿ outros paises. Forma de punir o governo Br pela alta taxacao de impostos.,498,0,Jegue Bauer,Jeguebauer1,UC9dWoSLDFiIJJGRRh5Nb-dg
Pr3wtH2wIIZBqXk1JopZr3JWTkwbDo7jvtqcoSaycpg,2013-10-20T01:39:44,2013-10-20T01:39:44,R$4.000 O.O fiz um ...,R$4.000 O.O fiz um video com minha reação﻿ deem uma olhada  /watch?v=ZB-SQFT6JLk,80,1,Shinje Scraw,FBQ6LKY1l4yrjCGyeBu4zw,UCFBQ6LKY1l4yrjCGyeBu4zw
Pr3wtH2wIIavxaI9pfgu4qXXuG8GaAt4rrMVtx5AHQM,2013-10-19T23:17:10,2013-10-19T23:17:10,Lamentável mais e ...,Lamentável mais e a﻿ pura verdade.,34,0,Thiago Cícero,ThiagoCiceroo,UCf81fLE87JVptuIUjQI1QmA
Pr3wtH2wIIZwD7CRyzBh7lgNyTK0k8r7wsNsdfYRoGQ,2013-10-19T23:15:26,2013-10-19T23:15:26,Quem compra Xbox e ...,Quem compra Xbox e ps4 aqui no Brasil tem q ser otário pra carai.﻿ Não podemos esquecer que o Xbox one tbm e o mais caro do mundo aqui no﻿﻿ Brasil. Xbox One tbm não e o mocinho na historia. O jeito e boicotar essa porra e go go Pc.,231,0,Thiago Cícero,ThiagoCiceroo,UCf81fLE87JVptuIUjQI1QmA
Pr3wtH2wIIbuAm-yD9bH406zjVooUkHMtC-hpz1XglU,2013-10-19T22:29:01,2013-10-19T22:29:01,Na minha opinião o ...,Na minha opinião o pior de tudo é que vai ter muitas﻿ pessoas a pagar por essa exploração.,90,0,Ataru Moroboshi,TheMamareke,UCRtrKJSO8R33Awf5f4COOcQ
Pr3wtH2wIIaMnac7-g7WDyPGl4iVD6A2UCoBDEkv1yI,2013-10-19T22:06:35,2013-10-19T22:06:35,Playstation 4 "mil ...,Playstation 4 "mil reais" Isso tudo é Jogada de Marketing ou Ganancia da empresa Sony ou Vingança contra governo "impostos altos" fiquei na duvida? Marque uma das opções: 1- Jogada﻿ de Marketing 2- Ganancia﻿ da empresa Sony 3- Vingança contra﻿ o Governo "impostos altos" 4-Todas as respostas 5-Outros....,304,0,flavionpi,flavionpi,UCdiEcOL_Gh86gpeoWVL-86A
