ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
c6aWb9CtgiK_Jbbs9BdIjWFanPi8HlXtjsvtsd9Uc7c,2013-10-20T16:35:44,2013-10-20T16:35:44,Yep.﻿,Yep.﻿,5,0,Marcus V. Nokalt,MrMarkituh,UC-Ia5YrvrbKyqboYL-pCS_A
c6aWb9CtgiLBx5CjQ7oaO0pUX-f0tSDmZqP0AqLuXgY,2013-10-20T06:10:03,2013-10-20T06:10:03,Is﻿ Justin Biba ...,Is﻿ Justin Biba played by a woman?,34,0,awesomelyepic51,awesomelyepic51,UCuxXaTILKl9CmZvYmbzdpzQ
c6aWb9CtgiKf6VPFjY8Ye1tDxFfGz-6j5pVtoagzsWM,2013-10-20T04:54:35,2013-10-20T04:54:35,O junstin﻿ biebier ...,O junstin﻿ biebier deve ser.mesmo un junstin biba mesmo odeio esse otario. A fama subiu a cabeca desse otario pathy concordo junstin e un viadoooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,240,0,amandinha pereirinha,dsC8jxWhkr5HkO-zHCRtlQ,UCdsC8jxWhkr5HkO-zHCRtlQ
c6aWb9CtgiLQSPMMWFx4H6c2hVYYRIRSaEkZv4hJlxQ,2013-10-20T04:34:38,2013-10-20T04:34:38,Que nostalgia﻿ ! ...,Que nostalgia﻿ ! kkkkk,22,0,Leandro Augusto,leandro0221,UCceEznGzXZLd9v3N6sA46Cw
c6aWb9CtgiL5cmvgYqv2aEoCHghqXs1qo4NlFeEc_oI,2013-10-20T00:21:35,2013-10-20T00:21:35,Já que ele está ...,Já que ele está aqui compra logo o CD da gaystart que ele tanto quer por que a mãe quebrou(Ela ajudou ele e ela quer dizer ele ainda chora???)e ele quer um novo ele fez um﻿ vídeo sobre a ajuda que a mãe dele fez e ela ainda fica chorando.,238,0,samuel israel,GordinhoPlays99,UCY7FcZFmqoriy6uldGdBvug
c6aWb9CtgiJNIDtNIT-lQ0t3q-jsZPYyPAeqY3a3rCw,2013-10-20T00:19:19,2013-10-20T00:19:19,Vai comprar o novo ...,Vai comprar o novo CD da gaystart para o seu﻿ miguxo que você ganha mais.,73,0,samuel israel,GordinhoPlays99,UCY7FcZFmqoriy6uldGdBvug
c6aWb9CtgiJN9F_QaaUfxYSmCJwu9xU6MEzqQzF0B0E,2013-10-19T22:46:18,2013-10-19T22:46:18,Esse foi ...,Esse foi basicamente o início de era galo﻿ frito.,49,0,nirvana paredes,NYel-FGYQSqYvCOwftWL9Q,UCNYel-FGYQSqYvCOwftWL9Q
c6aWb9CtgiJrfJIeYeBRNwehgq3LYWCvC6OWRKVGDUA,2013-10-19T19:34:20,2013-10-19T19:34:20,Kkk mandou﻿ bem ...,Kkk mandou﻿ bem Pathy  melhor videos de todos!,46,0,Amanda Anelli,amanda91351,UCJh3qH9Ywuw1ALI0MBYKHzQ
c6aWb9CtgiI_17bK5u63fRxcfjBwUR3BRuUuj99p65o,2013-10-19T19:21:29,2013-10-19T19:21:29,melhor paródia de ...,melhor paródia de vcs  sem﻿ dúvidas kkkkkkkkkk,46,0,fernanda feeh,feeh471,UCvtsXfyO2-JAg0RnkwXUqew
c6aWb9CtgiJ2ZA03VGc_hV7O27DbARatWOp5CRe5mS0,2013-10-19T15:07:38,2013-10-19T15:07:38,issai e﻿ uma mulher ...,issai e﻿ uma mulher fantasiada a julia gonçalves,48,0,Tiago Lima,_o5saEcnB07fqvI3dEKpCQ,UC_o5saEcnB07fqvI3dEKpCQ
c6aWb9CtgiIWHsfv2tO9lxo58TWjY3uSJvnSMoqMDCM,2013-10-19T14:51:02,2013-10-19T14:51:02,Quem﻿ está vendo em ...,Quem﻿ está vendo em 2666 da joinha,34,0,samuel israel,GordinhoPlays99,UCY7FcZFmqoriy6uldGdBvug
c6aWb9CtgiIMFO6iKwZAnFvTR98zbHw99zoExwQllUQ,2013-10-19T14:50:34,2013-10-19T14:50:34,Nop 21/04/2666﻿﻿ ...,Nop 21/04/2666﻿﻿ Mars﻿ GMT 28:86﻿,33,0,samuel israel,GordinhoPlays99,UCY7FcZFmqoriy6uldGdBvug
c6aWb9CtgiKu61zyLQ9y06rdL3Fe_V0uZ0XBS2MBGJY,2013-10-19T14:46:32,2013-10-19T14:46:32,O "mulher" isso é﻿ ...,O "mulher" isso é﻿ só uma paródia de humor  agora até o humor é levaod a sério.,79,0,samuel israel,GordinhoPlays99,UCY7FcZFmqoriy6uldGdBvug
c6aWb9CtgiJqBwAF_32jfQhwEu8shPPpf6F24jZP0iE,2013-10-19T14:45:30,2013-10-19T14:45:30,KKKKKKKKKKKK É ...,KKKKKKKKKKKK É claro que ele é imitavel  quem é inimitavel é o michael jackson não essa modinha.﻿,97,0,samuel israel,GordinhoPlays99,UCY7FcZFmqoriy6uldGdBvug
c6aWb9CtgiIwlw3d8wgmyucE0-ZX14swFGU82hBoqnE,2013-10-19T14:34:00,2013-10-19T14:34:00,Cheio de garotos﻿ ...,Cheio de garotos﻿ né? e sabia que justin é namorada de uma das intagrantes da modinha 1D?,89,0,samuel israel,GordinhoPlays99,UCY7FcZFmqoriy6uldGdBvug
c6aWb9CtgiIs2gEQ_OaEWCOYuytValBcMLpFKO5yi08,2013-10-19T14:32:49,2013-10-19T14:32:49,Sim ﻿ ele pega ...,Sim ﻿ ele pega mulher com pinto por que mulher de verdade... só marketing.,74,0,samuel israel,GordinhoPlays99,UCY7FcZFmqoriy6uldGdBvug
c6aWb9CtgiJObQ-j4iaaSYKpL4SgNsZCMRPywJmaVRU,2013-10-19T14:30:08,2013-10-19T14:30:08,KKKKKKKKKKKKKKKKKKK ...,KKKKKKKKKKKKKKKKKKK isso é só uma﻿ paródia de humor. Nossa até as paródias vocês ficam levando a sério.,103,0,samuel israel,GordinhoPlays99,UCY7FcZFmqoriy6uldGdBvug
c6aWb9CtgiKU6mzWhPUfDwL0E1eKP3cZGVODv4TR7sQ,2013-10-19T14:28:31,2013-10-19T14:28:31,Continuando  Mas﻿ ...,Continuando  Mas﻿ tem gente que ta na miséria na africa e nem por isso virou emo baitola. E NÃO é so por que eu critico quer dizer que eu sou uma bixona.,153,0,samuel israel,GordinhoPlays99,UCY7FcZFmqoriy6uldGdBvug
c6aWb9CtgiKXQXBxlz7cR3JDvewt9BRCkqYUALbMoxE,2013-10-19T14:26:45,2013-10-19T14:26:45,Kkkkkkk o mulher a ...,Kkkkkkk o mulher a única coisa que eles fizeram é ir para o x-factor(programa de eminhos que querem ser popstars)e foram eleitos isso sim. E mais homens do que eu﻿ é o caralho  os integrantes da 1D se comem alem de ainda estarem dentro do ármario e a madame justina que já foi uma emo? "ain mas ele era buito pobre" idai? tem gente pobre(não no brasil por que a maioria dos brasileiros pobres são funkeiros e eles são tão viados quanto os emos(continua...),456,0,samuel israel,GordinhoPlays99,UCY7FcZFmqoriy6uldGdBvug
