ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
ilf5LSOP49nk5JCNYtW0ZKkWziJZ4h325QWAwhPDzVU,2011-11-15T21:18:06,2011-11-15T21:18:06,i love Carrie ...,i love Carrie Keagan  she's﻿ sexy and funny....cusses like a sailor,67,0,Kurt Davis,KayDee1232,UC-it13GJcrNQ4hOUrJtr49w
ilf5LSOP49nvRRadHQz3ry33Jc1A0D0v8kjTR098EUI,2011-11-15T06:41:27,2011-11-15T06:41:27,Hyu﻿,Hyu﻿,4,0,Shadow Marks,ShadowMe77,UCOuGB4t9s4cTp7yV34chukA
ilf5LSOP49ncqJjcPGwDfWN6pvuebqK0rqbhEPhn6DQ,2011-11-13T20:10:19,2011-11-13T20:10:19,hihi Im﻿ here 4u,hihi Im﻿ here 4u,16,0,JanitaNieshayb350,JanitaNieshayb350,UCfkFZPBAU3Bg_G-LKu5cX0Q
ilf5LSOP49mNURPjJ9uQ_p8TpBvigqlZU6OAyywx8qc,2011-11-13T13:52:45,2011-11-13T13:52:45,iv never seen the ...,iv never seen the movie but after i saw that 162 millon ppl has viewd it i will fuckin sure﻿ gonna watch it,107,0,DaviedDedo91,DaviedDedo91,UCNy-0puOIJn-dk25N2WjHRg
ilf5LSOP49mkEaVtkXy_ImzyZsi_4pD7wnRHXSTOqlQ,2011-11-12T18:17:24,2011-11-12T18:17:24,162 353﻿ 908  from ...,162 353﻿ 908  from 161 174 223 in just a week...,48,0,Tej Krishna Ramlugun,RockerKing23,UCMBqu3KAjthm6CvdsqNuErQ
ilf5LSOP49mC4PeIt3w76YyMXjCqD8SUiaB4AW9YtvU,2011-11-12T03:23:56,2011-11-12T03:23:56,Everyone!  Post ...,Everyone!  Post something random on this video at 11:11:11!  Pass it﻿ on!  Happy Veterans Day  America!,103,0,Janet Behning,janetbehning,UCD_USmytstwGmV9lOhLyHsQ
ilf5LSOP49lWXAxYqaYgwxUfQZcKSjj-oKey2NL6TUU,2011-11-10T21:31:44,2011-11-10T21:31:44,so who else thinks ...,so who else thinks he really let that girl see﻿ his meat train!!,64,0,hector0814,hector0814,UCTfGLpHS-nwUzZHFai3tDtQ
ilf5LSOP49l5ZB2JSU2qvXY5w8w1QzkgKUIkSQNndzg,2011-11-10T17:07:33,2011-11-10T17:07:33,THIS GUY IS﻿ FUNNY ...,THIS GUY IS﻿ FUNNY AND BADASS MUTHFACKA,39,0,rehan ahmed,MRehan486,UCNETAwOJXbFFFPjnY_d65ZA
ilf5LSOP49kgU64SxAsX3rahYGFLftAsegyk6xbTNU4,2011-11-08T21:17:49,2011-11-08T21:17:49,The﻿ movie sums up ...,The﻿ movie sums up Vinnie Jones' soccer career,46,0,Mohammed Abunayyan,horusksa1983,UC_bXZ176mT3o6s3GqpiDKLw
ilf5LSOP49koqd1Z7SaARjCjudYsTOMqMA5_Yf13Iq4,2011-11-04T21:09:57,2011-11-04T21:09:57,I think﻿ you mean ...,I think﻿ you mean Seen..,24,0,mike hunt,miguelsux,UC7muGUVKJjsiUWQwU6ZQyXA
