ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
HdfQrhORfCrMRYES7g4q1bUzfaT90q5FxvtoJpHSGas,2013-10-16T20:43:04,2013-10-16T20:43:04,They hade one of ...,They hade one of these at the shariton in boston﻿ i was bored in the middle of the night so i went to the lobby and i started plying chess with my dad so cool i want one for my house,182,0,Justin Mitchell,epDwE3gU8jEa1EZUN1zZKQ,UCepDwE3gU8jEa1EZUN1zZKQ
HdfQrhORfCr2z28KfUjq1gHqmBOdVMSJbeP7dyMlzxs,2013-10-09T10:16:17,2013-10-09T10:16:17,its fun  5 years﻿ ...,its fun  5 years﻿ ago i was thinking what a amazing technique  now i think its old... iPads are much better then this one,121,0,Novi Avista,yeNCvDx94FEUi2FO3ZUMEg,UCyeNCvDx94FEUi2FO3ZUMEg
HdfQrhORfCqd29Z7YpnfQpwXt6BIJCQVR4amVfwYzrk,2013-10-01T22:36:20,2013-10-01T22:36:20,Its been 5 years ...,Its been 5 years since this video was posted ﻿ I'd love to see the new generation of surface pads that Microsoft has come up with since then.,141,0,Gabriel Frost,GabrielFrosty,UCzN74yg2osdyTBdfJ3chdQQ
HdfQrhORfCr6JBlrB7oy34C2B1W6tDxlPV3516dL_hQ,2013-10-01T02:34:00,2013-10-01T02:34:00,Too bad this really ...,Too bad this really didn't kick off. It would've been really interesting to make transactions﻿ for say where you're eating out or at a bar.,139,0,Unpolarize,Unpolarize,UCeSk5onUwAnWV6vlOMcWqjg
HdfQrhORfCoR0nvZXdUQCbgN7eaQgfPlM4wqfzNVvWM,2013-09-12T11:51:26,2013-09-12T11:51:26,good for a table﻿,good for a table﻿,17,0,vasilis6691,vasilis6691,UCLJ8AG_Qytdvf8TwczhYr_w
HdfQrhORfCrlxuG9uPoa0DzNe8iQrmtqngFjc-TjXN8,2013-09-09T13:46:08,2013-09-09T13:46:08,2008 !!!  I should ...,2008 !!!  I should admit that difference between these geniuses and Arabs like﻿ difference between HUMAN and APE,112,0,Moustafa Mahmoud ALEX,StrongestSpirit,UCDts_FmCkSRsmkKLJiq8e6g
HdfQrhORfCqDH9A2xvn-98QvN7URe5odiDSBmR6zmSw,2013-09-04T21:27:55,2013-09-04T21:27:55,Are you retarded? ...,Are you retarded? The only thing these two things have in common is the touch-screen (although  I may be wrong about that  because I think that the Surface﻿ uses cameras  not actual touch). But also  it takes many years to make products like these  and Apple actually started with the iPad before iPhone was released (2007). There's no way they could have copied something they didn't know exists.,397,0,YASxYT,YASxYT,UCD-qMC5eYGrxhIoi2QFMdeQ
HdfQrhORfCoZE3CXr0SX7TE0J1HVRFvNfsEgANCmTl8,2013-09-04T07:26:58,2013-09-04T07:26:58,My ugly friend ...,My ugly friend managed to make the best stripper I've ever seen fall for him because he cheated by using the Cupid Love System (Google it). I wish I became joyful for him but I wish an attractive individual would fall in love with me. I'm incredibly jealous. Does that make me a bad﻿ person?,291,0,Emil Essa,jAuq4Wm8Knry5AiZju-Nug,UCjAuq4Wm8Knry5AiZju-Nug
HdfQrhORfCrT8GiE4kNnqCcjEjBy18GSI6pWTHjFMlg,2013-08-12T11:05:29,2013-08-12T11:05:29,bigger pad﻿,bigger pad﻿,11,0,零 狐,T0MZjiEhFCLADwM7L0oU0g,UCT0MZjiEhFCLADwM7L0oU0g
HdfQrhORfCpvuakod9CW_nM8pn72GKaJANa4pHOK34k,2013-08-11T06:53:30,2013-08-11T06:53:30,They aren't ripping ...,They aren't ripping me﻿ off anymore.  I am on android and linux(ubuntu).,72,0,claypool0,claypool0,UCvNFwUd6MB9jYLZmyhEgZaQ
HdfQrhORfCpjeJL9D2-o24kzCk_FxWKEG2gZ1dirzVU,2013-08-11T06:53:23,2013-08-11T06:53:23,They aren't ripping ...,They aren't ripping me off anymore. ﻿ I am on android and linux(ubuntu).,72,0,claypool0,claypool0,UCvNFwUd6MB9jYLZmyhEgZaQ
HdfQrhORfCoFgLSkf7HWqisPqQ-xFlO__qeMGjqxDwc,2013-08-04T13:01:22,2013-08-04T13:01:22,Full Surface family ...,Full Surface family of future: Surface RT  Surface Pro  Surface Table  Surface Wall  Surface Watch.  Damn  just hope I can born 50 years later. Or better  be one of the last generation of human. So I can know what going on of all the things that happening.  And I really want to experience what it like of playing﻿ PlayStation 400  I bet it must better than sex.﻿,363,0,iEatSoxLikeAnimal,iEatSoxLikeAnimal,UCPPrkKSgI3uXbRAcDLVfX1g
HdfQrhORfCrr6oOCZbYXwqxoLM-lhZ_KXuxBh8hYDps,2013-08-01T00:09:19,2013-08-01T00:09:19,Very nice.﻿ Let's ...,Very nice.﻿ Let's see a trippy theme next!,42,0,Jonathan Roberts,jonathanrossroberts,UCiSyvpLmhFFuQlJz-6svg2g
HdfQrhORfCqS4TQvZ3dV-iqfbLhyjSZeBQhqvxXLS4M,2013-07-25T02:18:59,2013-07-25T02:18:59,It's﻿ the middle of ...,It's﻿ the middle of 2013 this should have become cheaper for the High end consumer,82,0,zsdg34,zsdg34,UCnrthn_4eJ8C9nQxlsWv9Jg
HdfQrhORfCo1EVD_93S8v6XKPTxUB6sug9abkF1aOWA,2013-07-21T03:32:39,2013-07-21T03:32:39,I'm aggravated. My ...,I'm aggravated. My brother sleeps in the bordering room and he just got extraordinary with women. He found the Master Attraction site by Jake Ayres (Search﻿ in Google). All he's doing now is fucking women. He's consistently getting sexy girls back and I hear it. It's gross. If only he had not found that site. I am green with envy!,332,0,Logeswari Senthil,SyjZ-YLzPGhYY0FB55s9BA,UCSyjZ-YLzPGhYY0FB55s9BA
HdfQrhORfCq7lAegI1vzClkoM0TSx_4d3W92ECy1Pa4,2013-07-18T00:45:25,2013-07-18T00:45:25,Every one can get ...,Every one can get the Microsoft Surface here for FREE. As it is offering as the best deal. Krishna "I got a free Microsoft﻿ Surface it is really awesome",153,0,krish pndey,EwmUiwir_B7qc24iXg8XlQ,UCEwmUiwir_B7qc24iXg8XlQ
HdfQrhORfCoolaXVKcxTMCUTTEw9I5HNWDU-uK01_7I,2013-07-17T00:11:12,2013-07-17T00:11:12,hmm  old surface or ...,hmm  old surface or new surface rt im liking old better ﻿,57,0,william endler,williamendler,UCaKijKv_kN1BcUxWbqoN5jg
HdfQrhORfCojIZLe0p3znY6HWC55IOIZ0FQcDqITrfU,2013-07-14T21:43:38,2013-07-14T21:43:38,I looked at all the ...,I looked at all the observations but I reckon that is a high-quality movie clip. My younger brother would like to get astonishing with the ladies. He uncovered a lot from Master Attraction. (Google it.) The help and advice on the subject of getting women at nightclubs from Master Attraction got him his very first lays in 3 long years. I was really pissed though﻿ given that I heard them all.,393,0,Darko Tasevski,DarkoPunisher991,UCDdsarNqWXePCk8n7JYK7lQ
HdfQrhORfCqGvKuMLU-G_Iftmg483XRLqkJXBZjL_wU,2013-07-12T22:54:36,2013-07-12T22:54:36,Surface /=/ Surface ...,Surface /=/ Surface RT/Surface﻿ Pro. :P,39,0,RBLXDev,RBLXDev,UCz8Ra0D3eszzNOcv25sXJlw
HdfQrhORfCq7MPQzULTO7pZzSs8QylCPpdTM9-IZNcc,2013-07-03T07:27:34,2013-07-03T07:27:34,Fantastic video. ...,Fantastic video. I'm here due to the fact my mate suddenly became incredible with chicks. He went from zero to hero. He behaved as﻿ if it was standard for quite a while. He ultimately came clean two days ago. He told me he learned from the Jake Ayres Master Attraction Formula. Google it and you'll find it... He's on a date right now wi,337,0,kerri Smith,UvOROHtk6y6VuaShQNXl3A,UCUvOROHtk6y6VuaShQNXl3A
HdfQrhORfCrAaSK7F_I6MaYsVC-c8HHK4jKQoTbOrO0,2013-06-15T10:08:56,2013-06-15T10:08:56,where can i get ...,where can i get one﻿ thay look cool,35,0,ross bradley,ross8071,UCMHKtIulUg_YI7zKMSg4o-A
HdfQrhORfCqOk0hkTBbm2koBOjt6v_-ka52m5hqcQSw,2013-06-05T15:33:45,2013-06-05T15:33:45,Too bad they made a ...,Too bad they made a Microsoft Surface which is basically an iPad that connects﻿ to a keyboard with a click.,107,0,gators146,gators146,UC9CMQRnlsMk2XcRcMjYaF-A
HdfQrhORfCqu3g8_zzKxRWTyva7-2oZnouN4fZd_Ybo,2013-04-28T17:57:09,2013-04-28T17:57:09,thats﻿ nice but ...,thats﻿ nice but what if you spell pop coffe or somthing????,59,0,jorge cortez,6uzBFadmCrlmQefuHNpebw,UC6uzBFadmCrlmQefuHNpebw
HdfQrhORfCrTbNsq0V855zvhO9h3jOjsfvZv_n9i17M,2013-04-19T06:58:32,2013-04-19T06:58:32,supper!! ﻿,supper!! ﻿,10,0,Maruthi Naik,naikmaruthi,UCHwCiTyvN04S7nHztPIPdOg
HdfQrhORfCo2gX0rPoRs-5zgWrwzY2pydm3cAsWcohI,2013-02-11T20:12:39,2013-02-11T20:12:39,It would be nice ...,It would be nice to﻿ get a huge table like in the video.,56,0,GaidenTears,DarkLinkecho,UCPtqZn2uc2-2EAZuFHaVIpA
HdfQrhORfCpWTFfoWB8vR-sW2c6YQgrfgpPqAjp3qcU,2013-02-08T15:48:51,2013-02-08T15:48:51,me grog. what table ...,me grog. what table? (scratches head like﻿ caveman),51,0,thesamflinn7,thesamflinn7,UCyYTyoGmuQ60z8SwrQJNBNQ
HdfQrhORfCoSErv3GoANETOlwOhM0xb9xG4Or1bkjKo,2013-02-08T15:41:37,2013-02-08T15:41:37,Or IPad copied this ...,Or IPad copied this. Look ﻿ it's freaking 2008! IPad like what 2010? LOL,72,0,Reis Salvin,yOfZU-CBW7Rtgw_aD1HPhQ,UCyOfZU-CBW7Rtgw_aD1HPhQ
HdfQrhORfCocWzpsN2ohjEvr3MNYxzPJ8TaE10FoFb8,2013-02-08T15:38:43,2013-02-08T15:38:43,Hologram? I thought ...,Hologram? I thought I saw scientist made hologram even more﻿ complex than this flat thing-y,91,0,Reis Salvin,yOfZU-CBW7Rtgw_aD1HPhQ,UCyOfZU-CBW7Rtgw_aD1HPhQ
HdfQrhORfComyLlCs2X17AV-3B5K4al6TLPb-e2rV0s,2013-02-08T15:37:25,2013-02-08T15:37:25,I know. Just ...,I know. Just because it has the exact same name!﻿,49,0,Reis Salvin,yOfZU-CBW7Rtgw_aD1HPhQ,UCyOfZU-CBW7Rtgw_aD1HPhQ
HdfQrhORfCrg8GX7PUSps5zV5mE4dGEIHk8WyEfSc2k,2013-02-07T22:01:24,2013-02-07T22:01:24,dont compare that ...,dont compare that to this﻿,26,0,kiwiblinks,kiwiblinks,UCfXAHIOfG4_lUMlfOIhS6Yw
HdfQrhORfCrgzgiFXM_K59MtAKUk0g--YpDZhI-cHr0,2013-02-07T21:57:52,2013-02-07T21:57:52,stupidity its﻿ ...,stupidity its﻿ called,21,0,kiwiblinks,kiwiblinks,UCfXAHIOfG4_lUMlfOIhS6Yw
HdfQrhORfCpraPLmC_8jyxSDt1LCygWMTlVarO-k13g,2013-02-05T06:01:18,2013-02-05T06:01:18,I'm glad I'm 15  ...,I'm glad I'm 15  because if I'm seeing this now just a few years after the first﻿ iPod Touch leading all the way to tablets in a few years  Imagine in 10 years.,160,0,Michael Gomez,axXdeadpoolXxh,UCNj0d_QgUSP8KJNN6RfDIsQ
HdfQrhORfCqmobJ87m5bc7MZHkfZ9WQXIdG6R-2FEgs,2013-01-24T06:13:58,2013-01-24T06:13:58,Would like a toilet ...,Would like a toilet that scans my poop and tells me how healthy i am or not.﻿   :)  my g/f wants one with a built in douching wand that with a push if a button will douche you to your hearts content.   ;),204,0,Borderlands808,Borderlands808,UCbLCE29z6Jd0LrEtANXrVGQ
HdfQrhORfCpV2O1AsnKPhzAHZHQD6Fj9JSHEzjlMhEY,2013-01-07T16:22:00,2013-01-07T16:22:00,This﻿ is the future,This﻿ is the future,19,0,enzyme20056,enzyme20056,UCs_kdR-iDG3IkUTQeR5hNzA
HdfQrhORfCodWqskEjoWQo9sCv9jxP-qPZegVwAfHSI,2013-01-07T16:19:14,2013-01-07T16:19:14,What is﻿ windows ...,What is﻿ windows live  is that like Facebook,44,0,enzyme20056,enzyme20056,UCs_kdR-iDG3IkUTQeR5hNzA
