ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
AVE5kmDDnTEt-R60jL4yO511qBD4UPumeBCDyOxbEDw,2013-10-20T17:05:21,2013-10-20T17:05:21,he even laughs at ...,he even laughs at the﻿ end,26,0,hps362,hps362,UCifg6wiUGpv7xrc3bmfyt9A
AVE5kmDDnTGQmPa-V8dblf-k46XPaEMt10rrUgk1f0U,2013-10-20T17:04:20,2013-10-20T17:04:20,Ah charlie bit me  ...,Ah charlie bit me  well﻿ yippe for you,38,0,shadic452,shadic452,UCTEnlHp9jFkMID76OtQS_jQ
AVE5kmDDnTEzmPW6vmAiARSA6M0XaAREcEzSivesaoE,2013-10-20T17:03:27,2013-10-20T17:03:27,this video is ...,this video is pathetic and it gets﻿ this much views,51,0,petarde mirnovec,2-BlUnZuthCbKgPdenaPzw,UC2-BlUnZuthCbKgPdenaPzw
AVE5kmDDnTH6Zbc55H2gFEAuIlNexarY0eLgvu3GPA8,2013-10-20T16:57:30,2013-10-20T16:57:30,والله﻿ لو كان سعودي ...,والله﻿ لو كان سعودي ظراب ظرب قويا,33,0,salm kun,baloR6WEUfIV2ZfhctT7SQ,UCbaloR6WEUfIV2ZfhctT7SQ
AVE5kmDDnTFe7Zp6TX4DjrFmJUGT8YVLJQ_3RamFzzo,2013-10-20T16:56:23,2013-10-20T16:56:23,Ha ha﻿ ha ha ha ha,Ha ha﻿ ha ha ha ha,18,0,shelby hurlburt,GlMmZ7K9ITBppdNsqLxs_Q,UCGlMmZ7K9ITBppdNsqLxs_Q
AVE5kmDDnTHfjLtcHYV2IAEZX4Cg6Cux1X8PYFesf6A,2013-10-20T16:40:05,2013-10-20T16:40:05,Check out my chanel ...,Check out my chanel ( click on my﻿ name and go on videos ) :D,61,0,dusty81kent,dusty81kent,UCoB4-pkrv8VOe9cB64o03uQ
AVE5kmDDnTHVVY-n6JtD4sSDxUPDrsFOHCz0RYNCh8Q,2013-10-20T16:34:36,2013-10-20T16:34:36,Hi I remember this ...,Hi I remember this in 2007 ha ha canabolism﻿,44,0,MJ-Gamer23,nyd4DcEhSPhzRZ_LnrVgsA,UCnyd4DcEhSPhzRZ_LnrVgsA
AVE5kmDDnTHvfjZU4fdMUpFVjLdiS3lCCBBlZyUPgaQ,2013-10-20T16:28:29,2013-10-20T16:28:29,Hmm the most ...,Hmm the most pathetic﻿ video on youtube has the most views... -.-',66,0,LP640PR,LP640PR,UCpGvvJJBpsi0DQf6R_o5XCg
AVE5kmDDnTFHSKw6m7POBglkQBjolMl7OQuDRrYMRtI,2013-10-20T16:27:06,2013-10-20T16:27:06,Hey everybody! Have ...,Hey everybody! Have you seen my show  The Paul Show? No? Well  just look up "Paul in babysitting made by Videoshop" or " the misery we all go through. " I'll be posting some new ones today  so﻿ please if at all possible please check them out  comment  and subscribe!,266,0,Brittany W,pfhh17oBzS3DThVBR1xD-w,UCpfhh17oBzS3DThVBR1xD-w
AVE5kmDDnTHy5znpvzFwShuE2t2qs5S50xGQkx74hHE,2013-10-20T16:26:25,2013-10-20T16:26:25,So cute to watch !! ...,So cute to watch !! :)﻿,23,0,cassyherrera12,cassyherrera12,UCmhzqFxwCauYDmO1HLSbaXA
AVE5kmDDnTFe8akASmEIpdlJYsgvbnyvF_UbYkMjDLw,2013-10-20T16:23:51,2013-10-20T16:23:51,muslims are ...,muslims are terrorists﻿,23,0,Phu Cao,angelsforceownageftw,UCq65NhFJTPxugFHHeWAe-PA
AVE5kmDDnTE48dQexqhRiffV9lmAIg8uojr8eoyBgaQ,2013-10-20T16:21:52,2013-10-20T16:21:52,if u like babes and ...,if u like babes and electro music﻿ listen to my song  /watch?v=zRrM5C0Bu48,74,1,l_love_house_music,BmtfWZ8zHbj7bsVYQIhbig,UCBmtfWZ8zHbj7bsVYQIhbig
AVE5kmDDnTFU3MV37BCfU-szLPpQcsME2GAhLnlcTz0,2013-10-20T16:03:12,2013-10-20T16:03:12,I am soory but I ...,I am soory but I think﻿ your fucking dead thinks stupid as fuck. I bet everybody says thats a cute baby but really behind your backs they say that it is is nasty as fuck.,170,0,ramm1095,ramm1095,UCDLwe8BCI4Qr1yyEKO_HN0A
AVE5kmDDnTFYrx0NmcUkcjKpmjdlLRWqHumT6nt_NRM,2013-10-20T15:55:26,2013-10-20T15:55:26,If you want to see ...,If you want to see my art go on icemistthewolf on deviant﻿ art.com,66,1,icemistthewolf hehescriblz,QsTFtJo_qI9AkpOEwXjyig,UCQsTFtJo_qI9AkpOEwXjyig
AVE5kmDDnTGYhO_iO9UL2XUAjNB0n3DqhZkHPQGHAmE,2013-10-20T15:44:10,2013-10-20T15:44:10,You little blonde﻿ ...,You little blonde﻿ kid you're so cute,37,0,Yuli Martinez,5Y52cRqwgm0OKlrE67sLyQ,UC5Y52cRqwgm0OKlrE67sLyQ
AVE5kmDDnTFZ2zwn3C8XGC60RdiA9HhA8SbX6RCdl5k,2013-10-20T15:39:10,2013-10-20T15:39:10,Watch My New﻿ GTA 5 ...,Watch My New﻿ GTA 5 Video !!,28,0,TheToyMachineGamer,TheToyMachineGamer,UClstp15rO3iKwM3sts6u5mw
AVE5kmDDnTFyTOzGhSfc20W6Gcf5nW7i-g1nchYfchA,2013-10-20T15:39:03,2013-10-20T15:39:03,follow﻿ smosh001 on ...,follow﻿ smosh001 on instagram,29,0,Uday Kolla,oHFLOa2tYUi6Oe7xWGY_gQ,UCoHFLOa2tYUi6Oe7xWGY_gQ
AVE5kmDDnTES_qnP6xGmSm5Bcfl0zRcXENXEMDPgeQQ,2013-10-20T15:27:54,2013-10-20T15:27:54,why is﻿ this popular,why is﻿ this popular,20,0,Bella cervoni,Hockeyrocks12445,UCWW9ieAoQhUBRupMEedOEfg
AVE5kmDDnTGkVFPTx3Api1u_xVkCyL6NGZDTi_s9xGQ,2013-10-20T15:05:26,2013-10-20T15:05:26,Q bonitos﻿ jaja,Q bonitos﻿ jaja,15,0,CLAUDIA FLORES,GG4oPdJfzjnMAxQaZ5b7vA,UCGG4oPdJfzjnMAxQaZ5b7vA
AVE5kmDDnTGZZsNX8bWd3LWTfssVSZtty4Zz8TKg5Bg,2013-10-20T15:05:13,2013-10-20T15:05:13,Hahahahahahaha﻿,Hahahahahahaha﻿,15,0,Lowri Jones,KEC595_hiYeMHZCLK8x-Sg,UCKEC595_hiYeMHZCLK8x-Sg
AVE5kmDDnTFtOdNz-Q0302mShPPYdWITnRgfRr5FVE8,2013-10-20T14:54:38,2013-10-20T14:54:38,that kid is so ...,that kid is so stupied ﻿ XD,27,0,MrJulieta041877,MrJulieta041877,UC3UyWppnVuC4UWEov6tUykA
AVE5kmDDnTG3VN_jxxTzUupON5U9ncByyB7Ax3SFEXI,2013-10-20T14:44:49,2013-10-20T14:44:49,charlie is bad﻿,charlie is bad﻿,15,0,WeWereSpecial idk,XRF547V-BH2KgdsrYWY2tA,UCXRF547V-BH2KgdsrYWY2tA
AVE5kmDDnTG4gIuC42nNpB7hkEBB6_JOaE1IJx_QpDU,2013-10-20T14:39:15,2013-10-20T14:39:15,That kids so﻿ dumb,That kids so﻿ dumb,18,0,awesomemacMC,awesomemacMC,UCFBE1YQY2tfKw0HZ0Q3cYCA
AVE5kmDDnTEV7J9odxj3gFo7tunJSxzcnlhBY2Fi_-k,2013-10-20T14:37:13,2013-10-20T14:37:13,Why﻿ would you put ...,Why﻿ would you put your freaking finger in his mouth!!??,56,0,awesomemacMC,awesomemacMC,UCFBE1YQY2tfKw0HZ0Q3cYCA
AVE5kmDDnTHbLBJGEPrV6DINbjA3KRzTJeVTciUbDx8,2013-10-20T14:30:10,2013-10-20T14:30:10,bad parenting  ﻿,bad parenting  ﻿,16,0,waaftycrank,waaftycrank,UCMN9p_86LA9D9f8kaodPu1g
AVE5kmDDnTGukO2S65ddde-2qObxX2yHfbG0mgPoLws,2013-10-20T14:29:58,2013-10-20T14:29:58,hay﻿ day,hay﻿ day,8,0,maijue2013,maijue2013,UCmB7lgPyO8ISSregZc462YA
AVE5kmDDnTGn3cHgPRzkLQjGq-eF7DKTDrbYsgVkpGM,2013-10-20T14:28:36,2013-10-20T14:28:36,Hey beautiful!   ...,Hey beautiful!  Come your my channel.  My name is Erica.  Just incase you didn't know.....  I'm a beauty guru in the making. ***  About me :  Age - Twelve  Grade - Seven  Camera - Samsung Full HD  Location -﻿ Neverland ;) ***  Sister- Alegra (twins)  If you could take the time to subscribe or even watch my videos  it would make my day.   I LOVE YOU!  xoxo  Erica  ♥,367,0,Thatfashiongirl02,Thatfashiongirl02,UCsESSQZlT9pcoqYTFTOiodA
AVE5kmDDnTFOs-YDihpNzcalihRBnu2fKIt34o-LRZg,2013-10-20T14:27:43,2013-10-20T14:27:43,I LOVE IT﻿ SO﻿ ...,I LOVE IT﻿ SO﻿ MUCH﻿ ♥,22,0,Max Kirchgässner,Kt2Y8alJh5wTfs-p8v_HwA,UCKt2Y8alJh5wTfs-p8v_HwA
AVE5kmDDnTGTPeQxOB5PSvpl-CJFTWrnJ14nZwemMjA,2013-10-20T14:15:59,2013-10-20T14:15:59,So smart﻿ guy,So smart﻿ guy,13,0,Long Chhay,ysM9HZ_nU2Yyw5ibrROFBw,UCysM9HZ_nU2Yyw5ibrROFBw
AVE5kmDDnTFkshIR14GANNU2v4ORK75rT0nHrH0uOrA,2013-10-20T14:13:16,2013-10-20T14:13:16,I﻿ hope both of ...,I﻿ hope both of these kids are found facedown and violated in a drainage ditch. Cunts.,86,0,mediumtrolling,mediumtrolling,UCiipjQNcnRIB19Ok-BiPBSA
AVE5kmDDnTEO48TltfVIXZbLwGp_DiBQxwJrTYIs1PQ,2013-10-20T14:11:38,2013-10-20T14:11:38,I like﻿ charlie,I like﻿ charlie,15,0,evan mead,SHA5Gx7strsJ8gTG4IKzVA,UCSHA5Gx7strsJ8gTG4IKzVA
AVE5kmDDnTFFVh0gqmGO78XEQDVnTLWchWZZYSxuKL0,2013-10-20T14:11:21,2013-10-20T14:11:21,Lol﻿,Lol﻿,4,0,chrischan252002,chrischan252002,UC0KaMDJZeicKylvPwNGYTJw
AVE5kmDDnTEWC86_6Sz3LTYWIwJ-4DlwhDWsphfHC2U,2013-10-20T14:09:06,2013-10-20T14:09:06,Lmfao :-D﻿,Lmfao :-D﻿,10,0,bebalovez0205,bebalovez0205,UCisSM99B2LuiqmdtNGTS7qw
AVE5kmDDnTEsiry8ESFoO1LZ8QCoNdIjBipgWUUVBgM,2013-10-20T14:02:32,2013-10-20T14:02:32,Hey they're british ...,Hey they're british so stop hating and be so﻿ cruel,51,0,YzuYzen,mpWXQAgMQa8xLHNeXOG1WQ,UCmpWXQAgMQa8xLHNeXOG1WQ
AVE5kmDDnTFSanStKzfyjOE0pddLsWd0vdNZV_Qp2B8,2013-10-20T14:02:30,2013-10-20T14:02:30,charlie is like﻿ ...,charlie is like﻿ yourwelcome! :P,32,0,Liliana Yracheta-Brown,_C4C5AIq0lWcl-FfsVPShg,UC_C4C5AIq0lWcl-FfsVPShg
AVE5kmDDnTE7iNWnZQuaJJ6UiKbAjmVXNG9bKoHA6XU,2013-10-20T13:55:30,2013-10-20T13:55:30,Check out my videos ...,Check out my videos of the makayla monster﻿,43,0,katta172,katta172,UCSNuOrwZARplzP6v0-uyuJA
AVE5kmDDnTH2ApVwegdH01YDkQt64vmCH7enDYap0SQ,2013-10-20T13:50:08,2013-10-20T13:50:08,Oh  Charlie. Well﻿ ...,Oh  Charlie. Well﻿ done on representing our country.,52,0,oblivioustanya,oblivioustanya,UCpxoC_v4mnc9KtWboXMRK5g
AVE5kmDDnTFIPHTd9qWduZw3u1Gu-T5xYeu8fXP-rP4,2013-10-20T13:36:33,2013-10-20T13:36:33,They have﻿ are ...,They have﻿ are brittish.,24,0,Justin Lee,FhvUdSzqQ2i1waQtDzbeyw,UCFhvUdSzqQ2i1waQtDzbeyw
AVE5kmDDnTHPPFD-WSSTbh3qFlyFsqH4v4BkHYQ20AU,2013-10-20T13:21:48,2013-10-20T13:21:48,Hilarious! ﻿,Hilarious! ﻿,12,0,Sel Kums,Q3Z529fdLJdxnFFZvXJ81A,UCQ3Z529fdLJdxnFFZvXJ81A
AVE5kmDDnTHR1YJx_WvhzCU-ATAo-cUu-dsbyjtOfro,2013-10-20T13:18:06,2013-10-20T13:18:06,watch out attention ...,watch out attention whore coming through...﻿,44,0,thebabyfartingunicor,thebabyfartingunicor,UCu1vot2bkeJfbXlJG0am81w
AVE5kmDDnTGIl31SX-HjWWRZRU2Ta3jUugsLHp7bMlM,2013-10-20T13:17:18,2013-10-20T13:17:18,Are﻿ you mad,Are﻿ you mad,12,0,CCgamer13,CCgamer13,UCXpI11RomskIoAtMmbnlHyw
AVE5kmDDnTGBLzYtnumk8xGOB6t4rntnj0tI6eOZg2I,2013-10-20T13:05:13,2013-10-20T13:05:13,Lol﻿,Lol﻿,4,0,ombrug3,ombrug3,UC6SGYNgc5U7siIO1EjBYwMw
AVE5kmDDnTEju7EB_Zk3tI9JJ_lzEsCBiC8X7Vw3XFY,2013-10-20T12:49:33,2013-10-20T12:49:33,نص مليار  شوي شوف ...,نص مليار  شوي شوف اغنية جستن بيبر   والله  وصلت  مليار الاشوي﻿,62,0,Omar Ammar,lZb5Hi9G77xVxA-FLizk7g,UClZb5Hi9G77xVxA-FLizk7g
AVE5kmDDnTGkhgT9IOEgtv22U7e0qpg4xt0LrXfwDeI,2013-10-20T12:44:53,2013-10-20T12:44:53,like my comment ...,like my comment then press 1337 :D﻿,35,0,Will Huehuehue,WillSimoni,UCwO8sut0j8l_v-fPKjSjfiw
AVE5kmDDnTHPezi5n73qfb5chO-87fgKkmXwfA7QNWw,2013-10-20T12:44:48,2013-10-20T12:44:48,Ha﻿ ha lol,Ha﻿ ha lol,10,0,Ed Lennon,iHMbTF3z4uiGBxOIonqTdw,UCiHMbTF3z4uiGBxOIonqTdw
AVE5kmDDnTF_JeGjG_bGvzgafgcGj6oIrXZM6JA6TCA,2013-10-20T12:43:25,2013-10-20T12:43:25,نص مليار يا ظلمه﻿,نص مليار يا ظلمه﻿,17,0,استغفر الله,soprart,UCX_9YB4F1ZBazoJLoEbhfRw
AVE5kmDDnTF-mzrJkz328z7Iwo4sjAUdznEPgn3Xw34,2013-10-20T12:40:21,2013-10-20T12:40:21,I wouldve whooped ...,I wouldve whooped Charles ass lol﻿,34,0,Keshone Wallace,nXiq0H-Z_JBaTnHq4_ygXw,UCnXiq0H-Z_JBaTnHq4_ygXw
AVE5kmDDnTF0sSQm2wvrOvd5nVEEo4-UjjctD37plmg,2013-10-20T12:38:42,2013-10-20T12:38:42,its﻿ funny but ...,its﻿ funny but nobody knows why :/,34,0,MrStarWarsFreak55,MrStarWarsFreak55,UCpyT2aej9NoPpLkTp4bpAdQ
AVE5kmDDnTFrQIsXbtaZb_TYolcocdRHW7pk2WEXGg0,2013-10-20T12:36:17,2013-10-20T12:36:17,haha﻿,haha﻿,5,0,Kegan937,Kegan937,UCN8TAbNg1Nf9oFK2E7DkjcA
AVE5kmDDnTGMuv2nawKmDgy0G6Z5Ln8ixDjYIAEK-HU,2013-10-20T12:28:53,2013-10-20T12:28:53,Hater﻿,Hater﻿,6,0,Adna Kadrič,I85Z9UZn4eFrr1TSxg5aiQ,UCI85Z9UZn4eFrr1TSxg5aiQ
AVE5kmDDnTFwxDXGD43VwMNPxPXwSZO_uPJTZQVPW7A,2013-10-20T12:22:36,2013-10-20T12:22:36,I'm Grace im 14﻿ ...,I'm Grace im 14﻿ and i love makeup and fashion I made this channel so i can make fun and interesting videos! i HOPE you check out my videos and subscribe while your there! THANKS A BUNCH  G x,191,0,ChanelGmakeup,ChanelGmakeup,UCc7JcMmxAdDG0TQ1frOQzgQ
AVE5kmDDnTEpgKZwzJHIWCPAWdtnxLvdvnj6lbDMSFo,2013-10-20T12:16:39,2013-10-20T12:16:39,ابيصصص﻿,ابيصصص﻿,7,0,MrSubzero11115,MrSubzero11115,UCdFp21Z3zYn9N4NYxYX9hdA
AVE5kmDDnTFhNl5Sx1ZZQvq-vaxsOeNzmPhcDxmWF-A,2013-10-20T12:08:06,2013-10-20T12:08:06,CHAAARLIE ☆★☆★☆★♡♥♡ ...,CHAAARLIE ☆★☆★☆★♡♥♡♥♥♡﻿,23,0,Game_32_XD,GamingPro1999,UCNCABS-a7oohS7xZCYe9yOg
AVE5kmDDnTFlTjyiTRCQLlqMOliAIN07QiDVk2owwO4,2013-10-20T12:07:45,2013-10-20T12:07:45,:)﻿ ★☆★♡♥♡★☆★,:)﻿ ★☆★♡♥♡★☆★,13,0,Game_32_XD,GamingPro1999,UCNCABS-a7oohS7xZCYe9yOg
AVE5kmDDnTHZ3qaaihI4VXUKZDMr4H8TNoQSr4cKJ1Y,2013-10-20T11:38:44,2013-10-20T11:38:44,Check out﻿ my ...,Check out﻿ my makayla   Charlie don't have nothing on monster makayla!!!,72,0,katta172,katta172,UCSNuOrwZARplzP6v0-uyuJA
AVE5kmDDnTFcO1WYEIgYvF9MrRWSK8nXQfmiM3nW0Jo,2013-10-20T11:37:49,2013-10-20T11:37:49,My daughter ...,My daughter makaylas a﻿ reall monster!!!!! Raaaaah,50,0,katta172,katta172,UCSNuOrwZARplzP6v0-uyuJA
AVE5kmDDnTG4C1QcrkUCQlnH4fuj2T8Dqm1SQB-p2lo,2013-10-20T11:35:55,2013-10-20T11:35:55,*PLEASE READ* Check ...,*PLEASE READ* Check out my new video took me﻿ 6 hours to make please like and subscribe Thank you so much,105,0,Fear,Fear4D,UCPF1zHToGG1Y1MN-eSojUYw
