ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
hB_QL8m_ks0NsEID37PJ1H55NJ5Po8jNkN3sMRVGDFM,2013-10-20T17:25:30,2013-10-20T17:25:30,You could ...,You could conveniently make over 5000 bucks monthly by simply following a simple﻿ system in your own home.  View this video now /watch?v=jaqE8LSaK6Y,148,1,Armand Foreman,g2TpRtUcPOKImprIwFVfQg,UCg2TpRtUcPOKImprIwFVfQg
hB_QL8m_ks3n7NbiaBl2gBekRmoza4KRpa2Fc1H6TtY,2013-10-20T16:54:52,2013-10-20T16:54:52,Accept the lord ...,Accept the lord Jesus Christ into your heart. And stop letting sin take over your life. It only leads to death and it kills what god wants for you and his purpose in you!! In the old testament they would sacrifice animals for their sins and the blood of the animals would﻿ atone for our sins. But  when Jesus died for us  his blood took away our sins too but  also cleared our conscious! He overcame satan after rising from the cross. And so can we!! Take the word of God serious and pray to God!!,497,0,chelsea miller,3SfGQ7JULJcEzBIIDlxYnw,UC3SfGQ7JULJcEzBIIDlxYnw
hB_QL8m_ks1zXscVCIddYBdl6G-gaiQUxQtLXNUDpWo,2013-10-20T16:54:47,2013-10-20T16:54:47,Wowed﻿ love170€ 980 ...,Wowed﻿ love170€ 980% =Swag,26,0,MrKINGSWAG214,MrKINGSWAG214,UCky4Tq0OmbC7QV23GCG5-lg
hB_QL8m_ks2ErX-jLFhvGN9NUKUy0ph5F2lyPlps1NI,2013-10-20T16:48:05,2013-10-20T16:48:05,Love it﻿ wow:!,Love it﻿ wow:!,14,0,MrKINGSWAG214,MrKINGSWAG214,UCky4Tq0OmbC7QV23GCG5-lg
hB_QL8m_ks3jkxNdWek4uQ3JzdkUbiZ26XjGECovPZs,2013-10-20T16:42:51,2013-10-20T16:42:51,how to be that hot ...,how to be that hot?﻿ :o,23,0,charlottefrosthansen,charlottefrosthansen,UCk--tE26Maug1JVu2OHPNyw
hB_QL8m_ks10SiMAQF7hJic0dg8ezXpimgbCup_X334,2013-10-20T16:33:09,2013-10-20T16:33:09,muito foda o ...,muito foda o treinamento﻿ dese muleke,37,0,mateus augusto,VCHH1T2L71jzgWqZD-7IBQ,UCVCHH1T2L71jzgWqZD-7IBQ
hB_QL8m_ks0yXVlPILY9WP1K4q7yensfBcv9rWeEbQ4,2013-10-20T16:09:58,2013-10-20T16:09:58,Justin﻿ :),Justin﻿ :),10,0,Danii Styles,y2W43QBioKRRCGltW1jerA,UCy2W43QBioKRRCGltW1jerA
hB_QL8m_ks3S97M5Mc0wJJdFmzOXE7VqR6Pq965ID64,2013-10-20T16:02:56,2013-10-20T16:02:56,Lol﻿,Lol﻿,4,0,SkyRolePlay Raid,trkoR2YnYbtfiLKFC7ny2g,UCtrkoR2YnYbtfiLKFC7ny2g
hB_QL8m_ks3vcu-2vw5oA50H4Euhr63W5ocqyG_sYyk,2013-10-20T16:00:44,2013-10-20T16:00:44,3 I LOVE 3 ñ.ñ﻿,3 I LOVE 3 ñ.ñ﻿,15,0,Miriam Alondra  Bahena,atni2jM9-lIVjck9Wm1DPA,UCatni2jM9-lIVjck9Wm1DPA
hB_QL8m_ks2mWCOxzIu0SwHF4rNT7V7RGZ8jNj5Sqyw,2013-10-20T15:53:00,2013-10-20T15:53:00,Hi Youtubers! We're ...,Hi Youtubers! We're sorry for bothering you but please take the time to read﻿ this comment. We're two cousins (Destiny&Hope) and we have a BIG dream : Becoming Singers. Singing has always been our passion. We live singing 24/7.. We also know that﻿ it's REALLY difficult to get into the music industry but we'll do EVERYTHING to get there. So.. Can you help us by checking out our covers and telling us what you think? It would mean the World to us.. THANK YOU SO MUCH! God Bless You.,483,0,DestinyHopeOfficial,LAswaggyGirls,UCGNyErhbTC9E9sa8Cvxbe0g
hB_QL8m_ks2BpfmvYrvCsS51dkfUhvM02M-3tP9Ca8c,2013-10-20T15:51:19,2013-10-20T15:51:19,I had been speaking ...,I had been speaking with my date last week about this video and they couldn't believe it was so popular. Of course I did not ask them for another date! heh! Fortunately this dating web site I'm visiting has plenty of people in my age group who want to socialize. If you want to date and have someone﻿ to talk about videos with face to face  visit this web-site and register. MyLocalDateFinder.co­­m,398,1,enchantingenthu8031,enchantingenthu8031,UCWQJ38BJyTBt3qHcJ1P5Ovg
hB_QL8m_ks0FjNC4z-SH2XIOgFDEACTRxseao-mdedg,2013-10-20T15:44:07,2013-10-20T15:44:07,is very very﻿ very ...,is very very﻿ very very perfect this video.,43,0,Justin Bieber Is The Best Idol,0YemM5h0Hwm8ZgBVVsct5A,UC0YemM5h0Hwm8ZgBVVsct5A
hB_QL8m_ks3xhOU5xsmVdEV7evdYFbqWht4eOK1zb10,2013-10-20T15:20:09,2013-10-20T15:20:09,Jaden﻿ Smith is hot ...,Jaden﻿ Smith is hot!!!,22,0,Luna Schmidt,7d7B7_VcrACrsJY5573rhQ,UC7d7B7_VcrACrsJY5573rhQ
hB_QL8m_ks1erSzhaGWRhoKtbVvzhd2-vmghii1RUwo,2013-10-20T15:17:24,2013-10-20T15:17:24,they are﻿ just ...,they are﻿ just normal!!,23,0,Luna Schmidt,7d7B7_VcrACrsJY5573rhQ,UC7d7B7_VcrACrsJY5573rhQ
hB_QL8m_ks09SkQXdP1BWpd9S45sWGOvA7mzpfIZV8c,2013-10-20T14:57:44,2013-10-20T14:57:44,Beautiful song! I ...,Beautiful song! I LIKE!!:);):);):)﻿,35,0,Justin Bieber,e_MyexfCVmCQ1bAfDPz2lA,UCe_MyexfCVmCQ1bAfDPz2lA
hB_QL8m_ks3P4UdKeGNZy6LzHzgzIGVaxF9cqZyXNXQ,2013-10-20T14:42:06,2013-10-20T14:42:06,324 005 people ...,324 005 people have﻿ something wrong with their ears.,53,0,Anna Martin,123AnnaRules,UCF40rF13W6YR6ctzIIBFVmA
hB_QL8m_ks0rZ1y6EuqiPI2l2wFJSlzDRPPLt39DJfM,2013-10-20T14:32:01,2013-10-20T14:32:01,very﻿ nice videos G ...,very﻿ nice videos G O O D♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥  D E N♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥ C♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥ E♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥ S U P E R  S O﻿ N G LOVE ♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥,206,0,Ilia Trubek,4i9uigD9kea4-5f_yHa5mg,UC4i9uigD9kea4-5f_yHa5mg
hB_QL8m_ks0nCYe62BBYFwCqJFE1apV3lnNtI76soZA,2013-10-20T14:04:00,2013-10-20T14:04:00,Ik were they live : ...,Ik were they live :) if u noe me ill tell﻿ u,44,0,Deja Gilyard,q1rbShwugeATG234d3lGow,UCq1rbShwugeATG234d3lGow
hB_QL8m_ks09hX9GJHB7-56QARUQfHMK29F1kjvb2mk,2013-10-20T14:02:23,2013-10-20T14:02:23,I love jaden﻿,I love jaden﻿,13,0,Deja Gilyard,q1rbShwugeATG234d3lGow,UCq1rbShwugeATG234d3lGow
hB_QL8m_ks3NOBxgtPRxupdVDqoh5sNJ4NSsuWH7rbk,2013-10-20T14:00:43,2013-10-20T14:00:43,loveeeeeeeeeeee﻿,loveeeeeeeeeeee﻿,16,0,swag,hywRM-Kv3WovSivd3XV9kA,UChywRM-Kv3WovSivd3XV9kA
hB_QL8m_ks3n5cadUbh7U-aYd0StSN0NYAf-6wxRW-Q,2013-10-20T13:46:44,2013-10-20T13:46:44,Jaden Smith and ...,Jaden Smith and The﻿ Karate Kid,31,0,สิทธิชัย สุวะไกร,3FhbMl5h90NIIZQD0mB1_g,UC3FhbMl5h90NIIZQD0mB1_g
hB_QL8m_ks16KAflun4qZ4rVILvc9_kQXT2bk8XSHAE,2013-10-20T13:43:28,2013-10-20T13:43:28,cool ﻿,cool ﻿,6,0,sarita moutinho,8IA9_gtjzH06HVS-o4gMvg,UC8IA9_gtjzH06HVS-o4gMvg
hB_QL8m_ks0VU7uDAW1lv8fmai9Tux3_Kz8s2b18_D0,2013-10-20T12:54:47,2013-10-20T12:54:47,shit! This video is ...,shit! This video is not HD :(﻿,30,0,ShOpTelevisionVEVO,ShOpTelevisionVEVO,UCnRGz-b6nYTdB35L5BKpORw
hB_QL8m_ks1oo6GM9bUdfJAuzS1JL-mBONYPxYGbWpE,2013-10-20T12:30:16,2013-10-20T12:30:16,no...﻿,no...﻿,6,0,panupong boonyaratkarin,p331ZEJjIXA93xP_LcWCuQ,UCp331ZEJjIXA93xP_LcWCuQ
hB_QL8m_ks32vIqVoYADUAb0M6hhf0z0wLHhQH3ldmc,2013-10-20T11:52:35,2013-10-20T11:52:35,Li﻿ amoo*--* JADEN* ...,Li﻿ amoo*--* JADEN*-*JUSTIN*-*,30,0,asiatumini,asiatumini,UCXq96zXbUr4MmedF8DCKE_w
hB_QL8m_ks2poFCZgwhBoxVBzzYThcVjLuMaLJB8VyM,2013-10-20T11:24:21,2013-10-20T11:24:21,i﻿ love jaden,i﻿ love jaden,13,0,ilovejehovah18,ilovejehovah18,UCme8mmQceRtLI-1fjqWv6Og
hB_QL8m_ks0STV7fskwt4soLw3e4xSnKBPGuR66TlNY,2013-10-20T11:13:02,2013-10-20T11:13:02,Right﻿ now a ...,Right﻿ now a cyberpunk leeched a whole new fuck video with the whore Rihanna Watch the entire thing here : crazy-celeb-news.eu.pn hahahha this particular girl is really dumb,173,0,Suzanne Burt,tlU8Ny_g15r16hzbBJ8FMw,UCtlU8Ny_g15r16hzbBJ8FMw
hB_QL8m_ks0Zr0CYP9wYVBy6p1mpGGP7CWU_FCAVwaw,2013-10-20T10:55:11,2013-10-20T10:55:11,Love﻿ love lovée,Love﻿ love lovée,16,0,Ines chipie,o-ixCv2yCpjFvg-NqfnpSQ,UCo-ixCv2yCpjFvg-NqfnpSQ
hB_QL8m_ks1krG5o_Ljc-J2_zr6NiWyQYXku_xrmGvs,2013-10-20T10:50:42,2013-10-20T10:50:42,u know﻿ what pisses ...,u know﻿ what pisses me off not really pisses me off but he says never in the next line?!,88,0,Mr.Trollsonson,u7HOrF2Hs2Yl0OQYuWNQTQ,UCu7HOrF2Hs2Yl0OQYuWNQTQ
hB_QL8m_ks1FSXNdFvhwVqwB__3v1Bm09KFTbWLSVvk,2013-10-20T10:45:40,2013-10-20T10:45:40,Hi I am﻿ 14yo boy ...,Hi I am﻿ 14yo boy and I made cover for Justin Bieber please check it in my channel /watch?v=gdEyx-gerP4,103,1,Tiger Sa,xTigersax,UCpso3mE-Z3FH8KBrdv4xa6g
