ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
pxYw1fZYmWWTriU5vIZ7sngoi8FpPZaSkcE6-GSKE1A,2013-10-20T15:56:50,2013-10-20T15:56:50,smasung galaxy s4 ...,smasung galaxy s4 is much﻿ better.......,40,0,Sagar Upreti,fb6Qu4mPUQ_Y19bdNDH8vA,UCfb6Qu4mPUQ_Y19bdNDH8vA
pxYw1fZYmWX2SR4uknYfwqCqv76JJTREUH4gnIqNA8k,2013-10-20T06:50:06,2013-10-20T06:50:06,ok well if apple is ...,ok well if apple is not﻿ the first one who discovered.... who did????????????,77,0,jelano brown,jagas106,UCE7wGDx-zx_amaYd-8D5leA
pxYw1fZYmWX7OPawtnk3-oY_RDUsArqabHJHboUA-XY,2013-10-19T22:36:45,2013-10-19T22:36:45,Samsung is better ...,Samsung is better than Apple in the phone industry  Apple is better than﻿ Samsung in the tablet industry.,105,0,asspooper65,asspooper65,UCHduGZAslJB6fW6p8dM04hg
pxYw1fZYmWWixTzlSi1P2vE443Hqy8cjssuzt5bsq38,2013-10-19T17:19:31,2013-10-19T17:19:31,iphone has small ...,iphone has small screen ﻿,25,0,deepak mittal,bn7MMf1ZVsfoAJ8R05wGwg,UCbn7MMf1ZVsfoAJ8R05wGwg
pxYw1fZYmWV0ZTIrlargdD0CxtgZPQxHZwFbhg94S9E,2013-10-19T17:19:19,2013-10-19T17:19:19,All the apple re- ...,All the apple re-sellers﻿ are selling iPhone 5 still at the MRP  no discounts :(,80,0,Nikhil Khanna,nikhikhanna22,UCfB8WqNeGGCmtAHDL-kWbxg
pxYw1fZYmWWgpQ6Y7GF8fnqypa691G2xJ17m6sUS2PY,2013-10-19T17:01:48,2013-10-19T17:01:48,iPhone 5 HA!!! ...,iPhone 5 HA!!! Check﻿ this out from CNN vclads.com\iphone5,58,1,EZTwitterFollowers,EZTwitterFollowers,UC3aqn5bxxDKKshDXusEamDA
pxYw1fZYmWW0YeCdfpdQJABijp01UeQrkyLtCsjsJbs,2013-10-19T12:26:50,2013-10-19T12:26:50,Simplistic﻿ and ...,Simplistic﻿ and beautiful or merely ugly functionalism? "Less is a bore" - Robert Venturi  You could argue all day about what is better  modernism or postmodernism. Frankly I was just pointing out the absurdity of your response and twisting it  and I'm certainly not saying certain design styles are better because my opinion. It's so subjective.,346,0,patsybob,patsybob,UChT1RryyWY7V_3rCY5r1kDA
pxYw1fZYmWWNd-h1cNC2joHXJcxoWYpRoUketFrigr4,2013-10-19T09:41:44,2013-10-19T09:41:44,eeeee ﻿,eeeee ﻿,7,0,Gheorghisan Dan,PK5tnV_yd8O_QSToE917Zg,UCPK5tnV_yd8O_QSToE917Zg
pxYw1fZYmWWqDfYPWugxyBqW7IpuPrCI9YS-2Dp89OM,2013-10-19T08:58:49,2013-10-19T08:58:49,I﻿ miss spelt a lot ...,I﻿ miss spelt a lot of words in my last comment LOL,51,0,GearoiddoesMC,GearoiddoesMC,UCX_A_CahoPcb3VBkh-gODmA
pxYw1fZYmWWEwPPXTe4etLBnIafXHBw_o28G3kxa57g,2013-10-19T08:57:04,2013-10-19T08:57:04,Ok...apple is a ...,Ok...apple is a very﻿ high in the technology world...but samsung are catching up apple need something new...so do samsung,121,0,GearoiddoesMC,GearoiddoesMC,UCX_A_CahoPcb3VBkh-gODmA
pxYw1fZYmWUUe2Z_gcbtf4shV6Xv3X0siTXVdbHI47w,2013-10-19T08:48:46,2013-10-19T08:48:46,s4﻿,s4﻿,3,0,jFkSniperCommunityPC,jFkSniperCommunityPC,UCdL2tdwBMl-tcqnoUqtAyIw
pxYw1fZYmWX3yN2rubgSeE9gjNn_gxnnEq6ehGo-WqQ,2013-10-19T06:32:29,2013-10-19T06:32:29,That's the spirit﻿ ...,That's the spirit﻿ FUCK Iphone,30,0,Junior Gutierrez,LlOnB9C4AqyaKIZhcDmn6A,UCLlOnB9C4AqyaKIZhcDmn6A
