ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
6jpbV9BEJyeApvQ_qtUj_rt63zEFIzr0HG8w0rPPGbs,2013-10-20T17:07:51,2013-10-20T17:07:51,☀☀☀ Gamers be quick ...,☀☀☀ Gamers be quick! Xbox Live Points  GTA 5 and Black Ops II Apocalypse FREE right now.. GET this while you still can﻿ !!! Go here: Linkr.ws\freegames,151,0,Charles Hodgkinson,XgH_dihSyb1HFQqIC1JluA,UCXgH_dihSyb1HFQqIC1JluA
6jpbV9BEJyeY1SExrFfqET_ZoPLCAIrz50ZS_CwPweY,2013-10-20T17:06:04,2013-10-20T17:06:04,We're u guys at a ...,We're u guys at a airport.﻿,27,0,hyper boy,Philipmeola,UCAwASG5r9rJzTb887d9y7Ow
6jpbV9BEJyeG-wkAa_MX8cPW7fgh40vURhANDmUdoDo,2013-10-20T17:00:01,2013-10-20T17:00:01,Yo Check my channel ...,Yo Check my channel out! This is not spam. I'm just trying to be a great youtuber. I﻿ just need people to say how my videos are. So if you can look at my channel it would be delightful.  ;) Thanks Please check me out!,217,0,TehPyro,TheBbbkc,UCXBBAO7OA41PadCVBV6IfFA
6jpbV9BEJyfi5c7dXCQZS9Cdm68W3Wi1GZGPlaVsCAI,2013-10-20T16:58:21,2013-10-20T16:58:21,That's not even a ...,That's not even a level to brag about. Sorry you can't see that I was stating a problem.﻿ Not bragging.,103,0,OfficialVendetta100,OfficialVendetta100,UCxHrXCblMIuLfUGIqbcdKZg
6jpbV9BEJyc1QPsYYBab7IGy6ApxLUsTB8jr66MsNkw,2013-10-20T16:55:26,2013-10-20T16:55:26,bragged about being ...,bragged about being lvl﻿ 24,27,0,O Thirio,YJizITzvscROtas9SzA2-Q,UCYJizITzvscROtas9SzA2-Q
6jpbV9BEJycJeFNVU5R7XWwR4LK1zzPzQd3Wy40Pj6k,2013-10-20T16:50:17,2013-10-20T16:50:17,I don't care I'm ...,I don't care I'm responding to a comment. I don't give a flying fuck what you﻿ think.,85,0,OfficialVendetta100,OfficialVendetta100,UCxHrXCblMIuLfUGIqbcdKZg
6jpbV9BEJye1--B_TBzTbuCN4zEicpcpZa8KK678GNo,2013-10-20T16:36:35,2013-10-20T16:36:35,no one gives﻿ a shit,no one gives﻿ a shit,20,0,Wilkoolswiper115,Wilkoolswiper115,UCfOQts3oDDrQwtlpBSIed2w
6jpbV9BEJyefB4PECgMorPNvglhkhpu3LKgbyaQsbAo,2013-10-20T16:33:31,2013-10-20T16:33:31,how is that ...,how is that bragging? Going from﻿ level 24 to 10 sucks.,55,0,OfficialVendetta100,OfficialVendetta100,UCxHrXCblMIuLfUGIqbcdKZg
6jpbV9BEJyflxCApPKZrZ1LPjQwVryQ4RDiDV0LES8s,2013-10-20T15:58:47,2013-10-20T15:58:47,think you just ...,think you just wanted﻿ to brag,30,0,O Thirio,YJizITzvscROtas9SzA2-Q,UCYJizITzvscROtas9SzA2-Q
6jpbV9BEJyeml8ZjPSOSwGtVd1yN9SK1xvewV_3rkLA,2013-10-20T15:53:13,2013-10-20T15:53:13,where is that ...,where is that airport at? cause online when i go﻿ to it there is not 1 single flyable plane,91,0,Tevorek,Tevorek,UCU1227yJwEGj9RFldny0aTA
6jpbV9BEJyf6AarWZ7xHnrKGlTOWBI3nP8bkspyuXqg,2013-10-20T15:42:45,2013-10-20T15:42:45,.....im saying when ...,.....im saying when i signed back online it showed me as level﻿ 10. I dont know why you think this story is fake. I think you just wanted to comment on something.,162,0,OfficialVendetta100,OfficialVendetta100,UCxHrXCblMIuLfUGIqbcdKZg
6jpbV9BEJyfkAqnb4GF_gHG7tFDHKutQuMQ2_ZoCafY,2013-10-20T15:35:18,2013-10-20T15:35:18,☆☆☆ I just got the ...,☆☆☆ I just got the ΝΕW ones! Black Ops II Apocalypse  GTA 5 and Xbox Points FREE...﻿ Go while the downloads are still online !!! Go to link: Linkr.ws\freegames,159,0,Charles Hodgkinson,XgH_dihSyb1HFQqIC1JluA,UCXgH_dihSyb1HFQqIC1JluA
