ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
nQYjL8HBh7PBrGndpHKMDa7lVWIcZwFtXh1o89zh5R8,2011-07-01T23:35:07,2011-07-01T23:35:07,hahahh actually ...,hahahh actually first time ﻿ many years ago  I saw this video because back then the name of the video was "Best Sex Ever" ;),124,0,PopGracewood,PopGracewood,UCnvABko11RkCwb3wKBZDORQ
nQYjL8HBh7PpFJSNjY2sNYarVyaxeZA5eI9BhcWnekE,2011-07-01T19:34:29,2011-07-01T19:34:29,i would have to ...,i would have to agree with anothercomment that when its spontaneous i mean hell just makes a whole new turn on and lets actions speak﻿ instead of words,151,0,David Powers,baller2285,UCLch_rbGe9Ea9kS5e0GVHZg
nQYjL8HBh7OOqmcwAy2lhbmQEZ32R1oddFhmxNWHFpM,2011-07-01T13:55:26,2011-07-01T13:55:26,My best sex ever ...,My best sex ever was with my bf in a Khols dressing room. We﻿ were trying on swim suits and when he saw me in my bikini  he started to rip it off and it was so amazing because we kept trying not to get caught. A close second would be in my bfs pool. ;),252,0,Katelyn Hosch,Runswimgal007,UCVt9ief9n1mjCLtWeag_tNg
nQYjL8HBh7PwUwrEOcDtROif4ALc6yEf29JtnEegOlw,2011-07-01T05:35:57,2011-07-01T05:35:57,Best ever was on ...,Best ever was on the second floor of a deserted starbucks  only other person there was﻿ the kid at the counter. The girl just knew how to let me know how it was working for her without breaking the intensity. We both came and didn't get caught. She went to the bathroom before we left and the kid at the counter gave me a high five.,332,0,10Kazkit10,10Kazkit10,UCwTO25vY-s0mfJoDP3GFECw
nQYjL8HBh7MFtsnLnpVVaXTCGp4GTbS8kXhvzgBOIuo,2011-07-01T05:05:53,2011-07-01T05:05:53,When I took a ...,When I took a flight all the way from Vancouver to Chicago to meet my girlfriend and we had really romantic﻿ sex woohoo you look good in the socks,146,0,airsoftguyful,airsoftguyful,UCYLYeV-pw35AlWgCF_RY3MA
nQYjL8HBh7OPWLLQNlvg8D7-BGuNt-OhZ9NLoV4hdkQ,2011-07-01T01:56:36,2011-07-01T01:56:36,thank you﻿ weezer!,thank you﻿ weezer!,18,0,syngervice67,syngervice67,UCF-S_Yyn2jTJX5QJxFiJKIg
nQYjL8HBh7N1BE97FTGYd6UZgb7EWcM9a3DeBq5oVtQ,2011-07-01T00:05:47,2011-07-01T00:05:47,i wish i had socks ...,i wish i had socks like﻿ that.,30,0,tlutz5991,tlutz5991,UC1slJZOYGfZUIwL7b95VLQg
nQYjL8HBh7Ob8-RgnN52h4Xi5qhe7QvQMknT_VAv4Hw,2011-06-30T17:33:43,2011-06-30T17:33:43,Girl...your﻿ socks ...,Girl...your﻿ socks are badass....,33,0,ChillXHot,ChillXHot,UCfipn9T0scqzrYnnOdrq4kw
nQYjL8HBh7M3WTBQBKdXdSVkzjOO3Gstf2mlIGNwboA,2011-06-29T23:23:12,2011-06-29T23:23:12,thoughs are some ...,thoughs are some sexy ass socks. I hear you talking but I﻿ see only thoughs socks.,82,0,Nero Phommavongsa,Chimmycocopuffsss,UCZLxFDmKalOgleg6YSkWrjQ
nQYjL8HBh7NImGn1dX58gIYQNTevk5P4OxPGyYZlf80,2011-06-28T22:54:59,2011-06-28T22:54:59,it was when me and ...,it was when me and my girlfriend had a fight and i could stay at her house anymore cause i was pissed﻿ at everything and as i was walking to the door she pulled me back and kissed me and we did it............it was different then any other time we've ever done it,263,0,TheJoniscool,TheJoniscool,UCO6EVJeFtFSHiH87zHSVu7w
