ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
ZMVfLwf3HUa5V3D8bBaJ601uGpSCOEn2f2x6dKQ6-ME,2013-10-20T16:25:30,2013-10-20T16:25:30,just found a human ...,just found a human statue easter egg  got﻿ a video on our channel :),68,0,NerdJuicedGaming,NerdJuicedGaming,UC3Ude8PGXZQnw0X9THYl6fw
ZMVfLwf3HUYek3XXOtVa2FDk2ce8T3BpuSeGfZ_0P4w,2013-10-20T16:01:52,2013-10-20T16:01:52,NEW GLITCH !! NOT ...,NEW GLITCH !! NOT PATCHED﻿ ! on GTAfanclub !!,45,0,GTAfanclub.net,GTAfanclubNET,UCIcu_MEBAs0QKLQd534FF0w
ZMVfLwf3HUZ5uLjiIuALXOmYjOEEe1RCdpN9T5i2eNY,2013-10-20T13:29:37,2013-10-20T13:29:37,0899020467﻿,0899020467﻿,11,0,X-Art -MoDz,NGyBN-e60euBw7xeEwPypA,UCNGyBN-e60euBw7xeEwPypA
ZMVfLwf3HUbsN-FOoPmEBi5RoRsESsd58s8g4LzYdgU,2013-10-20T10:33:26,2013-10-20T10:33:26,you kid? Ok Me Kid ...,you kid? Ok Me Kid lmaooo....Ummm﻿ before you try and clown someone  first learn how to put your grammar together. Makes me think you never finished Middle School Lmao,167,0,quest1ize,quest1ize,UCaUM6SEBIzajerahxnxHpcw
ZMVfLwf3HUahM4Kz47WPm2hGz-L0B9NQzCpUa9XrSjU,2013-10-20T03:54:00,2013-10-20T03:54:00,Do you need a﻿ pc ...,Do you need a﻿ pc for this,26,0,Jordan Jessett,7V5DDLsho83cSyJz-ZlrNg,UC7V5DDLsho83cSyJz-ZlrNg
ZMVfLwf3HUZStMceUMhbsB_hOomsVlwI_fKRGvFvbUA,2013-10-19T23:34:33,2013-10-19T23:34:33,Ye i figured out ...,Ye i figured out haha﻿,22,0,7000Drummerboy7000,7000Drummerboy7000,UCJiW4a1djUdZunmYPUXz40Q
ZMVfLwf3HUYh_CEPBeTyiWLp5JospqwuERYXeRGvdLM,2013-10-19T23:25:56,2013-10-19T23:25:56,Litterally the ...,Litterally the first thing he said.﻿,36,0,Dawgeh,TeamDawgehz,UCg6mk9iEC6pTgseFo6A4LEg
ZMVfLwf3HUahrBjYzC7YrIRRdHUHdBEL6gymdDZ_bRo,2013-10-19T22:56:58,2013-10-19T22:56:58,hey its no a sticky ...,hey its no a sticky bomb it the﻿ rockets that you drive into,60,0,Reggie Time,3WwyDy98Yo5AZkAUoM90Mw,UC3WwyDy98Yo5AZkAUoM90Mw
ZMVfLwf3HUbBMvOIGFQp2FGgluSxabp3sqEbABSjM60,2013-10-19T22:34:19,2013-10-19T22:34:19,how did u get that ...,how did u get that much cash?:o﻿,32,0,7000Drummerboy7000,7000Drummerboy7000,UCJiW4a1djUdZunmYPUXz40Q
ZMVfLwf3HUZ9FFPzuOlRYxG7nqlWuje05_kJnf0_Y1o,2013-10-19T22:09:23,2013-10-19T22:09:23,are you in middle ...,are you in middle school? lmao you﻿ kid,39,0,Ty Zeroknight,-oOtr0RQolD9MCh2PZk3fQ,UC-oOtr0RQolD9MCh2PZk3fQ
ZMVfLwf3HUZ_8jLBxDYG7HXmXnMQMDr1vwOtQhP4vYU,2013-10-19T21:52:40,2013-10-19T21:52:40,Mute this guy﻿,Mute this guy﻿,14,0,Omar Abualrub,Mek-HX1e-_HjWrTtDGlfjw,UCMek-HX1e-_HjWrTtDGlfjw
ZMVfLwf3HUZ6bZylJGu1XkARge7d5Gsqy6CiiVyOkm4,2013-10-19T20:51:08,2013-10-19T20:51:08,Do they sell ...,Do they sell expensive belts﻿,29,0,Blood Benjamin,DVwsNWpBZj9lMMbxUG383Q,UCDVwsNWpBZj9lMMbxUG383Q
ZMVfLwf3HUbtJhNsTnrjWKB-h7rVFFdF-NYg8JneGi0,2013-10-19T20:49:59,2013-10-19T20:49:59,Do they sell ...,Do they sell expensive﻿ belts,29,0,Blood Benjamin,DVwsNWpBZj9lMMbxUG383Q,UCDVwsNWpBZj9lMMbxUG383Q
ZMVfLwf3HUbi01UGoox6VY4DAZ8vQqrPRAL31Auw2RE,2013-10-19T18:42:57,2013-10-19T18:42:57,Not﻿ working,Not﻿ working,12,0,sullivanslatton,sullivanslatton,UC2FIJytGgfc-z1o2LgpWe6A
