ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
bIkUVBzw_8BfwhegT5_EIPNcf1yZxBuA55PGb_2ZjnA,2013-10-20T16:25:34,2013-10-20T16:25:34,buenisima  novio un ...,buenisima  novio un día me sorprendió con esta canción junto a sus amigos y deste ahi es un himno para﻿ nosostros,113,0,Martha Chamorro,nena3085,UCgSDx6n5kKfhpcMt4Wte4HQ
bIkUVBzw_8BMIlBYKednQTJgjg72Oa9hdVzoyT12HQ4,2013-10-20T16:16:43,2013-10-20T16:16:43,cudowny wspomnien﻿ ...,cudowny wspomnien﻿ czar........Sylwester 2011 Barcelona,55,0,Patricia Valencia,bKkjAd81icEj1BxImyJjfQ,UCbKkjAd81icEj1BxImyJjfQ
bIkUVBzw_8A8YRTpNcnDUHXMm1qFI7gmPdOuS-y1yOA,2013-10-20T16:10:19,2013-10-20T16:10:19,For an aware ...,For an aware Humanity  Knowledge for a better world : - We are same species (Human)  same family (Humanity). Languages  religions  nations are human inventions. - Harming the environment (overexploitation  pollution....) is also harming ourselves (diseases and early death). For a living body-planet  better consumption (organic  less meat...)  less births (human overpopulation) and﻿ reforestation of the earth (save biodiversity...).,435,0,betterworld365,betterworld365,UC7WL2sZCfMFW_Sr4KxHX1BQ
bIkUVBzw_8AfPEtFcsjoALtD1GyNDuDS4obji9MDaG0,2013-10-20T15:42:49,2013-10-20T15:42:49,... because Poland ...,... because Poland is﻿ everywhere. POLSKA :D,44,0,bizon560,bizon560,UCDmFb6NCtoMUzsBawc4PJaA
bIkUVBzw_8Cl4xkWRfGEPCLcCYVBlcIS_iLrdvtecmc,2013-10-20T15:41:37,2013-10-20T15:41:37,JE﻿ L ........DE,JE﻿ L ........DE,16,0,BEAUTYGAGA1,BEAUTYGAGA1,UCFeGrXL0xkVR8y7VIcpQdpQ
bIkUVBzw_8A3jriJcLv6b7COCbHdfqaJNMYLOsZHIdA,2013-10-20T14:55:50,2013-10-20T14:55:50,A F R I C A﻿,A F R I C A﻿,12,0,aly anne,XbkEuZ7zqPozxCY5RuusUg,UCXbkEuZ7zqPozxCY5RuusUg
bIkUVBzw_8AOo51MQ2wZ5ELrQKwOiz97vHjBN3PP6kA,2013-10-20T14:44:21,2013-10-20T14:44:21,yarram gibi şarkı﻿ ...,yarram gibi şarkı﻿ aq,21,0,gareth bale,1AJF2zsDk1IVUnkDw4LIhA,UC1AJF2zsDk1IVUnkDw4LIhA
bIkUVBzw_8AGeLGKnKiN1HLZxBboFkf9Ujd7SC_V7No,2013-10-20T13:57:45,2013-10-20T13:57:45,20102013﻿,20102013﻿,9,0,pipin carlitos,V2YidU-D5x69nYYSKWf8dA,UCV2YidU-D5x69nYYSKWf8dA
bIkUVBzw_8CaZ-8Uwd9uHXHyfQDYau83B6eQhBApIik,2013-10-20T13:42:50,2013-10-20T13:42:50,tré douce ﻿,tré douce ﻿,11,0,amora sofia,0hSRrh_Cta5oMqvvfdzCzw,UC0hSRrh_Cta5oMqvvfdzCzw
bIkUVBzw_8CDNLzm6zl0obfIpBm-KdTnGk3nHl6w764,2013-10-20T13:27:14,2013-10-20T13:27:14,Queimadas na ...,Queimadas na paraiba cidade linda﻿,34,0,Carlos Andre Silva,candresilva43,UCO1tjsXD4kvhOUsIIE1nTzQ
bIkUVBzw_8CvxqZtxgrdmb5CbyRFsQKjMDDw4aV1nuY,2013-10-20T12:08:29,2013-10-20T12:08:29,Like from﻿ Romania. ...,Like from﻿ Romania. Respect!,28,0,AleX,1Dcfm3yfboFj4pbxrQqu_Q,UC1Dcfm3yfboFj4pbxrQqu_Q
bIkUVBzw_8APVHXiRFJXQXAnFgmvRptnV2AK40Hy3Wg,2013-10-20T11:40:21,2013-10-20T11:40:21,wow  ﻿,wow  ﻿,6,0,DG Oyunda,uh2JJM8UXD-8QnldsIz7fw,UCuh2JJM8UXD-8QnldsIz7fw
bIkUVBzw_8DKJbYoAqJnl6d97kjAZsFa5agKF7D_3JY,2013-10-20T11:23:46,2013-10-20T11:23:46,Neymar+this song= ...,Neymar+this song=firaaaaaa﻿ neymar!,35,0,AdamDoesMCPE123,AdamDoesMCPE123,UCP4M7eHJpo1VQmhTNpvwjrA
bIkUVBzw_8DPVt4QO9ZLQV1MzaCeiLgQY1f7unZlzz8,2013-10-20T11:08:48,2013-10-20T11:08:48,Game: Find﻿ 1 Ugly ...,Game: Find﻿ 1 Ugly Girl Difficulty: Impossible,46,0,TheNikelopez,TheNikelopez,UCdGaBGYZ8Yj8iDQ5SF7DI3A
bIkUVBzw_8BHbE6tBNPOPl4I4er5k5hHO-5PkSdgFEc,2013-10-20T10:40:51,2013-10-20T10:40:51,No fuck﻿ off what ...,No fuck﻿ off what does Poland have to do with this?,51,0,David Woods,TheRealVeterans,UCPApsXU6w8z7WVszDQLJWQw
bIkUVBzw_8DIQa4Kg9q8RSCKnYHrkoAaJBMbr1OjWLM,2013-10-20T10:35:46,2013-10-20T10:35:46,Do you hear that ...,Do you hear that sound in the background of this video? Perhaps it's just me. From the time I went out on this date to a live concert last night  my hearing hasn't been the same! Nevertheless  I'm just happy I found this guy. If you need someone﻿ to share adventures with  this is the dating web-site I strongly recommend. Here's the link... MyLocalDateFinder.co­­m,365,1,saundragsalzmanb,saundragsalzmanb,UC1wtY7ah-tNRacJ9U1_rUpw
bIkUVBzw_8AvPniV59MScoHjNCRzcFQazaaWjysNUZU,2013-10-20T10:07:46,2013-10-20T10:07:46,20/10/2013﻿,20/10/2013﻿,11,0,zenan pathan,ErgyHuiIanfGR3myqN6gAw,UCErgyHuiIanfGR3myqN6gAw
bIkUVBzw_8DLXtgPVUvebHxx1T8sEHyl1aH1ZLnzAyc,2013-10-20T09:56:01,2013-10-20T09:56:01,Nigga das﻿ ...,Nigga das﻿ portuguese,21,0,hurraytheist,hurraytheist,UCjn15SSvpnmiAfEGFdLr4JQ
bIkUVBzw_8DoNOm2uUT3PG6nmorlyKsQydIo8sSh23o,2013-10-20T09:44:25,2013-10-20T09:44:25,For an aware ...,For an aware Humanity ﻿ Knowledge for a better world : - We are same species (Human)  same family (Humanity). Languages  religions  nations are human inventions. - Harming the environment (overexploitation  pollution....) is also harming ourselves (diseases and early death). For a living body-planet  better consumption (organic  less meat...)  less births (human overpopulation) and reforestation of the earth (save biodiversity...).,435,0,betterworld365,betterworld365,UC7WL2sZCfMFW_Sr4KxHX1BQ
bIkUVBzw_8ApyqhudCDrw2EAljm5nv3FtHwAxLpUvRA,2013-10-20T09:30:18,2013-10-20T09:30:18,Love﻿ this track ...,Love﻿ this track first time i heard it i was in Turkey and every time i hear this i want to go back  Great insperation love you michel,134,0,kerrystevenson48,kerrystevenson48,UC3EBMztiNDzMJ2VZFft9yKw
bIkUVBzw_8CDa2MXGJYP9SI35-bRiyZoq00S2Aouh84,2013-10-20T09:27:29,2013-10-20T09:27:29,dog﻿ ...,dog﻿ skjfhsafhjusjghdkjsabdhkljsadasdsadghisautgd,49,0,Vootp Comop,yLfwhLJwuxychXUrl0udaw,UCyLfwhLJwuxychXUrl0udaw
bIkUVBzw_8BCL6krEIHWgyqMRtSmz7DrJMClMI-0F0E,2013-10-20T09:24:56,2013-10-20T09:24:56,Forfa﻿ visitad ...,Forfa﻿ visitad applause de lady gaga,36,0,Carla Calva,TaOcI4HkWlIZ_aBmrx6AMA,UCTaOcI4HkWlIZ_aBmrx6AMA
bIkUVBzw_8DRTAD8Q-t_SwGozDdIESDOcVbxZ69P5CI,2013-10-20T09:03:54,2013-10-20T09:03:54,najlepšia mosa﻿,najlepšia mosa﻿,15,0,Michal Macho,6GRLjCOToKVUNDYjqqaBaA,UC6GRLjCOToKVUNDYjqqaBaA
bIkUVBzw_8DfK0A2ygQ_b-fY8BQXEM3isT6G2syyCr8,2013-10-20T09:02:35,2013-10-20T09:02:35,20/10/2013  LIKE ...,20/10/2013  LIKE PLS :PPP﻿ :DWH:WDH:d:D,39,0,Özcan Cengiz,932agPQM3mwIOe05eEXPOw,UC932agPQM3mwIOe05eEXPOw
bIkUVBzw_8DpPJn7PWhSECQ8IqhhKI7OJ-YjsdI00_w,2013-10-20T07:57:39,2013-10-20T07:57:39,sinarlestari234. ...,sinarlestari234.blogspot.com﻿,29,1,Erik Sambora,XpZG40G39m-8G-a4vBSxug,UCXpZG40G39m-8G-a4vBSxug
bIkUVBzw_8AP8Nt5HYNdgyzmQnAU91ZFFT4LCQpByec,2013-10-20T07:42:08,2013-10-20T07:42:08,tu "sueño2 es que ...,tu "sueño2 es que vean tus﻿ videos por que de esa forma ganas plata....,71,0,Javier Marcos Paz,javierkees,UCtK9kMXJIkRCWHkXmAavqWg
bIkUVBzw_8ANdOp3bKoywp3yO-uD6TSPHgt5CiFTdL4,2013-10-20T07:34:46,2013-10-20T07:34:46,Portuguese is﻿ a ...,Portuguese is﻿ a beautiful language!,36,0,MrR0botoh,MrR0botoh,UC7bYaFKOBrha4LfUVLw2HPA
bIkUVBzw_8D6qMHtH0Uy-U3MVebCZxQRnE1lLyHycQo,2013-10-20T05:46:54,2013-10-20T05:46:54,hot﻿ girls,hot﻿ girls,10,0,Abhishek bads,TvLy7XV4bO0Xdv8ZbLSfcg,UCTvLy7XV4bO0Xdv8ZbLSfcg
bIkUVBzw_8ArpY_wRSYrZqTMeBmuPcJxRQNoIA-pUn0,2013-10-20T04:54:45,2013-10-20T04:54:45,what a beautifuli ...,what a beautifuli girl!﻿   1:52,31,0,OHGM88,OHGM88,UCcryglys4_uOIwj6-WrALJg
