ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
ytypL998DZYmI4SpNbg0y_fBYrgvVgHPsmyItjOFMug,2013-10-20T17:20:38,2013-10-20T17:20:38,raccist﻿,raccist﻿,8,0,nole003,nole003,UCUCB3sugaEr-XKUfvvWdhGw
ytypL998DZaOVTTNuDG39mAzbZuQ-jDR-Xkcyljpg3E,2013-10-20T17:18:24,2013-10-20T17:18:24, ...,loooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooolllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllll are﻿ the beast enimennnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn yes,501,0,Bruno Costa,dbF1NP0VOv_DQrjCwz0HZA,UCdbF1NP0VOv_DQrjCwz0HZA
ytypL998DZaKvCQ0bSOiydhrnzrrA-IsWZUMCpiHam4,2013-10-20T17:13:50,2013-10-20T17:13:50,os voy a matar a ...,os voy a matar a todos﻿,23,0,Kike lala,kaikovich,UCYFeJWHaorg7oSdgHQp0eLQ
ytypL998DZbY4FbJlcOfJqBL_722KCq6WfNf2AOJZ7k,2013-10-20T17:13:19,2013-10-20T17:13:19,Here the best remix ...,Here the best remix : goo.gl\M1oePS﻿,36,0,Market Production,I4P_Y1fpjTrZksOnD6ojaA,UCI4P_Y1fpjTrZksOnD6ojaA
ytypL998DZY6nA8CaQUavTL8tS02_1EOZ1IfrQ3FM48,2013-10-20T17:10:02,2013-10-20T17:10:02,słabo﻿ kolego,słabo﻿ kolego,13,0,JohnAnonymus87,JohnAnonymus87,UCg4VTiAhm-yoLa7IrP5MfMg
ytypL998DZYU_7uk34DCR5_ITjjCYBYJnWLN_RLzOXw,2013-10-20T17:08:29,2013-10-20T17:08:29,Defend Eminem! Type ...,Defend Eminem! Type in 1980﻿,28,0,MsAndersanders,MsAndersanders,UCJsxIjt1Kp8nkGnw6qMA-vg
ytypL998DZYhR_dBO1udF6jgD2Jlpj13e6xgrBQDbZ8,2013-10-20T16:59:49,2013-10-20T16:59:49,44.931 are black ...,44.931 are black rappers.﻿,26,0,LikeYoica,ClI1_t3zdJ3uvxMNJ7SPqw,UCClI1_t3zdJ3uvxMNJ7SPqw
ytypL998DZbKmTb8RUGeglDSIPrkBb9ryQ7qkJV-o0A,2013-10-20T16:57:07,2013-10-20T16:57:07,HUNGARY﻿,HUNGARY﻿,8,0,krisztián korpás,EiycwPiveuisgiWYWZasPA,UCEiycwPiveuisgiWYWZasPA
ytypL998DZbSoI4hjPrdA6pWzEp3YC4547Z4LXbTiNE,2013-10-20T16:55:45,2013-10-20T16:55:45,From Viet Nam﻿ with ...,From Viet Nam﻿ with Love !!!!!!!,32,0,Tùng Anh,wFELupWkE7jgvRRTOzRjXw,UCwFELupWkE7jgvRRTOzRjXw
ytypL998DZa2Q2gMpPQAebGPACg_YyhUy0I446nuSGY,2013-10-20T16:53:41,2013-10-20T16:53:41,Genius﻿,Genius﻿,7,0,Mylena Xavier,mimibecker6xoxomcbx,UCfzV2-2V76yuAbCNRJFXXhw
