ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
l9UsuNdZBmlwqYAFnqle9qCvb5aMRTiPIdQ0oaXPgDI,2013-10-20T13:59:26,2013-10-20T13:59:26,obvious﻿ troll is ...,obvious﻿ troll is obvious...,28,0,André Benevides,er8mA2tcxz94FcQBn-ab-Q,UCer8mA2tcxz94FcQBn-ab-Q
l9UsuNdZBmkQJHns8-ZNJuI1GUVYreF3GBpQBmsmSrc,2013-10-20T10:38:41,2013-10-20T10:38:41,Right now a hacker ...,Right now a hacker leeched a new fuck video clip with the bitch Rihanna Watch the entire thing here﻿ : rihanna-new-sextape.me.pn hahahha this girl is so dumb,157,0,Bermudes Choudhury,I5Kt08PGvSGc7cK0ZQtJGw,UCI5Kt08PGvSGc7cK0ZQtJGw
l9UsuNdZBmnARWzO9gNSvnuG9-2_9YfSX8Yit4hpMfI,2013-10-20T10:27:26,2013-10-20T10:27:26,ATTENTION ALL My ...,ATTENTION ALL My Chemical Romance FANS On December 26th (before if you can't make it) we will all watch Na Na Na in honor of the greatest band ever's glory. Let's give them the best present ever: the highest viewed video on YouTube!! Let's give them what they deserves and what Justin Bieber does not﻿ deserve to have! Copy and paste to all My Chemical Romance videos and all music videos let's get this noticed quickly! THUMBS THIS UP MY Chemical Romance can remove justin bieber,480,0,sophie soanes,sophielolxxx3,UCRa_fnruogzRBlLsSAuPDQQ
l9UsuNdZBmlxkeOBd8o4JBLmPOOULnR2w0K3sTzYrUc,2013-10-20T09:44:48,2013-10-20T09:44:48,This song brings﻿ ...,This song brings﻿ back so many memories of my childhood it's insane,67,0,shaanreyneke,shaanreyneke,UCJ1-u2CMhhscakH9yg2Hd8w
l9UsuNdZBmkhJK0hLBAPrDit-9olzCMsFJVsUz06hFM,2013-10-20T05:35:51,2013-10-20T05:35:51,Hahahaha Rihanna ...,Hahahaha Rihanna just made a big mistake She didn't remember to turn off her cam and guess what  You can see her have fun with﻿ her pussy  Discover the shocking video absolutely free here :  celebrity-news-daily.eu.pn,217,0,Carino Kirst,GPs1jjdrP9tP_kKs17LYZA,UCGPs1jjdrP9tP_kKs17LYZA
l9UsuNdZBmneHAtXbqNMuxJ7G16mNwYGy8aJhCTJ0Yw,2013-10-20T04:31:20,2013-10-20T04:31:20,Does.... Does ...,Does.... Does anyone think he would be the perfect Dr.Who﻿ if he gained an accent?? Dreamy.,91,0,HappinessIs Key,jLoves951,UC-Tj-DaWQYV3KBjLdeYpPdg
l9UsuNdZBmnbDpmeH1GEIKqnebOLa4BConTUSw4aQRA,2013-10-20T04:21:50,2013-10-20T04:21:50,Mcr is the best ...,Mcr is the best band in the world﻿  Mcr is never death,54,0,Gregorius Satyanto,zt2htqsD9uDyH_UUeEiFlA,UCzt2htqsD9uDyH_UUeEiFlA
l9UsuNdZBmmIL1tcTmqTlAER7zNaCUrdrrCGpgh9_i0,2013-10-20T03:13:25,2013-10-20T03:13:25,Currently a whole ...,Currently a whole new RIHANNA Erotic TAPE ﻿ was leeched  I was confident this particular gal is a genuine bitch   Check out her video clip right here : rihanna-new-sextape.me.pn It's outrageous,193,0,Grindstaff Knipe,qUeqYMJchRngjsf_aAlWXA,UCqUeqYMJchRngjsf_aAlWXA
l9UsuNdZBmmqgZwmGDTgibUZcXk_7zcatbOWENzpPeM,2013-10-20T02:57:56,2013-10-20T02:57:56,not defending JB ...,not defending JB but the whole baby argument is a bit outdated  he had no fans then and he has likes on his newer videos so you kind of just proved her point. MCR losing fans is bullshit﻿ though,194,0,LilBigSmoke,LilBigSmoke,UCXZyNevKXeiptyEwrz50X3w
l9UsuNdZBmkjeyRYsdLmDCUc2Uz14goaFJ9aed7s7aU,2013-10-20T02:25:19,2013-10-20T02:25:19,who the fuck is ...,who the fuck is getting likes here and who the fuck isnt ok so shut up and go fuck off to wherever the fuck﻿ you came from and stop judging other peoples music. furthermore WHY THE HELL ARE YOU HERE. just to say mcr is shit just go back to your gay no balled jb you prick.,272,0,Ciaran O'Callaghan,0y252Rx_GgEVXC_PJ50U9g,UC0y252Rx_GgEVXC_PJ50U9g
l9UsuNdZBmm1qCC_8WHnStAqCdcmzTnn0qQrIczvBYA,2013-10-20T02:03:22,2013-10-20T02:03:22,Right this moment a ...,Right this moment a hacker leeched a fresh fuck video clip with the bitch Rihanna View the entire thing right here : daily-celebrity-gossip.me.pn hahahha this girl﻿ is so stupid,177,0,Carol Williams,i30c6kIpv0zBi40zsitU1g,UCi30c6kIpv0zBi40zsitU1g
l9UsuNdZBmnMnnEL7vzUjSx852Z5j5cgrs-zmCswMU0,2013-10-20T01:38:08,2013-10-20T01:38:08,Ok MUSIC IS FOR ...,Ok MUSIC IS FOR PEOPLE TO BE HAPPY  IF YOU ARE HAPPY WITH JB AND SHIT THEN YAY WOO﻿  4 FOR YOU GLEN! IF YOU LIKE PUNK  OR SCREAMO OR ANY FREAKING OTHER TYPE OF MUSIC THATS AWESOME YAY (y'all are fucking annoying  just enjoy music  god),235,0,Min Anthony,NiallsPotOfGold,UCsw8mUpnTtkRSxHC7QoC_BQ
l9UsuNdZBmmOG9MKBKWS8LoY348sucz_obZio0k5plo,2013-10-20T00:16:44,2013-10-20T00:16:44,You are perhaps the ...,You are perhaps the smartest 12-year-old to ever grace us with their presence on﻿ Youtube. I feel so honored.,109,0,panicnow14,panicnow14,UCdTr_3bV7JIIGLzPxYtRkxw
l9UsuNdZBml1EtazpSpR_Gmg-1NuuwfswOYq-b9M5C8,2013-10-19T23:48:07,2013-10-19T23:48:07,Good band MCR. Has﻿ ...,Good band MCR. Has﻿ anti-violence ad at the end of their song.,62,0,D. Myhre,Dmylive,UC9rtOALcQ7VtGOXgesCGEiA
l9UsuNdZBmm15DMF5LfOanaRHY2HU_4ooDTQ8UJK-AU,2013-10-19T23:24:25,2013-10-19T23:24:25,Justin Bieber is ...,Justin Bieber is real﻿ music  I think it's bad music but that's opinion  gay is not an insult  all modern music is ripping off something.   Although I do agree with you  MCR is amazing  JB. . . not so much,205,0,geronimoowen1,geronimoowen1,UCAa-my-wSSheDGD-HZdBKPg
l9UsuNdZBmneozM9wmHXu02E_uiTsGo5iKGN0zd7iKw,2013-10-19T22:50:09,2013-10-19T22:50:09,You mean faith in ...,You mean faith in humanity﻿ is lost?,36,0,AgentBlueK,AgentBlueK,UC7xK5VXQw_BeHrADKXsibhQ
l9UsuNdZBmmQF9SIkxgZxKmhDBXTdVb-pPGbFM4C_Ps,2013-10-19T22:39:01,2013-10-19T22:39:01,Troll Sighted. ﻿,Troll Sighted. ﻿,16,0,brendan brusse,nf8O2Vl0Qd2QLiuHUzDK4Q,UCnf8O2Vl0Qd2QLiuHUzDK4Q
l9UsuNdZBmn8f56krrDrMgIW25AaN3BfjB3EEHzbKd4,2013-10-19T21:14:34,2013-10-19T21:14:34,Dude  calm your ...,Dude  calm your shit. Granted  MCR was  is  and always will be one of the holy trinity of epic bands next to FoB and﻿ Panic!  but don't start bashing other people about it.,172,0,ensignleikov,ensignleikov,UCxWSgK9itujGVWV9_GUR3Xg
l9UsuNdZBmlGUm4Rgw7LjzOF38VMCHO8PUxXgTNHFj0,2013-10-19T21:00:33,2013-10-19T21:00:33,mcr is not losing ...,mcr is not losing shit  jb is getting fans cuz his only fans are girls up to 13 years old  witch the first thing they do is to share their favorite songs with their friends witch will like﻿ it because they have no god damn brains. btw i dont hate jb  he seems a nice guy tbh,274,0,Smecher Mafiot,-j-AYBS6RafceuGHFHe9KQ,UC-j-AYBS6RafceuGHFHe9KQ
l9UsuNdZBmn3cqx2mdiAwUPCAnX5RZZNdZZXdYJDug4,2013-10-19T17:49:50,2013-10-19T17:49:50,I love this song. ...,I love this song. It came out wrong. So﻿ you piss off.,54,0,Trolldone,Trolldone,UCr8BnZey0tlZ194360fZmVA
l9UsuNdZBmkXdKuF3vhmTKPk-X-kd_i_ZWTaRCL42cE,2013-10-19T17:25:53,2013-10-19T17:25:53,Just﻿ one thing  ...,Just﻿ one thing  BITCH,22,0,Carmen Doménech,BCV1lsLukX70hzlil1x6hw,UCBCV1lsLukX70hzlil1x6hw
l9UsuNdZBmlKaU7GyF4ssrCN0A0NGJnGuTKOMUYL9zQ,2013-10-19T17:12:24,2013-10-19T17:12:24,plus if you hate it ...,plus if you hate it why are you﻿ here :p?,41,0,DY essie,mCpvEUqmii9RyEsj5E8xKw,UCmCpvEUqmii9RyEsj5E8xKw
l9UsuNdZBmlW-OBogn3rvnMlMbd15ha9Ih_7zIIFsLk,2013-10-19T16:51:24,2013-10-19T16:51:24,Go drink hemlock ...,Go drink hemlock and﻿ die.,26,0,Ethan Entrican,dl7KozN54VXV_9V3kvgqkw,UCdl7KozN54VXV_9V3kvgqkw
l9UsuNdZBmkTszb_xq8pHJiy47x19iUpX4-Wqc2zMd4,2013-10-19T16:45:18,2013-10-19T16:45:18,please...people ...,please...people like you don't like the music buzz the fuck off...you critisizing this video with 164 219 likes vs 7 303 dislikes...i think you lose...and no one here will change their﻿ mind just because snobs like you show up to piss us off and anything that plays a sound and has lyrics along with the sound is music...and is like by at least 1 of 7 billion people on this planet,381,0,Xee614,Xee614,UC9YttlVFq-G0z-s4Q61daOQ
l9UsuNdZBmmTpY7JTIf0pHNnP02009qub4YQp4wEfWA,2013-10-19T16:33:51,2013-10-19T16:33:51,Right now a whole ...,Right now a whole new RIHANNA Erotic TAPE  had been leeched  I knew this gal is really a genuine whore   Check her video right here﻿ : daily-celebrity-gossip.me.pn It's mad,172,0,Mary Adcox,Gr7Mp25oRcd8CJjHVZndhQ,UCGr7Mp25oRcd8CJjHVZndhQ
l9UsuNdZBmn3XrVblfPIp3qbQx0Dpv0t_IgIfujCURI,2013-10-19T15:58:21,2013-10-19T15:58:21,Actually people who ...,Actually people who listen to pop are usually children who don't know that there idols are sluts and My Chemical Romance fan base are growing as well because they connect with their fans not telling them﻿ they can have sex and nothing will happen like most pop artists .,270,0,Toxic Lyric,x3lovemh,UCWBSeWCu1ImVF6NyQLmCvpg
l9UsuNdZBmk6oFS2PHQ1FaveQafYVVl6wwspOrnCtjA,2013-10-19T15:48:13,2013-10-19T15:48:13,I love jb and all  ...,I love jb and all  but you are honestly retarded this is an﻿ amazing band. I don't know what shit you are on  but you should get off it soon before you get even more stupid  if that is even possible.,199,0,Lilia Lorenzo,auxRVwW0FFGG8ND_DkvtYA,UCauxRVwW0FFGG8ND_DkvtYA
l9UsuNdZBmkQEnHMOtEYG9vGl18KsSS-lRzHcDSWdpY,2013-10-19T13:35:47,2013-10-19T13:35:47,Today a whole new﻿ ...,Today a whole new﻿ RIHANNA SEX TAPE  had been leeched  I was confident this particular young lady is really a true skank   Check her video the following : crazy-celeb-news.me.pn Its outrageous,192,0,Carmen Angelo,qoOmJT5pYIRasunp9zZfww,UCqoOmJT5pYIRasunp9zZfww
l9UsuNdZBmlLkeMzAxJBUl-Bu-ks5gro-n8y11PBH7U,2013-10-19T13:17:54,2013-10-19T13:17:54,As much as I agree ...,As much as I agree Justin is a horrible person who shouldn't make music  don't ever﻿ voice your opinion again  wait until your 15-16th birthday for fucks sake...Quit capitalizing every fucking word and stop being an edgy cunt.,226,0,KrizpyKilla,KrizpyKilla,UC5H43BJFCxoj-kpjP7G5lFw
l9UsuNdZBmlS8zQqLENrGZh5PaidtNCq3vuUyhF3lSA,2013-10-19T13:00:47,2013-10-19T13:00:47,I can't believe ...,I can't believe this i just viewed a whole new adult video with rihanna She was banging a black NBA player  Enjoy her video here if you wish:   daily-celebrity-gossip.me.pn ﻿,174,0,Goggin Kalb,kHsEndXSHZWzP-SGvn0WHw,UCkHsEndXSHZWzP-SGvn0WHw
l9UsuNdZBmkdVkT4gKsor92GjR296otRzK3qUznmvsM,2013-10-19T12:46:27,2013-10-19T12:46:27,Becoming?﻿ Don't ...,Becoming?﻿ Don't you mean is?,29,0,AO3x45k,AO3x45k,UC4zH7RF0tkGG3S8aisZM6HA
l9UsuNdZBmn7T1lYhCzcj2g4sfug1F_Edv8E8o5plDI,2013-10-19T10:48:12,2013-10-19T10:48:12,You guys should ...,You guys should check out this EXTRAORDINARY website called ZONEPA.COM .   You can make money online and start working from home today as I am!   I am making over $3 000+ per month at ZONEPA.COM !   Visit Zonepa.com and check it out!  When does the truthful kiss interact the attempt? The knowledge operates the lowly hearing. The society defers﻿ the stretch.,359,1,Scott Johnson,bj-AKodUJ0816z9--4JEMg,UCbj-AKodUJ0816z9--4JEMg
l9UsuNdZBmnb0ebeFgQ9Cd23fxPt_0tOiVZon1qmJPo,2013-10-19T07:10:08,2013-10-19T07:10:08,Are﻿ you even ...,Are﻿ you even capable of thinking like a regular human being?,61,0,DESTINYL8r,DESTINYL8r,UCauul_T0i9qCO6z_LN053Xg
l9UsuNdZBmmSNMW8NxZzAMIqV4rijQstsMVCZqYkkBw,2013-10-19T02:58:02,2013-10-19T02:58:02,Get your facts ...,Get your facts right  dumbass. A lot of people listen to our "shitty bands" because we can relate to their lyrics  whereas shit such as Justin Bieber and One Direction sing about swag and getting laid. Also  MCR isn't losing fans. If anything their gaining fans after﻿ their breakup  which I'll admit is sad  but at least people are still listening to them. So go fuck off and let the MCRmy listen to our music that Gerard  Frank  Ray  and Mikey played for us for twelve years  bitch. :),487,0,Caitlin Baxtervlogs,yadiyadiyadi4,UChvRw9WmCLqtyYhZJvzkCVQ
l9UsuNdZBmlwg103cKW8pZVBnfVuh937E5pSbDjdG2M,2013-10-19T02:52:07,2013-10-19T02:52:07,This is exactly how ...,This is exactly how I feel about teenagers﻿ xD,46,0,Persephone Parker,MissPersephoneParker,UCLQKkfR0KLeuN5lPpOvfSHQ
