ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
9-4dgbiQssZ1MDDt9CmqIsXK8HgTqGa1koEZRNbMbrA,2013-10-20T16:02:09,2013-10-20T16:02:09,Nice video! ...,Nice video! Actually  the fingerprint sensor on iPhone 5S is not the best part  but the super camera is its truly killer feature. Anyway  I just found this secret link on how to claim new iPhone﻿ 5S for free! Check﻿ this out guys before it's too late: - ►►► APPLE.COM-5S.BECENTER.COM,283,0,Emily Liam,Ra88vAZ5I5RIFLjy2rbSyA,UCRa88vAZ5I5RIFLjy2rbSyA
9-4dgbiQssbLlKbQ3AyAKj7ZXFiN9VVZszA9lOmOeHw,2013-10-20T06:33:35,2013-10-20T06:33:35,Hello there! Join ...,Hello there! Join in the iBotta App Revolution CASH INSTEAD OF COUPONS. Cash and bonuses earned instantly and﻿ daily bank transfers!Free to download and can be used on any device  Apple or Android! JUST TRY AND SEE FOR YOURSELF. Visit savemedaily(dot)com (Please replace (dot) with . after savemedaily  Thanks) I assure you guys wont regret this! A must try.,358,0,Algiee Reganon,_7x8JpvWeNNEt3mx2pTAAQ,UC_7x8JpvWeNNEt3mx2pTAAQ
9-4dgbiQssZce8rUBCEkxYiQ38RA7etNC2Vuy5QL19I,2013-10-20T01:56:10,2013-10-20T01:56:10,Nice video! ...,Nice video! Actually  the fingerprint sensor on iPhone 5S is not the best part  but the super camera is its truly killer﻿ feature. Anyway  I just found this secret link on how to claim new iPhone 5S for free! Check this out﻿ guys before it's too late: - ►►► APPLE.COM-5S.BECENTER.COM,283,0,Melissa Lynn,EpU7VJcN50YTEUNkcwji-w,UCEpU7VJcN50YTEUNkcwji-w
9-4dgbiQssadqme8p_q0qze1QamI-ELTkY-BBemv5Rg,2013-10-19T21:39:44,2013-10-19T21:39:44,"concept"﻿ idiot,"concept"﻿ idiot,16,0,Ariel Chan,X0fDfbUS2iS4aTtVhXZAzQ,UCX0fDfbUS2iS4aTtVhXZAzQ
9-4dgbiQssbMG5LeVS8XRrxwsogyZGZ0oC8cC1bi6uE,2013-10-19T21:16:26,2013-10-19T21:16:26,sup﻿,sup﻿,4,0,david arabadzhi,xH2_mW_oIfnWK7bn3i_1dQ,UCxH2_mW_oIfnWK7bn3i_1dQ
9-4dgbiQssbTPFyvWl1LDY71aBzixkJLiRhrb5mlzYI,2013-10-19T20:31:52,2013-10-19T20:31:52,this is fake! the ...,this is fake! the iphone 5 is already out﻿ and its so different,63,0,david arabadzhi,xH2_mW_oIfnWK7bn3i_1dQ,UCxH2_mW_oIfnWK7bn3i_1dQ
9-4dgbiQssYGLGAMzRX5TgKujFbEwEbAT6UQn8B_s2M,2013-10-19T19:04:25,2013-10-19T19:04:25,Yes  it's me again. ...,Yes  it's me again. I don't know what to say about this video clip. I'll discuss this with my date tonight. I have found a lot of great people since signing up for this dating web-site. I'm sure some of you are lonely  therefore I thought I would share the place where I'm meeting and talking with great people. Just visit this site to meet all sorts of people in﻿ your city. MyLocalDateFinder.co­­m,399,1,ociedfallf,ociedfallf,UC2CnFDcagBr8lxYNFQXSILQ
9-4dgbiQssbHqnEajHwuqy-WVqa1NBlkjZxZsizIaaw,2013-10-19T16:32:17,2013-10-19T16:32:17,Want to meet those ...,Want to meet those who also love this video? I couldn't imagine anyone like me existed out there  but boy I was wrong. All﻿ I had to do was sign up on this dating website and I found many friendly individuals who are attracted to me - and my taste in videos. If you're looking for a person to watch videos with you  visit the web site listed below. MyLocalDateFinder.co­­m,372,1,stacyzbulluckp,stacyzbulluckp,UCYhaIdya16BIdC7NWtmRr4Q
9-4dgbiQssbfqWkHwt2WyYQNC5mrIKyPructs8WFxdY,2013-10-18T20:49:27,2013-10-18T20:49:27,simply﻿ cool,simply﻿ cool,12,0,PhoneReview11,PhoneReview11,UCNYMjT_Y3w2w5lNGMKT96UQ
9-4dgbiQssZwok5RhsPCHTaRe90ahijZmpd1xhQRgtc,2013-10-18T20:42:07,2013-10-18T20:42:07,this is like the﻿ ...,this is like the﻿ iphone 10,27,0,farhanking7861,farhanking7861,UCpnCB7LUzjPpCNjDpRB4jfA
