ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
I8eAHlVz-Lcof157vpIs91Qh6UvtDaLvEc9fQl34LMc,2013-10-20T16:32:28,2013-10-20T16:32:28,You can through the ...,You can through the comment﻿ filter thing.,42,0,Conzy2ndchannel,conzy2ndchannel,UC1rCvq4lj-jNLYwEojwQplA
I8eAHlVz-Lfexrs3zidbRAz4uB0u3wTSEGJ2sWqhCcg,2013-10-20T16:07:38,2013-10-20T16:07:38,thts﻿ kodie,thts﻿ kodie,11,0,Trainor NOLAN,qlpK25n9eNuhElXc-NZtgQ,UCqlpK25n9eNuhElXc-NZtgQ
I8eAHlVz-LdWnyNmveAShH4QTys1qRXhwP4l0KjoV3c,2013-10-20T15:37:35,2013-10-20T15:37:35,YouTube should find ...,YouTube should find a﻿ way to block this "dating website" spam,62,0,Andrew Smyth,Rushtown100,UC2r_Bz0vCTHMCFZg5Bgzu-A
I8eAHlVz-Lfe_2uvK4IvtsZrTxEHmEGNOhEjAuCZMec,2013-10-20T15:30:15,2013-10-20T15:30:15,Are you curious﻿ ...,Are you curious﻿ about why they made this video? Me too! I wish I could get an answer. A few things are meant to be a secret  I guess. One important thing I'm now delighted about is this new dating website I discovered. They can make it easy to see pictures of those people you're going to meet. If you're lonely and bored with watching videos all by yourself  check this out now. MyLocalDateFinder.co­­m,404,1,natoshailugart,natoshailugart,UCWrJa_Z7T_8jZTBqonLpCmQ
I8eAHlVz-Ld23iEvmhZDlnAz8MtcZOm-nSDbYtQyL54,2013-10-20T15:00:18,2013-10-20T15:00:18,Dogs talk﻿,Dogs talk﻿,10,0,torreza7o,torreza7o,UCVumTi8hB58DnASnZuFSI9w
I8eAHlVz-LcVPkp7Kp51JTEq3dcdPDvSRW0J9ACvyz0,2013-10-20T11:03:33,2013-10-20T11:03:33,Bacon that's maple. ...,Bacon that's maple......yea the maple kind﻿ lololol awesome dog,63,0,Shunsui77,TheSharingan79,UCYBxxS6YjhY3hphIMtIkoMQ
I8eAHlVz-LfMJsav4ZvztXT8-6YNIWBweyruQwe6Aug,2013-10-20T05:00:18,2013-10-20T05:00:18,I know ﻿ right?,I know ﻿ right?,15,0,Ramsey McKibben,-rfYtwFEdM2lM27-_MZrng,UC-rfYtwFEdM2lM27-_MZrng
I8eAHlVz-LfzxaKFSdxxMWhVa8jcEBwliRAOhfSfUvs,2013-10-20T02:52:52,2013-10-20T02:52:52,Man  you must be a ...,Man  you must be a dog whisperer or something to dub them so good :) Cesar Milan  is that you???﻿ :),100,0,starflowers88,starflowers88,UCwBcZK5cmI0iq4y98_9eeQw
I8eAHlVz-Lf-i3h7TseByaLpv7375OnoKgFShhcp7YI,2013-10-20T02:34:05,2013-10-20T02:34:05,I could consider ...,I could consider ten things I'd do instead than watching﻿ this youtube video! HAH. If you agree  I'd like to let you know about this site I came across last week. I joined and have met so many great people who I wanted to tell all my YouTube pals. Here is the link to find the best dating site in my opinion. MyLocalDateFinder.co­­m,332,1,robertacterrillv,robertacterrillv,UCBWfVjH9nLs35ogq2driEbg
I8eAHlVz-LeiHA12AfAYirP7b0I8qegEwmNqPgrK2YI,2013-10-20T01:22:19,2013-10-20T01:22:19,Not his﻿ dog,Not his﻿ dog,12,0,Maryann Farrell,cmsjrfarrell,UCDd0p7uBQwbropRiCO7k58Q
I8eAHlVz-LeapoL8cBjyGmg8Yy1xWA15ivhLMlpG50M,2013-10-19T21:24:04,2013-10-19T21:24:04,can i have﻿ your ...,can i have﻿ your doggie and your maple bacon,44,0,T Johnson,xoiB500l0H0R2BZGjsneYw,UCxoiB500l0H0R2BZGjsneYw
I8eAHlVz-LcDvgX7I92703yuKJ5iwv2ggzQiHK3kGMs,2013-10-19T21:10:37,2013-10-19T21:10:37,No matter how many ...,No matter how many times I see this  love it EVERY﻿ TIME!!!!,60,0,Leo Messi,Elbanditcasanova,UCT27XWGLNNPBulNHuYV6A3g
I8eAHlVz-Ld52mktUP7FiAfilCUkq_FWTFhXfXM2yLA,2013-10-19T20:34:57,2013-10-19T20:34:57,LOLLLLLLLLLL!!!!!!! ...,LOLLLLLLLLLL!!!!!!! !!!!!!!!!!!﻿,32,0,ryansmith2k11,ryansmith2k11,UCBH24S7sKYy4CoBFk_ADhNA
I8eAHlVz-Lf133zPhzDYUqaVyZakdixjdcs3orzlB8g,2013-10-19T19:52:23,2013-10-19T19:52:23,Hey Klaatu  did ...,Hey Klaatu  did Walmart﻿ steal this video?,42,0,Will Vbr,6YzIobRT3j-p10P7dUdpAw,UC6YzIobRT3j-p10P7dUdpAw
I8eAHlVz-LcoZvkaCvd291Hd0z8mkXp6xZCbdbIVJE4,2013-10-19T19:37:35,2013-10-19T19:37:35,Lol﻿,Lol﻿,4,0,Alisha Ingrey,5SYPqHEmNBbQB4EPiDNI_A,UC5SYPqHEmNBbQB4EPiDNI_A
I8eAHlVz-LcQ6IpoWs2Z0Nr7uyhEL_hcbCymPT4sk9Y,2013-10-19T18:52:33,2013-10-19T18:52:33,You might have not ...,You might have not seen lots of comments from me these past few days as I was so busy! I signed up for this dating web site last week  and I have been having too much fun. This one person is﻿ extremely nice. I'm going out with him again tomorrow night! If you're trying to find someone  go to this website to begin searching. MyLocalDateFinder.co­­m,349,1,suzanneemooko,suzanneemooko,UCNeSCdYx-ROv6AZAtlJtVpg
I8eAHlVz-Ldy8_TTCuAukiIiRhO8dvom9l1u5dEvObU,2013-10-19T18:44:35,2013-10-19T18:44:35,I find the dogs ...,I find the dogs exact responses﻿ almost as if it were real,58,0,The Looper,F04CNdiF_PzThra-Nnge4Q,UCF04CNdiF_PzThra-Nnge4Q
I8eAHlVz-Le6v1dzaMvCcBZFeQyQTzlh-4IujNYbwvU,2013-10-19T18:38:37,2013-10-19T18:38:37,Is this﻿ real,Is this﻿ real,13,0,Temitope Adebayo,VwP7evZgOJYIu7wPorjvlw,UCVwP7evZgOJYIu7wPorjvlw
