ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
6x1bA4qcfungQ-fQCV9x1w0yudxu7Oyd3F6lN8E7CKc,2013-10-14T19:18:23,2013-10-14T19:18:23,my ipad4 ios7 ...,my ipad4 ios7 typing and﻿ opening/closing﻿ apps itself!!!!﻿ :(( ( happening sometimes) HELP!,92,0,afshin pishi,3R8QkVZoZpsFKQ2DEavV9Q,UC3R8QkVZoZpsFKQ2DEavV9Q
6x1bA4qcfumesCrFHxOuS9ArXByAsGHM8Vxh77mCvRc,2013-10-09T15:37:24,2013-10-09T15:37:24,Yeah this website ...,Yeah this website is just sending out comletely free White Apple iPad 3's for today only.   You have to﻿ be fill out your address but it's all real  I claimed my one a few minutes ago. Better hurry up! UPAD3.COM  Dreams Do Come True,232,0,Jamil Uddin,nEgagJGcprS5cx9NEGtoRw,UCnEgagJGcprS5cx9NEGtoRw
6x1bA4qcfulbLa-zqNzmseQMwY7l8FFFuTHvMOSSjn4,2013-10-07T11:12:23,2013-10-07T11:12:23,I think all of the ...,I think all of the A6 chip devices work fine on ios 7.﻿ To me it didn't slow down my iPhone 5  only my battery went down a lot. I am currently typing this on an ipad mini thinking about getting an ipad 4. The mini feels kinda slowed down (not a lot) and I feel like it would be longer lasting to get an ipad 4 for the retina  (i don't have the money to buy the ipad 5 so waiting until the ipad 4 is cheaper),407,0,Burlyman0,Burlyman0,UCdhrcdzjf1OsYrQXo9MMwsA
6x1bA4qcfulGBZsl6_oOTJTQLO4Wlo6uLQxqciBq6Vk,2013-10-07T11:08:40,2013-10-07T11:08:40,I think all﻿ of,I think all﻿ of,15,0,Burlyman0,Burlyman0,UCdhrcdzjf1OsYrQXo9MMwsA
6x1bA4qcfuksDJ6U65T0lrlukthwyxyEHxmF7o7azUk,2013-10-07T04:26:25,2013-10-07T04:26:25,Yall should wait & ...,Yall should wait & get the﻿ iPad 5.,35,0,thughustleHD,thughustleHD,UCu987IN3rrDfw4uEGBACv6w
6x1bA4qcful_snUsrux0WtLGLXQ7GjI0uFQkQsuQ3OA,2013-10-06T08:08:22,2013-10-06T08:08:22,My ipad is disabled ...,My ipad is disabled and I don't have a﻿ computer so I'm taking it to the Apple store,84,0,regitoon341,regitoon341,UC8Zxr3HK5KELqvJ0fzqpl8g
6x1bA4qcfukBzhOcA2aWpVnVcXyJNQWamFRMpmPQgnU,2013-10-05T19:21:39,2013-10-05T19:21:39,Filmed on my ...,Filmed on my birthday! :-)﻿,27,0,andycdgreen,andycdgreen,UCwv2PZRORmW3BEDmAL229QQ
6x1bA4qcfulTLv_2TkC_baIYrxKe3zDAbFWRNAYN8_U,2013-10-05T19:11:39,2013-10-05T19:11:39,I have that Smart﻿ ...,I have that Smart﻿ Cover grey,29,0,John Doolan,-mGy5cByrdbOX2RcB_-Wog,UC-mGy5cByrdbOX2RcB_-Wog
6x1bA4qcfumwKL-kRPu42G3Bm6-08_u59LfQw6BxFCc,2013-10-05T15:50:40,2013-10-05T15:50:40,Sony Xperia ...,Sony Xperia ringtone 0:55 :P﻿,29,0,Mr L,1MrLuar,UCcjASGHvFgzwhio_n2fzVSQ
6x1bA4qcfukrmMw4kBXR2QOrW8IoolZdwhYgEdEA4oY,2013-10-02T17:38:33,2013-10-02T17:38:33,I don't understand ...,I don't understand apple . my iPad 3rd gen doesn't get transparent﻿ control center and notification center . What a waste of a retina display .,143,0,Mustafa Aqil,8Hmhz0xTMpwraepz1OXZ4Q,UC8Hmhz0xTMpwraepz1OXZ4Q
6x1bA4qcfunGkzIP-21bTJA-WlChEPuvtfKUVV3EFbk,2013-09-28T08:05:26,2013-09-28T08:05:26,I am watching this ...,I am watching this on my iPad 4. Lol﻿,37,0,haiden appleman,UkbeJzT3NWCnmS1s29EePA,UCUkbeJzT3NWCnmS1s29EePA
6x1bA4qcfulSoMrDJVUTnmd-HIMK05Wm2qx9oVkqMTI,2013-09-26T13:11:37,2013-09-26T13:11:37,I think it's﻿ the ...,I think it's﻿ the Apple smart case,34,0,Martín Córdoba,lkelko,UCVZEzUsw5q570I5VLSiWQig
