ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
9YQgLSzk9PODCGiswmbTv08o61jKDaLlIhE_oJX2_XA,2013-10-20T17:40:55,2013-10-20T17:40:55,Me esforço para ter ...,Me esforço para ter vídeos﻿ todos os dias no canal  desde rayman a BF4 no ULTRA  quem quiser ver.,97,0,Pelego,PdePelego,UCa0RO4lMRS4rE7Sd8qYXlqw
9YQgLSzk9PNMv72QfkxS9IML-_qkqe6pp9DiyGr_mYo,2013-10-20T17:32:01,2013-10-20T17:32:01,o edu é um ...,o edu é um retardado mental ﻿,29,0,Schweikart Inscrevam-se,alcaline21,UCkIAP7EO2p0nYKb3FmqNeIw
9YQgLSzk9POtyXxJlLF4wmnu054t_Kzaodj03he663I,2013-10-20T17:30:16,2013-10-20T17:30:16,estou em duvida se ...,estou em duvida se eu compro um ps4k ou um kinder ovo﻿,54,0,TutorialGamerPT,TutorialGamerPT,UCzTmYQzK2sfwDMWxnQVbQmQ
9YQgLSzk9POjhPstHTrwnqAspOGAykSRrbi7HMD40f0,2013-10-20T16:47:21,2013-10-20T16:47:21,Bom  acho que ...,Bom  acho que poucas pessoas vão ler isto. Mas tudo bem  vamos começar.  Então  eu estou fazendo bg's e avatars  e videos editados (montages)  estou me esforçando muito mas﻿ estou com poucas views e com poucas maneiras de divulgar meu canal/videos.  Caso você queira uma bg ou um avatar me mande um pm. (NÃO PROMETO QUE VOU CONSEGUIR FAZER TODOS.)  Peço para que se vocês puderem me ajudar inscrevendo no meu canal eu agradeceria muito.  Obrigado. Se você leu isto até o fim pode dar um joinha?,494,0,KazWicked,KazWicked,UCuanuig5N6DxK3xQn2_dlKg
9YQgLSzk9PPJpDTmgTIRsvgY2gc50KoCBU-TVUVQggA,2013-10-20T16:40:26,2013-10-20T16:40:26,15:00﻿ JUGGERNAUT : ...,15:00﻿ JUGGERNAUT :-),21,0,gamer10562,gamer10562,UCrvKFhHyV1z6cQLlCDh0hPg
9YQgLSzk9POUXAUzFvHwZK42FMP7H9r-N_Sra3uPoXM,2013-10-20T16:39:13,2013-10-20T16:39:13,para comprar﻿ o ps4 ...,para comprar﻿ o ps4 kkkkkkkkkkkkkkkkkkk,39,0,Lucas Silva,LK7EgbEvXyrqBcgxQPFcvg,UCLK7EgbEvXyrqBcgxQPFcvg
9YQgLSzk9POQ7I2OUG3mNhZpJWtsomoqLJWiH8WPjEE,2013-10-20T16:30:16,2013-10-20T16:30:16,o edu se vc ...,o edu se vc escolhesse o melhor ele num﻿ ia morrer ali no carro,63,0,victor silva,MsVictor161,UC0JAsTJ_W-bquc4UeC99mOg
9YQgLSzk9PNe1if5zL7JKXgBQCoJh1EcqkTiA_2ZQQc,2013-10-20T16:19:24,2013-10-20T16:19:24,foda﻿,foda﻿,5,0,MMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMW,R8CelRIjzebJvVNsAGrOtQ,UCR8CelRIjzebJvVNsAGrOtQ
9YQgLSzk9PN81UzYGIc-sEr4gfnzpnYbhwKy1sYLVYg,2013-10-20T15:53:08,2013-10-20T15:53:08,não pq vc vai ...,não pq vc vai precisar de mais que 4gb pra instalar uns negócios do﻿ jogo mais se vc tiver um pen drive de un 16gb resolve tudo!,128,0,MMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMMW,R8CelRIjzebJvVNsAGrOtQ,UCR8CelRIjzebJvVNsAGrOtQ
9YQgLSzk9PMRBDvgk3bhuPY2MOJuS_dHtPlgIFAGThM,2013-10-20T14:51:41,2013-10-20T14:51:41,nao sinto a porra ...,nao sinto a porra da minas﻿ perna kkkkkk,40,0,Minato Games,_1YEVpcTL-h1Utcv5pijwQ,UC_1YEVpcTL-h1Utcv5pijwQ
9YQgLSzk9POz8U_7ftGYhrYVG2Ga2SlyTf56vfal9yI,2013-10-20T14:51:01,2013-10-20T14:51:01,#TRACEYPASSAORODO ...,#TRACEYPASSAORODO kkkkkkkk  26:50﻿,34,0,ARTUR SANTOS,Mindufuck,UC6JjaGm2m87uQ5MoRxHiDww
9YQgLSzk9PP9Dpx65ZehpsMTlkokW1VAMfWYm27Ywqs,2013-10-20T14:42:59,2013-10-20T14:42:59,Acompanho o ...,Acompanho o seuvtrabalhovedu desde seu primeiro﻿ video mt bom Parabéns,70,0,gerson Junior,2avWMvwnyrk1H2N5wRHyEA,UC2avWMvwnyrk1H2N5wRHyEA
9YQgLSzk9PNjNdp_EzR5M2CqN7C6VLeVTVS7uMd2XLs,2013-10-20T14:42:28,2013-10-20T14:42:28,Mt bom tem﻿ gente ...,Mt bom tem﻿ gente assistindo agora ?,36,0,gerson Junior,2avWMvwnyrk1H2N5wRHyEA,UC2avWMvwnyrk1H2N5wRHyEA
9YQgLSzk9PNwd38vnqQUoi5JvivxXFaUWfdrvrN8g0U,2013-10-20T14:37:28,2013-10-20T14:37:28,kkk o cara chama o ...,kkk o cara chama o otro de poser  mas ELE que﻿ é poser. o mundo e foda,70,0,Oxaque Gamer,arthurgbraun,UCVcGknl-AjcZXfqs4F7eioQ
9YQgLSzk9PNVbUy96VmNf8BEcUI_g03Sd7dJZ47xfSo,2013-10-20T14:23:49,2013-10-20T14:23:49,Pra vc comprar o ...,Pra vc comprar o ps4k   vc tem﻿ que ter coleçoes de kinder ovo kkkkkkkkk,72,0,Fabricio w.,fabriciobog,UCGdFOVdgA4PItAbnn_ExEhA
9YQgLSzk9PP5ldNDjDATi_pkWccDVLbUlUfocx9E4jA,2013-10-20T14:13:21,2013-10-20T14:13:21,Consegue﻿ sim po,Consegue﻿ sim po,16,0,Adalton Costa Magrelo,Adaltonaparecido,UCQOIwVIdZzFFQSXopwKV5fg
9YQgLSzk9PNDnv4dsgoNlOONsB7CkW2eRaAP_ORwfJw,2013-10-20T14:05:47,2013-10-20T14:05:47,precisa mais ou ...,precisa mais ou menos uns 8 5 gigas﻿,36,0,Br Lucas,affaDpeCll2NZo4ZQP_BnQ,UCaffaDpeCll2NZo4ZQP_BnQ
9YQgLSzk9PObyr2za0C2lnvi_gCFbps2SMwTntVLvWQ,2013-10-20T14:05:05,2013-10-20T14:05:05,nao ﻿,nao ﻿,5,0,Br Lucas,affaDpeCll2NZo4ZQP_BnQ,UCaffaDpeCll2NZo4ZQP_BnQ
9YQgLSzk9PMl4__fEYTw5nWAbhBW1KFlPjAvx7zsyg0,2013-10-20T13:53:18,2013-10-20T13:53:18,o negócio é﻿ comer ...,o negócio é﻿ comer cu e buceta,30,0,Dudugremio98,Dudugremio98,UCR2lP4Ye76lY5BOE5RR_r1g
9YQgLSzk9PN2n6Xd4EEh-hLLwJuj46r75S9QwGogoGQ,2013-10-20T13:43:44,2013-10-20T13:43:44,trevor﻿ matador,trevor﻿ matador,15,0,guilherme camargo,1z0rJPZPgNAe1KURGp-m9w,UC1z0rJPZPgNAe1KURGp-m9w
9YQgLSzk9POD9zq9bqtWYE57zeA33t2aLujJUPt-H8M,2013-10-20T13:16:32,2013-10-20T13:16:32,Alguém pode me ...,Alguém pode me tirar uma dúvida? Se eu comprar um xbox 360 4gb﻿   eu consigo jogar o gta sem ter que comprar um HD externo?,123,0,nicolly Lobo,nicollylob,UCwmHzNPiLhfuduicUJNcMiw
9YQgLSzk9PNbA7KjA9w83pVH2_5hqBm-papH7GUNKoQ,2013-10-20T13:09:36,2013-10-20T13:09:36,kkkkkk eu vivenciei ...,kkkkkk eu vivenciei esse﻿ momento jogando kkk,45,0,Luis Henrique Oliveira,hluis360,UCCrQKxnaD5H8mnrbKFdjXIA
