ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
XoCR4NQ8daDmINLIqRRDUYVeppmRVNt3sk6JbRmWXmA,2013-10-20T03:04:21,2013-10-20T03:04:21,Awesome﻿ review!,Awesome﻿ review!,16,0,Mention Mario,MentionMario,UCDa7RvxbnwU9zJqMhqHGXgg
XoCR4NQ8daBscHz_hiyTUSIRrbpkKzZDFKbc5YT8jFg,2013-10-16T09:56:48,2013-10-16T09:56:48,watching this on a ...,watching this on a surface﻿,27,0,bonbonbang569,bonbonbang569,UCbsE0bOXOTFiknOOKgcdgTQ
XoCR4NQ8daCprmp9Kjl5O_d-irUD0AiSL0BMTFVX5kk,2013-10-09T15:52:28,2013-10-09T15:52:28,Yeah this site is ...,Yeah this site is just sending out comletely free Pink Apple iPad 3's for today only.   But you have to be give your address but it's all real  I claimed mine a few minutes ago. Better hurry up! UPAD3.COM  I shall﻿ mention in passing just one example of a gift from the Arabs that I for one am rather grateful for: coffee -- especially as it was originally banned in Europe as a 'Muslim drink.,393,0,farhan malik,ferryjin,UCuHif0iVK3-YqPpxL0EkOIQ
XoCR4NQ8daB99fu-VvKDpI4369ewAj77nuH3Ht_riq8,2013-10-08T17:57:15,2013-10-08T17:57:15,way to go my﻿ friend,way to go my﻿ friend,20,0,Amine Laalaoui,ttYTUQPcxwFkqdLxDSYtIA,UCttYTUQPcxwFkqdLxDSYtIA
XoCR4NQ8daDp6AzQ4jmEHO8ecTB1mpTGF77K6FVCOtE,2013-10-08T10:16:43,2013-10-08T10:16:43,Just ordered this ...,Just ordered this to replace my ipad﻿ 2,39,0,UnrelatedNonsense,UnrelatedNonsense,UCTXq5OZntIgYoNwbJeIRwVQ
XoCR4NQ8daBuAq6f8YvVvyNocgHxCOGVviDTROZ9qrY,2013-10-03T11:04:30,2013-10-03T11:04:30,And for remote ...,And for remote desktop  you need a full windows computer in addition﻿ to Surface RT,83,0,CCLGamer,CCLGamer,UCsKxUV9F9EQGkLVlEkpIDKg
XoCR4NQ8daCRd9xpC5d2FM3mAQHQqaJYNBadY_A8-gc,2013-10-03T11:03:16,2013-10-03T11:03:16,It can  do ...,It can  do everything windows 7 can﻿ do with remote desktop﻿,60,0,CCLGamer,CCLGamer,UCsKxUV9F9EQGkLVlEkpIDKg
XoCR4NQ8daCkIEsDBUgBqF-WTz986zcHl9OmKo1ZgVY,2013-09-30T11:51:54,2013-09-30T11:51:54,Good﻿,Good﻿,5,0,Jumnong pengmark,HkGDufIyITTikc2R2oZCmw,UCHkGDufIyITTikc2R2oZCmw
XoCR4NQ8daC7M2MRDwKYaZnAGgp2v2HYqUt9_01F4fM,2013-09-27T19:23:20,2013-09-27T19:23:20,It cant do﻿ ...,It cant do﻿ everything windows 7 can do.,40,0,Nick Irwin,qMxxPQZw1XhGLTWBjskS4A,UCqMxxPQZw1XhGLTWBjskS4A
XoCR4NQ8daBfAoT9OmRGObxHsKmqs8MyFj2XqK3XCyw,2013-09-26T18:56:47,2013-09-26T18:56:47,nope. You can﻿ only ...,nope. You can﻿ only play games from the windows 8 view. apps and stuff from the app store. Get the surface pro to do normal windows 7 stuff :),142,0,WithSerendipity,WithSerendipity,UC0CnZ2nnKcXI99ExVOzLerg
