ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
Y4CVd7ksyzLT7baNuSS1qIvLmipUHshwpPwXyHU-enw,2013-10-19T22:34:28,2013-10-19T22:34:28,i friggin cant ...,i friggin cant belive apple ﻿ they already released an iphone 6 prototype: /watch?v=yZuhueqJo7U,95,1,GreyBeats,GdbozEgTkRBJABTenuAMHw,UCGdbozEgTkRBJABTenuAMHw
Y4CVd7ksyzIpWTHhvf3WNcsFuR_r5xFLxTwj8w1Etlg,2013-10-18T06:25:20,2013-10-18T06:25:20,◕◡◕◕◡◕◕◡◕ I get ...,◕◡◕◕◡◕◕◡◕ I get paid over $87 per hour working from home with 3 kids at home. I never thought I'd be able to do it but my best friend earns over 10k a month﻿ doing this and she convinced me to try. The potential with this is endless. Heres what I've been doing  ➨➨➨➨➨➨➨➨ JOBS75.COM ◕◕◕◕◕◕◕◕A simple I love you means more than money. To love is to receive a glimpse of heaven.,375,0,Manpreet Kaur,Eb6u6133bsM8k25qgGiJCA,UCEb6u6133bsM8k25qgGiJCA
Y4CVd7ksyzLtXv9ERbktHQOzEyuTwz97zZgvyHbulLs,2013-10-17T16:13:09,2013-10-17T16:13:09,exactly.﻿,exactly.﻿,9,0,Justin Bereber,atjkb,UCh9ZcqdH4nP1_GAvlXxdXeA
Y4CVd7ksyzJfCpIYyDQOWWojl0I13xaV9HhgMs79bPA,2013-10-08T17:20:43,2013-10-08T17:20:43,what﻿ u mean? they ...,what﻿ u mean? they been making the same product for years? doesn't that mean they stayed the same?,98,0,Duplex39,Duplex39,UCxP6CYzSltB9jFIMOYUnccA
Y4CVd7ksyzKvEeiSHxQAKfXehcmD9KQ2x-VOwocgpvw,2013-10-05T18:56:39,2013-10-05T18:56:39,It's﻿ not funny,It's﻿ not funny,15,0,ProX1000X,ProX1000X,UCW9k8-JE9xoVcdLfdUDoooA
Y4CVd7ksyzLkkviR4sin7ec0O3q7b-rmHbD4OShO16k,2013-10-05T02:36:54,2013-10-05T02:36:54,I comfortably get ...,I comfortably get over 4500 dollars per month simply by responding to uncomplicated surveys at home. This site displays every detail﻿ how EARN88.COM  No hay batalla mas lamentablemente perdida que la que no se pelea.,216,0,DUMB4SSpower01,DUMB4SSpower01,UCTxTWgC_STxq8gYPUpHSeaw
Y4CVd7ksyzJKyqiAW-sZB_texnbsQrBgPc8jzIluP04,2013-10-04T15:31:49,2013-10-04T15:31:49,Oh yeah! Looks﻿ ...,Oh yeah! Looks﻿ like that penisless guy,39,0,John Kim,JohnKkim96,UCST94WRF1F5U7ZjXgg-vVIA
Y4CVd7ksyzJVZu8JK5byfiSVs4csrMTVdTZuc2TvSc8,2013-10-04T02:12:35,2013-10-04T02:12:35,Every single one of ...,Every single one of My children will be shown their lives  their sins  their﻿ wrong doings and every single insult they were responsible for against their brothers and sisters  all during a mystical experience.,210,0,My Online Business Empire,myonlinebusinessepir,UCJsHEM8QeeMVgSHfNUBOQuw
Y4CVd7ksyzIy8LzcORJNr3JbZtydTnVDVS8HTkiOQpE,2013-10-02T02:39:21,2013-10-02T02:39:21,0:53 . THIS﻿ GUY ...,0:53 . THIS﻿ GUY DOESN'T EVEN LOOK LIKE AN APPLE EMPLOYEE! BUMMER!,66,0,FeedBurner,Reewaz1,UCHbD6MbWAZMU1NzyBNcF2jg
Y4CVd7ksyzJTIF36q4UFGau1MlHLib1QtkOemG9t6hA,2013-10-01T21:26:05,2013-10-01T21:26:05,I live on Van﻿ ness ...,I live on Van﻿ ness ave O.o,27,0,GeaZyEdits,gor3t3,UCag0fSONhIbtrotdmj0E8kg
Y4CVd7ksyzKQhCOn_MsJIsx6lz7ttRyAnbogXyOiPkQ,2013-10-01T05:08:15,2013-10-01T05:08:15,You﻿ shoulda seen ...,You﻿ shoulda seen your face.,28,0,Jake Andersonm,jaker20101,UCAPGAFX9RfqcdRWFJyxZH4g
Y4CVd7ksyzLipMigSaVwWQSPDXHZmyYkFCJa_ptBUJk,2013-10-01T05:06:57,2013-10-01T05:06:57,Drink chemical ...,Drink chemical concoctions guys.﻿ The ad says so.,49,0,Jake Andersonm,jaker20101,UCAPGAFX9RfqcdRWFJyxZH4g
Y4CVd7ksyzJzTfR6-Ay2L_7TP22zwRI6KjwWongN9Sk,2013-09-30T04:56:57,2013-09-30T04:56:57,Apple is not what ...,Apple is not what it use to﻿ be,31,0,Rob Smith,9WBAbFCyfd1sQ8i06-q5Dg,UC9WBAbFCyfd1sQ8i06-q5Dg
Y4CVd7ksyzI-_crh4f1JJPZpklChHGiL4uvMUyhbIlY,2013-09-28T19:30:02,2013-09-28T19:30:02,Haha﻿ twice as slow ...,Haha﻿ twice as slow as the last :'D,35,0,Leon Kepp,ISdW-T4b50Zp-iMTLYeIWQ,UCISdW-T4b50Zp-iMTLYeIWQ
Y4CVd7ksyzJdmPZZIlDXUvIA5XX65I3kBQRXKHjuF7U,2013-09-27T14:23:12,2013-09-27T14:23:12,Ohh realy?? Look ...,Ohh realy?? Look here! On the hunsales"dot"com we extended the 50% discount for all products??? Yes! Until August 28  for all products have 50% discount!!! Samsung  Apple  Nokia  Lg and more... World Wide Shipping  and﻿ Paypal Accepting. hunsales"dot"com,254,0,Rudccsan Rudg,DjRudG,UCekV8sm_6tIm6LmK2TH5LIQ
Y4CVd7ksyzK-mdOe_Tg8DPG8JXpDlDhcVl9J3bK07rg,2013-09-26T22:18:43,2013-09-26T22:18:43,Android: "Yup  ...,Android: "Yup  basically sums﻿ it up.",38,0,ビクター ミズニオテベロス,ThePKMNCHAMP,UCuyzpO6ls76Z2rYQ5akfl8Q
Y4CVd7ksyzJ8VlL3-nPmZmM4E9wSjRmvr4cSH8tWBvw,2013-09-26T20:14:57,2013-09-26T20:14:57,Adjektive!﻿,Adjektive!﻿,11,0,KingGurke98,KingGurke98,UCZGXwVfMW3fo1MCxLlaWdlg
Y4CVd7ksyzIEc1LpfK1GVv1r9J5MZLMyLHt-ohVheSg,2013-09-26T19:35:55,2013-09-26T19:35:55,Anyone is able to ...,Anyone is able to effortlessly earn over 4500 dollars every month just by answering easy surveys at home. This site shows precisely how EARN88.COM  [children]can thus learn the art of loving﻿ and know truly that when they think a thought they release a tremendous power or force in space.,288,0,Abhishek Chaudhary,cooldudekazuma,UCOhCRrvoKK2w9Sff-WEBxsQ
Y4CVd7ksyzKXOn2885NmoDcTceUOYokpDVQbNFB8C5g,2013-09-26T08:58:19,2013-09-26T08:58:19,why do people﻿ like ...,why do people﻿ like you watch these videos just to hate on apple and say "herp derp  samsung galaxy is superior  iphone is trash." Just don't watch it  seriously.,162,0,OVERSIZEDsandvich Productions,Oversizedsandvich,UCsjx6fquXRUoGW0w55ZwBEA
Y4CVd7ksyzInMCy1ahd8wGWuZihFUAT3oPM_lkBjxgQ,2013-09-25T18:41:01,2013-09-25T18:41:01, ...,Extramazinglutionary.﻿ Adjective. Lol,37,0,Matt Miller,Darkmelodicone9034,UCGStFeXtdGrIJaQjH70Ytjg
Y4CVd7ksyzJqm90ZZ2BqN-TDpqSroSfNdHcUW8MtgGg,2013-09-24T05:18:25,2013-09-24T05:18:25,This shit too funny ...,This shit too funny !!!! I love it﻿,35,0,SuperShayla00,SuperShayla00,UCESFQeb1r6lptftETD7kdSg
Y4CVd7ksyzIsN9lDNELwE2ogruADBi9kLMpUofEAeOI,2013-09-24T02:27:40,2013-09-24T02:27:40,lol! You guys﻿ are ...,lol! You guys﻿ are so funny,27,0,Feroz Quazi,quazimotionofficial,UC3apJO2tu-R4Y8xHTTZXljg
Y4CVd7ksyzJeYw7kCF9eAflP9M7qqQTwndXarSIf8SM,2013-09-22T11:14:45,2013-09-22T11:14:45,Android is the﻿ best,Android is the﻿ best,20,0,ghostindarks,ghostindarks,UC1GoqnqE-sM1RrCedepS3NQ
Y4CVd7ksyzJHPh_STtslHnmPPYulQH9fF9y2jQ3umfc,2013-09-19T15:36:14,2013-09-19T15:36:14,my﻿ god anything,my﻿ god anything,16,0,subhani rafi,subhanirafi,UCZviyE8OFuPRh5lL85BCtFw
Y4CVd7ksyzJiATl6ntcewAoO40mHAiJ1PS4XoO783nE,2013-09-18T23:03:58,2013-09-18T23:03:58,Man Jonathan Ive is ...,Man Jonathan Ive is a slimy  creepy  lying BASTARD.   Apple needs to fucking DIE﻿,81,0,AnonymousCowardX,AnonymousCowardX,UCix0SS02RcYRly0---6Hc5A
Y4CVd7ksyzLCm4G7ZzGyD1lqmxy2pduvImg5nwbIpwc,2013-09-18T09:53:25,2013-09-18T09:53:25,damn﻿ good !,damn﻿ good !,12,0,Maxim Mee,maximme,UC00YOCJnQQUVodMwHlJJwsQ
Y4CVd7ksyzI0fpBnI-4xhhwQ-udgeba3hdVfDVXK8RY,2013-09-18T07:37:10,2013-09-18T07:37:10,finally someone ...,finally someone else realizes it should be 6 and not﻿ 5 !!! been saying that for over a year now.,97,0,Desutoroyalove,Desutoroyalove,UCROOS6cdNJr5g7XTt0t7adA
Y4CVd7ksyzKAFCbYMokVTRWr7uUdkXMRXlEOe5tDyvo,2013-09-17T09:03:02,2013-09-17T09:03:02,Do a iPhone 5s and ...,Do a iPhone 5s and 5c banned﻿ promo!!!!!!!!!,44,0,SupNewGuy Yo,FNWtBuQ4frWmoxv5LEWvtg,UCFNWtBuQ4frWmoxv5LEWvtg
Y4CVd7ksyzKwxIDxfHZAmDBNEpHdMscSOP5xR4gcNLY,2013-09-15T18:09:44,2013-09-15T18:09:44,@1993transam1 lol ...,@1993transam1 lol are you joking? How is Apple﻿ a failure?,58,0,vince5260,vince5260,UCYrdBfJRrMMnWMlCZKx_VNw
Y4CVd7ksyzJE7f8HnRiwZDQT_M9ytVZ3GMluWXaAH_c,2013-09-15T15:33:46,2013-09-15T15:33:46,Sorry but apple is ...,Sorry but apple is the biggest "failure" in the smartphone world..truly sucks feel sorry for them. I use to﻿ be an iphone fanatic.,130,0,1993transam1,1993transam1,UC2RNKMn1EVazoFrE0A2SwFQ
Y4CVd7ksyzJ6JXQWsMC979G6m5w6aqZnIWr6avNME1A,2013-09-15T05:47:45,2013-09-15T05:47:45,i'm gonna snort﻿ a ...,i'm gonna snort﻿ a line of cocaine,34,0,Jay Khan,akbarbukhari,UCD1bVhArmQ1yadBLkCpMZxQ
Y4CVd7ksyzJvtP8_FVCRlrWTRe2CnHrLSJ2tyqGEgj4,2013-09-15T02:28:22,2013-09-15T02:28:22,I want﻿ that iPhone ...,I want﻿ that iPhone 9...,24,0,iH85CH001,iH85CH001,UCIAVOVzXxtbjtwcoo626M7g
Y4CVd7ksyzLC-tOCZoC7_l6Cq2euWLXNS6Ml9-hd4_s,2013-09-14T11:46:31,2013-09-14T11:46:31,Hahahaha. Holy shit ...,Hahahaha. Holy shit.  Lol @﻿ "we said f*-ok Google maps",56,0,Lennox1492,bradbrown101,UCssjvUAdjhzRIDxDBUa1tKw
Y4CVd7ksyzLYxL3f1rZDwZIpk9jQoL0kykZb8V1FyfA,2013-09-14T11:12:47,2013-09-14T11:12:47,they upload it 2﻿ ...,they upload it 2﻿ days ago,26,0,abbas alkhafaji,alkhafaji91,UCNXeJWFFouNZVaM7m4QNg1w
Y4CVd7ksyzJmNWDwmqLnj_GCRTFbpklu9IeJVxbWO3o,2013-09-14T01:02:48,2013-09-14T01:02:48,IPhone 5s and 5c﻿ ...,IPhone 5s and 5c﻿ promo pleeaasse,33,0,CreatineMax,CreatineMax,UCUjgRA7cA6-R30qj61J3_Sw
Y4CVd7ksyzK7iLmMiwtiPQCRDGOwqoGxWO4et3SA-QI,2013-09-14T00:26:14,2013-09-14T00:26:14,Is that Theon﻿ ...,Is that Theon﻿ Greyjoy? O:,26,0,CorAngar00,CorAngar00,UCfJfvDbxdbU16VIlG6LjM0g
Y4CVd7ksyzIcP5GPHWRYAiYg5U6X7rSQWdSmih9IkxQ,2013-09-14T00:21:34,2013-09-14T00:21:34,when ? ﻿,when ? ﻿,8,0,Jason Gonzalez,3zj9ISSwkOqImY-n6qOh0A,UC3zj9ISSwkOqImY-n6qOh0A
Y4CVd7ksyzIbR3XxiBj4OEQ8Fe2fDYvDjaCPPpSCH-8,2013-09-13T21:04:29,2013-09-13T21:04:29,the 5s is the 8th ...,the 5s is the 8th phone not the 5; which﻿ was what fated2012 was saying.,72,0,Leon Tang,leontangable,UC4RQE99j3cQ_9dp4C4TQjLw
Y4CVd7ksyzJItG0BFf7qNl2YSxNoRq4Rvcg93keCeds,2013-09-13T16:35:25,2013-09-13T16:35:25,Blur﻿ bLur BLUr,Blur﻿ bLur BLUr,15,0,koh hin teck,ZC-l2vxSyFf7l-0uSdAuDw,UCZC-l2vxSyFf7l-0uSdAuDw
Y4CVd7ksyzJZKKo6e108pcs4zkXbPd-YyK0B_fyN4zk,2013-09-13T16:34:55,2013-09-13T16:34:55,i 1 9 iphone﻿ .or. ...,i 1 9 iphone﻿ .or. i phone 9  s c  3 4 5 6 7 8 9,48,0,koh hin teck,ZC-l2vxSyFf7l-0uSdAuDw,UCZC-l2vxSyFf7l-0uSdAuDw
Y4CVd7ksyzKdx-lG--dy-1djbKveOXQ9DQpn-b85ySk,2013-09-13T16:34:15,2013-09-13T16:34:15,Lmfaoo "hit it ...,Lmfaoo "hit it bitch!"﻿,23,0,Ian Thomas,ZqtKrhk6uj_nVVJbOTKEVA,UCZqtKrhk6uj_nVVJbOTKEVA
Y4CVd7ksyzIuKolOr_NtL91OmCGyjAxsdCMYToqHYlY,2013-09-13T16:22:45,2013-09-13T16:22:45,ohhh sorry the ...,ohhh sorry the iphone5s(whitout﻿ space is iphone 5c),52,0,TheOfficialGamer,XpLaY930,UCie00AN556iQvvpv5GK8Kvw
Y4CVd7ksyzI9t5MXumCqyfvRg5oEbMxYX5ujTzKkHIo,2013-09-13T12:26:38,2013-09-13T12:26:38,why the **** they ...,why the **** they dont do samsung parody?﻿ and all other phones?,64,0,FLASHING9,FLASHING9,UCvXIrGADe6mXT5XXtBPZQHA
