ID,PUBLISHED,UPDATED,TITLE,CONTENT,CONTENT_SIZE,HAS_LINK,AUTHOR_NAME,AUTHOR_URI,CHANNELID
juBeBXzCmwYzJnXVv9CMrwS_wzMe3C9HoGB87JxO8Gk,2013-10-20T17:04:04,2013-10-20T17:04:04,The﻿ legend became ...,The﻿ legend became here.,24,0,Born,Mintoi1,UCKUprxzNtnjrcepPEqz2p0A
juBeBXzCmwaSOtVBX7-Zol91AgUOu1xCf-tHBQDX9fg,2013-10-20T17:00:36,2013-10-20T17:00:36,fracasadaa todal ps ...,fracasadaa todal ps una arpiaa en la musica﻿,44,0,jose martinez,Hoe7VCXwIz0nVeoAZPzkpw,UCHoe7VCXwIz0nVeoAZPzkpw
juBeBXzCmwZOnoBUE281syGf9o2TAg3YlqGqq-YouV8,2013-10-20T16:59:16,2013-10-20T16:59:16,Hi everyone I'm ...,Hi everyone I'm Precious Ability I'm a 15yr rapper from the UK with MASSIVE dreams <3 I have gained over 28'000 video views BUT I need alot more to be seen I've recently uploaded a NEW remix of Ariana Grande The Way   Psy Gangnam Style  Miley﻿ Cyrus wrecking ball  And a Justin Bieber One Time remix not too long ago I promise you won't regret IT <3  Please thumps up my comment so other people can see :) Thankyou for reading And also if you could SUBSCRIBE that will make my WORLD ;),485,0,PreciousAbilityMusic,PreciousAbilityMusic,UCjFskqHj-NsUEIOZAuoMYpw
juBeBXzCmwZ6izzabO8yVOQwoB_j4k2XqYLSjo90DMw,2013-10-20T16:55:18,2013-10-20T16:55:18,1:56﻿,1:56﻿,5,0,Anna Ferens,okTXkda_zGl0xQwWYFKJZw,UCokTXkda_zGl0xQwWYFKJZw
juBeBXzCmwYTxfk83n8-x4Lytjfpz_K57zIrac_-lrs,2013-10-20T16:54:55,2013-10-20T16:54:55,0:00﻿,0:00﻿,5,0,Anna Ferens,okTXkda_zGl0xQwWYFKJZw,UCokTXkda_zGl0xQwWYFKJZw
juBeBXzCmwYKBBCg5fC4K-9fhRrSvSPBhheQy4CfPZU,2013-10-20T16:32:18,2013-10-20T16:32:18,Currently a whole ...,Currently a whole new RIHANNA SEX TAPE  had been leeched  I﻿ knew this young lady is a true bitch   Take a look at her video right here : crazy-celeb-news.eu.pn It's wild,170,0,Rita Buch,Jl6IEIxZ2g9tTV2Wucntxg,UCJl6IEIxZ2g9tTV2Wucntxg
juBeBXzCmwbigUMyeRQj8y7RtIt_SbPOApjFMjuRzQA,2013-10-20T16:28:42,2013-10-20T16:28:42,What a sick ...,What a sick individual﻿,23,0,khalid Dossary,ANTIxxULLUMINATI,UCoBth5sHa_g_4hM5cFDiYKA
juBeBXzCmwaJxAFMCx6u0D6U6ptwQxRfcMYUfF6FiTw,2013-10-20T16:24:50,2013-10-20T16:24:50,Que simbolismo﻿ ...,Que simbolismo﻿ satanico a illuminati,37,0,Zaira Constanza,4e0NcoIQFwHGZV-8uHIbWQ,UC4e0NcoIQFwHGZV-8uHIbWQ
juBeBXzCmwYesWv2uKmx7wWLDLjF-hwqkHcHQs8zxHI,2013-10-20T16:13:32,2013-10-20T16:13:32,Четкая   песня! ...,Четкая   песня! Припев больше запомнился) :DDD ﻿,48,0,Sanya Ivanov,si9EEbNeXTPbx2NSsNzoiQ,UCsi9EEbNeXTPbx2NSsNzoiQ
juBeBXzCmwZOBX1zyUbFFB7uQc9EAEV36gGvUM76q1c,2013-10-20T15:59:30,2013-10-20T15:59:30,VAMOS A LOVE﻿ GAME ...,VAMOS A LOVE﻿ GAME YA NO QUEDA NADA :),38,0,edge oyarzo,d7FgJGPjxZ45Uz1WaYY41w,UCd7FgJGPjxZ45Uz1WaYY41w
juBeBXzCmwaHZlRb-gF02zQ_5PUBLR5BhcZBWLnAtc8,2013-10-20T15:58:15,2013-10-20T15:58:15,litlle﻿ monsters,litlle﻿ monsters,16,0,daiana mdp,6qEsbe0V13nH6Po6E169sw,UC6qEsbe0V13nH6Po6E169sw
juBeBXzCmwZqzGOdKGSXMrmn6ytYTZRmrpjz2wR23JM,2013-10-20T15:58:05,2013-10-20T15:58:05,BAD﻿ ROMANCE,BAD﻿ ROMANCE,12,0,daiana mdp,6qEsbe0V13nH6Po6E169sw,UC6qEsbe0V13nH6Po6E169sw
juBeBXzCmwbA5cUpuIbKvBUNw26vuM2Qgr78ASXXGWY,2013-10-20T15:49:19,2013-10-20T15:49:19,High quality﻿ audio ...,High quality﻿ audio download: bit.ly\1bLSDAM,44,0,Antony Turner,2ie7umpusHUojkImNCmAcA,UC2ie7umpusHUojkImNCmAcA
juBeBXzCmwaawsT9GC7XUYRZCNMPgyCbsO4UeLF5CxA,2013-10-20T15:37:18,2013-10-20T15:37:18,my Aunty Gianna ...,my Aunty Gianna recently got a stunning metallic Lexus RC 350 Coupe just by﻿ some part time working online with a computer. my company CAFE65.COM,145,0,David Liu,2ADnqsTXIzyI3enMJ7PoKQ,UC2ADnqsTXIzyI3enMJ7PoKQ
juBeBXzCmwa73pJ7LacBp5Mx4AXDOa9ofBDFX9fZ6LU,2013-10-20T15:35:37,2013-10-20T15:35:37,sorry but just is ...,sorry but just is video of the﻿ decade beacause hips dont lie is song of the decade and have more 1 than bad romance until billboard where is lady gaga with her bad romance?,173,0,jose martinez,Hoe7VCXwIz0nVeoAZPzkpw,UCHoe7VCXwIz0nVeoAZPzkpw
juBeBXzCmwbtLcFrOR91nMEzAQJ6M7_Pt_x98j3WsVo,2013-10-20T15:33:30,2013-10-20T15:33:30,flop ? 10 Million ...,flop ? 10 Million Sales  Video﻿ of the decade,45,0,RankingsLA,RankingsLA,UCNjcaAptAPNwuTYJ02pb2NQ
juBeBXzCmwbI6-G85qnxxDuOXM-3JcP0r_-tHg6Hjd4,2013-10-20T15:16:51,2013-10-20T15:16:51,flop romance﻿,flop romance﻿,13,0,jose martinez,Hoe7VCXwIz0nVeoAZPzkpw,UCHoe7VCXwIz0nVeoAZPzkpw
juBeBXzCmwYvXktMyPCfFHlAQcexCo3aPzSRyGsjrIk,2013-10-20T15:15:05,2013-10-20T15:15:05,KEEP﻿ UP !!,KEEP﻿ UP !!,11,0,Alcha Pratama,u6nYvs8KoVrvidMILVXUsw,UCu6nYvs8KoVrvidMILVXUsw
juBeBXzCmwYplVApSH_5Vor11wIdm6EIbitYJy7K0_M,2013-10-20T15:03:50,2013-10-20T15:03:50,I love you GAGA ...,I love you GAGA QUEEN﻿ OF POP FOREVER,37,0,Carlos LG,olidiaz94,UCYZnGIzDl9EfpmnxeKtYKdg
juBeBXzCmwatGhNYQlcub9RFljczu_YMlqVLw2w_5gM,2013-10-20T14:54:17,2013-10-20T14:54:17,I love you lady ...,I love you lady gaga﻿,21,0,Kyla Strobel,FU1AMve5TaVkyJ8SxXVrWQ,UCFU1AMve5TaVkyJ8SxXVrWQ
juBeBXzCmwasG6UTzPEDWqwLTLBsNNYbOWKOBQdJA0Y,2013-10-20T14:26:10,2013-10-20T14:26:10,LOVE IT <3﻿,LOVE IT <3﻿,11,0,Francis Wu,zPz07nLGSD9auMFrCIzCDg,UCzPz07nLGSD9auMFrCIzCDg
juBeBXzCmwbR6AXrViwTWCvLi9WctcDWXgIStwjv3Bc,2013-10-20T14:23:57,2013-10-20T14:23:57,i like her﻿ style,i like her﻿ style,17,0,Alain Bruno,sAlainVideos,UCT3teq9MKDBqDT-W5EvMXxA
juBeBXzCmwbtUGIQNVQylRJCDZEzgnHxu1DGkaSJYQg,2013-10-20T14:18:00,2013-10-20T14:18:00,very﻿ nice videos G ...,very﻿ nice videos G O O D♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥  D E N♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥ C♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥ E♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥ S U P E R  S O N G﻿ LOVE ♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥♥,206,0,Ilia Trubek,4i9uigD9kea4-5f_yHa5mg,UC4i9uigD9kea4-5f_yHa5mg
juBeBXzCmwY1utTPD5FX9NAeJNi3f2mR2xZ2gCZSqxg,2013-10-20T14:08:38,2013-10-20T14:08:38,Do you like dance ...,Do you like dance music? Do you like pop music? Then you should come checkout my youtube channel for my all original music! My name is Preston Rhyse. I'm an unsigned singer  songwriter and producer who is trying to get noticed! If you could come checkout my music  it would mean so much :)  ps. if you could  please﻿ like this comment so it is seen by more people  thankyou :),376,0,Preston Rhyse,PrestonRhyse,UCqdb63alfKcXm7Q6e1eCdug
juBeBXzCmwYy8LnaoD5GIy2Oi-Ma7RYy2VKhSQeN4p0,2013-10-20T14:06:58,2013-10-20T14:06:58,I AM﻿ BEAUTIFUL AND ...,I AM﻿ BEAUTIFUL AND TALENTED! COME ON MY﻿ CHANNEL. WE ARE ALL EQUALS.,69,0,Marissa L,virgorouge,UCa-ps_NC-21Q9s9TirMQJ3g
juBeBXzCmwZ0QUx03Xk517BqXFDwlMHhpYCdloSS3OQ,2013-10-20T14:05:13,2013-10-20T14:05:13,el final jajaj :D﻿,el final jajaj :D﻿,18,0,daniel romeror,GfsLtP0MQv7W53JfFor1Jw,UCGfsLtP0MQv7W53JfFor1Jw
